,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1,8,7,7,8.0,12.5
1,2,16,6,14,8.0,12.5
2,1,4,8,3,4.0,25.0
3,2,16,6,14,8.0,12.5
4,2,32,5,30,16.0,6.25
5,1,4,8,3,4.0,25.0
6,1,8,7,7,8.0,12.5
7,1,16,6,15,16.0,6.25
8,2,16,6,14,8.0,12.5
9,4,16,6,12,4.0,25.0
10,2,16,6,14,8.0,12.5
11,4,16,6,12,4.0,25.0
12,4,64,4,60,16.0,6.25
13,4,16,6,12,4.0,25.0
14,4,64,4,60,16.0,6.25
15,2,16,6,14,8.0,12.5
16,2,8,7,6,4.0,25.0
17,2,16,6,14,8.0,12.5
18,2,16,6,14,8.0,12.5
19,1,16,6,15,16.0,6.25
20,2,16,6,14,8.0,12.5
21,2,64,4,62,32.0,3.125
22,4,16,6,12,4.0,25.0
23,1,8,7,7,8.0,12.5
24,1,16,6,15,16.0,6.25
25,4,32,5,28,8.0,12.5
26,4,64,4,60,16.0,6.25
27,1,16,6,15,16.0,6.25
28,2,16,6,14,8.0,12.5
29,1,16,6,15,16.0,6.25
30,2,64,4,62,32.0,3.125
31,1,16,6,15,16.0,6.25
32,2,64,4,62,32.0,3.125
33,2,16,6,14,8.0,12.5
34,2,32,5,30,16.0,6.25
35,1,16,6,15,16.0,6.25
36,4,16,6,12,4.0,25.0
37,2,16,6,14,8.0,12.5
38,1,4,8,3,4.0,25.0
39,2,16,6,14,8.0,12.5
40,4,32,5,28,8.0,12.5
41,2,64,4,62,32.0,3.125
42,4,32,5,28,8.0,12.5
43,1,16,6,15,16.0,6.25
44,2,32,5,30,16.0,6.25
45,2,8,7,6,4.0,25.0
46,2,64,4,62,32.0,3.125
47,1,8,7,7,8.0,12.5
48,2,64,4,62,32.0,3.125
49,2,32,5,30,16.0,6.25
50,2,64,4,62,32.0,3.125
51,2,64,4,62,32.0,3.125
52,2,64,4,62,32.0,3.125
53,4,16,6,12,4.0,25.0
54,2,8,7,6,4.0,25.0
55,1,4,8,3,4.0,25.0
56,2,16,6,14,8.0,12.5
57,2,16,6,14,8.0,12.5
58,2,16,6,14,8.0,12.5
59,1,16,6,15,16.0,6.25
60,2,64,4,62,32.0,3.125
61,2,16,6,14,8.0,12.5
62,1,4,8,3,4.0,25.0
63,2,32,5,30,16.0,6.25
64,1,8,7,7,8.0,12.5
65,2,16,6,14,8.0,12.5
66,1,16,6,15,16.0,6.25
67,2,16,6,14,8.0,12.5
68,1,16,6,15,16.0,6.25
69,2,16,6,14,8.0,12.5
70,1,4,8,3,4.0,25.0
71,1,8,7,7,8.0,12.5
72,1,16,6,15,16.0,6.25
73,1,4,8,3,4.0,25.0
74,4,64,4,60,16.0,6.25
75,1,4,8,3,4.0,25.0
76,2,32,5,30,16.0,6.25
77,2,8,7,6,4.0,25.0
78,2,16,6,14,8.0,12.5
79,1,16,6,15,16.0,6.25
80,2,16,6,14,8.0,12.5
81,2,16,6,14,8.0,12.5
82,2,32,5,30,16.0,6.25
83,4,16,6,12,4.0,25.0
84,2,8,7,6,4.0,25.0
85,2,8,7,6,4.0,25.0
86,2,64,4,62,32.0,3.125
87,2,16,6,14,8.0,12.5
88,1,16,6,15,16.0,6.25
89,1,4,8,3,4.0,25.0
90,2,16,6,14,8.0,12.5
91,2,16,6,14,8.0,12.5
92,2,32,5,30,16.0,6.25
93,2,8,7,6,4.0,25.0
94,4,32,5,28,8.0,12.5
95,2,16,6,14,8.0,12.5
96,2,16,6,14,8.0,12.5
97,1,16,6,15,16.0,6.25
98,4,16,6,12,4.0,25.0
99,2,16,6,14,8.0,12.5
100,4,16,6,12,4.0,25.0
101,4,64,4,60,16.0,6.25
102,1,4,8,3,4.0,25.0
103,2,32,5,30,16.0,6.25
104,4,32,5,28,8.0,12.5
105,2,8,7,6,4.0,25.0
106,4,16,6,12,4.0,25.0
107,2,8,7,6,4.0,25.0
108,2,16,6,14,8.0,12.5
109,2,16,6,14,8.0,12.5
