BRC Query,Data Size
"[71.01512801607888, 49.35600779794718, 95.00241692815945, 72.03486307632733]",552
"[73.19818301798725, 26.515094155783522, 88.4146339213529, 45.140648630415456]",285
"[46.37914645383254, 0.4246095904160722, 64.74026371560089, 23.059330597365925]",414
"[59.349236233640966, 32.37021971227842, 75.04678162495115, 34.93241792747108]",32
"[19.925545194268015, 31.758976071444312, 29.982041517240674, 34.96636567276103]",30
"[22.76308294100856, 51.13617316720254, 46.06215526989689, 56.553505058954165]",120
"[34.00894541248746, 12.112284102832062, 42.13223852165224, 34.89264355056351]",176
"[58.55540229663114, 72.94709855293304, 71.51964020711438, 90.2662527105866]",234
"[52.37801475744564, 61.26137375495156, 54.66802999409808, 65.90219819270253]",8
"[65.49032345575456, 36.749372461153115, 79.72620740998097, 40.749355431488624]",56
"[4.635588881074884, 13.366149082908304, 22.622995534078893, 29.073632550029558]",288
"[41.34492191471623, 72.34760455853747, 48.14409767072868, 74.03125883765077]",14
"[70.84462480821338, 27.61257602442602, 88.56464262372515, 39.787723500324816]",216
"[24.807554763770383, 12.521655260695116, 41.587329614889, 23.31216693314331]",187
"[4.63577599779388, 64.63643093718278, 22.0796912258307, 72.50194686595108]",144
"[29.956330803440114, 39.456850723172806, 40.067814188039875, 53.33917034744318]",154
"[55.26658429016789, 24.026141008709466, 70.30531442643932, 49.07777392439814]",375
"[8.28711610074841, 50.85745387572508, 11.613493063656637, 72.4179186053559]",66
"[71.69976730177699, 42.30516063402873, 82.10813501102719, 61.49649018838234]",209
"[38.6649278393855, 58.25696411598109, 46.53506883303942, 76.32623509525612]",144
"[65.12821232253407, 35.864100611902856, 67.90767890026984, 56.46203442203726]",42
"[7.814341893783419, 71.17833265128083, 28.365403123570477, 92.46469716489727]",441
"[3.4128599662466, 67.44704272706109, 6.077880923778714, 87.46573953674226]",60
"[67.79545520436687, 46.37483281714646, 75.80200385065929, 48.179846533982975]",16
"[33.588417604381355, 20.866934254172556, 48.04394216374558, 43.39732494005917]",345
"[51.84169906889685, 29.587146938924917, 62.36116317984179, 47.89311225490901]",198
"[21.39045753439928, 15.374423397550206, 33.260789105274725, 38.958967328616055]",276
"[45.73543979680857, 23.043814762093962, 49.350989596872076, 24.352237672951304]",4
"[26.479014613369998, 52.35154970091204, 43.233021462516305, 62.285708113429024]",170
"[58.64252946422287, 22.35324772808758, 68.07475154070148, 36.5872952518927]",140
"[41.378129304855975, 33.12031767073587, 67.01530224052738, 58.72099190820629]",650
"[45.59693435202946, 58.88216394787598, 49.54247678967878, 64.30735784499501]",24
"[32.362626186609475, 17.81357652809488, 36.00075818046422, 31.43012635549557]",56
"[22.02041389857362, 47.33743695938819, 24.737352756932346, 70.22460517048809]",46
"[10.765994455983352, 28.034415074893122, 16.042777059741542, 31.527186402388015]",18
"[25.012374236796852, 13.752409922942084, 44.90959788084001, 29.753861597684143]",304
"[21.649988227975502, 25.795892426277852, 41.986638000749195, 50.484535557475496]",500
"[73.24564007142978, 43.85614384727164, 83.1186523795957, 68.72698589029]",250
"[18.05566226404455, 31.166480152858295, 25.624554657148643, 32.2070738765461]",7
"[17.605599333092563, 20.49085395829117, 41.327513571918345, 29.874712783184243]",216
"[49.93664019654417, 33.38100054941632, 58.54121935495351, 53.672352990563155]",180
"[5.441075798997068, 60.37931701678288, 22.35576156588238, 83.62942598556383]",391
"[71.93124801287927, 9.580861114356468, 81.88245894549266, 27.145196175622665]",180
"[62.839343765196475, 48.7522430193712, 86.66612601344673, 59.568762174708745]",264
"[23.631117814772548, 39.76921488255391, 33.117772623063814, 60.93256410982899]",210
"[25.34324416732375, 35.369123672345985, 50.73629452434915, 52.325254218931626]",425
"[24.68330195888283, 13.171577042659138, 50.248000061047435, 35.99900079145078]",572
"[67.50655471613, 13.505050644151968, 76.09462256597206, 19.485484761677892]",54
"[34.282366153455385, 52.78839761029791, 47.378237639217545, 57.222532507346536]",65
"[64.91641926696113, 33.703310510857314, 75.6426846835136, 51.79734860810791]",198
"[38.31146041762944, 19.321027732790593, 40.798062651096885, 21.575402588808565]",4
"[35.444718582802516, 50.6318033407414, 44.46302382811578, 67.32360554073487]",153
"[63.390411164951644, 56.59519164064808, 65.83783548816501, 76.8619200306112]",40
"[49.05238964593836, 30.161149118598253, 59.85936637957623, 54.39291722531266]",240
"[34.857948051674875, 49.82049639311858, 42.23244849451455, 51.95101506850688]",16
"[1.7517010310863181, 49.03021199292418, 4.557409720391458, 50.58259293240575]",3
"[71.03813838559095, 6.220436751032203, 72.16779932833933, 14.727038382150248]",8
"[13.675447116028918, 0.9747858780948264, 24.488522628988846, 4.2756253632150525]",44
"[67.57625919762185, 9.594816770071843, 76.6072018009334, 30.845549082260618]",189
"[62.590731322041584, 27.99477481426244, 74.95457208548447, 40.29267809741944]",156
"[26.489271510394335, 69.50605155082087, 41.062592419784266, 83.10689427091712]",210
"[50.49368017294537, 8.952446624446017, 52.22795166887019, 30.481564463118694]",44
"[41.5137179080293, 68.40892379226504, 45.13949526156413, 93.34645214435606]",100
