SRC Query,Depth,BBoxes,Data Size
"[35.70548104311085, 83.82733737315147, 40.267274815998285, 86.21557112634935]",6,"[31, 75, 43, 87]",156
"[56.757914238797404, 4.819400147142556, 59.67144399553172, 9.97235631714759]",7,"[56, 0, 62, 12]",78
"[24.210214507481552, 24.67210321811029, 29.372451685839344, 33.61537609360402]",5,"[18, 12, 31, 37]",312
"[65.53089946018535, 78.90858675951641, 75.1525986290158, 81.22547374490134]",4,"[62, 75, 87, 99]",625
"[57.623414942387015, 38.54359661035531, 62.68891213349767, 43.35974492180508]",6,"[56, 37, 68, 50]",156
"[84.84916701883641, 54.47993147986783, 92.73729198137855, 57.61323880187335]",6,"[81, 50, 93, 62]",156
"[6.616591981364692, 31.11602718385094, 16.25155008909451, 37.592752181050336]",6,"[6, 31, 18, 43]",156
"[83.77560787107352, 25.668060190913998, 86.53588070008243, 27.556050711436306]",8,"[81, 25, 87, 31]",39
"[80.97848121241914, 13.87219922600588, 84.44323187019752, 21.648534218740686]",6,"[75, 12, 87, 25]",156
"[3.226238710759328, 62.27212651634922, 13.110687611627803, 69.91011678986196]",4,"[0, 50, 25, 75]",625
"[18.59069476521576, 20.358904591037867, 24.9583037076981, 29.642138915483947]",7,"[18, 18, 25, 30]",78
"[44.1063389015534, 70.86122099313874, 45.94611954702324, 72.40171498438791]",10,"[43, 70, 46, 73]",10
"[0.7733736531932213, 5.8933686870118835, 7.560224209374869, 13.73526929527826]",5,"[0, 0, 12, 25]",312
"[59.05620282142735, 14.290638526130023, 60.25067787626793, 20.578487752084786]",7,"[56, 12, 62, 25]",78
"[36.86714682885561, 44.110454128051025, 46.09670608550932, 46.43257131267856]",4,"[25, 25, 50, 50]",625
"[16.97915710566571, 21.130102200804163, 23.807733981771964, 28.7837341260277]",6,"[12, 18, 25, 30]",156
"[3.4103129662742035, 81.58338107892108, 7.094857905382622, 83.01270450164017]",8,"[3, 81, 9, 87]",39
"[24.032385774708573, 33.157426340864085, 25.159097707105946, 34.31921871683349]",11,"[24, 31, 26, 35]",4
"[47.19642682931656, 62.04230979748771, 49.945537467780326, 64.609526607367]",10,"[46, 62, 50, 66]",10
"[58.26677993022905, 3.9053227797289725, 61.33102827161093, 11.622643249591754]",7,"[56, 0, 62, 12]",78
"[78.76929317238736, 46.481227443015385, 83.37624484535088, 54.23886885798284]",7,"[78, 43, 84, 56]",78
"[47.85947166743052, 21.643959631372404, 49.16836288117808, 31.32687523791008]",5,"[37, 12, 50, 37]",313
"[38.721622668649, 29.450627562130723, 42.959119482038496, 34.41400842688891]",7,"[37, 25, 43, 37]",78
"[86.97939034126641, 65.90188305146654, 89.6060732761071, 67.42238498491099]",8,"[84, 62, 90, 68]",39
"[43.749997007354516, 29.06511594523751, 46.1312959618799, 31.256810435595327]",8,"[43, 28, 50, 34]",39
"[17.505169057926746, 7.805949101996171, 18.65137420418198, 13.564959940390962]",7,"[15, 6, 21, 18]",78
"[23.07227810555541, 9.92149069448357, 28.778524060634524, 11.34775865015136]",6,"[19, 0, 31, 12]",156
"[74.08557561157838, 24.9288116371764, 80.6877772794518, 27.440951177988588]",6,"[68, 18, 81, 31]",156
"[25.90694278910077, 69.34003504079853, 27.316226172524996, 72.59681141531662]",9,"[25, 68, 28, 75]",19
"[26.659609896223582, 11.132293626719289, 35.92417845108721, 17.04640501936465]",6,"[25, 6, 37, 18]",156
"[44.829204907658536, 54.46206367785135, 53.97759362999889, 62.87844477485454]",5,"[44, 50, 56, 75]",312
"[5.820961641533801, 2.888142058412011, 15.434534559389709, 12.594622192376693]",4,"[0, 0, 25, 25]",625
"[33.986404265806186, 42.96468961854043, 41.165281248642025, 48.30146330992424]",6,"[31, 37, 43, 50]",156
"[57.647691840802324, 55.807094311093856, 65.03048644088098, 61.90372894261816]",6,"[56, 50, 68, 62]",156
"[78.742613171608, 1.0126152370500625, 84.90805633854141, 10.775977647209729]",6,"[75, 0, 87, 12]",156
"[56.0749473166041, 24.253161865480855, 61.30367285709332, 29.63720380968195]",8,"[56, 24, 62, 31]",39
"[47.40581906276359, 25.32236897276723, 53.94730466670809, 34.71352097756733]",6,"[44, 25, 56, 37]",156
"[39.61728347863991, 6.614218713074643, 41.793130929155495, 9.166242522500616]",9,"[39, 6, 42, 12]",20
"[68.83722724140534, 69.41424130350853, 71.76308318695892, 77.17049967775965]",7,"[68, 68, 75, 80]",78
"[26.958289469940436, 6.116382224985994, 32.92103171696661, 14.531279506728861]",6,"[25, 6, 37, 18]",156
"[11.473711296497738, 63.55848809161015, 19.85782092963337, 69.55295777708929]",4,"[0, 50, 25, 75]",625
"[39.17982557403246, 54.7918608544191, 47.66013373125815, 59.110949177032296]",6,"[37, 50, 50, 62]",156
"[41.683813282240614, 56.61141223637024, 46.38305699342062, 62.169891195315024]",6,"[37, 56, 50, 68]",156
"[28.844289424231523, 0.5501315482456647, 34.18687139718298, 5.200431674551085]",6,"[25, 0, 37, 12]",156
"[16.44366051579181, 42.150597623589, 25.03485828077879, 48.87465718274171]",4,"[12, 25, 37, 50]",625
"[64.47801712979464, 61.8947375466747, 68.390263705414, 67.59460743044468]",6,"[62, 56, 75, 68]",156
"[33.69313692252934, 61.92805679341019, 39.98700069732166, 68.70122216879145]",5,"[31, 50, 43, 75]",312
"[77.4342975444068, 51.64484116979141, 86.95337670658593, 55.46615029535099]",6,"[75, 50, 87, 62]",156
"[30.773180021195067, 68.34173548325275, 33.27068006162336, 74.049747774082]",6,"[25, 62, 37, 75]",156
"[75.05347522439769, 64.64273128358793, 80.68973641722177, 66.59984344659945]",8,"[75, 62, 81, 68]",39
"[86.34466527193878, 81.27805645109723, 90.41674878724035, 89.38639849825132]",6,"[81, 81, 93, 93]",156
"[77.11682299027416, 58.54545077194023, 79.08472974606082, 63.35924270829959]",7,"[75, 56, 81, 68]",78
"[6.881715760724717, 61.310957135885154, 16.060689327888362, 66.81014706651494]",6,"[6, 56, 18, 68]",156
"[80.67874587074752, 22.688708552220902, 89.07532981137828, 27.147110560420828]",4,"[75, 12, 99, 37]",625
"[7.330671633693866, 66.34874113461359, 13.889759490618598, 68.5319665139568]",6,"[6, 62, 18, 75]",156
"[46.47676467642912, 55.15812130173507, 55.70180151529557, 57.23050855456408]",6,"[44, 50, 56, 62]",156
"[81.13286022939596, 47.85703134423137, 88.68473761118432, 53.57458938240617]",6,"[81, 43, 93, 55]",156
"[28.033981428412325, 20.18818374465439, 30.05896124149531, 21.80822852056785]",10,"[28, 20, 31, 23]",10
"[56.7127008564581, 67.4656408763996, 63.9073320946473, 71.26944527172203]",6,"[56, 62, 68, 75]",156
"[10.895376411690721, 4.847271949309666, 19.45539716285117, 8.427119648309713]",4,"[0, 0, 25, 25]",625
"[53.70235945202873, 40.48122881862367, 60.53911414764751, 50.37414235748898]",5,"[50, 37, 62, 62]",312
"[77.68573474267083, 58.201515177251345, 83.9333692551044, 64.35620798529338]",6,"[75, 56, 87, 68]",156
"[47.534938126716305, 87.17524255782847, 54.075015457859784, 91.45039164197216]",6,"[43, 87, 55, 99]",156
"[60.82909913990285, 74.03553556866717, 63.07161096452941, 75.94510967221179]",8,"[59, 74, 65, 81]",39
"[49.4645096912919, 45.23302138025715, 52.60538899234121, 46.51573433868359]",8,"[47, 43, 53, 50]",39
"[55.99154478992884, 25.08846778657588, 65.17124016769162, 30.940401294644538]",4,"[50, 25, 75, 50]",625
"[72.87772515664264, 73.93878746529262, 80.52924723937161, 82.46527462879415]",5,"[68, 62, 81, 87]",312
"[5.823662001283975, 67.95767057728874, 13.293644808129983, 70.83150189762249]",4,"[0, 50, 25, 75]",625
"[70.93044173688335, 73.39788083242685, 73.11170250022396, 76.20198459596588]",8,"[68, 71, 75, 77]",39
"[82.23781166342937, 58.85186010661911, 87.27168605609278, 61.76119179769981]",6,"[81, 50, 93, 62]",156
"[24.420756961531605, 21.92054915303475, 32.460581270292714, 31.39358807490437]",4,"[12, 12, 37, 37]",625
"[59.089126943442274, 3.3511189130060166, 60.77411750548883, 8.77490934557552]",9,"[59, 3, 62, 9]",20
"[4.666718556077792, 48.74361856338566, 13.549753621629392, 53.71536792952863]",4,"[0, 37, 25, 62]",625
"[4.9947438035014216, 21.807258207048694, 10.349235397589176, 25.050094102588776]",6,"[0, 18, 12, 31]",156
"[53.52626701151256, 70.40846611330834, 55.747763893623144, 76.10206361232119]",7,"[50, 68, 56, 81]",78
"[57.654900319925076, 78.2369103096611, 62.56843640678785, 83.48251550807787]",6,"[56, 75, 68, 87]",156
"[56.166039481242166, 12.47427075811196, 64.25365291579519, 17.32648096026918]",6,"[56, 12, 68, 25]",156
"[78.94714125415226, 35.40682175490676, 82.32944744640822, 43.44211811728526]",5,"[75, 25, 87, 50]",312
"[3.2116197631323242, 27.682609860880483, 10.130004196787393, 35.54362208919609]",6,"[0, 25, 12, 37]",156
"[30.257776183642754, 39.6826183815449, 34.72936758973804, 48.19805127747929]",6,"[25, 37, 37, 50]",156
