,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,48,312,5,264,6.5,15.384615384615385
1,11,156,6,145,14.181818181818182,7.051282051282051
2,36,312,5,276,8.666666666666666,11.538461538461538
3,22,156,6,134,7.090909090909091,14.102564102564102
4,26,313,5,287,12.038461538461538,8.30670926517572
5,55,625,4,570,11.363636363636363,8.799999999999999
6,21,78,7,57,3.7142857142857144,26.923076923076923
7,30,312,5,282,10.4,9.615384615384617
8,110,625,4,515,5.681818181818182,17.599999999999998
9,20,78,7,58,3.9,25.64102564102564
10,18,78,7,60,4.333333333333333,23.076923076923077
11,72,156,6,84,2.1666666666666665,46.15384615384615
12,55,313,5,258,5.6909090909090905,17.57188498402556
13,84,625,4,541,7.440476190476191,13.44
14,48,312,5,264,6.5,15.384615384615385
15,9,313,5,304,34.77777777777778,2.8753993610223643
16,108,625,4,517,5.787037037037037,17.28
17,78,312,5,234,4.0,25.0
18,8,39,8,31,4.875,20.51282051282051
19,91,313,5,222,3.4395604395604398,29.073482428115017
20,28,78,7,50,2.7857142857142856,35.8974358974359
21,65,625,4,560,9.615384615384615,10.4
22,70,156,6,86,2.2285714285714286,44.871794871794876
23,10,78,7,68,7.8,12.82051282051282
24,4,10,10,6,2.5,40.0
25,99,156,6,57,1.5757575757575757,63.46153846153846
26,15,39,8,24,2.6,38.46153846153847
27,35,156,6,121,4.457142857142857,22.435897435897438
28,24,625,4,601,26.041666666666668,3.84
29,15,157,6,142,10.466666666666667,9.554140127388536
30,20,78,7,58,3.9,25.64102564102564
31,33,312,5,279,9.454545454545455,10.576923076923077
32,40,312,5,272,7.8,12.82051282051282
33,18,78,7,60,4.333333333333333,23.076923076923077
34,20,39,8,19,1.95,51.28205128205128
35,52,312,5,260,6.0,16.666666666666664
36,40,156,6,116,3.9,25.64102564102564
37,80,625,4,545,7.8125,12.8
38,91,312,5,221,3.4285714285714284,29.166666666666668
39,24,625,4,601,26.041666666666668,3.84
40,16,78,7,62,4.875,20.51282051282051
41,21,156,6,135,7.428571428571429,13.461538461538462
42,156,625,4,469,4.006410256410256,24.959999999999997
43,65,312,5,247,4.8,20.833333333333336
44,8,39,8,31,4.875,20.51282051282051
45,22,312,5,290,14.181818181818182,7.051282051282051
46,154,625,4,471,4.058441558441558,24.64
47,48,625,4,577,13.020833333333334,7.68
48,4,39,8,35,9.75,10.256410256410255
49,24,312,5,288,13.0,7.6923076923076925
50,72,156,6,84,2.1666666666666665,46.15384615384615
51,84,625,4,541,7.440476190476191,13.44
52,63,156,6,93,2.4761904761904763,40.38461538461539
53,27,156,6,129,5.777777777777778,17.307692307692307
54,48,156,6,108,3.25,30.76923076923077
55,66,312,5,246,4.7272727272727275,21.153846153846153
56,42,156,6,114,3.7142857142857144,26.923076923076923
57,24,313,5,289,13.041666666666666,7.667731629392971
58,72,625,4,553,8.680555555555555,11.52
59,14,78,7,64,5.571428571428571,17.94871794871795
60,100,156,6,56,1.56,64.1025641025641
61,32,625,4,593,19.53125,5.12
62,18,312,5,294,17.333333333333332,5.769230769230769
63,70,625,4,555,8.928571428571429,11.200000000000001
64,8,312,5,304,39.0,2.564102564102564
65,20,156,6,136,7.8,12.82051282051282
66,130,625,4,495,4.8076923076923075,20.8
67,49,312,5,263,6.36734693877551,15.705128205128204
68,16,156,6,140,9.75,10.256410256410255
69,39,625,4,586,16.025641025641026,6.239999999999999
70,12,78,7,66,6.5,15.384615384615385
71,132,625,4,493,4.734848484848484,21.12
72,52,625,4,573,12.01923076923077,8.32
73,6,78,7,72,13.0,7.6923076923076925
74,72,156,6,84,2.1666666666666665,46.15384615384615
75,121,313,5,192,2.5867768595041323,38.65814696485623
76,48,312,5,264,6.5,15.384615384615385
77,24,625,4,601,26.041666666666668,3.84
78,63,312,5,249,4.9523809523809526,20.192307692307693
79,80,625,4,545,7.8125,12.8
80,144,625,4,481,4.340277777777778,23.04
81,18,156,6,138,8.666666666666666,11.538461538461538
82,10,20,9,10,2.0,50.0
83,104,313,5,209,3.0096153846153846,33.22683706070288
84,60,625,4,565,10.416666666666666,9.6
85,3,39,8,36,13.0,7.6923076923076925
86,108,625,4,517,5.787037037037037,17.28
87,24,156,6,132,6.5,15.384615384615385
88,13,625,4,612,48.07692307692308,2.08
89,40,156,6,116,3.9,25.64102564102564
90,126,625,4,499,4.9603174603174605,20.16
91,78,313,5,235,4.012820512820513,24.920127795527154
92,54,312,5,258,5.777777777777778,17.307692307692307
93,88,625,4,537,7.1022727272727275,14.08
94,10,156,6,146,15.6,6.41025641025641
95,12,156,6,144,13.0,7.6923076923076925
96,72,312,5,240,4.333333333333333,23.076923076923077
97,36,156,6,120,4.333333333333333,23.076923076923077
98,14,78,7,64,5.571428571428571,17.94871794871795
99,21,157,6,136,7.476190476190476,13.375796178343949
100,91,312,5,221,3.4285714285714284,29.166666666666668
101,72,625,4,553,8.680555555555555,11.52
102,24,156,6,132,6.5,15.384615384615385
103,91,312,5,221,3.4285714285714284,29.166666666666668
104,98,625,4,527,6.377551020408164,15.68
