BRC Query,Data Size
"[71.02, 49.36, 95.01, 72.04]",552
"[73.2, 26.52, 88.42, 45.15]",285
"[46.38, 0.42, 64.74, 23.05]",414
"[59.35, 32.37, 75.05, 34.93]",32
"[19.93, 31.76, 29.99, 34.97]",30
"[22.76, 51.14, 46.06, 56.56]",120
"[34.01, 12.11, 42.13, 34.89]",176
"[58.56, 72.95, 71.52, 90.27]",234
"[52.38, 61.26, 54.67, 65.9]",8
"[65.49, 36.75, 79.73, 40.75]",56
"[4.64, 13.37, 22.63, 29.08]",288
"[41.34, 72.35, 48.14, 74.03]",14
"[70.84, 27.61, 88.56, 39.79]",216
"[24.81, 12.52, 41.59, 23.31]",187
"[4.64, 64.64, 22.08, 72.51]",144
"[29.96, 39.46, 40.07, 53.34]",154
"[55.27, 24.03, 70.31, 49.08]",375
"[8.29, 50.86, 11.62, 72.42]",66
"[71.7, 42.31, 82.11, 61.5]",209
"[38.66, 58.26, 46.53, 76.33]",144
"[65.13, 35.86, 67.91, 56.46]",42
"[7.81, 71.18, 28.36, 92.47]",441
"[3.41, 67.45, 6.08, 87.47]",60
"[67.8, 46.37, 75.81, 48.18]",16
"[33.59, 20.87, 48.05, 43.4]",345
"[51.84, 29.59, 62.36, 47.9]",198
"[21.39, 15.37, 33.26, 38.95]",276
"[45.74, 23.04, 49.36, 24.35]",4
"[26.48, 52.35, 43.23, 62.28]",170
"[58.64, 22.35, 68.07, 36.58]",140
"[41.38, 33.12, 67.02, 58.72]",650
"[45.6, 58.88, 49.55, 64.31]",24
"[32.36, 17.81, 36.0, 31.43]",56
"[22.02, 47.34, 24.74, 70.23]",46
"[10.77, 28.03, 16.05, 31.52]",18
"[25.01, 13.75, 44.91, 29.75]",304
"[21.65, 25.8, 41.99, 50.49]",500
"[73.25, 43.86, 83.12, 68.73]",250
"[18.06, 31.17, 25.63, 32.21]",7
"[17.61, 20.49, 41.33, 29.87]",216
"[49.94, 33.38, 58.54, 53.67]",180
"[5.44, 60.38, 22.35, 83.63]",391
"[71.93, 9.58, 81.88, 27.14]",180
"[62.84, 48.75, 86.67, 59.57]",264
"[23.63, 39.77, 33.12, 60.93]",210
"[25.34, 35.37, 50.73, 52.33]",425
"[24.68, 13.17, 50.24, 36.0]",598
"[67.51, 13.51, 76.1, 19.49]",54
"[34.28, 52.79, 47.38, 57.22]",65
"[64.92, 33.7, 75.65, 51.79]",198
"[38.31, 19.32, 40.8, 21.57]",4
"[35.44, 50.63, 44.46, 67.32]",153
"[63.39, 56.6, 65.84, 76.87]",40
"[49.05, 30.16, 59.86, 54.39]",240
"[34.86, 49.82, 42.23, 51.95]",16
"[1.75, 49.03, 4.56, 50.58]",3
"[71.04, 6.22, 72.17, 14.73]",8
"[13.68, 0.97, 24.49, 4.27]",44
"[67.58, 9.59, 76.61, 30.84]",189
"[62.59, 27.99, 74.95, 40.29]",156
"[26.49, 69.51, 41.06, 83.11]",210
"[50.49, 8.95, 52.22, 30.48]",44
"[41.51, 68.41, 45.14, 93.35]",100
"[61.42, 58.39, 82.85, 81.99]",483
"[15.48, 33.69, 36.68, 55.42]",462
"[4.0, 72.45, 14.29, 77.84]",55
"[40.22, 56.45, 65.23, 60.86]",100
"[21.17, 69.84, 37.49, 75.65]",96
"[45.13, 52.19, 54.75, 61.98]",81
"[42.1, 71.56, 61.75, 80.76]",171
"[35.49, 5.29, 36.67, 13.81]",8
"[71.19, 40.69, 73.54, 65.34]",50
"[43.15, 24.11, 46.9, 34.74]",30
"[69.25, 60.26, 77.11, 76.81]",128
"[23.82, 20.91, 45.92, 35.07]",330
"[26.34, 30.43, 50.27, 47.48]",408
"[29.16, 41.46, 41.12, 60.62]",228
"[0.82, 63.34, 13.51, 74.28]",143
"[40.13, 15.6, 56.86, 34.33]",304
"[35.66, 35.16, 50.1, 55.17]",300
"[0.37, 53.13, 2.5, 70.48]",34
"[27.26, 56.96, 36.13, 76.23]",180
"[22.18, 8.83, 28.58, 22.4]",84
"[33.14, 53.68, 49.65, 66.72]",208
"[62.65, 30.7, 85.78, 35.16]",115
"[34.11, 59.42, 43.92, 76.54]",153
"[33.21, 44.82, 34.33, 55.13]",11
"[50.9, 43.81, 76.27, 58.73]",390
"[35.2, 22.13, 52.41, 43.58]",357
"[62.89, 33.7, 65.13, 39.42]",18
"[11.08, 71.21, 16.28, 88.7]",85
"[28.91, 16.88, 45.82, 34.76]",306
"[29.0, 18.12, 35.53, 37.69]",133
"[13.64, 72.44, 35.42, 83.66]",242
"[9.05, 38.85, 19.7, 47.49]",90
"[60.42, 61.75, 70.47, 68.47]",70
"[53.8, 11.74, 77.59, 26.75]",360
"[44.53, 49.67, 65.85, 55.99]",126
"[70.68, 46.77, 94.77, 52.77]",144
"[20.38, 58.84, 36.93, 70.07]",192
"[4.19, 13.5, 29.01, 38.95]",625
"[48.66, 37.9, 49.86, 61.43]",24
"[25.14, 19.56, 33.2, 29.66]",80
"[49.13, 28.6, 60.41, 52.37]",264
"[19.24, 29.16, 31.03, 52.55]",276
"[3.76, 44.07, 19.04, 63.64]",304
"[30.06, 47.58, 37.27, 68.83]",147
"[9.8, 29.54, 23.87, 47.01]",252
"[6.09, 59.02, 23.19, 75.8]",272
"[71.61, 7.13, 79.5, 10.39]",24
"[32.11, 15.88, 34.85, 17.64]",4
"[59.65, 60.11, 71.25, 68.74]",96
"[53.09, 72.07, 69.09, 85.97]",208
"[71.97, 50.06, 86.36, 58.64]",120
"[69.99, 47.89, 75.26, 64.52]",102
"[27.91, 12.64, 46.19, 17.57]",95
"[72.93, 61.98, 78.4, 77.74]",96
"[67.71, 37.52, 75.15, 56.56]",152
"[22.17, 38.49, 34.29, 50.41]",144
"[3.89, 63.52, 18.43, 81.74]",270
"[36.99, 72.22, 42.96, 85.69]",78
"[17.71, 28.58, 25.49, 46.11]",144
"[25.57, 53.13, 46.63, 56.77]",63
"[71.93, 58.68, 84.63, 65.4]",91
"[29.18, 21.36, 46.31, 45.95]",408
"[9.92, 25.73, 32.67, 43.13]",414
"[36.54, 37.4, 44.14, 58.32]",168
"[5.71, 61.61, 11.25, 64.45]",18
"[8.39, 18.71, 11.59, 28.4]",30
"[0.25, 13.24, 1.44, 25.09]",12
"[21.48, 68.15, 46.22, 76.68]",200
