SRC Query,Depth,BBoxes,Data Size
"[65.77, 58.53, 86.25, 79.01]",3,"[64, 32, 96, 95]",2048
"[15.04, 15.12, 35.519999999999996, 35.6]",2,"[0, 0, 64, 64]",4096
"[103.58, 42.43, 124.06, 62.91]",4,"[96, 32, 127, 64]",1024
"[20.16, 26.34, 40.64, 46.82]",4,"[16, 16, 47, 47]",1024
"[28.32, 79.61, 48.8, 100.09]",2,"[0, 64, 64, 127]",4096
"[50.9, 81.52, 71.38, 102.0]",4,"[48, 80, 79, 111]",1024
"[102.69, 48.12, 123.17, 68.6]",4,"[96, 48, 127, 79]",1024
"[33.42, 38.56, 53.900000000000006, 59.040000000000006]",4,"[32, 32, 64, 64]",1024
"[70.16, 6.49, 90.64, 26.97]",4,"[64, 0, 96, 32]",1024
"[56.65, 105.24, 77.13, 125.72]",4,"[48, 96, 79, 127]",1024
"[33.39, 50.49, 53.870000000000005, 70.97]",4,"[32, 48, 64, 79]",1024
"[76.2, 34.78, 96.68, 55.260000000000005]",2,"[64, 0, 127, 64]",4096
"[20.97, 95.27, 41.45, 115.75]",3,"[16, 64, 47, 127]",2048
"[41.46, 21.45, 61.94, 41.93]",4,"[32, 16, 64, 47]",1024
"[54.02, 102.53, 74.5, 123.01]",4,"[48, 96, 79, 127]",1024
"[5.96, 85.0, 26.44, 105.48]",4,"[0, 80, 32, 111]",1024
"[73.61, 28.25, 94.09, 48.730000000000004]",3,"[64, 0, 96, 64]",2048
"[36.18, 0.57, 56.66, 21.05]",4,"[32, 0, 64, 32]",1024
"[62.91, 27.2, 83.39, 47.68]",2,"[32, 0, 95, 64]",4096
"[42.33, 33.53, 62.81, 54.010000000000005]",4,"[32, 32, 64, 64]",1024
"[88.45, 81.27, 108.93, 101.75]",4,"[80, 80, 111, 111]",1024
"[85.36, 84.63, 105.84, 105.11]",4,"[80, 80, 111, 111]",1024
"[88.77, 3.86, 109.25, 24.34]",4,"[80, 0, 111, 32]",1024
"[75.03, 102.38, 95.51, 122.86]",4,"[64, 96, 96, 127]",1024
"[100.53, 41.4, 121.01, 61.879999999999995]",4,"[96, 32, 127, 64]",1024
"[47.03, 34.48, 67.51, 54.959999999999994]",2,"[32, 0, 95, 64]",4096
"[45.24, 26.58, 65.72, 47.06]",2,"[32, 0, 95, 64]",4096
"[6.3, 70.71, 26.78, 91.19]",4,"[0, 64, 32, 96]",1024
"[59.02, 67.35, 79.5, 87.83]",2,"[32, 64, 95, 127]",4096
"[44.63, 0, 65.11, 20.12]",2,"[32, 0, 95, 64]",4096
"[82.58, 47.61, 103.06, 68.09]",3,"[80, 32, 111, 95]",2048
"[95.64, 81.17, 116.12, 101.65]",2,"[64, 64, 127, 127]",4096
"[18.73, 18.9, 39.21, 39.379999999999995]",4,"[16, 16, 47, 47]",1024
"[57.58, 60.44, 78.06, 80.92]",3,"[48, 32, 79, 95]",2048
"[63.17, 68.49, 83.65, 88.97]",2,"[32, 64, 95, 127]",4096
"[68.4, 39.64, 88.88000000000001, 60.120000000000005]",4,"[64, 32, 96, 64]",1024
"[94.47, 102.74, 114.95, 123.22]",2,"[64, 64, 127, 127]",4096
"[69.7, 29.55, 90.18, 50.03]",3,"[64, 0, 96, 64]",2048
"[88.1, 45.81, 108.58, 66.29]",3,"[80, 32, 111, 95]",2048
