SRC Query,Depth,BBoxes,Data Size
"[2.32, 8.48, 6.03, 10.3]",2,"[1, 8, 8, 15]",56
"[5.86, 7.39, 8.3, 10.91]",2,"[4, 4, 11, 11]",57
"[1.92, 9.19, 3.01, 11.57]",4,"[1, 8, 4, 12]",12
"[8.47, 5.36, 9.48, 8.67]",3,"[8, 4, 12, 11]",28
"[3.24, 9.83, 7.26, 10.93]",2,"[1, 8, 8, 15]",56
"[1.25, 10.2, 3.98, 12.42]",4,"[1, 10, 4, 13]",12
"[3.12, 1.28, 5.47, 2.99]",2,"[1, 1, 8, 8]",49
"[5.29, 3.28, 7.88, 5.02]",3,"[4, 1, 8, 8]",28
"[3.14, 3.84, 5.61, 4.91]",2,"[1, 1, 8, 8]",49
"[9.21, 7.29, 11.99, 8.88]",4,"[8, 6, 12, 9]",14
"[10.73, 2.18, 14.48, 4.24]",2,"[8, 1, 15, 8]",56
"[8.07, 10.18, 11.35, 12.53]",4,"[8, 10, 12, 13]",16
"[9.13, 3.97, 12.27, 6.85]",2,"[8, 1, 15, 8]",56
"[9.65, 5.95, 13.36, 8.83]",2,"[8, 4, 15, 11]",60
"[1.34, 8.81, 3.12, 11.14]",4,"[1, 8, 4, 12]",12
"[2.7, 7.89, 5.46, 11.05]",1,"[1, 1, 8, 15]",105
"[4.67, 5.98, 7.07, 9.47]",3,"[4, 4, 8, 11]",32
"[6.11, 5.8, 8.37, 6.89]",4,"[6, 4, 9, 8]",16
"[1.43, 10.64, 4.68, 13.54]",2,"[1, 8, 8, 15]",56
"[4.86, 5.92, 6.41, 10.06]",3,"[4, 4, 8, 11]",32
"[8.55, 9.43, 11.28, 11.17]",4,"[8, 8, 12, 12]",16
"[6.03, 6.66, 10.08, 9.13]",2,"[4, 4, 11, 11]",57
"[3.64, 10.38, 6.39, 11.4]",2,"[1, 8, 8, 15]",56
"[8.68, 9.68, 12.31, 13.05]",2,"[8, 8, 15, 15]",64
"[8.93, 6.5, 11.59, 8.86]",4,"[8, 6, 12, 9]",14
"[1.55, 6.59, 5.33, 8.23]",2,"[1, 4, 8, 11]",53
"[5.95, 4.5, 8.5, 6.61]",2,"[4, 1, 11, 8]",49
"[6.28, 7.0, 9.28, 9.47]",2,"[4, 4, 11, 11]",57
"[1.27, 2.74, 3.0, 5.61]",3,"[1, 1, 4, 8]",21
"[9.44, 8.81, 13.0, 12.42]",2,"[8, 8, 15, 15]",64
"[3.5, 7.6, 7.19, 8.87]",2,"[1, 4, 8, 11]",53
"[1.16, 8.4, 2.21, 10.2]",4,"[1, 8, 4, 12]",12
"[2.07, 4.38, 5.07, 5.6]",2,"[1, 1, 8, 8]",49
"[2.56, 2.65, 5.25, 4.52]",2,"[1, 1, 8, 8]",49
"[7.97, 4.16, 10.43, 6.68]",2,"[4, 1, 11, 8]",49
"[1.23, 5.13, 3.47, 6.73]",4,"[1, 4, 4, 8]",12
"[2.07, 6.0, 5.95, 7.67]",2,"[1, 1, 8, 8]",49
"[6.94, 1.2, 10.55, 2.26]",2,"[4, 1, 11, 8]",49
"[2.44, 2.57, 5.74, 5.82]",2,"[1, 1, 8, 8]",49
"[7.65, 3.16, 10.39, 7.28]",2,"[4, 1, 11, 8]",49
"[8.82, 3.19, 11.47, 6.27]",3,"[8, 1, 12, 8]",28
"[4.87, 4.15, 7.71, 7.17]",4,"[4, 4, 8, 8]",16
"[1.58, 10.49, 3.54, 14.29]",3,"[1, 8, 4, 15]",24
"[4.0, 4.04, 7.75, 8.05]",3,"[4, 4, 8, 11]",32
"[8.29, 3.47, 10.62, 4.5]",4,"[8, 2, 12, 5]",14
"[9.61, 9.03, 10.73, 13.11]",3,"[8, 8, 12, 15]",32
"[6.59, 9.5, 8.14, 13.62]",3,"[6, 8, 9, 15]",32
"[7.9, 4.7, 10.53, 6.81]",2,"[4, 1, 11, 8]",49
"[3.02, 5.24, 6.18, 6.86]",2,"[1, 1, 8, 8]",49
"[2.02, 3.9, 5.15, 6.5]",2,"[1, 1, 8, 8]",49
"[4.19, 9.82, 7.98, 10.88]",4,"[4, 8, 8, 12]",16
"[2.97, 10.67, 5.02, 14.17]",2,"[1, 8, 8, 15]",56
"[4.32, 7.61, 6.0, 11.29]",1,"[1, 1, 8, 15]",105
"[10.14, 9.65, 12.24, 12.85]",3,"[10, 8, 13, 15]",32
"[5.75, 3.3, 9.9, 6.62]",2,"[4, 1, 11, 8]",49
"[1.83, 9.93, 3.37, 11.61]",4,"[1, 8, 4, 12]",12
"[8.44, 9.24, 11.36, 11.42]",4,"[8, 8, 12, 12]",16
"[4.33, 9.5, 6.26, 12.43]",3,"[4, 8, 8, 15]",32
"[10.35, 2.33, 14.19, 5.09]",2,"[8, 1, 15, 8]",56
"[2.02, 1.72, 3.15, 5.49]",3,"[1, 1, 4, 8]",21
"[8.72, 4.34, 12.37, 7.31]",2,"[8, 1, 15, 8]",56
"[8.66, 6.59, 10.87, 8.31]",4,"[8, 6, 12, 9]",14
"[1.8, 9.73, 3.65, 12.54]",3,"[1, 8, 4, 15]",24
"[10.07, 3.72, 12.53, 7.24]",3,"[10, 1, 13, 8]",28
"[9.11, 7.57, 10.15, 8.86]",4,"[8, 6, 12, 9]",14
"[2.13, 1.39, 5.96, 3.16]",2,"[1, 1, 8, 8]",49
"[10.68, 2.13, 13.03, 3.67]",2,"[8, 1, 15, 8]",56
"[3.37, 2.01, 6.75, 5.92]",2,"[1, 1, 8, 8]",49
"[4.71, 9.91, 8.81, 11.85]",2,"[4, 8, 11, 15]",64
"[3.48, 1.98, 6.01, 5.07]",2,"[1, 1, 8, 8]",49
"[1.39, 10.63, 2.42, 12.58]",4,"[1, 10, 4, 13]",12
"[6.85, 4.07, 9.29, 5.27]",2,"[4, 1, 11, 8]",49
"[9.95, 10.5, 14.05, 11.86]",2,"[8, 8, 15, 15]",64
"[3.11, 10.6, 6.09, 13.34]",2,"[1, 8, 8, 15]",56
"[7.74, 3.54, 10.86, 6.27]",2,"[4, 1, 11, 8]",49
"[4.01, 1.8, 5.8, 3.7]",5,"[4, 1, 6, 4]",6
"[10.64, 7.39, 13.07, 10.45]",2,"[8, 4, 15, 11]",60
"[10.22, 4.01, 12.47, 6.06]",4,"[10, 4, 13, 8]",16
"[4.1, 9.76, 7.81, 11.73]",4,"[4, 8, 8, 12]",16
"[4.28, 6.67, 7.02, 9.58]",3,"[4, 4, 8, 11]",32
"[3.4, 3.39, 4.47, 4.62]",4,"[2, 2, 5, 5]",13
"[6.4, 1.74, 7.63, 4.77]",3,"[4, 1, 8, 8]",28
"[3.85, 5.83, 7.38, 9.59]",2,"[1, 4, 8, 11]",53
"[2.51, 8.79, 5.11, 10.04]",2,"[1, 8, 8, 15]",56
"[10.3, 8.61, 11.85, 12.76]",3,"[8, 8, 12, 15]",32
"[9.05, 2.05, 11.07, 4.7]",4,"[8, 2, 12, 5]",14
"[10.01, 9.76, 11.95, 11.21]",5,"[10, 8, 12, 12]",8
"[9.92, 4.1, 11.02, 7.99]",4,"[8, 4, 12, 8]",16
"[8.88, 9.24, 12.78, 12.63]",2,"[8, 8, 15, 15]",64
"[7.76, 5.24, 9.33, 6.75]",2,"[4, 1, 11, 8]",49
"[8.01, 3.48, 11.15, 4.69]",4,"[8, 2, 12, 5]",14
"[10.44, 6.38, 14.03, 9.11]",2,"[8, 4, 15, 11]",60
"[9.34, 4.88, 11.79, 6.96]",4,"[8, 4, 12, 8]",16
"[3.53, 7.34, 4.61, 9.67]",3,"[2, 4, 5, 11]",27
"[6.59, 4.48, 7.79, 5.92]",6,"[6, 4, 8, 6]",4
"[2.23, 9.12, 4.06, 11.39]",4,"[2, 8, 5, 12]",12
"[4.93, 3.29, 7.89, 4.31]",4,"[4, 2, 8, 5]",14
"[6.18, 7.36, 8.78, 9.76]",3,"[6, 4, 9, 11]",29
"[7.73, 3.34, 11.07, 5.92]",0,"[1, 1, 15, 15]",225
"[5.69, 5.04, 7.41, 7.83]",4,"[4, 4, 8, 8]",16
"[9.89, 3.7, 13.83, 6.77]",2,"[8, 1, 15, 8]",56
