,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,2,16,4,14,8.0,12.5
1,1,6,5,5,6.0,16.666666666666664
2,2,9,4,7,4.5,22.22222222222222
3,2,9,4,7,4.5,22.22222222222222
4,2,15,4,13,7.5,13.333333333333334
5,2,12,4,10,6.0,16.666666666666664
6,1,4,6,3,4.0,25.0
7,1,8,5,7,8.0,12.5
8,2,16,4,14,8.0,12.5
9,1,12,4,11,12.0,8.333333333333332
10,1,4,6,3,4.0,25.0
11,4,16,4,12,4.0,25.0
12,1,16,4,15,16.0,6.25
13,1,6,5,5,6.0,16.666666666666664
14,2,16,4,14,8.0,12.5
15,2,16,4,14,8.0,12.5
16,4,12,4,8,3.0,33.33333333333333
17,2,8,5,6,4.0,25.0
18,1,8,5,7,8.0,12.5
19,2,8,5,6,4.0,25.0
20,1,12,4,11,12.0,8.333333333333332
21,4,16,4,12,4.0,25.0
22,2,16,4,14,8.0,12.5
23,1,12,4,11,12.0,8.333333333333332
24,1,8,5,7,8.0,12.5
25,4,56,2,52,14.0,7.142857142857142
26,1,16,4,15,16.0,6.25
27,4,60,2,56,15.0,6.666666666666667
28,2,12,4,10,6.0,16.666666666666664
29,1,8,5,7,8.0,12.5
30,1,14,4,13,14.0,7.142857142857142
31,2,8,5,6,4.0,25.0
32,1,8,5,7,8.0,12.5
33,4,13,4,9,3.25,30.76923076923077
34,2,9,4,7,4.5,22.22222222222222
35,2,6,5,4,3.0,33.33333333333333
36,4,15,4,11,3.75,26.666666666666668
37,4,15,4,11,3.75,26.666666666666668
38,4,16,4,12,4.0,25.0
39,1,16,4,15,16.0,6.25
40,2,16,4,14,8.0,12.5
41,2,16,4,14,8.0,12.5
42,4,64,2,60,16.0,6.25
43,2,8,5,6,4.0,25.0
44,1,16,4,15,16.0,6.25
45,2,6,5,4,3.0,33.33333333333333
46,4,60,2,56,15.0,6.666666666666667
47,2,64,2,62,32.0,3.125
48,1,9,4,8,9.0,11.11111111111111
49,2,32,3,30,16.0,6.25
50,2,49,2,47,24.5,4.081632653061225
51,2,16,4,14,8.0,12.5
52,1,14,4,13,14.0,7.142857142857142
53,4,12,4,8,3.0,33.33333333333333
54,2,14,4,12,7.0,14.285714285714285
55,1,16,4,15,16.0,6.25
56,4,28,3,24,7.0,14.285714285714285
57,2,12,4,10,6.0,16.666666666666664
58,2,14,4,12,7.0,14.285714285714285
59,2,16,4,14,8.0,12.5
60,2,64,2,62,32.0,3.125
61,2,16,4,14,8.0,12.5
62,2,21,3,19,10.5,9.523809523809524
63,2,16,4,14,8.0,12.5
64,2,8,5,6,4.0,25.0
65,1,12,4,11,12.0,8.333333333333332
66,4,16,4,12,4.0,25.0
67,1,4,6,3,4.0,25.0
68,1,8,5,7,8.0,12.5
69,2,64,2,62,32.0,3.125
70,1,8,5,7,8.0,12.5
71,4,16,4,12,4.0,25.0
72,2,56,2,54,28.0,3.571428571428571
73,1,16,4,15,16.0,6.25
74,4,16,4,12,4.0,25.0
75,4,16,4,12,4.0,25.0
76,2,8,5,6,4.0,25.0
77,2,12,4,10,6.0,16.666666666666664
78,4,56,2,52,14.0,7.142857142857142
79,4,16,4,12,4.0,25.0
80,1,8,5,7,8.0,12.5
81,1,12,4,11,12.0,8.333333333333332
82,1,4,6,3,4.0,25.0
83,2,8,5,6,4.0,25.0
84,2,16,4,14,8.0,12.5
85,1,12,4,11,12.0,8.333333333333332
86,4,16,4,12,4.0,25.0
87,2,8,5,6,4.0,25.0
88,2,64,2,62,32.0,3.125
89,4,49,2,45,12.25,8.16326530612245
90,4,49,2,45,12.25,8.16326530612245
91,4,13,4,9,3.25,30.76923076923077
92,2,15,4,13,7.5,13.333333333333334
93,2,12,4,10,6.0,16.666666666666664
94,2,16,4,14,8.0,12.5
95,2,16,4,14,8.0,12.5
96,2,16,4,14,8.0,12.5
97,2,14,4,12,7.0,14.285714285714285
98,1,8,5,7,8.0,12.5
99,2,14,4,12,7.0,14.285714285714285
100,2,16,4,14,8.0,12.5
101,2,56,2,54,28.0,3.571428571428571
102,2,11,4,9,5.5,18.181818181818183
103,4,16,4,12,4.0,25.0
104,2,16,4,14,8.0,12.5
105,2,28,3,26,14.0,7.142857142857142
106,1,16,4,15,16.0,6.25
107,4,16,4,12,4.0,25.0
108,2,8,5,6,4.0,25.0
109,2,16,4,14,8.0,12.5
110,1,16,4,15,16.0,6.25
111,2,8,5,6,4.0,25.0
112,2,28,3,26,14.0,7.142857142857142
113,2,16,4,14,8.0,12.5
114,1,4,6,3,4.0,25.0
115,2,16,4,14,8.0,12.5
116,1,8,5,7,8.0,12.5
117,4,16,4,12,4.0,25.0
118,1,12,4,11,12.0,8.333333333333332
119,2,9,4,7,4.5,22.22222222222222
120,2,12,4,10,6.0,16.666666666666664
121,2,8,5,6,4.0,25.0
122,2,14,4,12,7.0,14.285714285714285
123,2,28,3,26,14.0,7.142857142857142
124,1,4,6,3,4.0,25.0
125,2,11,4,9,5.5,18.181818181818183
126,4,14,4,10,3.5,28.57142857142857
127,2,6,5,4,3.0,33.33333333333333
128,1,4,6,3,4.0,25.0
129,2,11,4,9,5.5,18.181818181818183
130,1,8,5,7,8.0,12.5
131,4,56,2,52,14.0,7.142857142857142
