BRC Query,Data Size
"[1.0048795340588936, 8.991257853697006, 5.804879534058894, 13.791257853697005]",20
"[8.054275732538077, 2.356773088281523, 12.854275732538078, 7.156773088281523]",20
"[5.048872975429738, 4.534299925633866, 9.848872975429739, 9.334299925633866]",20
"[6.797841294494945, 8.333701532717747, 11.597841294494945, 13.133701532717748]",25
"[0.5512273718714307, 0, 5.35122737187143, 4.61749173704647]",25
"[8.86056916390254, 4.346991160536597, 13.66056916390254, 9.146991160536597]",25
"[8.03753692352895, 0, 12.837536923528951, 4.32358779753244]",20
"[4.4883365734137755, 7.581248362216764, 9.288336573413776, 12.381248362216763]",25
"[2.0621368782290697, 10.087031790203929, 6.8621368782290695, 14.887031790203928]",16
"[9.595987525248615, 0, 14.395987525248614, 4.642607809975799]",25
"[0, 5.563819695287162, 4.584993643126761, 10.363819695287162]",25
"[10.018470623119319, 3.7694874621079792, 14.818470623119318, 8.569487462107979]",20
"[1.9259132478628698, 4.2277056465264335, 6.72591324786287, 9.027705646526433]",25
"[0, 1.9829466622579925, 4.625256820838521, 6.782946662257992]",25
"[4.4043410488864065, 5.053097103476727, 9.204341048886405, 9.853097103476728]",20
"[2.110545842884813, 2.085705265259024, 6.910545842884813, 6.885705265259023]",16
"[1.9503476181821124, 4.647558816262616, 6.750347618182112, 9.447558816262616]",25
"[2.745554083413438, 0, 7.545554083413438, 4.540684698978179]",25
"[8.880873327420815, 5.732288413707254, 13.680873327420816, 10.532288413707253]",25
"[6.69369686484339, 1.582150178020838, 11.49369686484339, 6.382150178020838]",25
"[10.616486216371928, 9.131401122507246, 15, 13.931401122507246]",20
"[0.8539675498250316, 3.2261860760334455, 5.6539675498250315, 8.026186076033445]",25
"[7.5806253649326045, 7.465347820587131, 12.380625364932605, 12.265347820587131]",25
"[9.988134572153948, 4.22759839956785, 14.788134572153947, 9.02759839956785]",25
"[8.796399764672461, 7.007422343837595, 13.596399764672462, 11.807422343837594]",20
"[2.8977273224486773, 6.080902788807865, 7.697727322448677, 10.880902788807866]",20
"[9.383764809316805, 8.977411086397103, 14.183764809316806, 13.777411086397102]",25
"[5.1591787904915245, 6.0968252894045785, 9.959178790491524, 10.896825289404578]",16
"[0, 2.2186877036823573, 4.686689297695025, 7.018687703682357]",25
"[8.43092757260819, 4.140316792168671, 13.230927572608191, 8.940316792168671]",20
"[1.4376828976853702, 5.646546127547313, 6.23768289768537, 10.446546127547313]",25
"[7.374056535135072, 7.054241301626065, 12.174056535135072, 11.854241301626065]",20
"[3.696673829618371, 4.416370256499107, 8.49667382961837, 9.216370256499108]",25
