SRC Query,Depth,BBoxes,Data Size
"[6.212356274613747, 10.148822308959158, 8.452356274613747, 12.388822308959158]",4,"[6, 10, 9, 13]",16
"[9.800350763271299, 2.8208822163022416, 12.040350763271299, 5.060882216302241]",2,"[8, 0, 15, 7]",64
"[3.693507882133706, 9.052463244376439, 5.933507882133706, 11.292463244376439]",2,"[0, 8, 7, 15]",64
"[2.062887571620579, 4.530730541117071, 4.3028875716205786, 6.7707305411170715]",4,"[2, 4, 5, 7]",16
"[4.999940272076673, 0.67787771808212, 7.239940272076673, 2.9178777180821203]",2,"[4, 0, 11, 7]",64
"[12.590309873027875, 10.439717640468562, 14.830309873027876, 12.679717640468562]",4,"[12, 10, 15, 13]",16
"[8.08214335794566, 1.4258096714102988, 10.32214335794566, 3.6658096714102992]",3,"[8, 0, 11, 7]",32
"[12.204452907357497, 9.635037112365744, 14.444452907357498, 11.875037112365744]",3,"[12, 8, 15, 15]",32
"[0.3748181327660043, 0.13016501020437576, 2.6148181327660045, 2.370165010204376]",4,"[0, 0, 3, 3]",16
"[0.7159198362759609, 12.768122078198084, 2.955919836275961, 15]",4,"[0, 12, 3, 15]",16
"[10.361806779293834, 0.1729063847534933, 12.601806779293835, 2.4129063847534935]",4,"[10, 0, 13, 3]",16
"[6.452422772913932, 4.34922639917042, 8.692422772913933, 6.58922639917042]",4,"[6, 4, 9, 7]",16
"[8.84578666094342, 4.409592029378823, 11.08578666094342, 6.649592029378823]",2,"[8, 0, 15, 7]",64
"[1.960488460200231, 2.760941439377201, 4.200488460200232, 5.000941439377201]",2,"[0, 0, 7, 7]",64
"[7.903624387000717, 3.5838574088014017, 10.143624387000717, 5.823857408801402]",2,"[4, 0, 11, 7]",64
"[4.3006855833138165, 9.88724702211155, 6.540685583313817, 12.12724702211155]",3,"[4, 8, 7, 15]",32
"[5.957101114773429, 7.183778785880203, 8.197101114773428, 9.423778785880202]",2,"[4, 4, 11, 11]",64
"[12.809467279803245, 11.116161354790407, 15, 13.356161354790407]",3,"[12, 8, 15, 15]",32
"[9.527288405015053, 0.7475993238949392, 11.767288405015053, 2.9875993238949397]",2,"[8, 0, 15, 7]",64
"[11.119324260135718, 7.329091266579879, 13.359324260135718, 9.569091266579878]",2,"[8, 4, 15, 11]",64
"[0.8255139850614164, 7.509354958390821, 3.0655139850614166, 9.749354958390821]",2,"[0, 4, 7, 11]",64
"[12.709088715063338, 7.7168637990167745, 14.949088715063338, 9.956863799016775]",3,"[12, 4, 15, 11]",32
"[13.181498725702985, 4.214835927470754, 15, 6.4548359274707545]",4,"[12, 4, 15, 7]",16
"[11.88123239630445, 2.101623799899098, 14.12123239630445, 4.341623799899098]",2,"[8, 0, 15, 7]",64
"[12.795758955197181, 0.9604674289812629, 15, 3.200467428981263]",3,"[12, 0, 15, 7]",32
"[11.049880373295224, 7.379483217152476, 13.289880373295224, 9.619483217152476]",2,"[8, 4, 15, 11]",64
"[4.738352628500568, 6.798827815789107, 6.978352628500568, 9.038827815789107]",3,"[4, 4, 7, 11]",32
"[4.0892166203588385, 11.352300974500222, 6.329216620358839, 13.592300974500223]",3,"[4, 8, 7, 15]",32
"[10.593306332550627, 0.4457598803555183, 12.833306332550627, 2.6857598803555183]",4,"[10, 0, 13, 3]",16
"[3.5410300328945086, 11.4025888502125, 5.781030032894509, 13.6425888502125]",2,"[0, 8, 7, 15]",64
"[6.6672020431473324, 3.2039178637769936, 8.907202043147333, 5.443917863776994]",3,"[6, 0, 9, 7]",32
