,DAG,KD
0,4,2
1,4,2
2,4,2
3,5,3
4,4,2
5,4,0
6,4,4
7,4,2
8,4,2
9,4,0
10,4,2
11,4,4
12,4,2
13,5,5
14,4,3
15,5,5
16,4,2
17,4,0
18,4,2
19,4,0
20,4,4
21,4,0
22,4,4
23,5,3
24,5,2
25,4,1
26,4,0
27,4,2
28,4,4
29,4,0
30,4,3
31,4,0
32,4,2
33,4,2
34,5,3
35,4,2
36,4,4
37,5,4
38,4,4
39,4,2
40,4,4
41,4,4
42,4,4
43,4,2
44,4,1
45,4,1
46,5,5
47,4,2
48,4,0
49,4,3
50,4,0
51,4,3
52,5,3
53,4,4
54,4,2
55,4,2
56,4,4
57,4,2
58,4,3
59,4,3
60,4,2
61,4,2
62,4,4
63,4,4
64,4,4
65,4,0
66,4,4
67,4,4
68,4,1
69,4,0
70,5,3
71,4,2
72,4,2
73,4,0
74,4,4
75,4,2
76,4,2
77,4,4
78,4,3
79,4,4
80,4,1
81,5,5
82,4,0
83,4,1
84,6,6
85,4,3
86,4,4
87,4,4
88,4,4
89,4,0
90,4,4
91,4,4
92,4,2
93,5,5
94,4,4
95,5,5
96,4,4
97,4,2
98,4,4
99,4,4
100,4,4
101,4,2
102,4,2
103,4,4
104,4,0
105,4,4
106,4,4
107,4,4
108,4,4
109,4,0
110,5,1
111,4,2
112,4,4
113,4,2
114,4,2
115,4,3
116,4,1
117,4,0
118,5,5
119,4,2
120,5,5
121,4,0
122,4,0
123,4,1
124,4,3
125,5,5
126,4,2
127,4,2
128,4,2
129,4,1
130,4,1
131,4,4
132,5,5
133,4,4
134,4,3
135,4,4
136,4,4
137,4,1
138,4,4
139,4,2
140,5,5
141,4,2
142,4,3
143,4,0
144,4,1
145,4,1
146,4,1
147,6,6
148,4,4
149,4,2
150,4,0
151,4,1
152,4,2
153,4,0
154,4,1
155,4,3
156,5,1
157,4,1
158,4,2
159,4,0
160,4,0
161,4,4
162,4,2
163,4,4
164,4,2
165,4,4
166,4,3
167,4,0
168,4,4
169,4,2
170,4,3
171,4,1
172,4,4
173,4,0
174,4,4
175,4,3
176,4,4
177,4,3
178,4,2
179,5,5
180,4,4
181,4,2
182,4,1
183,4,1
184,4,3
185,4,4
186,4,2
187,4,3
188,4,2
189,4,0
190,4,4
191,5,3
192,4,0
193,4,4
194,5,5
195,4,4
196,4,4
197,4,4
198,4,2
199,4,1
200,4,1
201,4,3
202,5,4
203,4,2
204,4,1
205,4,2
206,4,3
207,4,2
208,4,2
209,4,0
210,4,4
211,4,4
212,4,2
213,4,1
214,4,3
215,4,1
