BRC Query,Data Size
"[6.681644, 5.951627, 10.841644, 10.111627]",20
"[1.566979, 1.574329, 5.726979, 5.734329]",16
"[10.493649, 4.328033, 14.653649, 8.488033]",16
"[2.083065, 2.705965, 6.243065, 6.865965]",16
"[2.905497, 8.076142, 7.065497, 12.236142]",20
"[5.18173, 8.269536, 9.34173, 12.429536]",16
"[10.403412, 4.901765, 14.563412, 9.061765]",20
"[3.419632, 3.937564, 7.579632, 8.097564]",20
"[7.123759, 0.704293, 11.283759, 4.864293]",16
"[5.761415, 10.660199, 9.921415, 14.820199]",16
"[3.416857, 5.140745, 7.576857, 9.300745]",16
"[7.733185, 3.556696, 11.893185, 7.716696]",16
"[2.164605, 9.654881, 6.324605, 13.814881]",16
"[4.229982, 2.212789, 8.389982, 6.372789]",16
"[5.496906, 10.387151, 9.656906, 14.547151]",16
"[0.651232, 8.619966, 4.811232, 12.779966]",16
"[7.471902, 2.898395, 11.631902, 7.058395]",20
"[3.697727, 0.108116, 7.857727, 4.268116]",16
"[6.393389, 2.792744, 10.553389, 6.952744]",16
"[4.318072, 3.430757, 8.478072, 7.590757]",16
"[8.96782, 8.244083, 13.12782, 12.404083]",20
"[8.656105, 8.582579, 12.816105, 12.742579]",16
"[8.999676, 0.439143, 13.159676, 4.599143]",20
"[7.614676, 10.371837, 11.774676, 14.531837]",16
"[10.185865, 4.223816, 14.345865, 8.383816]",16
"[4.792152, 3.526314, 8.952152, 7.686314]",16
"[4.611897, 2.730619, 8.771897, 6.890619]",16
"[0.685297, 7.179438, 4.845297, 11.339438]",16
"[6.000878, 6.840283, 10.160878, 11.000283]",20
"[4.550268, 0.014283, 8.710268, 4.174283]",16
"[8.376248, 4.850781, 12.536248, 9.010781]",20
"[9.69251, 8.233425, 13.85251, 12.393425]",16
"[1.939225, 1.955627, 6.099225, 6.115627]",25
"[5.855237, 6.144082, 10.015237, 10.304082]",20
"[6.419299, 6.955192, 10.579299, 11.115192]",20
"[6.945918, 4.047208, 11.105918, 8.207208]",20
"[9.575043, 10.408471, 13.735043, 14.568471]",16
"[7.077502, 3.029974, 11.237502, 7.189974]",16
"[8.932754, 4.668488, 13.092754, 8.828488]",20
"[7.927022, 1.426959, 12.087022, 5.586959]",20
"[4.827468, 6.500129, 8.987468, 10.660129]",16
"[9.52251, 7.391616, 13.68251, 11.551616]",16
"[4.577078, 4.629972, 8.737078, 8.789972]",16
"[6.491135, 3.073391, 10.651135, 7.233391]",16
"[5.134544, 6.874992, 9.294544, 11.034992]",20
"[0.432532, 3.267394, 4.592532, 7.427394]",16
"[8.799702, 0.275308, 12.959702, 4.435308]",16
"[7.030993, 7.051498, 11.190993, 11.211498]",16
"[4.936612, 0.577267, 9.096612, 4.737267]",20
"[6.038915, 4.140998, 10.198915, 8.300998]",16
"[8.29168, 10.211608, 12.45168, 14.371608]",16
"[8.46773, 7.417715, 12.62773, 11.577715]",16
"[1.710865, 10.611944, 5.870865, 14.771944]",16
"[5.661121, 3.481715, 9.821121, 7.641715]",16
"[5.644843, 5.992938, 9.804843, 10.152938]",20
"[4.593722, 9.001117, 8.753722, 13.161117]",16
"[8.196625, 3.186721, 12.356625, 7.346721]",16
"[9.287494, 9.923207, 13.447494, 14.083207]",20
"[5.377379, 3.257489, 9.537379, 7.417489]",16
"[10.774344, 1.822499, 14.934344, 5.982499]",16
"[0.658405, 0.503138, 4.818405, 4.663138]",16
"[2.41141, 7.990838, 6.57141, 12.150838]",20
"[3.158691, 0.855418, 7.318691, 5.015418]",20
"[1.146714, 3.543832, 5.306714, 7.703832]",16
"[4.196438, 9.526509, 8.356438, 13.686509]",16
"[2.248593, 6.047041, 6.408593, 10.207041]",16
"[9.152543, 5.872128, 13.312543, 10.032128]",20
"[9.533033, 10.375723, 13.693033, 14.535723]",16
"[0.533223, 3.061981, 4.693223, 7.221981]",16
"[2.307864, 1.309706, 6.467864, 5.469706]",16
"[2.361772, 7.864703, 6.521772, 12.024703]",20
"[10.814261, 5.837046, 14.974261, 9.997046]",16
"[7.352712, 1.478092, 11.512712, 5.638092]",16
"[5.54776, 0.601458, 9.70776, 4.761458]",16
"[5.811177, 5.779407, 9.971177, 9.939407]",16
"[10.402672, 2.509356, 14.562672, 6.669356]",16
"[6.522313, 5.623169, 10.682313, 9.783169]",16
"[10.247232, 0.24689, 14.407232, 4.40689]",16
"[6.031614, 1.423198, 10.191614, 5.583198]",16
"[8.598547, 6.754374, 12.758547, 10.914374]",16
"[5.904916, 10.49825, 10.064916, 14.65825]",20
"[0.619889, 8.194971, 4.779889, 12.354971]",16
"[1.263781, 3.718081, 5.423781, 7.878081]",16
"[8.271332, 5.956174, 12.431332, 10.116174]",20
"[8.864431, 0.311865, 13.024431, 4.471865]",20
"[5.859834, 1.631404, 10.019834, 5.791404]",20
"[7.727271, 7.970188, 11.887271, 12.130188]",20
"[7.472866, 0.994588, 11.632866, 5.154588]",20
"[1.728556, 10.222733, 5.888556, 14.382733]",16
"[4.070996, 3.617882, 8.230996, 7.777882]",16
"[0.318779, 4.550558, 4.478779, 8.710558]",16
"[9.902001, 8.933802, 14.062001, 13.093802]",25
"[1.965834, 6.555709, 6.125834, 10.715709]",20
"[8.121287, 0.728642, 12.281287, 4.888642]",16
"[8.756685, 10.169461, 12.916685, 14.329461]",16
"[5.896409, 4.821753, 10.056409, 8.981753]",20
"[10.244294, 9.255973, 14.404294, 13.415973]",16
"[7.158662, 9.327148, 11.318662, 13.487148]",16
"[0.819496, 1.383332, 4.979496, 5.543332]",16
"[9.11553, 2.879287, 13.27553, 7.039287]",20
"[4.757973, 9.103225, 8.917973, 13.263225]",16
"[7.058788, 7.504838, 11.218788, 11.664838]",16
"[7.606567, 2.472053, 11.766567, 6.632053]",16
"[10.630537, 5.352683, 14.790537, 9.512683]",16
"[9.154034, 6.491044, 13.314034, 10.651044]",16
"[0.33532, 3.467222, 4.49532, 7.627222]",16
"[2.8511, 6.306513, 7.0111, 10.466513]",20
"[4.20402, 3.512788, 8.36402, 7.672788]",16
"[10.349984, 2.2711, 14.509984, 6.4311]",16
"[7.660851, 6.701354, 11.820851, 10.861354]",16
"[0.870996, 10.217855, 5.030996, 14.377855]",20
"[10.574521, 9.276038, 14.734521, 13.436038]",16
"[5.511241, 1.275216, 9.671241, 5.435216]",16
"[5.010074, 8.42957, 9.170074, 12.58957]",16
"[7.510571, 6.726754, 11.670571, 10.886754]",16
"[4.170911, 1.432956, 8.330911, 5.592956]",16
"[10.687808, 2.682758, 14.847808, 6.842758]",16
