SRC Query,Depth,BBoxes,Data Size
"[1.266731, 8.693085, 1.586731, 9.013085]",7,"[1, 8, 2, 10]",2
"[4.200885, 7.078341, 4.520885, 7.398341]",8,"[4, 7, 5, 8]",1
"[10.069502, 7.716645, 10.389502, 8.036645]",5,"[10, 6, 12, 9]",8
"[1.464045, 5.186393, 1.784045, 5.506393]",8,"[1, 5, 2, 6]",1
"[13.934874, 8.451933, 14.254874, 8.771933]",4,"[12, 8, 15, 12]",16
"[6.632655, 14.433964, 6.952655, 14.753964]",8,"[6, 14, 7, 15]",1
"[6.6138, 3.18377, 6.9338, 3.50377]",8,"[6, 3, 7, 4]",1
"[2.517876, 0.403195, 2.837876, 0.723195]",8,"[2, 0, 3, 1]",1
"[3.517321, 2.257573, 3.837321, 2.577573]",8,"[3, 2, 4, 3]",1
"[12.335584, 0.704248, 12.655584, 1.024248]",7,"[12, 0, 13, 2]",2
"[6.041588, 1.046208, 6.361588, 1.366208]",8,"[6, 1, 7, 2]",1
"[8.352244, 13.459703, 8.672244, 13.779703]",8,"[8, 13, 9, 14]",1
"[9.329871, 5.588016, 9.649871, 5.908016]",8,"[9, 5, 10, 6]",1
"[6.939027, 2.141517, 7.259027, 2.461517]",6,"[6, 2, 8, 4]",4
"[0.549411, 6.86621, 0.869411, 7.18621]",7,"[0, 6, 1, 8]",2
"[2.951398, 14.595878, 3.271398, 14.915878]",6,"[2, 14, 4, 15]",4
"[12.598715, 10.333819, 12.918715, 10.653819]",8,"[12, 10, 13, 11]",1
"[3.429565, 14.603615, 3.749565, 14.923615]",8,"[3, 14, 4, 15]",1
"[6.163338, 10.769157, 6.483338, 11.089157]",7,"[6, 10, 7, 12]",2
"[2.352114, 12.470103, 2.672114, 12.790103]",8,"[2, 12, 3, 13]",1
"[4.27733, 1.820355, 4.59733, 2.140355]",5,"[4, 0, 6, 4]",8
"[13.472868, 6.48475, 13.792868, 6.80475]",8,"[13, 6, 14, 7]",1
"[6.747968, 6.115954, 7.067968, 6.435954]",6,"[6, 6, 8, 8]",4
"[0.887357, 3.020385, 1.207357, 3.340385]",6,"[0, 2, 2, 4]",4
"[0.274295, 1.363373, 0.594295, 1.683373]",8,"[0, 1, 1, 2]",1
"[9.311949, 8.344123, 9.631949, 8.664123]",8,"[9, 8, 10, 9]",1
"[6.326769, 3.220978, 6.646769, 3.540978]",8,"[6, 3, 7, 4]",1
"[8.203263, 10.01184, 8.523263, 10.33184]",8,"[8, 10, 9, 11]",1
"[13.529801, 4.324565, 13.849801, 4.644565]",8,"[13, 4, 14, 5]",1
"[3.395922, 7.039831, 3.715922, 7.359831]",8,"[3, 7, 4, 8]",1
"[14.619063, 10.472594, 14.939063, 10.792594]",8,"[14, 10, 15, 11]",1
"[13.506706, 3.006574, 13.826706, 3.326574]",8,"[13, 3, 14, 4]",1
"[9.303006, 3.345787, 9.623006, 3.665787]",8,"[9, 3, 10, 4]",1
"[12.587013, 2.343172, 12.907013, 2.663172]",8,"[12, 2, 13, 3]",1
"[10.63726, 10.586614, 10.95726, 10.906614]",8,"[10, 10, 11, 11]",1
"[8.661021, 14.538943, 8.981021, 14.858943]",8,"[8, 14, 9, 15]",1
"[4.003908, 14.588141, 4.323908, 14.908141]",8,"[4, 14, 5, 15]",1
"[7.52129, 9.400807, 7.84129, 9.720807]",8,"[7, 9, 8, 10]",1
"[4.068146, 10.912695, 4.388146, 11.232695]",7,"[4, 10, 5, 12]",2
"[0.859694, 0.416596, 1.179694, 0.736596]",6,"[0, 0, 2, 2]",4
"[12.32781, 0.653876, 12.64781, 0.973876]",8,"[12, 0, 13, 1]",1
"[13.636824, 8.912805, 13.956824, 9.232805]",7,"[13, 8, 14, 10]",2
"[2.505588, 3.94368, 2.825588, 4.26368]",5,"[2, 2, 4, 5]",8
"[0.323209, 9.650182, 0.643209, 9.970182]",8,"[0, 9, 1, 10]",1
"[4.111279, 8.392826, 4.431279, 8.712826]",8,"[4, 8, 5, 9]",1
"[2.752161, 5.232468, 3.072161, 5.552468]",6,"[2, 4, 4, 6]",4
"[8.473525, 2.000893, 8.793525, 2.320893]",8,"[8, 2, 9, 3]",1
"[2.948919, 12.432421, 3.268919, 12.752421]",6,"[2, 12, 4, 14]",4
"[0.998833, 11.990041, 1.318833, 12.310041]",5,"[0, 10, 2, 13]",8
"[7.564101, 10.184501, 7.884101, 10.504501]",8,"[7, 10, 8, 11]",1
"[6.53288, 10.724533, 6.85288, 11.044533]",7,"[6, 10, 7, 12]",2
"[10.014495, 13.424156, 10.334495, 13.744156]",8,"[10, 13, 11, 14]",1
"[5.989179, 5.682742, 6.309179, 6.002742]",4,"[4, 4, 8, 8]",16
"[1.751505, 1.630389, 2.071505, 1.950389]",4,"[0, 0, 4, 4]",16
"[13.505776, 0.663679, 13.825776, 0.983679]",8,"[13, 0, 14, 1]",1
"[5.135219, 5.09045, 5.455219, 5.41045]",8,"[5, 5, 6, 6]",1
"[2.131887, 13.901643, 2.451887, 14.221643]",5,"[2, 12, 4, 15]",8
"[12.418689, 8.73297, 12.738689, 9.05297]",7,"[12, 8, 13, 10]",2
"[3.309928, 4.251172, 3.629928, 4.571172]",8,"[3, 4, 4, 5]",1
"[1.823107, 11.021095, 2.143107, 11.341095]",4,"[0, 8, 4, 12]",16
"[4.808439, 10.279393, 5.128439, 10.599393]",6,"[4, 10, 6, 12]",4
"[1.285392, 3.983397, 1.605392, 4.303397]",5,"[0, 2, 2, 5]",8
"[2.616713, 13.216935, 2.936713, 13.536935]",8,"[2, 13, 3, 14]",1
"[0.543114, 7.144316, 0.863114, 7.464316]",8,"[0, 7, 1, 8]",1
"[1.690755, 9.723642, 2.010755, 10.043642]",4,"[0, 8, 4, 12]",16
"[10.515178, 8.9292, 10.835178, 9.2492]",7,"[10, 8, 11, 10]",2
"[2.520404, 0.287731, 2.840404, 0.607731]",8,"[2, 0, 3, 1]",1
"[3.57197, 1.725726, 3.89197, 2.045726]",5,"[2, 0, 4, 4]",8
"[9.275548, 0.982248, 9.595548, 1.302248]",7,"[9, 0, 10, 2]",2
"[8.458698, 11.776678, 8.778698, 12.096678]",5,"[8, 10, 10, 13]",8
"[13.744516, 13.467585, 14.064516, 13.787585]",4,"[12, 12, 15, 15]",16
"[0.542727, 11.362056, 0.862727, 11.682056]",8,"[0, 11, 1, 12]",1
"[9.974571, 2.642011, 10.294571, 2.962011]",4,"[8, 0, 12, 4]",16
"[2.201476, 6.286432, 2.521476, 6.606432]",8,"[2, 6, 3, 7]",1
"[14.263517, 8.488744, 14.583517, 8.808744]",8,"[14, 8, 15, 9]",1
"[8.381991, 2.26526, 8.701991, 2.58526]",8,"[8, 2, 9, 3]",1
"[2.228688, 7.879835, 2.548688, 8.199835]",5,"[2, 6, 4, 9]",8
"[5.476129, 10.406391, 5.796129, 10.726391]",8,"[5, 10, 6, 11]",1
"[14.05454, 2.669986, 14.37454, 2.989986]",8,"[14, 2, 15, 3]",1
"[1.473256, 4.376947, 1.793256, 4.696947]",8,"[1, 4, 2, 5]",1
"[1.475768, 12.211724, 1.795768, 12.531724]",8,"[1, 12, 2, 13]",1
"[2.746584, 11.794029, 3.066584, 12.114029]",5,"[2, 10, 4, 13]",8
"[8.666107, 2.734878, 8.986107, 3.054878]",7,"[8, 2, 9, 4]",2
"[5.34507, 0.153467, 5.66507, 0.473467]",8,"[5, 0, 6, 1]",1
"[11.760337, 7.615212, 12.080337, 7.935212]",4,"[10, 4, 13, 8]",16
"[9.205165, 6.380906, 9.525165, 6.700906]",8,"[9, 6, 10, 7]",1
"[10.148544, 11.800283, 10.468544, 12.120283]",5,"[10, 10, 12, 13]",8
"[1.634967, 8.272073, 1.954967, 8.592073]",8,"[1, 8, 2, 9]",1
"[6.687865, 13.779701, 7.007865, 14.099701]",5,"[6, 12, 8, 15]",8
"[7.162515, 5.560554, 7.482515, 5.880554]",8,"[7, 5, 8, 6]",1
"[3.295028, 3.010293, 3.615028, 3.330293]",8,"[3, 3, 4, 4]",1
"[5.318997, 2.549723, 5.638997, 2.869723]",8,"[5, 2, 6, 3]",1
"[13.910833, 10.298075, 14.230833, 10.618075]",4,"[12, 8, 15, 12]",16
"[2.272301, 13.171229, 2.592301, 13.491229]",8,"[2, 13, 3, 14]",1
"[10.839511, 11.984889, 11.159511, 12.304889]",5,"[10, 10, 12, 13]",8
"[14.485738, 10.213778, 14.805738, 10.533778]",8,"[14, 10, 15, 11]",1
"[4.664964, 9.15109, 4.984964, 9.47109]",8,"[4, 9, 5, 10]",1
"[10.310672, 5.786246, 10.630672, 6.106246]",5,"[10, 4, 12, 8]",8
"[0.858629, 1.678069, 1.178629, 1.998069]",6,"[0, 0, 2, 2]",4
"[3.759359, 5.782761, 4.079359, 6.102761]",4,"[2, 4, 5, 8]",16
"[5.771942, 9.392366, 6.091942, 9.712366]",4,"[4, 8, 8, 12]",16
"[0.2743, 12.255561, 0.5943, 12.575561]",8,"[0, 12, 1, 13]",1
"[2.435533, 8.695683, 2.755533, 9.015683]",7,"[2, 8, 3, 10]",2
"[6.662071, 3.547241, 6.982071, 3.867241]",8,"[6, 3, 7, 4]",1
"[10.852499, 6.274667, 11.172499, 6.594667]",6,"[10, 6, 12, 8]",4
"[1.610851, 4.140049, 1.930851, 4.460049]",8,"[1, 4, 2, 5]",1
"[9.689905, 2.487409, 10.009905, 2.807409]",4,"[8, 0, 12, 4]",16
"[13.309184, 1.815083, 13.629184, 2.135083]",5,"[12, 0, 14, 4]",8
