,L2 Norm
0,0.06684216995989312
1,0.0214042983634858
2,-0.004953691447465398
3,-0.025672885721827104
4,0.0035245637597343983
5,0.008753483636441099
6,0.0153315092483819
7,0.0244168736796809
8,0.0269375838856211
9,0.0278956981969919
10,0.027333669476826
11,0.0252284614875056
12,0.0219903447003146
13,0.0172041341508919
14,0.013699058514822001
15,0.013212142754687501
16,0.004778192585059699
17,0.006739345819703299
18,0.0023234146509526
19,-0.007201413295435798
20,-0.005327559713093399
21,-0.0007511264904385001
22,-0.00013475445552529886
23,0.005659200800318001
24,0.0024868931644364007
25,0.0031598154079709
26,0.0047716183184767
27,0.0057910622919155
28,0.005711244917495599
29,0.006707124542362101
30,0.0040319893584432
31,0.0012105323186374006
32,0.0030871374246753992
33,0.0029598912425983
34,0.0041185344438303
35,0.0026029600664290997
36,0.00021285662324230063
37,2.691783312850065e-05
38,-0.0033056762332742996
39,-0.0023394154040465003
40,-0.004619301885041999
41,-0.0037947912982055007
42,-0.0023485606680176997
43,-0.0017644987741565997
44,-0.0005182901710167002
45,-0.0009147595527708996
46,-0.0026541596125679006
47,-0.0030011870767946997
48,-0.004716690855344
49,-0.0042413817052758
50,-0.0047831617118856
51,-0.005588305996135001
52,-0.0073251986687158
53,-0.0068191178599813
54,-0.005338812720526401
55,-0.0036326593264477004
56,-0.0040834978705756
57,-0.0066671573004997995
58,-0.0060986675269072
59,-0.005735505086083201
60,-0.005293222578123401
61,-0.0049089987767405
62,-0.0043421992336892
63,-0.0038450609874867998
64,-0.0024443512754598997
65,-0.0039662136411816006
66,-0.0018604634218598991
67,-0.0021358610416465
68,-0.0017138360375727989
69,-0.002307261614491099
70,-0.002435979753392099
71,-0.0028200560426788
72,-0.0021696277489266
73,-0.00035108768720859985
74,-0.0011166455324347
75,-0.0005939395503017997
76,-0.0005486918688953997
77,-0.0006729349203652008
78,-0.0013895662276525002
79,-0.0011182648890018009
80,-0.0008819462001585007
81,-0.0008289242112986999
82,-0.0007106852188451
83,-0.0002835229934410998
84,-0.00012284658211170023
85,-0.0007211910823738009
86,-0.0014563153100945001
87,-0.0022556062034749004
88,-0.0025183933940196995
89,-0.0029588820885645
90,-0.0015744277829543001
91,-0.0033512449469767
92,-0.0021349409046402
93,-0.0024372399222863
94,-0.0033335834330792
95,-0.002079729337627
96,-0.0010833701102707996
97,-0.0010536138929973004
98,-0.00010519389343700055
99,-0.00020109676273289984
100,-0.00042713930070089993
101,-0.00023047199250759987
102,-0.0008810734593799
103,-0.0013089016894923997
104,-0.0009048472253552001
105,-0.0009392498987042001
106,-0.0009416813993558997
107,-0.0026468058847817
108,-0.0028138491308789004
109,-0.0023253207407659
110,-0.0018630420881202005
111,-0.0013439281044365006
112,-0.001984628122521
113,-0.0023307375328992
114,-0.0010588473228627
115,-0.0008037999658434001
116,-0.0004482742078676001
117,-0.0009221406946814999
118,-0.0012179926404233005
119,-0.0010128095280050996
120,-0.0034347509168084
121,-0.0030791381351321003
122,-0.0037128653667542
123,-0.0038412129873305
124,-0.004469173855733101
125,-0.0038856961481255996
126,-0.0043681588535636
127,-0.0042051653318248994
128,-0.004068202759282299
129,-0.0057026433374909
130,-0.0050838992209302995
131,-0.0046312127896098
132,-0.004256759909903601
133,-0.0039598253957445
134,-0.0046716242499472
135,-0.0047680090548601
136,-0.0055064801297887
137,-0.005715087579644401
138,-0.0060648403018119
139,-0.0063294535069772
140,-0.0053209178943111005
141,-0.005664515826726899
142,-0.0055562016090548
143,-0.0053493520636454
144,-0.0048050778099648
145,-0.0048423042608613
146,-0.0053600307119533
147,-0.005959832671938
148,-0.006608191039766001
149,-0.006590646655295799
150,-0.006827686293666
151,-0.006644177642209499
152,-0.0060371773772086
153,-0.0055213223393252
154,-0.006193716938504701
155,-0.0059502032586497
156,-0.005536462631895899
157,-0.0058350695476289995
158,-0.0059365203796281005
159,-0.0052104092318324005
160,-0.004997964377069199
161,-0.0041124101665396
162,-0.0035851389328034004
163,-0.0028345995436807004
164,-0.0020137146405872003
165,-0.0013644389575774001
166,-0.0017759760739069997
167,-0.0017129230982327994
168,-0.0024646440907211
169,-0.0027581925810276006
170,-0.0029883286709599995
171,-0.0030975832019178003
172,-0.0029224256943310998
173,-0.0029361499684007
174,-0.0034205940163679004
175,-0.0025161664282699007
176,-0.002404867298530999
177,-0.0025681426536451005
178,-0.0024710445979800005
