SRC Query,Depth,BBoxes,Data Size
"[6.68, 5.95, 10.84, 10.11]",2,"[4, 4, 11, 11]",64
"[1.57, 1.57, 5.73, 5.73]",2,"[0, 0, 7, 7]",64
"[10.49, 4.33, 14.65, 8.49]",2,"[8, 4, 15, 11]",64
"[2.08, 2.71, 6.24, 6.87]",2,"[0, 0, 7, 7]",64
"[2.91, 8.08, 7.07, 12.24]",0,"[0, 0, 15, 15]",256
"[5.18, 8.27, 9.34, 12.43]",2,"[4, 8, 11, 15]",64
"[10.4, 4.9, 14.56, 9.06]",2,"[8, 4, 15, 11]",64
"[3.42, 3.94, 7.58, 8.1]",0,"[0, 0, 15, 15]",256
"[7.12, 0.7, 11.28, 4.86]",0,"[0, 0, 15, 15]",256
"[5.76, 10.66, 9.92, 14.82]",2,"[4, 8, 11, 15]",64
"[3.42, 5.14, 7.58, 9.3]",0,"[0, 0, 15, 15]",256
"[7.73, 3.56, 11.89, 7.72]",0,"[0, 0, 15, 15]",256
"[2.16, 9.65, 6.32, 13.81]",2,"[0, 8, 7, 15]",64
"[4.23, 2.21, 8.39, 6.37]",2,"[4, 0, 11, 7]",64
"[5.5, 10.39, 9.66, 14.55]",2,"[4, 8, 11, 15]",64
"[0.65, 8.62, 4.81, 12.78]",2,"[0, 8, 7, 15]",64
"[7.47, 2.9, 11.63, 7.06]",0,"[0, 0, 15, 15]",256
"[3.7, 0.11, 7.86, 4.27]",0,"[0, 0, 15, 15]",256
"[6.39, 2.79, 10.55, 6.95]",2,"[4, 0, 11, 7]",64
"[4.32, 3.43, 8.48, 7.59]",1,"[4, 0, 11, 15]",128
"[8.97, 8.24, 13.13, 12.4]",2,"[8, 8, 15, 15]",64
"[8.66, 8.58, 12.82, 12.74]",2,"[8, 8, 15, 15]",64
"[9.0, 0.44, 13.16, 4.6]",2,"[8, 0, 15, 7]",64
"[7.61, 10.37, 11.77, 14.53]",0,"[0, 0, 15, 15]",256
"[10.19, 4.22, 14.35, 8.38]",2,"[8, 4, 15, 11]",64
"[4.79, 3.53, 8.95, 7.69]",1,"[4, 0, 11, 15]",128
"[4.61, 2.73, 8.77, 6.89]",2,"[4, 0, 11, 7]",64
"[0.69, 7.18, 4.85, 11.34]",1,"[0, 0, 7, 15]",128
"[6.0, 6.84, 10.16, 11.0]",2,"[4, 4, 11, 11]",64
"[4.55, 0.01, 8.71, 4.17]",2,"[4, 0, 11, 7]",64
"[8.38, 4.85, 12.54, 9.01]",2,"[8, 4, 15, 11]",64
"[9.69, 8.23, 13.85, 12.39]",2,"[8, 8, 15, 15]",64
"[1.94, 1.96, 6.1, 6.12]",2,"[0, 0, 7, 7]",64
"[5.86, 6.14, 10.02, 10.3]",2,"[4, 4, 11, 11]",64
"[6.42, 6.96, 10.58, 11.12]",1,"[4, 0, 11, 15]",128
"[6.95, 4.05, 11.11, 8.21]",0,"[0, 0, 15, 15]",256
"[9.58, 10.41, 13.74, 14.57]",2,"[8, 8, 15, 15]",64
"[7.08, 3.03, 11.24, 7.19]",0,"[0, 0, 15, 15]",256
"[8.93, 4.67, 13.09, 8.83]",2,"[8, 4, 15, 11]",64
"[7.93, 1.43, 12.09, 5.59]",0,"[0, 0, 15, 15]",256
"[4.83, 6.5, 8.99, 10.66]",2,"[4, 4, 11, 11]",64
"[9.52, 7.39, 13.68, 11.55]",1,"[8, 0, 15, 15]",128
"[4.58, 4.63, 8.74, 8.79]",2,"[4, 4, 11, 11]",64
"[6.49, 3.07, 10.65, 7.23]",1,"[4, 0, 11, 15]",128
"[5.13, 6.87, 9.29, 11.03]",1,"[4, 0, 11, 15]",128
"[0.43, 3.27, 4.59, 7.43]",1,"[0, 0, 7, 15]",128
"[8.8, 0.28, 12.96, 4.44]",2,"[8, 0, 15, 7]",64
"[7.03, 7.05, 11.19, 11.21]",0,"[0, 0, 15, 15]",256
"[4.94, 0.58, 9.1, 4.74]",2,"[4, 0, 11, 7]",64
"[6.04, 4.14, 10.2, 8.3]",2,"[4, 4, 11, 11]",64
