,DAG,KD
0,2,2
1,0,0
2,2,0
3,0,0
4,2,2
5,2,1
6,0,0
7,1,0
8,0,0
9,2,2
10,2,1
11,1,1
12,0,0
13,1,1
14,2,0
15,0,0
16,0,0
17,0,0
18,2,1
19,0,0
20,2,2
21,1,1
22,0,0
23,2,1
24,1,1
25,0,0
26,2,2
27,2,0
28,1,1
29,2,1
30,2,1
31,0,0
32,0,0
33,1,0
34,2,0
35,2,0
36,1,1
37,2,1
38,2,0
39,2,0
40,0,0
41,1,1
42,2,0
43,2,0
44,0,0
45,2,2
46,0,0
47,1,1
48,2,1
49,2,0
50,2,2
51,2,0
52,2,0
53,0,0
54,1,0
55,0,0
56,1,1
57,2,1
58,2,2
59,2,2
60,0,0
61,0,0
62,2,2
63,0,0
64,1,1
65,0,0
66,2,1
67,1,1
68,0,0
69,0,0
70,1,1
71,2,0
72,2,2
73,2,0
74,2,0
75,2,2
76,1,1
77,1,1
78,0,0
79,0,0
80,2,1
81,0,0
82,2,0
83,0,0
84,1,1
85,2,2
86,0,0
87,0,0
88,0,0
89,0,0
90,2,2
91,2,2
92,2,0
93,2,2
94,0,0
95,0,0
96,1,1
97,2,0
98,1,1
99,0,0
100,0,0
101,2,2
102,1,1
103,1,1
104,0,0
105,0,0
106,1,1
107,1,1
108,2,0
109,0,0
110,2,2
111,2,2
112,0,0
113,1,1
114,0,0
115,2,1
116,2,2
117,2,1
118,2,2
119,2,2
120,2,2
121,0,0
122,0,0
123,1,0
124,1,1
125,2,1
126,2,1
127,0,0
128,2,2
129,0,0
130,2,2
131,1,1
132,2,1
133,2,2
134,0,0
135,2,2
136,0,0
137,1,1
138,0,0
139,1,1
140,2,2
141,1,1
142,2,0
143,0,0
144,2,2
145,2,2
146,1,1
147,2,1
148,0,0
149,0,0
150,0,0
151,1,1
152,2,1
153,0,0
154,1,1
155,0,0
156,0,0
157,1,1
158,0,0
159,2,0
160,0,0
161,0,0
162,2,0
163,1,1
164,0,0
165,2,0
166,2,1
167,2,2
168,2,2
169,0,0
170,1,1
171,2,1
172,1,1
173,2,2
174,2,2
175,0,0
176,2,2
177,1,1
178,0,0
179,2,0
180,0,0
181,0,0
182,2,2
183,2,0
184,2,1
185,1,0
186,0,0
187,0,0
188,2,0
189,0,0
190,1,1
191,2,1
192,1,0
193,0,0
194,2,0
195,0,0
196,0,0
197,0,0
198,1,0
199,2,0
200,2,2
201,0,0
202,2,2
203,2,0
204,1,1
205,1,1
206,0,0
207,0,0
208,0,0
209,2,2
210,2,1
211,1,1
212,0,0
213,0,0
214,0,0
215,0,0
216,1,1
217,2,2
218,1,1
219,0,0
220,2,2
221,0,0
222,0,0
223,2,0
224,1,1
225,2,1
226,1,1
227,2,2
228,2,2
229,2,0
230,1,1
231,0,0
232,2,2
233,2,0
234,0,0
235,2,2
236,0,0
237,0,0
238,0,0
239,2,2
240,2,1
241,2,0
242,0,0
243,0,0
244,2,2
245,1,1
246,2,0
247,0,0
248,2,1
249,1,0
250,1,0
251,2,0
252,2,0
253,0,0
254,0,0
255,1,0
256,0,0
257,1,1
258,2,0
259,2,1
260,2,1
261,2,1
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,2,0
268,1,0
269,1,1
270,1,0
271,0,0
272,0,0
273,0,0
274,1,1
275,1,1
276,2,1
277,0,0
278,0,0
279,2,0
280,2,1
281,2,0
282,1,0
283,1,0
284,0,0
285,2,0
286,0,0
287,0,0
288,2,2
289,1,1
290,2,2
291,1,0
292,1,0
293,1,1
294,0,0
295,0,0
296,0,0
297,2,2
298,1,1
299,0,0
300,0,0
301,2,2
302,0,0
303,1,0
304,2,2
305,0,0
306,2,1
307,1,1
308,1,0
309,2,0
310,1,1
311,0,0
312,0,0
313,0,0
314,2,1
315,2,0
316,2,2
317,2,0
318,0,0
319,0,0
320,1,1
321,0,0
322,1,1
323,2,1
324,1,0
325,1,1
326,2,1
327,2,0
328,0,0
329,2,0
330,2,2
331,2,2
332,0,0
333,2,0
334,2,0
335,0,0
336,2,2
337,1,1
338,1,1
339,2,1
340,2,2
341,2,2
342,2,2
343,0,0
344,2,2
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,2,2
351,1,0
352,2,0
353,2,0
354,0,0
355,2,2
356,1,0
357,0,0
358,0,0
359,0,0
360,2,2
361,2,2
362,2,2
363,2,1
364,0,0
365,2,1
366,2,0
367,1,0
368,2,2
369,2,0
370,2,2
371,1,1
372,0,0
373,2,2
374,2,2
375,0,0
376,0,0
377,0,0
378,0,0
379,2,0
380,0,0
381,1,1
382,1,1
383,2,0
384,1,1
385,1,1
386,2,0
387,0,0
388,2,2
389,0,0
390,0,0
391,0,0
392,2,0
