BRC Query,Data Size
"[4.17, 11.33, 5.07, 12.23]",1
"[2.58, 0.19, 3.48, 1.09]",1
"[10.29, 13.79, 11.19, 14.69]",1
"[8.0, 11.17, 8.9, 12.07]",1
"[3.51, 0.73, 4.41, 1.63]",1
"[6.36, 10.22, 7.26, 11.12]",1
"[13.07, 8.66, 13.97, 9.56]",0
"[10.12, 4.17, 11.02, 5.07]",1
"[10.43, 10.28, 11.33, 11.18]",1
"[6.54, 10.28, 7.44, 11.18]",1
"[3.77, 2.97, 4.67, 3.87]",1
"[13.45, 11.83, 14.35, 12.73]",1
"[10.15, 8.09, 11.05, 8.99]",0
"[0.39, 8.89, 1.29, 9.79]",1
"[8.79, 9.92, 9.69, 10.82]",1
"[14.08, 5.21, 14.98, 6.11]",0
"[10.32, 13.86, 11.22, 14.76]",1
"[6.42, 4.13, 7.32, 5.03]",1
"[4.2, 3.76, 5.1, 4.66]",1
"[7.62, 7.95, 8.52, 8.85]",1
"[12.8, 13.01, 13.7, 13.91]",0
"[7.23, 1.92, 8.13, 2.82]",1
"[9.41, 9.15, 10.31, 10.05]",1
"[14.05, 3.99, 14.95, 4.89]",0
"[10.81, 3.71, 11.71, 4.61]",1
"[4.98, 6.59, 5.88, 7.49]",1
"[7.1, 6.67, 8.0, 7.57]",1
"[3.09, 3.75, 3.99, 4.65]",0
"[13.03, 1.57, 13.93, 2.47]",0
"[6.48, 14.1, 7.38, 15.0]",1
"[11.9, 2.6, 12.8, 3.5]",1
"[7.67, 11.73, 8.57, 12.63]",1
"[11.32, 9.61, 12.22, 10.51]",1
"[2.67, 10.26, 3.57, 11.16]",1
"[4.24, 10.05, 5.14, 10.95]",0
"[10.17, 13.89, 11.07, 14.79]",1
"[12.95, 13.64, 13.85, 14.54]",1
"[5.17, 8.59, 6.07, 9.49]",1
"[5.42, 13.64, 6.32, 14.54]",1
"[2.46, 0.43, 3.36, 1.33]",1
"[4.45, 4.44, 5.35, 5.34]",1
"[0.62, 8.89, 1.52, 9.79]",1
"[12.28, 9.56, 13.18, 10.46]",1
"[2.77, 3.91, 3.67, 4.81]",1
"[11.34, 7.04, 12.24, 7.94]",0
"[5.64, 6.62, 6.54, 7.52]",1
"[4.22, 5.25, 5.12, 6.15]",1
"[2.93, 6.13, 3.83, 7.03]",1
"[6.39, 1.2, 7.29, 2.1]",1
"[12.93, 2.93, 13.83, 3.83]",1
"[7.29, 13.93, 8.19, 14.83]",1
"[13.14, 10.81, 14.04, 11.71]",1
"[0.3, 11.55, 1.2, 12.45]",1
"[13.28, 9.12, 14.18, 10.02]",1
"[3.16, 0.91, 4.06, 1.81]",1
"[4.09, 11.86, 4.99, 12.76]",0
"[12.45, 1.9, 13.35, 2.8]",1
"[10.82, 12.74, 11.72, 13.64]",1
"[4.96, 3.55, 5.86, 4.45]",1
"[13.29, 10.23, 14.19, 11.13]",1
"[10.85, 1.31, 11.75, 2.21]",1
"[11.16, 3.62, 12.06, 4.52]",1
"[11.97, 9.68, 12.87, 10.58]",1
"[5.89, 5.57, 6.79, 6.47]",1
"[4.7, 1.53, 5.6, 2.43]",1
"[7.54, 0.75, 8.44, 1.65]",1
"[12.31, 5.68, 13.21, 6.58]",1
"[1.59, 4.43, 2.49, 5.33]",1
"[12.99, 6.98, 13.89, 7.88]",1
"[6.25, 13.82, 7.15, 14.72]",1
"[0.33, 3.11, 1.23, 4.01]",1
"[2.73, 3.06, 3.63, 3.96]",0
"[9.94, 4.36, 10.84, 5.26]",1
"[7.74, 10.75, 8.64, 11.65]",1
"[12.44, 2.2, 13.34, 3.1]",1
"[11.23, 0.06, 12.13, 0.96]",0
"[4.05, 1.82, 4.95, 2.72]",0
"[9.18, 9.58, 10.08, 10.48]",1
"[11.91, 10.98, 12.81, 11.88]",1
"[5.3, 9.48, 6.2, 10.38]",1
"[11.06, 6.25, 11.96, 7.15]",0
"[0.27, 0.62, 1.17, 1.52]",1
"[6.19, 6.25, 7.09, 7.15]",1
"[10.63, 6.85, 11.53, 7.75]",1
"[13.84, 0.25, 14.74, 1.15]",1
"[0.67, 10.76, 1.57, 11.66]",1
"[11.86, 8.93, 12.76, 9.83]",1
"[12.62, 13.48, 13.52, 14.38]",1
"[5.52, 5.73, 6.42, 6.63]",1
"[7.69, 10.66, 8.59, 11.56]",1
"[5.91, 1.44, 6.81, 2.34]",1
"[12.42, 8.47, 13.32, 9.37]",1
