SRC Query,Depth,BBoxes,Data Size
"[6.29, 9.98, 8.39, 12.08]",3,"[6, 8, 9, 15]",32
"[9.66, 3.11, 11.76, 5.21]",2,"[8, 0, 15, 7]",64
"[3.93, 8.96, 6.03, 11.06]",2,"[0, 8, 7, 15]",64
"[2.4, 4.72, 4.5, 6.82]",4,"[2, 4, 5, 7]",16
"[5.16, 1.1, 7.26, 3.2]",2,"[4, 0, 11, 7]",64
"[12.27, 10.26, 14.37, 12.36]",4,"[12, 10, 15, 13]",16
"[8.05, 1.81, 10.15, 3.91]",3,"[8, 0, 11, 7]",32
"[11.91, 9.5, 14.01, 11.6]",2,"[8, 8, 15, 15]",64
"[0.82, 0.59, 2.92, 2.69]",4,"[0, 0, 3, 3]",16
"[1.14, 12.44, 3.24, 14.54]",2,"[0, 8, 7, 15]",64
"[10.18, 0.63, 12.28, 2.73]",4,"[10, 0, 13, 3]",16
"[6.52, 4.55, 8.62, 6.65]",4,"[6, 4, 9, 7]",16
"[8.76, 4.6, 10.86, 6.7]",4,"[8, 4, 11, 7]",16
"[2.31, 3.06, 4.41, 5.16]",3,"[2, 0, 5, 7]",32
"[7.88, 3.83, 9.98, 5.93]",2,"[4, 0, 11, 7]",64
"[4.5, 9.74, 6.6, 11.84]",3,"[4, 8, 7, 15]",32
"[6.05, 7.2, 8.15, 9.3]",3,"[6, 4, 9, 11]",32
"[12.48, 10.89, 14.58, 12.99]",4,"[12, 10, 15, 13]",16
"[9.4, 1.17, 11.5, 3.27]",2,"[8, 0, 15, 7]",64
"[10.89, 7.34, 12.99, 9.44]",3,"[10, 4, 13, 11]",32
"[1.24, 7.51, 3.34, 9.61]",2,"[0, 4, 7, 11]",64
"[12.38, 7.7, 14.48, 9.8]",3,"[12, 4, 15, 11]",32
"[12.83, 4.42, 14.93, 6.52]",4,"[12, 4, 15, 7]",16
"[11.61, 2.44, 13.71, 4.54]",2,"[8, 0, 15, 7]",64
"[12.46, 1.37, 14.56, 3.47]",3,"[12, 0, 15, 7]",32
"[10.83, 7.39, 12.93, 9.49]",3,"[10, 4, 13, 11]",32
"[4.91, 6.84, 7.01, 8.94]",2,"[4, 4, 11, 11]",64
"[4.3, 11.11, 6.4, 13.21]",3,"[4, 8, 7, 15]",32
"[10.4, 0.89, 12.5, 2.99]",4,"[10, 0, 13, 3]",16
"[3.79, 11.16, 5.89, 13.26]",2,"[0, 8, 7, 15]",64
"[6.72, 3.47, 8.82, 5.57]",3,"[6, 0, 9, 7]",32
"[12.68, 2.57, 14.78, 4.67]",4,"[12, 2, 15, 5]",16
"[11.84, 10.58, 13.94, 12.68]",2,"[8, 8, 15, 15]",64
"[7.2, 1.44, 9.3, 3.54]",2,"[4, 0, 11, 7]",64
"[12.86, 10.27, 14.96, 12.37]",4,"[12, 10, 15, 13]",16
"[1.4, 9.62, 3.5, 11.72]",2,"[0, 8, 7, 15]",64
"[6.34, 9.0, 8.44, 11.1]",3,"[6, 8, 9, 15]",32
"[4.71, 8.39, 6.81, 10.49]",4,"[4, 8, 7, 11]",16
"[11.23, 10.39, 13.33, 12.49]",2,"[8, 8, 15, 15]",64
"[3.93, 8.97, 6.03, 11.07]",2,"[0, 8, 7, 15]",64
"[11.46, 4.8, 13.56, 6.9]",2,"[8, 0, 15, 7]",64
"[1.88, 6.49, 3.98, 8.59]",2,"[0, 4, 7, 11]",64
"[9.08, 10.78, 11.18, 12.88]",2,"[8, 8, 15, 15]",64
"[10.11, 1.71, 12.21, 3.81]",3,"[10, 0, 13, 7]",32
"[11.79, 5.76, 13.89, 7.86]",2,"[8, 4, 15, 11]",64
"[0.88, 5.42, 2.98, 7.52]",3,"[0, 4, 3, 11]",32
