,DAG,KD
0,3,0
1,2,2
2,2,2
3,4,2
4,2,0
5,4,3
6,3,3
7,2,2
8,4,4
9,2,2
10,4,2
11,4,0
12,4,4
13,3,2
14,2,0
15,3,3
16,3,0
17,4,3
18,2,2
19,3,1
20,2,1
21,3,1
22,4,4
23,2,2
24,3,3
25,3,1
26,2,0
27,3,3
28,4,2
29,2,2
30,3,0
31,4,3
32,2,2
33,2,0
34,4,3
35,2,2
36,3,0
37,4,4
38,2,2
39,2,2
40,2,2
41,2,1
42,2,2
43,3,2
44,2,1
45,3,1
46,3,3
47,3,0
48,2,2
49,4,4
50,3,1
51,2,2
52,3,2
53,4,2
54,2,2
55,2,2
56,4,0
57,3,3
58,2,0
59,3,1
60,2,0
61,4,2
62,4,4
63,2,0
64,2,1
65,4,1
66,3,0
67,2,0
68,3,2
69,4,2
70,4,4
71,4,4
72,4,3
73,3,0
74,3,2
75,2,2
76,3,1
77,3,2
78,4,4
79,3,0
80,4,4
81,2,1
82,2,2
83,2,2
84,3,1
85,2,2
86,4,3
87,2,1
88,2,2
89,2,0
90,2,2
91,2,0
92,4,1
93,2,1
94,3,1
95,3,0
96,4,4
97,2,2
98,2,1
99,3,1
100,3,1
101,3,1
102,2,2
103,3,2
104,4,4
105,2,2
106,3,1
107,2,2
108,2,2
109,2,2
110,4,4
111,2,2
112,2,2
113,2,2
114,3,3
115,2,2
116,4,3
117,2,2
118,2,0
119,2,2
120,3,1
121,3,3
122,2,2
123,2,2
124,2,2
125,3,3
126,2,2
127,2,0
128,2,2
129,4,4
130,3,2
131,2,1
132,2,2
133,2,2
134,2,2
135,2,2
136,4,2
137,3,3
138,4,0
139,2,1
140,3,3
141,2,2
142,3,3
143,4,2
144,4,4
145,3,3
146,2,2
147,4,4
148,2,0
149,3,0
150,4,2
151,4,4
152,3,2
153,3,1
154,3,3
155,2,0
156,2,2
157,2,0
158,4,1
159,2,1
160,3,3
161,3,3
162,2,2
163,2,0
164,2,2
165,3,3
166,2,1
167,4,4
168,4,2
169,2,0
170,4,3
171,4,0
172,4,4
173,4,1
174,2,2
175,3,3
176,2,2
177,3,1
178,3,1
179,4,2
180,3,1
181,2,2
182,3,1
183,2,0
184,2,2
185,2,1
186,3,3
187,2,2
188,2,1
189,3,1
190,3,1
191,4,2
192,2,0
193,2,1
194,3,3
195,3,3
196,3,3
197,2,0
198,4,4
199,4,4
200,3,1
201,4,1
202,3,1
203,2,2
204,4,3
205,2,2
206,2,0
207,2,0
208,2,0
209,4,0
210,2,0
211,2,0
212,2,2
213,4,0
214,3,3
215,2,2
216,2,1
217,3,1
218,2,0
219,2,2
220,2,0
221,2,2
222,2,2
223,2,0
224,2,2
225,2,0
226,4,2
227,4,4
228,4,2
229,4,0
230,2,0
231,2,2
232,2,2
233,2,2
234,3,0
235,3,0
236,2,0
237,2,2
238,4,2
239,4,2
240,4,4
241,2,2
242,2,1
243,2,1
244,4,0
245,2,1
246,2,0
247,3,3
248,2,2
249,4,2
250,3,3
251,3,1
252,2,2
253,3,3
254,2,2
255,3,2
256,4,0
257,2,0
258,3,3
259,2,2
260,3,1
261,2,2
262,3,3
263,3,1
264,3,1
265,2,1
266,2,2
267,2,0
268,3,1
269,4,0
270,3,0
271,3,1
272,4,2
273,2,2
274,2,1
275,4,2
276,4,4
277,4,4
278,3,3
279,3,3
280,2,0
281,2,2
282,3,3
283,3,3
284,4,4
285,2,1
286,4,4
287,2,0
288,4,2
289,3,3
290,2,1
291,2,2
292,2,0
293,2,2
294,3,2
295,2,0
296,2,0
297,3,1
298,2,0
299,3,1
300,2,2
301,4,4
302,4,2
303,2,2
304,3,3
305,2,2
306,2,2
307,2,2
308,4,3
309,2,2
310,3,0
311,3,3
