,L2 Norm
0,0.1231448740305499
1,0.07710810592927313
2,0.06088417053900155
3,0.04340115205844196
4,0.025437374078312435
5,0.025460077681648104
6,0.021683408497780807
7,0.010829819943101514
8,0.025453288128318652
9,0.01739137717376055
10,0.018074652357686946
11,0.015821715035566293
12,0.020433980864346876
13,0.017252234401280767
14,0.016454448908696042
15,0.015780842816529125
16,0.013513640423980873
17,0.008936994827301252
18,0.009972852346922521
19,0.01298691649314797
20,0.012413789786795446
21,0.015216036559992938
22,0.0165065800020731
23,0.015744275855758584
24,0.013237069162016146
25,0.010569169185801953
26,0.008859762465580097
27,0.009842991912823998
28,0.012050086712305322
29,0.009685843048261492
30,0.008807589433761871
31,0.009938671314617486
32,0.00964839824081734
33,0.009582773615869806
34,0.008722408392368774
35,0.009398226783104697
36,0.009131277771881679
37,0.010808232729583617
38,0.01088212680318895
39,0.005341816170554729
40,0.005536287732410439
41,0.004107970241023399
42,0.0031581994719798025
43,0.003825598856593606
44,0.003243721380615456
45,0.0029775911655797057
46,0.0022282538986500965
47,0.0035153828620318275
48,0.002362473872624627
49,0.0018055470085268244
50,0.0017260092802100118
51,0.0004957810167484001
52,0.0016582254494348777
53,0.001511338036701204
54,0.0012877682662024237
55,0.0015540598575397198
56,0.0008613195371226989
57,0.0004167423633182271
58,0.0018512214808026717
59,0.0012036980056845403
60,0.00026729858836129465
61,0.0006958027876135109
62,0.0010654495134256232
63,0.0008815823841252773
64,0.0011974825664874359
65,0.001826179380421447
66,0.0009555433234521521
67,0.0017327898180775412
68,0.0021833736173333036
69,0.0017186848317886714
70,0.0016210686349266662
71,0.0011841807085987215
72,0.0011326986327049031
73,0.0005442709117893466
74,0.0004546060565661675
75,0.0007704011977795525
76,0.0007636032327824592
77,0.0019067443191866978
78,0.001980236431415925
79,0.0025132150723723976
80,0.0032364112172967
81,0.0035549949777865957
82,0.003133427582283061
83,0.0031758941819392188
84,0.0029172793885984915
85,0.00321345703431854
86,0.0029364957010433253
87,0.0034841553987982475
88,0.0038359204990445397
89,0.003654626697255959
90,0.0028233731274718574
91,0.002556410822793531
92,0.0020378639187566276
93,0.0015936070789111321
94,0.00152890886807215
95,0.0024730000336972402
96,0.0019771771446064615
97,0.0010233956267802448
98,0.00011979815013521971
99,0.0
