,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,2,32,3,30,16.0,6.25
1,2,32,3,30,16.0,6.25
2,4,16,4,12,4.0,25.0
3,4,32,3,28,8.0,12.5
4,4,64,2,60,16.0,6.25
5,4,16,4,12,4.0,25.0
6,1,16,4,15,16.0,6.25
7,4,32,3,28,8.0,12.5
8,2,16,4,14,8.0,12.5
9,4,32,3,28,8.0,12.5
10,2,16,4,14,8.0,12.5
11,4,64,2,60,16.0,6.25
12,2,64,2,62,32.0,3.125
13,4,16,4,12,4.0,25.0
14,4,32,3,28,8.0,12.5
15,2,32,3,30,16.0,6.25
16,4,16,4,12,4.0,25.0
17,2,32,3,30,16.0,6.25
18,2,16,4,14,8.0,12.5
19,2,32,3,30,16.0,6.25
20,4,32,3,28,8.0,12.5
21,1,16,4,15,16.0,6.25
22,4,16,4,12,4.0,25.0
23,4,16,4,12,4.0,25.0
24,1,16,4,15,16.0,6.25
25,4,32,3,28,8.0,12.5
26,4,16,4,12,4.0,25.0
27,1,16,4,15,16.0,6.25
28,2,16,4,14,8.0,12.5
29,1,16,4,15,16.0,6.25
30,4,16,4,12,4.0,25.0
31,4,64,2,60,16.0,6.25
32,2,16,4,14,8.0,12.5
33,2,64,2,62,32.0,3.125
34,2,16,4,14,8.0,12.5
35,2,64,2,62,32.0,3.125
36,2,64,2,62,32.0,3.125
37,1,16,4,15,16.0,6.25
38,2,16,4,14,8.0,12.5
39,2,32,3,30,16.0,6.25
40,2,16,4,14,8.0,12.5
41,2,16,4,14,8.0,12.5
42,4,64,2,60,16.0,6.25
43,4,16,4,12,4.0,25.0
44,4,16,4,12,4.0,25.0
45,2,64,2,62,32.0,3.125
46,2,32,3,30,16.0,6.25
47,2,16,4,14,8.0,12.5
48,2,16,4,14,8.0,12.5
49,2,16,4,14,8.0,12.5
50,4,64,2,60,16.0,6.25
51,2,64,2,62,32.0,3.125
52,1,16,4,15,16.0,6.25
53,2,64,2,62,32.0,3.125
54,1,16,4,15,16.0,6.25
55,4,64,2,60,16.0,6.25
56,4,32,3,28,8.0,12.5
57,2,16,4,14,8.0,12.5
58,2,32,3,30,16.0,6.25
59,2,32,3,30,16.0,6.25
60,4,16,4,12,4.0,25.0
61,4,64,2,60,16.0,6.25
62,2,16,4,14,8.0,12.5
63,1,16,4,15,16.0,6.25
64,4,64,2,60,16.0,6.25
65,2,16,4,14,8.0,12.5
66,2,16,4,14,8.0,12.5
67,2,32,3,30,16.0,6.25
68,1,16,4,15,16.0,6.25
69,4,64,2,60,16.0,6.25
70,4,16,4,12,4.0,25.0
71,2,32,3,30,16.0,6.25
72,1,16,4,15,16.0,6.25
73,2,32,3,30,16.0,6.25
74,2,16,4,14,8.0,12.5
75,2,64,2,62,32.0,3.125
76,2,16,4,14,8.0,12.5
77,2,64,2,62,32.0,3.125
78,4,64,2,60,16.0,6.25
79,2,32,3,30,16.0,6.25
80,1,16,4,15,16.0,6.25
81,2,64,2,62,32.0,3.125
82,2,16,4,14,8.0,12.5
83,4,64,2,60,16.0,6.25
84,1,16,4,15,16.0,6.25
85,4,16,4,12,4.0,25.0
86,2,16,4,14,8.0,12.5
87,1,16,4,15,16.0,6.25
88,4,64,2,60,16.0,6.25
89,4,64,2,60,16.0,6.25
90,2,64,2,62,32.0,3.125
91,1,16,4,15,16.0,6.25
92,1,16,4,15,16.0,6.25
93,4,64,2,60,16.0,6.25
94,4,64,2,60,16.0,6.25
95,2,16,4,14,8.0,12.5
96,1,16,4,15,16.0,6.25
97,4,16,4,12,4.0,25.0
98,2,16,4,14,8.0,12.5
99,4,16,4,12,4.0,25.0
100,4,32,3,28,8.0,12.5
101,4,64,2,60,16.0,6.25
102,1,16,4,15,16.0,6.25
103,4,64,2,60,16.0,6.25
104,4,64,2,60,16.0,6.25
105,2,32,3,30,16.0,6.25
106,4,64,2,60,16.0,6.25
107,1,16,4,15,16.0,6.25
