,DAG,KD
0,2,0
1,2,0
2,2,1
3,2,2
4,2,2
5,2,2
6,2,1
7,4,4
8,2,2
9,3,3
10,2,1
11,2,2
12,3,1
13,2,0
14,2,0
15,4,4
16,2,1
17,3,3
18,3,1
19,3,1
20,3,1
21,2,2
22,4,2
23,2,2
24,2,0
25,2,0
26,3,3
27,3,3
28,2,0
29,2,2
30,2,0
31,3,1
32,2,2
33,2,0
34,2,2
35,3,1
36,3,1
37,2,0
38,3,2
39,3,3
40,2,0
41,4,4
42,2,2
43,2,0
44,3,1
45,2,2
46,2,1
47,2,0
48,4,4
49,2,2
50,3,3
51,4,0
52,2,2
53,2,0
54,2,0
55,2,2
56,2,0
57,2,0
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,3,1
64,2,0
65,4,4
66,2,1
67,2,0
68,2,2
69,2,2
70,2,1
71,2,1
72,2,2
73,3,2
74,4,4
75,2,2
76,2,0
77,4,3
78,2,2
79,2,2
80,3,1
81,3,3
82,2,2
83,3,1
84,2,1
85,2,1
86,2,0
87,2,2
88,2,2
89,2,2
90,2,0
91,3,1
92,3,1
93,3,3
94,2,2
95,2,2
96,2,0
97,2,0
98,3,2
99,2,2
100,2,2
101,2,0
102,3,3
103,2,2
104,2,2
105,2,0
106,2,2
107,2,0
108,2,2
109,2,2
110,2,2
111,3,3
112,2,2
113,2,1
114,2,2
115,2,1
116,3,1
117,2,2
118,4,4
119,3,3
120,3,3
121,2,2
122,4,4
123,2,1
124,2,2
125,2,2
126,3,3
127,2,2
128,2,2
129,2,1
130,4,4
131,2,0
132,2,1
133,2,1
134,4,4
135,3,1
136,2,2
137,2,0
138,2,2
139,2,2
140,2,2
141,2,2
142,2,2
143,2,2
144,2,2
145,4,2
146,2,0
147,2,2
148,2,0
149,2,2
150,4,4
151,2,1
152,3,1
153,3,3
154,4,4
155,3,3
156,4,4
157,2,2
158,2,0
159,2,2
160,4,4
161,2,2
162,2,0
163,2,0
164,2,2
165,2,1
166,2,0
167,3,3
168,2,2
169,3,3
170,2,2
171,2,2
172,2,2
173,2,0
174,2,2
175,4,4
176,2,1
177,3,3
178,4,4
179,2,0
180,2,2
181,4,4
182,3,1
183,2,2
184,4,2
185,2,0
186,2,2
187,3,1
188,2,2
189,2,2
190,2,0
191,2,2
192,2,0
193,2,0
194,3,3
195,2,0
196,2,0
197,2,0
198,2,2
199,3,3
200,3,3
201,3,3
202,4,0
203,4,4
204,3,1
205,3,1
206,2,0
207,3,1
208,2,2
209,2,2
210,2,0
211,3,3
212,2,2
213,4,4
214,2,2
215,2,2
216,2,2
217,2,2
218,3,3
219,4,4
220,2,1
221,4,4
222,2,0
223,4,1
224,2,0
225,3,0
226,2,2
227,3,3
228,3,3
229,2,2
230,4,4
231,2,1
232,4,4
233,2,0
234,2,0
235,2,2
236,3,1
237,4,2
238,4,4
239,3,3
240,3,1
241,3,1
242,2,2
243,3,3
244,2,2
245,2,2
246,2,2
247,2,0
248,2,2
249,2,0
250,2,0
251,2,2
252,3,3
253,3,1
254,2,0
255,2,2
256,3,3
257,2,2
258,2,0
259,3,3
260,3,1
261,3,1
262,2,0
263,2,0
264,2,1
265,3,3
266,4,4
267,3,3
268,2,1
269,4,4
270,2,0
271,3,3
272,4,4
273,4,4
274,3,2
275,2,2
276,2,2
277,2,2
278,3,3
279,2,2
280,2,1
281,2,0
282,2,2
283,3,1
284,2,0
285,2,0
286,2,1
287,3,1
288,2,2
289,2,2
290,2,1
291,2,0
292,2,2
293,3,1
294,2,2
295,2,0
296,3,3
297,2,2
298,2,2
299,2,2
300,3,1
301,3,1
302,3,3
303,2,1
304,2,2
305,2,0
306,2,0
307,2,2
308,2,2
309,2,2
310,2,0
311,2,1
312,2,1
313,2,0
314,2,2
315,4,2
316,2,2
317,2,2
318,4,4
319,2,2
320,3,3
321,2,2
322,4,4
323,2,0
324,2,2
325,3,3
326,3,3
327,4,4
328,3,3
329,2,0
330,2,0
331,3,1
332,2,2
333,2,2
334,2,0
335,2,0
336,4,4
337,4,4
338,2,2
339,3,1
340,3,1
341,2,2
342,4,2
343,4,2
344,3,3
345,2,0
346,4,4
347,2,2
348,2,2
349,2,2
350,2,2
351,2,1
352,2,0
353,2,1
354,3,3
355,2,1
356,2,0
357,2,2
358,3,3
359,2,2
360,3,1
361,4,4
362,2,2
363,2,0
364,2,2
365,4,4
366,2,2
367,2,2
368,3,3
369,4,4
370,4,4
371,2,0
372,3,3
373,2,0
374,3,0
375,4,4
376,4,4
377,2,0
378,4,4
379,3,3
380,2,2
381,2,0
382,4,4
383,2,0
384,2,2
385,2,2
386,2,0
387,2,2
388,4,4
389,4,4
390,2,1
391,3,3
392,2,0
393,2,0
394,2,0
395,3,3
396,4,4
397,3,1
398,2,0
399,2,2
400,2,0
401,3,3
402,4,4
403,2,2
404,2,2
405,2,2
406,4,4
407,3,3
408,2,2
409,3,3
410,2,2
411,2,0
412,3,2
413,3,3
414,2,2
415,2,0
416,2,1
417,3,3
418,2,0
419,3,1
420,2,1
421,3,3
422,2,0
423,2,2
424,4,4
425,3,1
426,2,0
427,2,0
428,2,2
429,2,2
430,4,4
431,2,2
432,4,4
433,2,0
434,2,0
435,2,0
436,3,3
437,2,0
438,4,4
439,2,2
440,3,2
441,3,3
442,3,1
443,2,1
444,2,2
445,2,2
446,2,1
447,2,0
448,3,3
449,4,4
450,3,1
451,2,2
452,4,4
453,2,0
454,2,0
455,4,4
456,3,3
457,2,2
458,2,0
459,2,0
460,2,2
461,2,0
462,3,3
463,3,3
464,2,1
465,2,2
466,2,2
467,2,2
468,2,0
469,3,3
470,2,2
471,2,2
472,2,2
473,2,1
474,2,2
475,3,3
476,2,1
477,2,0
478,3,3
479,2,2
480,2,1
481,4,4
482,2,0
483,3,3
484,3,1
485,2,1
486,2,2
487,3,3
488,2,2
489,2,0
490,2,2
491,2,0
492,2,0
493,2,2
494,2,2
495,2,2
496,2,2
497,2,2
498,2,0
499,2,0
500,2,2
501,2,2
502,3,1
503,2,1
504,2,2
505,2,2
506,3,2
507,4,4
508,2,0
509,3,3
510,2,1
511,2,2
512,2,2
513,2,2
514,2,0
515,2,2
516,3,3
517,4,4
518,4,4
519,2,0
520,3,3
521,3,3
522,2,2
523,2,2
524,2,2
525,2,2
526,3,3
527,3,3
528,2,2
529,3,3
530,2,0
531,2,2
532,2,1
533,2,0
534,2,2
535,2,2
536,4,4
537,2,0
538,3,1
539,2,2
540,2,2
541,2,0
542,4,4
543,3,3
544,2,1
545,2,2
546,4,0
547,3,3
548,2,2
549,2,0
550,2,0
551,4,4
552,2,0
553,2,2
554,3,3
555,2,2
556,2,1
557,2,2
558,2,2
559,3,3
560,2,2
561,3,3
562,3,3
563,3,1
564,3,2
565,2,2
566,2,0
567,4,4
568,2,2
569,3,3
570,3,3
571,2,2
572,2,2
573,2,0
574,2,2
575,2,2
576,2,0
577,3,3
578,2,0
579,3,1
580,2,2
581,2,1
582,3,1
583,2,2
584,4,4
585,2,0
586,2,2
587,2,2
588,4,1
589,3,3
590,4,4
591,2,2
592,2,0
593,2,2
594,3,3
595,2,1
596,3,3
597,2,2
598,2,0
599,4,4
600,2,2
601,2,0
602,2,0
603,2,2
604,4,4
605,2,0
606,3,3
607,2,0
608,3,3
609,2,2
610,4,2
611,2,0
612,2,2
613,2,1
614,4,4
615,2,2
616,2,1
617,2,1
618,2,2
619,3,1
620,2,2
621,2,0
622,3,1
623,3,1
624,2,2
625,2,2
626,2,2
627,2,0
628,2,2
629,2,0
630,2,2
631,2,2
632,4,4
633,2,2
634,2,0
635,3,1
636,2,0
637,2,2
638,2,2
639,2,0
640,2,2
641,2,0
642,2,0
643,2,2
644,4,4
645,3,1
646,3,1
647,2,0
648,2,0
649,3,1
650,2,2
651,2,2
652,2,2
653,2,0
654,2,1
655,2,2
656,2,2
657,3,3
658,2,1
659,2,1
660,3,3
661,2,2
662,2,2
663,2,2
664,2,2
665,2,2
666,2,0
667,4,4
668,2,0
669,3,3
670,2,2
671,2,0
672,2,2
673,4,4
674,4,4
675,2,2
676,2,1
677,2,1
678,2,0
679,2,2
680,2,2
681,2,2
682,3,3
683,2,1
684,2,2
685,2,2
686,3,3
687,2,2
688,2,0
689,2,2
690,4,4
691,2,2
692,3,1
693,2,1
694,4,4
695,2,1
696,2,2
697,3,3
698,4,4
699,2,2
700,2,0
701,2,2
702,4,4
703,3,3
704,4,3
705,2,2
706,2,2
707,3,3
708,3,3
709,3,3
710,2,0
711,2,2
712,2,2
713,2,2
714,2,0
715,3,3
716,2,0
717,3,1
718,3,3
719,3,3
720,4,0
721,2,0
722,2,1
723,3,1
724,2,2
725,2,0
726,4,4
727,2,1
728,2,0
729,3,3
730,2,1
731,3,3
732,2,2
733,2,0
734,4,4
735,2,1
736,3,3
737,4,4
738,2,1
739,2,0
740,2,2
741,3,1
742,3,3
743,2,2
744,2,2
745,2,0
746,2,0
747,2,2
748,2,2
749,2,2
750,3,1
751,2,0
752,2,0
753,3,3
754,2,2
755,2,2
756,4,4
757,4,0
758,2,2
759,2,2
760,2,2
761,2,2
762,2,0
763,4,4
764,4,4
765,3,1
766,3,2
767,2,2
768,3,3
769,2,1
770,4,4
771,4,2
772,2,0
773,2,2
774,3,3
775,4,4
776,3,3
777,3,3
778,2,1
779,2,2
780,2,0
781,2,0
782,2,2
783,2,2
784,2,1
785,2,0
786,2,0
787,4,4
788,2,1
789,3,3
790,2,2
791,4,4
792,4,3
793,2,2
794,3,1
795,3,1
796,4,4
797,2,2
798,2,2
799,2,1
800,2,2
801,3,1
802,2,2
803,2,2
804,3,1
805,2,2
806,2,2
807,2,0
808,2,2
809,2,0
810,2,2
811,2,2
812,2,0
813,3,3
814,3,3
815,4,4
816,2,0
817,3,3
818,2,2
819,4,4
820,2,2
821,2,2
822,2,0
823,3,2
824,2,0
825,3,3
826,3,1
827,2,0
828,3,1
829,2,1
830,2,0
831,2,2
832,2,0
833,2,0
834,2,1
835,2,0
836,2,0
837,2,2
838,3,3
839,2,0
840,4,4
841,2,0
842,3,3
843,4,4
844,2,0
845,2,0
846,2,2
847,4,4
848,3,3
849,3,1
850,3,1
851,3,3
852,2,2
853,2,0
854,2,0
855,3,1
856,2,0
857,2,2
858,3,1
859,2,2
860,2,2
861,2,1
862,2,0
863,2,2
864,3,3
865,3,3
866,2,2
867,2,2
868,2,2
869,2,0
870,2,2
871,2,2
872,4,4
873,3,3
874,2,2
875,2,1
876,2,2
877,2,0
878,3,3
879,4,4
880,2,2
881,2,1
882,2,0
883,2,2
884,2,0
885,3,1
886,2,2
887,3,3
888,3,3
889,3,1
890,2,2
891,4,4
892,4,4
893,4,1
894,3,1
895,2,2
896,2,0
897,2,0
898,4,4
899,2,2
900,3,3
901,2,0
902,2,0
903,2,2
904,3,1
905,2,0
906,2,2
907,3,3
908,2,2
909,2,0
910,2,2
911,2,0
912,2,0
913,2,2
914,3,3
915,2,2
916,2,0
917,4,4
918,2,1
919,2,2
920,2,1
921,2,2
922,2,0
923,2,2
924,2,2
925,2,0
926,2,0
927,3,3
928,2,2
929,2,2
930,2,0
931,4,4
932,2,2
933,3,3
934,4,4
935,4,4
936,3,1
937,2,1
938,3,3
939,3,2
940,3,2
941,3,3
942,2,0
943,3,1
944,2,2
945,2,0
946,3,3
947,2,1
948,2,1
949,2,1
950,4,4
951,3,1
952,2,2
953,2,0
954,3,3
955,2,2
956,2,2
957,4,3
958,2,2
959,3,1
960,2,2
961,2,2
962,2,0
963,2,0
964,2,2
965,3,3
966,3,3
967,2,2
968,2,2
969,2,2
970,2,0
971,2,2
972,2,2
973,4,4
974,2,1
975,4,4
976,2,2
977,2,0
978,2,2
979,2,0
980,3,1
981,2,2
982,2,0
983,3,3
984,2,2
985,2,2
986,2,1
987,2,0
988,2,2
989,2,1
990,2,0
991,2,2
992,2,2
993,2,0
994,2,2
995,3,3
996,2,2
997,2,2
998,3,1
999,2,0
1000,2,0
1001,2,0
1002,2,2
1003,2,0
1004,4,4
1005,2,2
1006,3,3
1007,2,2
1008,3,3
1009,3,2
1010,2,2
1011,4,4
1012,4,4
1013,4,4
1014,2,2
1015,4,4
1016,4,4
1017,3,2
1018,4,4
1019,2,1
1020,2,2
1021,2,0
1022,2,2
1023,2,2
1024,3,3
1025,3,3
1026,4,4
1027,3,1
1028,2,2
1029,2,2
1030,3,3
1031,3,3
1032,3,3
1033,3,3
1034,2,2
1035,4,1
1036,2,2
1037,2,2
1038,2,2
1039,2,2
1040,2,2
1041,2,2
1042,4,4
1043,2,2
1044,4,4
1045,3,3
1046,2,1
1047,4,4
1048,2,2
1049,2,0
1050,2,2
1051,4,4
1052,2,2
1053,2,0
1054,3,3
1055,2,2
1056,2,2
1057,2,1
1058,2,2
1059,3,3
1060,2,0
1061,2,2
1062,4,4
1063,3,1
1064,2,2
1065,2,0
1066,4,4
1067,2,2
1068,2,2
1069,2,2
1070,2,0
1071,2,0
1072,2,2
1073,2,2
1074,4,4
1075,2,0
1076,4,4
1077,2,2
1078,2,2
1079,3,3
1080,2,0
1081,2,2
1082,2,2
1083,2,2
1084,2,2
1085,2,1
1086,2,0
1087,3,3
1088,2,0
1089,3,3
1090,3,3
1091,3,3
1092,4,0
1093,2,2
1094,2,1
1095,2,2
1096,3,3
1097,2,2
1098,4,4
1099,3,3
1100,2,0
1101,2,2
1102,2,2
1103,4,4
1104,2,2
1105,2,2
1106,2,2
1107,2,0
1108,3,1
1109,2,2
1110,2,2
1111,2,2
1112,2,0
1113,3,3
1114,3,3
1115,4,4
1116,4,4
1117,2,2
1118,2,2
1119,2,0
1120,2,0
1121,2,1
1122,3,3
1123,2,2
1124,3,3
1125,2,2
1126,2,2
1127,2,2
1128,2,0
1129,2,0
1130,2,0
1131,2,0
1132,3,3
1133,3,3
1134,4,4
1135,3,2
1136,4,3
1137,2,2
1138,2,2
1139,4,4
1140,4,4
1141,2,1
1142,2,2
1143,4,4
1144,3,1
1145,2,1
1146,2,2
1147,4,4
1148,2,0
1149,2,2
1150,2,2
1151,2,0
1152,2,2
1153,2,2
1154,4,4
1155,3,1
1156,2,2
1157,4,4
1158,2,0
1159,2,1
1160,2,2
1161,2,2
1162,3,3
1163,2,2
1164,2,0
1165,4,4
1166,2,1
1167,2,0
1168,2,2
1169,3,3
1170,4,4
1171,4,4
1172,4,4
1173,2,2
1174,3,3
1175,4,4
1176,4,4
1177,2,1
1178,2,2
1179,2,2
1180,3,3
1181,4,4
1182,2,2
1183,4,4
1184,2,2
1185,4,4
1186,3,1
1187,4,4
1188,2,1
1189,4,4
1190,3,3
1191,2,2
1192,2,2
1193,2,0
1194,3,3
1195,2,1
1196,3,3
1197,2,2
1198,2,2
1199,3,1
1200,2,1
1201,4,4
1202,2,2
1203,3,3
1204,2,0
1205,4,4
1206,2,0
1207,2,0
1208,2,0
1209,2,2
1210,2,2
1211,4,4
1212,2,2
1213,2,2
1214,2,0
1215,2,2
1216,3,3
1217,2,0
1218,2,2
1219,3,1
1220,3,3
1221,2,2
1222,2,2
1223,2,0
1224,2,1
1225,3,3
1226,2,0
1227,3,2
1228,2,2
1229,4,4
1230,2,2
1231,2,2
1232,2,2
1233,2,2
1234,2,0
1235,2,0
1236,2,1
1237,3,3
1238,3,1
1239,2,2
1240,3,3
1241,4,4
1242,2,2
1243,3,0
1244,2,1
1245,3,3
1246,2,0
1247,2,2
1248,2,0
1249,3,3
1250,2,2
1251,3,1
1252,2,2
1253,4,3
1254,3,1
1255,2,2
1256,2,2
1257,2,0
1258,2,0
1259,2,0
1260,2,0
1261,3,1
1262,2,1
1263,2,1
1264,4,2
1265,4,2
1266,2,2
1267,2,0
1268,2,2
1269,3,3
1270,2,0
1271,2,0
1272,3,1
1273,3,1
1274,2,2
1275,4,4
1276,3,3
1277,2,0
1278,2,2
1279,2,2
1280,4,4
1281,2,2
1282,2,2
1283,3,1
1284,3,1
1285,3,1
1286,2,2
1287,3,1
1288,4,4
1289,3,3
1290,2,2
1291,2,0
1292,3,0
1293,2,2
1294,2,0
1295,2,1
1296,2,2
1297,4,4
1298,3,1
1299,2,0
1300,3,3
1301,2,2
1302,2,2
1303,3,1
1304,3,3
1305,2,1
1306,4,4
1307,2,1
1308,4,4
1309,3,1
1310,2,2
1311,2,2
1312,3,3
1313,3,1
1314,4,4
1315,2,0
1316,2,0
1317,2,0
1318,2,2
1319,2,2
1320,4,4
1321,2,2
1322,2,0
1323,2,2
1324,3,1
1325,2,1
1326,2,0
1327,2,2
1328,2,2
1329,3,3
1330,2,2
1331,2,2
1332,2,2
1333,2,2
1334,3,3
1335,2,0
1336,4,4
1337,4,4
1338,2,2
1339,2,1
1340,2,2
1341,2,0
1342,2,2
1343,4,4
1344,2,2
1345,4,4
1346,3,3
