,L2 Norm
0,0.0013329996135269043
1,-0.015131726269738997
2,-0.034083290590274706
3,-0.006518895352699297
4,-0.0011552837620870983
5,-0.0075841875842712
6,0.004137827821296198
7,-0.006940772090275001
8,-0.0056750907458596005
9,-0.006598502975430898
10,-0.0039052186820607016
11,-0.0021523247769531986
12,-0.0033620091778618997
13,-0.006865607892233701
14,-0.0015453064028544006
15,-0.0031324796203587996
16,-0.006149998323209999
17,-0.0054957338255262
18,-0.003907763041304
19,-1.6556293878700057e-05
20,-0.0054424701785154
21,-0.0009373192022919998
22,0.00017718904294150052
23,-0.0008527855674206001
24,-0.000722964405993301
25,-0.006468721240318899
26,-0.0075203124679603
27,-0.0016394099190999
28,0.0018367366146951995
29,0.0007825193819158988
30,0.0009901640562903994
31,0.0017663975193334003
32,0.0015344709017616996
33,0.0024971347770027996
34,-0.00010257276957829995
35,-0.0009290416911433997
36,-4.5273822870299865e-05
37,-0.0008937143373528005
38,-0.0008176369629590008
39,0.0009602138411049996
40,0.000429851909133
41,0.00019982524037700025
42,-0.00031453014035219985
43,0.0004002057978097001
44,0.0022813848634959
45,0.003164548557955499
46,0.0032581618058611997
47,0.004328406994805601
48,0.0040023903128564
49,0.0064465476275526
50,0.007292685562055299
51,0.00830606488565
52,0.0078352634904391
53,0.005769470301690301
54,0.0029848729208680996
55,0.0022098768201721996
56,0.0023328214258844003
57,0.0035517510222182
58,0.0038718413298524
59,0.002724032791418
60,-0.00015172765005410033
61,0.0004628678754882
62,-0.0010508710922795999
63,-0.0030244118123772
64,-0.0031259976480018
65,-0.0034193979433735
66,-0.0026421816013362
67,-0.0003244621216543001
68,0.0006521558832025
69,-0.00017534407156620004
70,0.00033555026851399966
71,0.0019187765413428998
72,0.0019704557872443997
73,-0.0007632308754614999
74,0.0003837499327291002
75,-0.0001402959617026996
76,-0.0018808645221286002
77,-0.0017685209829227003
78,-0.0008921688054835003
79,-0.001596182735238
80,-0.0018186800190967004
81,-0.0023626000152135
82,-0.0028236157362022
83,-0.0031994123611419002
84,-0.0029854502569307997
85,-0.0024998565387161
86,-0.0030447626638408997
87,-0.0022116785684463
88,-0.0016859310683498
89,-0.0015190170608906002
90,-0.0006158273903874001
91,-0.0003125019069365998
92,-0.0008022336546848999
93,-0.0007857609553144
94,-6.98545343816e-05
95,0.00017104097763760012
96,-0.00023838122044479997
97,0.0005149528684913001
98,0.0005898682138024
99,0.0
