,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,9,32,3,23,3.5555555555555554,28.125
1,9,64,2,55,7.111111111111111,14.0625
2,9,64,2,55,7.111111111111111,14.0625
3,9,64,2,55,7.111111111111111,14.0625
4,9,64,2,55,7.111111111111111,14.0625
5,9,64,2,55,7.111111111111111,14.0625
6,9,16,4,7,1.7777777777777777,56.25
7,9,64,2,55,7.111111111111111,14.0625
8,9,64,2,55,7.111111111111111,14.0625
9,9,64,2,55,7.111111111111111,14.0625
10,9,64,2,55,7.111111111111111,14.0625
11,9,64,2,55,7.111111111111111,14.0625
12,9,64,2,55,7.111111111111111,14.0625
13,9,64,2,55,7.111111111111111,14.0625
14,9,64,2,55,7.111111111111111,14.0625
15,9,16,4,7,1.7777777777777777,56.25
16,9,64,2,55,7.111111111111111,14.0625
17,9,64,2,55,7.111111111111111,14.0625
18,9,64,2,55,7.111111111111111,14.0625
19,9,64,2,55,7.111111111111111,14.0625
20,9,64,2,55,7.111111111111111,14.0625
21,9,64,2,55,7.111111111111111,14.0625
22,9,64,2,55,7.111111111111111,14.0625
23,9,64,2,55,7.111111111111111,14.0625
24,9,32,3,23,3.5555555555555554,28.125
25,9,64,2,55,7.111111111111111,14.0625
26,9,64,2,55,7.111111111111111,14.0625
27,9,64,2,55,7.111111111111111,14.0625
28,9,64,2,55,7.111111111111111,14.0625
29,9,64,2,55,7.111111111111111,14.0625
30,9,64,2,55,7.111111111111111,14.0625
31,9,64,2,55,7.111111111111111,14.0625
32,9,64,2,55,7.111111111111111,14.0625
33,9,64,2,55,7.111111111111111,14.0625
34,9,64,2,55,7.111111111111111,14.0625
35,9,16,4,7,1.7777777777777777,56.25
36,9,64,2,55,7.111111111111111,14.0625
37,9,64,2,55,7.111111111111111,14.0625
38,9,64,2,55,7.111111111111111,14.0625
39,9,64,2,55,7.111111111111111,14.0625
40,9,32,3,23,3.5555555555555554,28.125
41,9,32,3,23,3.5555555555555554,28.125
42,9,64,2,55,7.111111111111111,14.0625
43,9,32,3,23,3.5555555555555554,28.125
44,9,64,2,55,7.111111111111111,14.0625
45,9,64,2,55,7.111111111111111,14.0625
46,9,64,2,55,7.111111111111111,14.0625
47,9,64,2,55,7.111111111111111,14.0625
48,9,64,2,55,7.111111111111111,14.0625
49,9,64,2,55,7.111111111111111,14.0625
50,9,64,2,55,7.111111111111111,14.0625
51,9,64,2,55,7.111111111111111,14.0625
52,9,64,2,55,7.111111111111111,14.0625
53,9,32,3,23,3.5555555555555554,28.125
54,9,64,2,55,7.111111111111111,14.0625
55,9,64,2,55,7.111111111111111,14.0625
56,9,64,2,55,7.111111111111111,14.0625
57,9,32,3,23,3.5555555555555554,28.125
58,9,64,2,55,7.111111111111111,14.0625
59,9,64,2,55,7.111111111111111,14.0625
60,9,32,3,23,3.5555555555555554,28.125
61,9,32,3,23,3.5555555555555554,28.125
62,9,64,2,55,7.111111111111111,14.0625
63,9,64,2,55,7.111111111111111,14.0625
64,9,64,2,55,7.111111111111111,14.0625
65,9,64,2,55,7.111111111111111,14.0625
66,9,64,2,55,7.111111111111111,14.0625
67,9,64,2,55,7.111111111111111,14.0625
68,9,16,4,7,1.7777777777777777,56.25
69,9,64,2,55,7.111111111111111,14.0625
70,9,32,3,23,3.5555555555555554,28.125
71,9,64,2,55,7.111111111111111,14.0625
72,9,64,2,55,7.111111111111111,14.0625
73,9,64,2,55,7.111111111111111,14.0625
74,9,64,2,55,7.111111111111111,14.0625
75,9,32,3,23,3.5555555555555554,28.125
76,9,32,3,23,3.5555555555555554,28.125
77,9,64,2,55,7.111111111111111,14.0625
78,9,64,2,55,7.111111111111111,14.0625
79,9,64,2,55,7.111111111111111,14.0625
80,9,64,2,55,7.111111111111111,14.0625
81,9,32,3,23,3.5555555555555554,28.125
82,9,64,2,55,7.111111111111111,14.0625
83,12,32,3,20,2.6666666666666665,37.5
84,9,64,2,55,7.111111111111111,14.0625
