BRC Query,Data Size
"[6.3, 11.68, 7.9, 13.28]",2
"[1.06, 3.77, 2.66, 5.37]",2
"[4.5, 2.77, 6.1, 4.37]",4
"[6.95, 1.67, 8.55, 3.27]",4
"[1.84, 6.97, 3.4400000000000004, 8.57]",4
"[4.86, 4.71, 6.460000000000001, 6.3100000000000005]",4
"[10.39, 8.38, 11.99, 9.98]",1
"[2.56, 5.66, 4.16, 7.26]",4
"[0.06, 2.41, 1.6600000000000001, 4.01]",2
"[0, 7.44, 1.34, 9.040000000000001]",4
"[13.17, 2.77, 14.77, 4.37]",2
"[9.46, 12.9, 11.06, 14.5]",4
"[1.5, 2.07, 3.1, 3.67]",2
"[13.73, 13.69, 15, 15]",4
"[2.98, 7.6, 4.58, 9.2]",4
"[5.02, 7.7, 6.619999999999999, 9.3]",2
"[10.5, 6.89, 12.1, 8.49]",4
"[10.37, 3.42, 11.969999999999999, 5.02]",2
"[8.8, 10.29, 10.4, 11.889999999999999]",2
"[6.08, 7.76, 7.68, 9.36]",2
"[2.9, 1.58, 4.5, 3.18]",4
"[7.09, 9.31, 8.69, 10.91]",1
"[4.76, 2.83, 6.359999999999999, 4.43]",4
"[8.79, 6.96, 10.389999999999999, 8.56]",4
"[6.0, 4.1, 7.6, 5.699999999999999]",2
"[2.41, 3.5, 4.01, 5.1]",4
"[13.48, 4.47, 15, 6.07]",4
"[5.02, 2.28, 6.619999999999999, 3.88]",1
"[9.06, 0, 10.66, 1.1]",2
"[0.07, 2.19, 1.6700000000000002, 3.79]",1
"[8.77, 2.86, 10.37, 4.46]",4
"[9.59, 7.86, 11.19, 9.46]",4
"[9.26, 12.62, 10.86, 14.219999999999999]",2
"[7.78, 4.37, 9.38, 5.970000000000001]",2
"[4.56, 2.22, 6.16, 3.8200000000000003]",2
"[9.98, 11.09, 11.58, 12.69]",2
"[5.99, 3.37, 7.59, 4.970000000000001]",2
"[8.07, 2.32, 9.67, 3.92]",1
"[13.17, 4.77, 14.77, 6.369999999999999]",2
"[9.15, 7.78, 10.75, 9.38]",2
"[3.12, 0, 4.720000000000001, 1.49]",2
"[0, 7.35, 1.31, 8.95]",2
"[3.75, 10.86, 5.35, 12.459999999999999]",4
"[0.44, 13.78, 2.04, 15]",4
"[0, 10.8, 1.25, 12.4]",4
"[7.63, 9.09, 9.23, 10.69]",2
"[1.06, 9.49, 2.66, 11.09]",2
"[1.29, 12.83, 2.89, 14.43]",2
"[11.19, 0.54, 12.79, 2.14]",2
"[12.41, 10.18, 14.01, 11.78]",2
"[1.41, 11.41, 3.01, 13.01]",4
"[1.41, 11.12, 3.01, 12.719999999999999]",2
"[10.1, 2.06, 11.7, 3.66]",1
"[9.66, 5.37, 11.26, 6.970000000000001]",2
"[5.34, 11.18, 6.9399999999999995, 12.78]",1
"[11.45, 2.8, 13.049999999999999, 4.4]",4
"[0.53, 9.56, 2.13, 11.16]",4
"[12.7, 4.16, 14.299999999999999, 5.76]",2
"[11.25, 5.9, 12.85, 7.5]",2
"[6.06, 3.86, 7.66, 5.46]",2
"[13.0, 2.73, 14.6, 4.33]",4
"[9.59, 9.46, 11.19, 11.06]",4
