,DAG,KD
0,2,2
1,2,2
2,4,2
3,4,1
4,4,0
5,4,4
6,6,6
7,4,3
8,4,2
9,2,0
10,4,2
11,4,4
12,5,5
13,4,4
14,2,0
15,2,0
16,4,0
17,2,2
18,5,5
19,2,0
20,4,3
21,4,1
22,4,2
23,4,0
24,6,6
25,2,2
26,4,4
27,5,5
28,5,5
29,6,6
30,4,2
31,2,0
32,4,4
33,3,1
34,5,5
35,4,2
36,4,2
37,6,6
38,4,4
39,2,0
40,5,3
41,4,0
42,3,2
43,4,4
44,4,2
45,3,1
46,4,4
47,4,4
48,4,3
49,5,5
50,2,2
51,4,2
52,6,6
53,4,4
54,4,2
55,3,2
56,4,4
57,5,5
58,4,3
59,2,2
60,4,2
61,4,4
62,5,1
63,5,5
64,4,2
65,4,4
66,4,1
67,2,2
68,4,2
69,4,2
70,4,3
71,2,2
72,6,6
73,2,2
74,4,2
75,4,2
76,4,4
77,5,5
78,2,2
79,4,4
80,6,6
81,3,3
82,5,3
83,4,2
84,4,2
85,4,4
86,4,2
87,6,6
88,2,2
89,3,1
90,3,2
91,6,6
92,4,4
93,3,2
94,4,4
95,4,4
96,5,3
97,4,4
98,6,6
99,4,1
100,4,4
101,2,2
102,5,3
103,3,3
104,4,4
105,2,2
106,3,1
107,5,3
108,4,4
109,4,0
110,4,4
111,3,2
112,4,0
113,4,4
114,4,4
115,4,4
116,5,1
117,4,4
118,4,4
119,4,0
120,4,2
121,4,4
122,5,1
123,4,4
124,4,4
125,4,4
126,2,0
127,5,5
128,4,4
129,3,1
130,4,2
131,5,5
132,4,4
133,2,0
134,6,6
135,4,4
136,2,2
137,5,5
138,3,1
139,4,4
140,3,2
141,4,4
142,4,3
143,4,4
144,3,3
145,3,1
146,4,4
147,3,3
148,2,2
149,3,1
150,4,0
151,4,3
152,4,2
153,3,2
154,4,3
155,5,5
156,3,3
157,5,5
158,4,4
159,5,5
160,4,1
161,4,3
162,2,2
163,4,3
164,5,5
165,4,2
166,4,4
167,4,1
168,4,4
169,3,3
170,4,4
171,4,4
172,2,2
173,5,5
174,3,2
175,4,4
176,5,3
177,5,5
178,4,4
179,4,2
180,3,3
181,4,1
182,3,3
183,5,1
184,4,1
185,4,4
186,4,2
187,4,4
188,4,0
189,4,2
190,4,4
191,2,2
192,4,3
193,5,5
194,4,4
195,4,2
196,3,3
197,5,3
198,5,5
199,4,2
200,4,4
201,4,3
202,4,4
203,4,4
204,4,4
205,4,3
206,4,1
207,2,2
208,4,4
209,2,2
210,3,3
211,4,4
212,2,2
213,4,3
214,3,3
215,3,2
216,4,3
217,4,1
218,4,4
219,6,6
220,5,5
221,4,2
222,5,5
223,4,0
224,2,2
225,2,0
226,4,4
227,5,3
228,2,0
229,4,2
230,4,4
231,3,3
232,4,4
233,4,4
234,2,0
235,3,3
236,2,0
237,4,4
238,2,2
239,4,4
240,2,2
241,5,5
242,4,4
243,4,2
244,2,1
245,4,2
246,5,1
247,4,4
248,2,2
249,2,2
250,4,4
251,3,3
252,4,2
253,4,4
254,2,0
255,6,6
256,5,5
257,5,5
258,4,4
259,5,5
260,5,3
261,3,1
262,4,2
263,4,2
264,4,3
265,5,5
266,4,4
267,6,6
268,2,2
269,4,4
270,4,4
271,3,3
272,4,4
273,3,0
274,4,0
275,6,6
276,4,4
277,4,4
278,5,5
279,4,0
280,2,0
281,4,0
282,2,0
283,3,1
284,2,2
285,4,4
286,4,0
287,4,4
288,2,2
289,4,2
290,4,4
291,4,3
292,4,4
293,4,2
294,6,6
295,5,5
296,3,0
297,4,4
298,4,0
299,2,2
300,3,3
301,3,3
302,4,4
303,4,3
304,5,3
305,2,2
306,4,1
307,2,0
308,4,4
309,4,1
310,3,0
311,4,3
