,DAG,KD
0,2,0
1,3,1
2,2,0
3,3,3
4,3,3
5,2,1
6,2,2
7,2,0
8,2,1
9,2,2
10,2,2
11,2,1
12,2,2
13,2,2
14,2,2
15,2,0
16,2,2
17,4,4
18,3,1
19,3,1
20,2,2
21,3,3
22,2,2
23,2,0
24,2,0
25,2,2
26,2,2
27,3,3
28,2,2
29,3,1
30,3,1
31,2,2
32,2,1
33,2,0
34,3,3
35,2,0
36,2,2
37,2,2
38,3,3
39,2,2
40,3,3
41,3,3
42,2,2
43,4,4
44,2,0
45,2,0
46,4,4
47,2,2
48,2,2
49,3,1
50,3,3
51,3,3
52,2,0
53,2,0
54,2,1
55,3,1
56,2,0
57,4,4
58,2,1
59,2,0
60,2,0
61,2,0
62,2,2
63,2,0
64,2,0
65,2,0
66,2,0
67,2,2
68,3,1
69,2,2
70,3,1
71,2,2
72,2,2
73,3,3
74,2,2
75,2,2
76,2,2
77,2,2
78,4,4
79,3,1
80,2,0
81,2,2
82,2,0
83,2,2
84,2,2
85,2,2
86,2,0
87,2,1
88,2,2
89,2,1
90,2,0
91,2,0
92,2,2
93,2,2
94,2,2
95,2,0
96,3,1
97,3,3
98,3,1
99,2,1
100,4,4
101,3,3
102,3,3
103,2,1
104,3,1
105,4,4
106,2,0
107,2,2
108,2,0
109,2,0
110,4,4
111,2,2
112,2,2
113,4,4
114,3,3
115,2,2
116,2,2
117,2,2
118,2,0
119,2,1
120,2,0
121,2,0
122,3,3
123,4,4
124,3,3
125,3,1
126,4,4
127,3,1
128,2,2
129,2,1
130,3,3
131,2,2
132,3,3
133,2,2
134,2,0
135,2,0
136,2,2
137,3,3
138,2,0
139,3,3
140,2,2
141,2,0
142,2,0
143,2,1
144,2,2
145,2,0
146,3,3
147,2,0
148,2,1
149,2,0
150,2,2
151,2,1
152,3,1
153,2,0
154,2,1
155,2,1
156,2,2
157,2,0
158,4,4
159,3,3
160,3,3
161,2,0
162,2,2
163,2,2
164,2,2
165,2,2
166,3,1
167,4,4
168,2,1
169,2,2
170,2,0
171,2,1
172,4,4
173,2,2
174,2,1
175,3,1
176,2,1
177,2,2
178,2,2
179,4,4
180,2,2
181,3,3
182,3,3
183,2,2
184,2,2
185,3,3
186,4,4
187,2,2
188,2,0
189,4,4
190,2,2
191,3,3
192,2,0
193,2,1
194,2,2
195,2,2
196,2,2
197,4,4
198,2,0
199,2,0
200,2,2
201,2,1
202,2,2
203,3,1
204,2,0
205,3,3
206,2,2
207,3,3
208,2,2
209,3,3
210,4,4
211,2,1
212,3,3
213,3,1
214,2,2
215,3,1
216,3,3
217,2,2
218,2,2
219,2,1
220,3,3
221,2,0
222,2,1
223,3,1
224,3,3
225,2,0
226,2,0
227,3,1
228,4,4
229,3,3
230,3,3
231,2,0
232,2,2
233,3,3
234,2,1
235,2,2
236,2,1
237,2,2
238,2,2
239,2,0
240,2,2
241,4,4
242,2,0
243,2,1
244,2,2
245,2,0
246,4,4
247,2,2
248,2,2
249,2,2
250,2,2
251,2,0
252,2,2
253,3,1
254,3,1
255,3,3
256,2,2
257,2,0
258,2,0
259,3,3
260,2,0
261,3,2
262,3,3
263,2,0
264,3,1
265,3,1
266,4,4
267,2,2
268,2,0
269,3,3
270,2,2
271,2,1
272,3,3
273,3,1
274,2,2
275,2,2
276,2,2
277,2,2
278,2,2
279,2,1
280,2,1
281,2,2
282,2,1
283,2,0
284,2,2
285,2,2
286,2,0
287,2,2
288,2,1
289,2,1
290,2,2
291,2,2
292,3,3
293,2,0
294,2,0
295,2,1
296,2,2
297,3,1
298,2,2
299,3,1
300,2,2
301,3,3
302,3,3
303,2,0
304,3,3
305,2,0
306,4,4
307,2,0
308,2,2
309,4,4
310,3,3
311,2,0
312,4,4
313,3,3
314,4,4
315,4,4
316,2,2
317,2,0
318,4,4
319,2,0
320,2,1
321,2,2
322,3,1
323,2,2
324,2,0
325,2,0
326,4,4
327,3,1
328,2,2
329,2,2
330,2,1
331,2,0
332,2,0
333,2,2
334,4,4
335,4,4
336,4,4
337,2,2
338,2,2
339,2,0
340,2,1
341,2,2
342,2,2
343,3,1
344,3,3
345,2,1
346,2,0
347,2,0
348,2,2
349,2,0
350,2,2
351,4,4
352,3,3
353,3,3
354,2,0
355,2,2
356,2,0
357,2,2
358,2,2
359,2,0
360,3,3
361,4,4
362,2,2
363,2,1
364,3,3
365,4,4
366,2,0
367,2,2
368,2,1
369,3,1
370,2,2
371,4,4
372,3,3
373,2,0
374,2,2
375,2,2
376,2,2
377,2,0
378,2,0
379,2,1
380,3,3
381,3,3
382,2,0
383,2,2
384,2,2
385,2,0
386,2,2
387,2,2
388,2,1
389,2,2
390,2,2
391,2,2
392,3,1
393,2,2
394,2,2
395,2,2
396,2,0
397,2,2
398,2,2
399,2,2
400,2,1
401,2,0
402,2,0
403,2,2
404,2,0
405,2,0
406,2,0
407,2,2
408,2,2
409,2,2
410,2,2
411,3,1
412,2,2
413,2,2
414,2,1
415,2,2
416,2,2
417,3,3
