,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,2,64,2,62,32.0,3.125
1,2,64,2,62,32.0,3.125
2,4,16,4,12,4.0,25.0
3,4,16,4,12,4.0,25.0
4,4,16,4,12,4.0,25.0
5,4,16,4,12,4.0,25.0
6,1,4,6,3,4.0,25.0
7,4,16,4,12,4.0,25.0
8,2,16,4,14,8.0,12.5
9,4,64,2,60,16.0,6.25
10,2,16,4,14,8.0,12.5
11,4,16,4,12,4.0,25.0
12,2,8,5,6,4.0,25.0
13,4,16,4,12,4.0,25.0
14,4,64,2,60,16.0,6.25
15,2,64,2,62,32.0,3.125
16,4,16,4,12,4.0,25.0
17,2,64,2,62,32.0,3.125
18,2,8,5,6,4.0,25.0
19,2,64,2,62,32.0,3.125
20,4,16,4,12,4.0,25.0
21,1,16,4,15,16.0,6.25
22,4,16,4,12,4.0,25.0
23,4,16,4,12,4.0,25.0
24,2,4,6,2,2.0,50.0
25,4,64,2,60,16.0,6.25
26,4,16,4,12,4.0,25.0
27,1,8,5,7,8.0,12.5
28,2,8,5,6,4.0,25.0
29,1,4,6,3,4.0,25.0
30,4,16,4,12,4.0,25.0
31,4,64,2,60,16.0,6.25
32,2,16,4,14,8.0,12.5
33,2,32,3,30,16.0,6.25
34,2,8,5,6,4.0,25.0
35,2,16,4,14,8.0,12.5
36,2,16,4,14,8.0,12.5
37,1,4,6,3,4.0,25.0
38,2,16,4,14,8.0,12.5
39,2,64,2,62,32.0,3.125
40,2,8,5,6,4.0,25.0
41,2,16,4,14,8.0,12.5
42,4,32,3,28,8.0,12.5
43,4,16,4,12,4.0,25.0
44,4,16,4,12,4.0,25.0
45,2,32,3,30,16.0,6.25
46,2,16,4,14,8.0,12.5
47,2,16,4,14,8.0,12.5
48,2,16,4,14,8.0,12.5
49,2,8,5,6,4.0,25.0
50,4,64,2,60,16.0,6.25
51,2,16,4,14,8.0,12.5
52,1,4,6,3,4.0,25.0
53,2,16,4,14,8.0,12.5
54,1,16,4,15,16.0,6.25
55,4,32,3,28,8.0,12.5
56,4,16,4,12,4.0,25.0
57,2,8,5,6,4.0,25.0
58,2,16,4,14,8.0,12.5
59,2,64,2,62,32.0,3.125
60,4,16,4,12,4.0,25.0
61,4,16,4,12,4.0,25.0
62,2,8,5,6,4.0,25.0
63,1,8,5,7,8.0,12.5
64,4,16,4,12,4.0,25.0
65,2,16,4,14,8.0,12.5
66,2,16,4,14,8.0,12.5
67,2,64,2,62,32.0,3.125
68,1,16,4,15,16.0,6.25
69,4,16,4,12,4.0,25.0
70,4,16,4,12,4.0,25.0
71,2,64,2,62,32.0,3.125
72,1,4,6,3,4.0,25.0
73,2,64,2,62,32.0,3.125
74,2,16,4,14,8.0,12.5
75,2,16,4,14,8.0,12.5
76,2,16,4,14,8.0,12.5
77,2,8,5,6,4.0,25.0
78,4,64,2,60,16.0,6.25
79,2,16,4,14,8.0,12.5
80,1,4,6,3,4.0,25.0
81,2,32,3,30,16.0,6.25
82,2,8,5,6,4.0,25.0
83,4,16,4,12,4.0,25.0
84,1,16,4,15,16.0,6.25
85,4,16,4,12,4.0,25.0
86,2,16,4,14,8.0,12.5
87,1,4,6,3,4.0,25.0
88,4,64,2,60,16.0,6.25
89,4,32,3,28,8.0,12.5
90,2,32,3,30,16.0,6.25
91,1,4,6,3,4.0,25.0
92,1,16,4,15,16.0,6.25
93,4,32,3,28,8.0,12.5
94,4,16,4,12,4.0,25.0
95,2,16,4,14,8.0,12.5
96,1,8,5,7,8.0,12.5
97,4,16,4,12,4.0,25.0
98,2,4,6,2,2.0,50.0
99,4,16,4,12,4.0,25.0
100,4,16,4,12,4.0,25.0
101,4,64,2,60,16.0,6.25
102,1,8,5,7,8.0,12.5
103,4,32,3,28,8.0,12.5
104,4,16,4,12,4.0,25.0
105,2,64,2,62,32.0,3.125
106,4,32,3,28,8.0,12.5
107,1,8,5,7,8.0,12.5
108,2,16,4,14,8.0,12.5
109,2,16,4,14,8.0,12.5
110,2,16,4,14,8.0,12.5
111,4,32,3,28,8.0,12.5
112,2,16,4,14,8.0,12.5
113,4,16,4,12,4.0,25.0
114,2,16,4,14,8.0,12.5
115,2,16,4,14,8.0,12.5
116,2,8,5,6,4.0,25.0
117,2,16,4,14,8.0,12.5
118,2,16,4,14,8.0,12.5
119,2,16,4,14,8.0,12.5
120,2,16,4,14,8.0,12.5
121,2,16,4,14,8.0,12.5
122,1,8,5,7,8.0,12.5
123,2,16,4,14,8.0,12.5
124,2,16,4,14,8.0,12.5
125,4,16,4,12,4.0,25.0
126,2,64,2,62,32.0,3.125
127,2,8,5,6,4.0,25.0
128,2,16,4,14,8.0,12.5
129,4,32,3,28,8.0,12.5
130,4,16,4,12,4.0,25.0
131,2,8,5,6,4.0,25.0
132,2,16,4,14,8.0,12.5
133,4,64,2,60,16.0,6.25
134,2,4,6,2,2.0,50.0
135,4,16,4,12,4.0,25.0
136,2,64,2,62,32.0,3.125
137,2,8,5,6,4.0,25.0
138,4,32,3,28,8.0,12.5
139,4,16,4,12,4.0,25.0
140,2,32,3,30,16.0,6.25
141,2,16,4,14,8.0,12.5
142,1,16,4,15,16.0,6.25
143,2,16,4,14,8.0,12.5
144,4,32,3,28,8.0,12.5
145,4,32,3,28,8.0,12.5
146,2,16,4,14,8.0,12.5
147,4,32,3,28,8.0,12.5
148,2,64,2,62,32.0,3.125
149,2,32,3,30,16.0,6.25
150,2,16,4,14,8.0,12.5
151,4,16,4,12,4.0,25.0
152,1,16,4,15,16.0,6.25
153,4,32,3,28,8.0,12.5
154,4,16,4,12,4.0,25.0
155,2,8,5,6,4.0,25.0
156,4,32,3,28,8.0,12.5
157,2,8,5,6,4.0,25.0
158,4,16,4,12,4.0,25.0
159,2,8,5,6,4.0,25.0
160,4,16,4,12,4.0,25.0
161,4,16,4,12,4.0,25.0
162,2,64,2,62,32.0,3.125
163,2,16,4,14,8.0,12.5
164,1,8,5,7,8.0,12.5
165,4,16,4,12,4.0,25.0
166,4,16,4,12,4.0,25.0
167,2,16,4,14,8.0,12.5
168,4,16,4,12,4.0,25.0
169,2,32,3,30,16.0,6.25
170,2,16,4,14,8.0,12.5
171,2,16,4,14,8.0,12.5
172,4,64,2,60,16.0,6.25
173,2,8,5,6,4.0,25.0
174,2,32,3,30,16.0,6.25
175,4,16,4,12,4.0,25.0
176,2,8,5,6,4.0,25.0
177,2,8,5,6,4.0,25.0
178,4,16,4,12,4.0,25.0
179,2,16,4,14,8.0,12.5
180,4,32,3,28,8.0,12.5
181,4,16,4,12,4.0,25.0
182,2,32,3,30,16.0,6.25
183,1,8,5,7,8.0,12.5
184,2,16,4,14,8.0,12.5
185,4,16,4,12,4.0,25.0
186,1,16,4,15,16.0,6.25
187,4,16,4,12,4.0,25.0
188,1,16,4,15,16.0,6.25
189,4,16,4,12,4.0,25.0
190,2,16,4,14,8.0,12.5
191,2,64,2,62,32.0,3.125
192,4,16,4,12,4.0,25.0
193,1,8,5,7,8.0,12.5
194,2,16,4,14,8.0,12.5
195,1,16,4,15,16.0,6.25
196,2,32,3,30,16.0,6.25
197,1,8,5,7,8.0,12.5
198,1,8,5,7,8.0,12.5
199,4,16,4,12,4.0,25.0
200,4,16,4,12,4.0,25.0
201,2,16,4,14,8.0,12.5
202,1,16,4,15,16.0,6.25
203,4,16,4,12,4.0,25.0
204,1,16,4,15,16.0,6.25
205,4,16,4,12,4.0,25.0
206,1,16,4,15,16.0,6.25
207,4,64,2,60,16.0,6.25
208,2,16,4,14,8.0,12.5
209,4,64,2,60,16.0,6.25
210,2,32,3,30,16.0,6.25
211,4,16,4,12,4.0,25.0
212,2,64,2,62,32.0,3.125
213,4,16,4,12,4.0,25.0
214,4,32,3,28,8.0,12.5
215,4,32,3,28,8.0,12.5
216,4,16,4,12,4.0,25.0
217,4,16,4,12,4.0,25.0
218,1,16,4,15,16.0,6.25
219,1,4,6,3,4.0,25.0
220,2,8,5,6,4.0,25.0
221,2,16,4,14,8.0,12.5
222,1,8,5,7,8.0,12.5
223,1,16,4,15,16.0,6.25
224,2,64,2,62,32.0,3.125
225,4,64,2,60,16.0,6.25
226,4,16,4,12,4.0,25.0
227,1,8,5,7,8.0,12.5
228,2,64,2,62,32.0,3.125
229,2,16,4,14,8.0,12.5
230,2,16,4,14,8.0,12.5
231,2,32,3,30,16.0,6.25
232,2,16,4,14,8.0,12.5
233,2,16,4,14,8.0,12.5
234,2,64,2,62,32.0,3.125
235,4,32,3,28,8.0,12.5
236,4,64,2,60,16.0,6.25
237,4,16,4,12,4.0,25.0
238,2,64,2,62,32.0,3.125
239,2,16,4,14,8.0,12.5
240,4,64,2,60,16.0,6.25
241,1,8,5,7,8.0,12.5
242,4,16,4,12,4.0,25.0
243,4,16,4,12,4.0,25.0
244,4,64,2,60,16.0,6.25
245,1,16,4,15,16.0,6.25
246,1,8,5,7,8.0,12.5
247,4,16,4,12,4.0,25.0
248,2,64,2,62,32.0,3.125
249,4,64,2,60,16.0,6.25
250,2,16,4,14,8.0,12.5
251,2,32,3,30,16.0,6.25
252,2,16,4,14,8.0,12.5
253,2,16,4,14,8.0,12.5
254,4,64,2,60,16.0,6.25
255,1,4,6,3,4.0,25.0
256,2,8,5,6,4.0,25.0
257,1,8,5,7,8.0,12.5
258,2,16,4,14,8.0,12.5
259,2,8,5,6,4.0,25.0
260,1,8,5,7,8.0,12.5
261,4,32,3,28,8.0,12.5
262,4,16,4,12,4.0,25.0
263,2,16,4,14,8.0,12.5
264,2,16,4,14,8.0,12.5
265,2,8,5,6,4.0,25.0
266,2,16,4,14,8.0,12.5
267,2,4,6,2,2.0,50.0
268,4,64,2,60,16.0,6.25
269,4,16,4,12,4.0,25.0
270,2,16,4,14,8.0,12.5
271,2,32,3,30,16.0,6.25
272,2,16,4,14,8.0,12.5
273,4,32,3,28,8.0,12.5
274,2,16,4,14,8.0,12.5
275,1,4,6,3,4.0,25.0
276,4,16,4,12,4.0,25.0
277,2,16,4,14,8.0,12.5
278,1,8,5,7,8.0,12.5
279,2,16,4,14,8.0,12.5
280,4,64,2,60,16.0,6.25
281,4,16,4,12,4.0,25.0
282,2,64,2,62,32.0,3.125
283,2,32,3,30,16.0,6.25
284,4,64,2,60,16.0,6.25
285,4,16,4,12,4.0,25.0
286,2,16,4,14,8.0,12.5
287,4,16,4,12,4.0,25.0
288,2,64,2,62,32.0,3.125
289,1,16,4,15,16.0,6.25
290,2,16,4,14,8.0,12.5
291,4,16,4,12,4.0,25.0
292,4,16,4,12,4.0,25.0
293,2,16,4,14,8.0,12.5
294,1,4,6,3,4.0,25.0
295,2,8,5,6,4.0,25.0
296,4,32,3,28,8.0,12.5
297,1,16,4,15,16.0,6.25
298,1,16,4,15,16.0,6.25
299,4,64,2,60,16.0,6.25
300,4,32,3,28,8.0,12.5
301,4,32,3,28,8.0,12.5
302,2,16,4,14,8.0,12.5
303,4,16,4,12,4.0,25.0
304,2,8,5,6,4.0,25.0
305,2,64,2,62,32.0,3.125
306,4,16,4,12,4.0,25.0
307,4,64,2,60,16.0,6.25
308,2,16,4,14,8.0,12.5
309,1,16,4,15,16.0,6.25
310,4,32,3,28,8.0,12.5
311,2,16,4,14,8.0,12.5
312,2,16,4,14,8.0,12.5
313,2,16,4,14,8.0,12.5
314,1,4,6,3,4.0,25.0
315,4,64,2,60,16.0,6.25
316,1,4,6,3,4.0,25.0
