,L2 Norm
0,-0.0704140541455971
1,-0.011664999024326494
2,-0.021643599608110898
3,-0.0017466470630397996
4,-0.0093334149949288
5,-0.0059283410930395
6,-0.005173890421350299
7,-0.015682423577861
8,-0.0241315287022522
9,-0.0193745308308926
10,-0.0216140042079741
11,-0.0120876943735835
12,-0.008615225456819801
13,-0.0095831699385208
14,-0.005732194399565198
15,-0.0001281857170987999
16,0.0034257541452115004
17,0.0046503741401162
18,0.002323006691162201
19,0.004594824063571002
20,0.0057899124332574
21,0.005479597906509899
22,0.0041342059267692015
23,0.004757726626467899
24,0.0046392047948253
25,0.008527764736266501
26,0.005007601367911001
27,0.004063182038783799
28,0.0026185729796499996
29,0.0020021843863016007
30,-0.0033981582695066003
31,-0.0018579210563776996
32,-0.0044557286466282995
33,-0.0072677009073091
34,-0.006733607712491101
35,-0.0074099466084030004
36,-0.0058654651047764
37,-0.0052614848617815
38,-0.0095995253296251
39,-0.006333342614650201
40,-0.005630460958548701
41,-0.0077633787496891
42,-0.0084217640847277
43,-0.006528248514060701
44,-0.0042493818748113
45,-0.003907036987232701
46,-0.006944400178228699
47,-0.0065251027453074005
48,-0.003946996047544399
49,-0.0032037189338142997
50,-0.0056164254770984
51,-0.0066253104384245
52,-0.006975064880714601
53,-0.0083501899119149
54,-0.0076837619309212
55,-0.0087062287298616
56,-0.0082706674509345
57,-0.0073950649284977
58,-0.0072759411633018
59,-0.0057716949014257
60,-0.0056453044016741005
61,-0.004621664935179799
62,-0.005330849040203501
63,-0.0062790623790157
64,-0.0061892655657003
65,-0.0055112211378264
66,-0.005929148195986601
67,-0.0059604342033646
68,-0.0051949851319009
69,-0.0057980160182232
70,-0.0050768147355172
71,-0.0037443084414636
72,-0.0026484844532357996
73,-0.0014278822869707
74,-0.0014903718428068997
75,-0.0009014647408166002
76,-0.0015293792808941994
77,-0.0014838835232939
78,-3.757277585090049e-05
79,-0.0008069146148840002
80,-0.00044948017694389957
81,-0.0011670264969147002
82,-0.0009445306867550004
83,-0.0019270629781560997
84,-0.00042778850974590013
85,-0.0012270898338927
86,-0.00027433868095400006
87,9.168440308000066e-06
88,-0.00011876272865969997
89,-0.0009434836186468002
90,-0.0014191005837799003
91,-0.0017789726525164
92,-0.0016794542968646999
93,-0.0013462573711470998
94,-0.00035523658417290003
95,0.0001120913628772
96,-0.00046195495615749984
97,-0.00016043966875579994
98,-0.0004026208606726999
99,0.0
