BRC Query,Data Size
"[26.8, 25.66, 30.64, 29.5]",16
"[18.47, 24.18, 22.31, 28.02]",16
"[27.64, 15.68, 31, 19.52]",16
"[9.69, 19.56, 13.53, 23.4]",16
"[17.33, 19.26, 21.169999999999998, 23.1]",16
"[0, 24.13, 3.5, 27.97]",12
"[22.31, 16.23, 26.15, 20.07]",16
"[11.94, 1.28, 15.78, 5.12]",16
"[7.16, 9.81, 11.0, 13.65]",16
"[11.71, 2.01, 15.55, 5.85]",12
"[8.25, 24.88, 12.09, 28.72]",16
"[19.16, 4.53, 23.0, 8.370000000000001]",16
"[12.57, 7.61, 16.41, 11.45]",16
"[4.16, 24.29, 8.0, 28.13]",16
"[22.01, 13.12, 25.85, 16.96]",9
"[27.54, 18.08, 31, 21.919999999999998]",12
"[19.63, 0.97, 23.47, 4.81]",16
"[23.05, 3.64, 26.89, 7.48]",12
"[24.67, 14.57, 28.51, 18.41]",16
"[13.63, 2.91, 17.47, 6.75]",16
"[1.28, 18.84, 5.12, 22.68]",16
"[4.64, 16.24, 8.48, 20.08]",16
"[15.39, 6.1, 19.23, 9.94]",12
"[27.31, 0.28, 31, 4.12]",16
"[26.73, 18.53, 30.57, 22.37]",16
"[10.11, 12.22, 13.95, 16.060000000000002]",12
"[9.04, 17.46, 12.879999999999999, 21.3]",12
"[4.31, 10.64, 8.149999999999999, 14.48]",16
"[1.28, 18.22, 5.12, 22.06]",16
"[24.35, 7.31, 28.19, 11.149999999999999]",16
"[11.01, 9.87, 14.85, 13.709999999999999]",12
"[14.67, 14.16, 18.509999999999998, 18.0]",16
"[20.74, 15.48, 24.58, 19.32]",16
"[8.74, 26.88, 12.58, 30.72]",16
"[2.69, 2.15, 6.529999999999999, 5.99]",12
"[19.05, 22.9, 22.89, 26.74]",12
"[27.06, 10.21, 30.9, 14.05]",12
"[15.76, 20.21, 19.6, 24.05]",16
"[14.36, 7.32, 18.2, 11.16]",16
"[21.89, 18.93, 25.73, 22.77]",16
"[24.53, 1.53, 28.37, 5.37]",16
"[13.29, 21.81, 17.13, 25.65]",16
"[2.5, 21.75, 6.34, 25.59]",16
"[26.86, 22.59, 30.7, 26.43]",16
"[0.81, 1.4, 4.65, 5.24]",16
"[25.43, 21.15, 29.27, 24.99]",12
"[25.56, 7.48, 29.4, 11.32]",16
"[17.33, 0.42, 21.169999999999998, 4.26]",16
"[12.41, 14.82, 16.25, 18.66]",16
"[7.52, 24.01, 11.36, 27.85]",12
"[19.43, 10.34, 23.27, 14.18]",16
"[10.87, 19.2, 14.709999999999999, 23.04]",16
"[7.72, 11.87, 11.559999999999999, 15.709999999999999]",16
"[5.41, 25.21, 9.25, 29.05]",16
"[17.08, 2.48, 20.919999999999998, 6.32]",12
"[8.36, 0, 12.2, 3.69]",16
"[9.68, 17.43, 13.52, 21.27]",16
"[19.62, 9.67, 23.46, 13.51]",16
"[22.04, 9.1, 25.88, 12.94]",9
"[8.09, 14.56, 11.93, 18.4]",12
"[15.41, 27.54, 19.25, 31]",16
"[12.23, 27.5, 16.07, 31]",16
"[17.03, 2.85, 20.87, 6.6899999999999995]",12
"[22.13, 4.54, 25.97, 8.379999999999999]",12
"[11.94, 2.5, 15.78, 6.34]",16
"[6.35, 13.86, 10.19, 17.7]",16
"[7.96, 1.45, 11.8, 5.29]",16
"[17.7, 24.41, 21.54, 28.25]",16
"[3.64, 4.37, 7.48, 8.21]",16
"[10.28, 2.34, 14.12, 6.18]",16
"[9.11, 21.01, 12.95, 24.85]",9
"[4.79, 16.58, 8.629999999999999, 20.419999999999998]",16
"[7.82, 21.51, 11.66, 25.35]",16
"[9.42, 26.46, 13.26, 30.3]",16
"[27.65, 9.6, 31, 13.44]",16
"[16.36, 26.67, 20.2, 30.51]",16
"[6.44, 6.98, 10.280000000000001, 10.82]",16
"[11.48, 0, 15.32, 3.3899999999999997]",16
"[6.27, 25.36, 10.11, 29.2]",16
"[7.38, 9.04, 11.219999999999999, 12.879999999999999]",12
"[18.69, 8.16, 22.53, 12.0]",16
"[12.33, 21.46, 16.17, 25.3]",16
"[1.59, 17.61, 5.43, 21.45]",16
"[22.71, 24.83, 26.55, 28.669999999999998]",16
"[27.15, 9.69, 30.99, 13.53]",12
"[3.18, 18.35, 7.02, 22.19]",16
"[23.65, 25.48, 27.49, 29.32]",16
"[18.24, 10.67, 22.08, 14.51]",16
"[8.58, 9.16, 12.42, 13.0]",16
"[14.79, 22.45, 18.63, 26.29]",16
"[9.24, 27.27, 13.08, 31]",16
"[13.1, 17.66, 16.939999999999998, 21.5]",12
"[8.99, 27.46, 12.83, 31]",16
"[4.56, 24.34, 8.399999999999999, 28.18]",16
"[25.45, 8.14, 29.29, 11.98]",12
"[4.69, 5.17, 8.530000000000001, 9.01]",16
"[12.68, 13.27, 16.52, 17.11]",16
"[19.79, 3.41, 23.63, 7.25]",16
"[24.45, 10.57, 28.29, 14.41]",16
"[12.46, 18.96, 16.3, 22.8]",16
"[14.23, 1.19, 18.07, 5.029999999999999]",16
"[6.93, 0.93, 10.77, 4.77]",16
"[13.12, 8.63, 16.96, 12.47]",12
"[18.96, 17.36, 22.8, 21.2]",16
"[23.87, 1.15, 27.71, 4.99]",12
"[21.25, 21.43, 25.09, 25.27]",16
"[18.35, 10.66, 22.19, 14.5]",16
"[11.09, 25.94, 14.93, 29.78]",12
"[12.9, 6.76, 16.740000000000002, 10.6]",16
"[18.65, 0.79, 22.49, 4.63]",16
"[0.17, 1.56, 4.01, 5.4]",16
"[18.35, 0.13, 22.19, 3.9699999999999998]",12
"[26.81, 0, 30.65, 3.4899999999999998]",16
"[1.89, 8.04, 5.7299999999999995, 11.879999999999999]",12
"[4.76, 10.67, 8.6, 14.51]",16
"[0, 2.12, 3.71, 5.96]",12
"[25.48, 8.64, 29.32, 12.48]",16
"[3.19, 22.55, 7.029999999999999, 26.39]",16
"[23.56, 12.43, 27.4, 16.27]",16
"[10.26, 12.36, 14.1, 16.2]",16
"[9.68, 14.95, 13.52, 18.79]",16
"[26.22, 13.84, 30.06, 17.68]",16
"[18.91, 0.34, 22.75, 4.18]",16
"[2.94, 22.87, 6.779999999999999, 26.71]",16
"[15.46, 2.49, 19.3, 6.33]",16
"[25.8, 26.75, 29.64, 30.59]",16
"[23.11, 22.75, 26.95, 26.59]",12
"[21.94, 25.23, 25.78, 29.07]",16
"[5.45, 22.49, 9.29, 26.33]",16
"[12.45, 23.1, 16.29, 26.94]",12
"[1.04, 10.08, 4.88, 13.92]",9
"[27.35, 4.49, 31, 8.33]",16
"[14.96, 26.83, 18.8, 30.669999999999998]",16
"[21.2, 3.38, 25.04, 7.22]",16
"[7.64, 16.94, 11.48, 20.78]",16
"[26.34, 4.98, 30.18, 8.82]",16
"[16.85, 9.31, 20.69, 13.15]",16
"[19.56, 9.5, 23.4, 13.34]",16
"[15.68, 20.73, 19.52, 24.57]",16
"[27.01, 8.83, 30.85, 12.67]",12
"[13.14, 0, 16.98, 3.54]",12
"[1.53, 8.06, 5.37, 11.9]",12
"[26.87, 1.04, 30.71, 4.88]",12
"[15.14, 26.42, 18.98, 30.26]",12
"[16.08, 2.63, 19.919999999999998, 6.47]",12
"[8.77, 10.46, 12.61, 14.3]",16
"[26.12, 7.31, 29.96, 11.149999999999999]",12
"[22.66, 17.2, 26.5, 21.04]",16
"[8.66, 23.52, 12.5, 27.36]",16
"[7.54, 14.48, 11.379999999999999, 18.32]",16
"[9.62, 25.6, 13.459999999999999, 29.44]",16
"[11.2, 17.77, 15.04, 21.61]",16
"[10.71, 11.98, 14.55, 15.82]",16
"[15.44, 20.17, 19.28, 24.01]",16
"[0, 12.81, 3.65, 16.65]",16
"[23.85, 10.82, 27.69, 14.66]",16
"[14.93, 17.41, 18.77, 21.25]",16
"[5.49, 19.68, 9.33, 23.52]",16
"[13.21, 14.8, 17.05, 18.64]",16
"[13.01, 21.14, 16.85, 24.98]",9
"[0, 0.79, 3.48, 4.63]",16
"[19.92, 18.11, 23.76, 21.95]",12
"[9.98, 8.46, 13.82, 12.3]",16
"[21.39, 20.3, 25.23, 24.14]",16
"[8.03, 5.65, 11.87, 9.49]",12
"[2.89, 13.8, 6.73, 17.64]",16
"[12.24, 17.16, 16.08, 21.0]",16
"[20.13, 13.2, 23.97, 17.04]",12
"[23.58, 24.69, 27.419999999999998, 28.53]",16
"[11.3, 3.44, 15.14, 7.279999999999999]",16
"[12.61, 9.53, 16.45, 13.37]",16
"[22.34, 17.85, 26.18, 21.69]",16
"[12.26, 0, 16.1, 3.48]",16
"[16.73, 10.09, 20.57, 13.93]",12
"[19.06, 27.24, 22.9, 31]",12
"[16.34, 15.34, 20.18, 19.18]",16
