,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,169,1024,2,855,6.059171597633136,16.50390625
1,169,1024,2,855,6.059171597633136,16.50390625
2,169,512,3,343,3.029585798816568,33.0078125
3,169,512,3,343,3.029585798816568,33.0078125
4,169,1024,2,855,6.059171597633136,16.50390625
5,169,1024,2,855,6.059171597633136,16.50390625
6,169,1024,2,855,6.059171597633136,16.50390625
7,169,1024,2,855,6.059171597633136,16.50390625
8,169,1024,2,855,6.059171597633136,16.50390625
9,156,1024,2,868,6.564102564102564,15.234375
10,169,512,3,343,3.029585798816568,33.0078125
11,156,1024,2,868,6.564102564102564,15.234375
12,156,1024,2,868,6.564102564102564,15.234375
13,169,512,3,343,3.029585798816568,33.0078125
14,169,1024,2,855,6.059171597633136,16.50390625
15,169,1024,2,855,6.059171597633136,16.50390625
16,156,1024,2,868,6.564102564102564,15.234375
17,169,1024,2,855,6.059171597633136,16.50390625
18,169,1024,2,855,6.059171597633136,16.50390625
19,156,256,4,100,1.641025641025641,60.9375
20,169,512,3,343,3.029585798816568,33.0078125
21,169,1024,2,855,6.059171597633136,16.50390625
22,169,1024,2,855,6.059171597633136,16.50390625
23,156,1024,2,868,6.564102564102564,15.234375
24,169,256,4,87,1.514792899408284,66.015625
25,156,1024,2,868,6.564102564102564,15.234375
26,169,1024,2,855,6.059171597633136,16.50390625
27,169,512,3,343,3.029585798816568,33.0078125
28,169,512,3,343,3.029585798816568,33.0078125
29,169,512,3,343,3.029585798816568,33.0078125
30,169,512,3,343,3.029585798816568,33.0078125
31,156,1024,2,868,6.564102564102564,15.234375
32,169,512,3,343,3.029585798816568,33.0078125
33,169,512,3,343,3.029585798816568,33.0078125
34,156,512,3,356,3.282051282051282,30.46875
35,156,256,4,100,1.641025641025641,60.9375
36,169,512,3,343,3.029585798816568,33.0078125
37,169,512,3,343,3.029585798816568,33.0078125
38,169,1024,2,855,6.059171597633136,16.50390625
39,169,256,4,87,1.514792899408284,66.015625
40,156,1024,2,868,6.564102564102564,15.234375
41,169,1024,2,855,6.059171597633136,16.50390625
42,169,256,4,87,1.514792899408284,66.015625
43,144,1024,2,880,7.111111111111111,14.0625
44,169,1024,2,855,6.059171597633136,16.50390625
45,169,256,4,87,1.514792899408284,66.015625
