BRC Query,Data Size
"[[(9.07, 10.07), (51.79, 52.79)]]",72
"[[(10.33, 11.32), (49.47, 50.47)]]",34
"[[(7.16, 8.16), (48.52, 49.51)]]",0
"[[(7.72, 8.71), (48.31, 49.31)]]",13
"[[(11.95, 12.95), (50.65, 51.64)]]",32
"[[(8.4, 9.39), (48.36, 49.36)]]",48
"[[(7.64, 8.64), (48.65, 49.65)]]",32
"[[(12.53, 13.53), (52.02, 53.01)]]",303
"[[(12.76, 13.75), (53.38, 54.37)]]",1
"[[(12.8, 13.8), (48.15, 49.14)]]",0
"[[(8.51, 9.51), (51.49, 52.48)]]",92
"[[(9.01, 10.0), (53.77, 54.76)]]",15
"[[(9.79, 10.79), (52.43, 53.42)]]",8
"[[(10.29, 11.28), (50.99, 51.98)]]",8
"[[(11.08, 12.08), (52.48, 53.47)]]",21
"[[(10.18, 11.18), (51.7, 52.69)]]",44
"[[(6.9, 7.89), (51.79, 52.78)]]",51
"[[(12.41, 13.41), (51.87, 52.86)]]",241
"[[(9.63, 10.63), (52.91, 53.91)]]",27
"[[(11.29, 12.29), (52.13, 53.12)]]",29
"[[(6.84, 7.84), (52.05, 53.05)]]",0
"[[(9.07, 10.06), (51.9, 52.9)]]",71
"[[(10.77, 11.76), (51.55, 52.55)]]",28
"[[(7.02, 8.02), (50.29, 51.29)]]",80
"[[(7.54, 8.54), (53.15, 54.15)]]",0
"[[(12.04, 13.03), (49.89, 50.88)]]",0
"[[(12.03, 13.03), (50.28, 51.28)]]",0
"[[(12.2, 13.2), (50.84, 51.84)]]",22
"[[(7.16, 8.15), (50.16, 51.16)]]",55
"[[(9.57, 10.57), (49.33, 50.33)]]",20
"[[(8.99, 9.99), (49.25, 50.25)]]",32
"[[(8.64, 9.64), (53.52, 54.51)]]",0
"[[(8.38, 9.38), (50.06, 51.05)]]",67
"[[(9.72, 10.72), (49.02, 50.02)]]",17
"[[(6.75, 7.75), (48.58, 49.58)]]",0
"[[(9.31, 10.31), (48.43, 49.42)]]",0
"[[(11.6, 12.59), (50.9, 51.9)]]",39
"[[(11.48, 12.47), (50.8, 51.79)]]",46
"[[(9.25, 10.25), (51.77, 52.76)]]",70
"[[(10.86, 11.85), (51.71, 52.71)]]",22
"[[(9.03, 10.03), (53.77, 54.76)]]",15
"[[(9.68, 10.67), (52.06, 53.06)]]",68
"[[(12.26, 13.25), (52.79, 53.78)]]",17
"[[(7.56, 8.56), (49.71, 50.7)]]",35
"[[(10.92, 11.92), (52.1, 53.1)]]",26
"[[(10.69, 11.69), (50.92, 51.91)]]",33
