,L2 Norm
0,0.05686098130257991
1,0.012499906637338201
2,0.0171975566342141
3,0.009872896354820498
4,-0.0098630935436151
5,-0.003838442292499203
6,-0.005882030174944895
7,-0.004946256663808504
8,-0.004842445451874098
9,-0.0118722653860194
10,-0.008248204906149904
11,-0.006523309422791897
12,-0.0049167751916766
13,-0.0028434176873155977
14,-0.001535503628690902
15,-0.0043651267190313
16,-0.0041736143784207
17,-0.0008278820943896995
18,-0.0070965944142743
19,-0.0060698649963998996
20,-0.0033187013007323976
21,-0.0014144520891940012
22,-0.001575921606569601
23,0.001741275748987801
24,0.0051205084891083
25,0.0049690140031711984
26,0.007175170759591601
27,0.0079958259082857
28,0.0072046260281724995
29,0.006846144183253801
30,0.0039631060881397
31,0.005312101308718401
32,0.0039527882282558
33,0.0020479152188391005
34,0.0010648082298150997
35,-0.00013027398447259912
36,-0.0003351356296188001
37,-0.0012385380434446012
38,-0.0011019754759564997
39,-0.0007566626821803001
40,-0.00046840710553299955
41,-0.0006944736815409011
42,-0.0016495201900811997
43,0.0009285039454465004
44,0.002064523524312201
45,0.00281409235387
46,0.0025592422160391993
47,0.003293094606367399
48,0.0044411760691585
49,0.0053057158984611994
50,0.006011558629673101
51,0.0043249565973655
52,0.0037711842173293
53,0.002432363869168199
54,0.0034120040947139994
55,0.0030125453768435
56,0.0030024444443135
57,0.002732397033230599
58,0.0020337733988527998
59,0.0016237816215526994
60,0.0010971282148210994
61,0.0012627747216494003
62,0.0018157805365719
63,0.0024055663698357
64,0.0020636006577424
65,0.0014174576534706001
66,0.0004984661303987998
67,0.0011281766101690002
68,0.0013380989193863997
69,0.0003114050121919001
70,0.0007263101897364002
71,0.0015012962667938995
72,0.0006278245733545998
73,0.0004982492325265007
74,0.00048776204343729986
75,0.0005722030738441004
76,0.0008771887566983005
77,0.0013974745439899999
78,0.0013422025499175002
79,0.0020883585924690003
80,0.0025226830410508003
81,0.0021785639915112
82,0.0019566315550380003
83,0.0027319213475527
84,0.0031889841857400997
85,0.0022639612292666
86,0.0024610682183301
87,0.0028560746198825005
88,0.0023930001232126998
89,0.0018398995860232996
90,0.0019349530571343
91,0.0020510089898568
92,0.0016725418141944003
93,0.0013257960773809998
94,0.0006754603727992
95,0.0008687230192291999
96,0.0006400259946808
97,0.0007314848163265
98,0.00010504466277170004
99,0.0
