,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,4,9,4,inf,0.0
1,0,1642,0,1642,inf,0.0
2,0,1642,0,1642,inf,0.0
3,10,26,6,16,2.6,38.46153846153847
4,24,103,4,79,4.291666666666667,23.300970873786408
5,0,7,8,7,inf,0.0
6,44,821,1,777,18.65909090909091,5.35931790499391
7,16,411,2,395,25.6875,3.8929440389294405
8,0,410,2,410,inf,0.0
9,0,411,2,411,inf,0.0
10,68,410,2,342,6.029411764705882,16.585365853658537
11,62,821,1,759,13.241935483870968,7.551766138855055
12,486,821,1,335,1.6893004115226338,59.19610231425091
13,0,26,6,26,inf,0.0
14,0,1642,0,1642,inf,0.0
15,0,102,4,102,inf,0.0
16,32,1642,0,1610,51.3125,1.9488428745432398
17,0,102,4,102,inf,0.0
18,24,26,6,2,1.0833333333333333,92.3076923076923
19,20,410,2,390,20.5,4.878048780487805
20,12,1642,0,1630,136.83333333333334,0.730816077953715
21,42,205,3,163,4.880952380952381,20.48780487804878
22,0,411,2,411,inf,0.0
23,0,411,2,411,inf,0.0
24,42,821,1,779,19.547619047619047,5.115712545676005
25,8,205,3,197,25.625,3.902439024390244
26,0,1642,0,1642,inf,0.0
27,42,103,4,61,2.4523809523809526,40.77669902912621
28,78,821,1,743,10.525641025641026,9.500609013398295
29,0,3,9,3,inf,0.0
30,20,205,3,185,10.25,9.75609756097561
31,0,52,5,52,inf,0.0
32,60,821,1,761,13.683333333333334,7.3081607795371495
33,0,205,3,205,inf,0.0
34,48,1642,0,1594,34.208333333333336,2.92326431181486
35,0,25,6,25,inf,0.0
36,0,7,8,7,inf,0.0
37,0,103,4,103,inf,0.0
38,10,410,2,400,41.0,2.4390243902439024
39,0,102,4,102,inf,0.0
40,136,103,4,-33,0.7573529411764706,132.03883495145632
41,0,51,5,51,inf,0.0
42,0,410,2,410,inf,0.0
43,0,411,2,411,inf,0.0
44,0,103,4,103,inf,0.0
45,0,3,9,3,inf,0.0
46,72,205,3,133,2.8472222222222223,35.12195121951219
47,84,410,2,326,4.880952380952381,20.48780487804878
48,0,4,9,4,inf,0.0
49,0,205,3,205,inf,0.0
50,30,410,2,380,13.666666666666666,7.317073170731707
51,0,205,3,205,inf,0.0
52,16,26,6,10,1.625,61.53846153846154
53,30,102,4,72,3.4,29.411764705882355
54,0,13,7,13,inf,0.0
55,0,1642,0,1642,inf,0.0
56,14,1642,0,1628,117.28571428571429,0.8526187576126675
57,0,3,9,3,inf,0.0
58,10,1642,0,1632,164.2,0.6090133982947624
59,12,205,3,193,17.083333333333332,5.853658536585367
60,124,821,1,697,6.620967741935484,15.10353227771011
61,228,821,1,593,3.6008771929824563,27.77101096224117
62,8,13,7,5,1.625,61.53846153846154
63,0,26,6,26,inf,0.0
64,0,103,4,103,inf,0.0
65,608,821,1,213,1.350328947368421,74.05602923264311
66,30,102,4,72,3.4,29.411764705882355
67,24,51,5,27,2.125,47.05882352941176
68,48,410,2,362,8.541666666666666,11.707317073170733
69,0,103,4,103,inf,0.0
70,0,410,2,410,inf,0.0
71,0,410,2,410,inf,0.0
72,0,3,9,3,inf,0.0
73,14,821,1,807,58.642857142857146,1.705237515225335
74,0,205,3,205,inf,0.0
75,10,205,3,195,20.5,4.878048780487805
76,14,206,3,192,14.714285714285714,6.796116504854369
77,0,26,6,26,inf,0.0
78,22,1642,0,1620,74.63636363636364,1.3398294762484775
79,0,25,6,25,inf,0.0
80,0,411,2,411,inf,0.0
81,0,4,9,4,inf,0.0
82,0,4,9,4,inf,0.0
83,174,411,2,237,2.3620689655172415,42.33576642335766
84,0,411,2,411,inf,0.0
85,0,411,2,411,inf,0.0
86,10,7,8,-3,0.7,142.85714285714286
87,0,13,7,13,inf,0.0
88,0,4,9,4,inf,0.0
89,0,410,2,410,inf,0.0
90,0,103,4,103,inf,0.0
91,42,1642,0,1600,39.095238095238095,2.5578562728380025
92,188,205,3,17,1.0904255319148937,91.70731707317074
93,24,103,4,79,4.291666666666667,23.300970873786408
94,0,13,7,13,inf,0.0
95,8,13,7,5,1.625,61.53846153846154
96,10,52,5,42,5.2,19.230769230769234
97,196,205,3,9,1.0459183673469388,95.60975609756098
98,0,52,5,52,inf,0.0
99,54,1642,0,1588,30.40740740740741,3.2886723507917175
100,0,13,7,13,inf,0.0
101,0,410,2,410,inf,0.0
102,0,4,9,4,inf,0.0
103,44,102,4,58,2.3181818181818183,43.13725490196079
104,14,205,3,191,14.642857142857142,6.829268292682928
105,0,103,4,103,inf,0.0
106,44,821,1,777,18.65909090909091,5.35931790499391
107,62,410,2,348,6.612903225806452,15.121951219512194
108,0,1642,0,1642,inf,0.0
109,0,4,9,4,inf,0.0
110,42,103,4,61,2.4523809523809526,40.77669902912621
111,12,103,4,91,8.583333333333334,11.650485436893204
112,0,7,8,7,inf,0.0
113,12,1642,0,1630,136.83333333333334,0.730816077953715
114,0,7,8,7,inf,0.0
115,16,51,5,35,3.1875,31.372549019607842
116,0,4,9,4,inf,0.0
117,0,3,9,3,inf,0.0
118,38,51,5,13,1.3421052631578947,74.50980392156863
119,0,7,8,7,inf,0.0
120,0,4,9,4,inf,0.0
121,4,4,9,0,1.0,100.0
122,174,410,2,236,2.3563218390804597,42.4390243902439
123,0,103,4,103,inf,0.0
124,18,205,3,187,11.38888888888889,8.780487804878048
125,4,4,9,0,1.0,100.0
126,28,26,6,-2,0.9285714285714286,107.6923076923077
127,2,1642,0,1640,821.0,0.12180267965895249
128,0,13,7,13,inf,0.0
129,0,26,6,26,inf,0.0
130,0,6,8,6,inf,0.0
131,0,25,6,25,inf,0.0
132,0,3,9,3,inf,0.0
133,0,4,9,4,inf,0.0
134,0,51,5,51,inf,0.0
135,0,4,9,4,inf,0.0
136,16,13,7,-3,0.8125,123.07692307692308
137,16,205,3,189,12.8125,7.804878048780488
138,62,205,3,143,3.306451612903226,30.24390243902439
139,44,410,2,366,9.318181818181818,10.731707317073171
140,20,52,5,32,2.6,38.46153846153847
141,34,205,3,171,6.029411764705882,16.585365853658537
142,0,410,2,410,inf,0.0
143,144,410,2,266,2.8472222222222223,35.12195121951219
144,34,102,4,68,3.0,33.33333333333333
145,62,103,4,41,1.6612903225806452,60.19417475728155
146,0,205,3,205,inf,0.0
147,0,821,1,821,inf,0.0
148,2,102,4,100,51.0,1.9607843137254901
149,0,1642,0,1642,inf,0.0
150,22,51,5,29,2.3181818181818183,43.13725490196079
151,0,26,6,26,inf,0.0
152,2,4,9,2,2.0,50.0
153,0,410,2,410,inf,0.0
