BRC Query,Data Size
"[[(9.42793044521158, 10.85789470296425), (51.95384088465689, 53.08792713530408)]]",104
"[[(8.418331710467646, 9.804028611910208), (49.071832652079486, 50.274956928202045)]]",137
"[[(8.941972788609814, 9.989531598784767), (52.99302968901195, 54.43473933904062)]]",23
"[[(10.177373992194493, 11.255131823240674), (52.84930778376795, 54.258527092991265)]]",15
"[[(7.088142493056917, 8.113586473904101), (48.5701214314732, 50.10584435891135)]]",0
"[[(11.091103183957822, 12.118272920278255), (50.70682286450037, 51.90261860311832)]]",41
"[[(10.483455658246305, 11.681688761544901), (49.0336915876489, 50.165357627787174)]]",50
"[[(10.105820449022985, 11.270713116831494), (49.90535549190438, 51.32475820390178)]]",38
"[[(9.32561968796989, 10.635865285703938), (53.07466024865565, 54.543682460684266)]]",39
"[[(10.756613542855256, 11.806987481090653), (52.44512496347701, 53.76123779902323)]]",14
"[[(7.268789317054043, 8.592180604827234), (53.03727178646989, 54.369041595552595)]]",0
"[[(12.221285306058249, 13.411654801497669), (52.72891636467882, 53.83396133712936)]]",24
"[[(12.06667402202633, 13.125642870961444), (52.41925888196951, 53.73740637796888)]]",39
"[[(8.8371238605173, 10.13182641007905), (49.8265886820243, 51.30514543161667)]]",82
"[[(11.183892276290498, 12.222078935168936), (49.622403121598566, 51.10299032944513)]]",34
"[[(9.610240628621629, 10.759792593042697), (53.15526059543805, 54.26573989902631)]]",40
"[[(11.79975381663765, 13.255321006500479), (50.9763188065592, 52.03824540186788)]]",43
"[[(12.233627640065226, 13.676087577084498), (48.67208211547474, 50.086436596411524)]]",0
"[[(9.446293177233184, 10.833917523741658), (49.98948638465366, 51.35066466142413)]]",66
"[[(11.539978295671036, 12.987371427756853), (49.67779133476993, 51.0643175972172)]]",7
"[[(11.635778275908292, 12.842626375831678), (48.86240666397949, 50.14189598964408)]]",0
"[[(10.62013112803182, 12.084411042946689), (52.1322421258117, 53.20587728705583)]]",54
"[[(11.777149555491867, 13.025237828353342), (48.465430093484095, 49.69899075876932)]]",0
"[[(12.028263735576331, 13.428294117912278), (50.751460012954475, 51.83441027283451)]]",26
"[[(10.590523369903632, 11.686832612664192), (51.34198572804105, 52.534387714040605)]]",36
"[[(10.309320619794594, 11.54729855909263), (48.810854621605046, 50.19697131362401)]]",54
"[[(11.118316110042933, 12.630297553221437), (52.388645972041445, 53.40394877412086)]]",33
"[[(11.456490175672055, 12.589784021726393), (49.3792477880457, 50.58494240890502)]]",0
"[[(9.625728752174467, 10.99983384756406), (51.59326032588395, 52.9786106858525)]]",103
"[[(9.219064905768354, 10.312351301312209), (49.79304032793356, 51.09676368247521)]]",57
"[[(9.844257762411614, 11.230231468192825), (48.9272005145933, 50.47401556641968)]]",64
"[[(6.873067784236943, 8.255822433731831), (50.13102799484305, 51.48413251271773)]]",216
"[[(10.920845864026603, 12.16671730559873), (53.15758682490611, 54.41923478633358)]]",24
"[[(9.395093491039436, 10.460466298640098), (51.2081318929871, 52.691900698985656)]]",104
"[[(7.602805436754951, 9.006929075368694), (52.157588158400344, 53.35033250318255)]]",29
"[[(10.214302782379772, 11.75922527037659), (49.75326710251563, 50.93780608121318)]]",28
"[[(12.236587085120622, 13.336102117639053), (50.547093322538075, 52.05109418314305)]]",29
"[[(11.215718368236988, 12.378396334501621), (52.77882656763871, 53.90031926631121)]]",9
"[[(8.739030616009458, 10.05211714797973), (52.34572010682514, 53.485466998032734)]]",52
"[[(10.313094870089436, 11.683900430914717), (50.72941403203505, 52.11969168505437)]]",52
"[[(10.52135934732468, 11.706465093796796), (49.46104525560897, 50.70934806985336)]]",45
"[[(11.406012511399773, 12.907753638908789), (49.31333613607627, 50.37840935621093)]]",0
"[[(7.746051796576319, 8.985238571227923), (48.50261658242963, 49.64331826326184)]]",31
"[[(10.298138487971068, 11.760357292832209), (51.781223667376906, 52.99684700829732)]]",54
"[[(10.570903656315313, 11.712843613253794), (50.3132103102781, 51.561662112600054)]]",52
"[[(8.195378346497483, 9.708277158711894), (51.204549036735045, 52.40161788470581)]]",142
"[[(12.114462686400323, 13.400335260813522), (52.69055567530996, 53.999885345676795)]]",29
"[[(10.498491496872367, 11.746943034928979), (50.55314271068782, 51.69479562572452)]]",51
"[[(8.789418899647888, 10.320603133248332), (49.6738334600191, 51.19319886920227)]]",96
"[[(10.821719984625059, 12.06646477126687), (52.27302439517523, 53.60711687188421)]]",30
"[[(12.139560737367049, 13.482055957478494), (48.413025522033486, 49.638600473080885)]]",0
"[[(10.947558682521151, 12.455776458010767), (52.22756018301244, 53.36722488826879)]]",35
"[[(12.024012940053474, 13.569802742507937), (49.688011483179864, 51.21182949504655)]]",0
"[[(11.385904400579795, 12.730106184434222), (51.84729796189335, 52.92815880594897)]]",40
"[[(10.88101602378297, 11.963723150577266), (48.73941627865017, 50.257591013687225)]]",52
"[[(12.187428463635204, 13.189778747850173), (49.636523482797784, 50.79517786979329)]]",0
"[[(10.920947373595947, 12.009525724347135), (51.90370288338953, 53.271138375316234)]]",31
"[[(10.239987426746284, 11.290205449035753), (49.47886269506737, 50.58571010679258)]]",35
"[[(12.070575254018944, 13.167691459074252), (49.534248664152756, 50.61415587293509)]]",0
"[[(10.126645751200725, 11.303003764874582), (51.93145706157317, 52.988205407898896)]]",48
"[[(6.7907270909175805, 8.04789205515546), (48.323440834632905, 49.82780824574725)]]",0
"[[(7.429746406308362, 8.58968943757939), (49.67031488845713, 50.74957012521536)]]",56
"[[(8.246969023659359, 9.261129261449183), (49.99983065302381, 51.4917219381085)]]",96
"[[(11.530941737261472, 13.083560896153696), (50.4856195725528, 51.502124908708616)]]",37
"[[(11.511950848984178, 13.0670089244072), (53.06565367427843, 54.43882081907356)]]",31
"[[(7.615210104640482, 9.114322893149343), (48.65156842913177, 49.91567950686476)]]",37
"[[(7.422488319724187, 8.626398965845905), (49.57632707195073, 51.055985990497106)]]",62
"[[(11.863223038675656, 13.264987233131762), (52.65333469276737, 54.000226888784645)]]",30
"[[(11.38474271083922, 12.50078789349909), (51.629608544559886, 53.10646355949793)]]",37
"[[(9.645705678240624, 10.991411925654798), (52.005509944039304, 53.31174675665532)]]",95
