SRC Query,Depth,BBoxes,Data Size
"[[(9.28767682245769, 10.170451119031226), (53.73746416410387, 54.69177463556414)]]",0,"[(6.7375, 13.80833333), (48.11722222, 54.79805556)]",1642
"[[(10.791295472131013, 11.728317409372819), (48.440341093880235, 49.30365906247406)]]",2,"[[9.675277778, 13.80833333], [48.11722222, 52.43388889]]",410
"[[(8.466655471373233, 9.329667983558846), (49.7713745967889, 50.509945718613494)]]",3,"[[8.401944444, 9.675277778], [48.11722222, 51.34805556]]",205
"[[(11.417884525736945, 12.13412729153352), (53.40768429303054, 54.36434292824688)]]",4,"[[9.675277778, 13.32694444], [52.68833333, 54.79805556]]",103
"[[(10.853111747101517, 11.719308164301742), (50.70139517758603, 51.575798161387425)]]",2,"[[9.675277778, 13.80833333], [48.11722222, 52.43388889]]",410
"[[(12.797644628076013, 13.570942762243726), (51.76985399395309, 52.69964261525101)]]",1,"[[9.675277778, 13.80833333], (48.11722222, 54.79805556)]",821
"[[(7.2100739304327695, 7.925880318230427), (50.20341040863459, 51.02316051736996)]]",3,"[[6.7375, 8.401944444], [48.11722222, 51.34805556]]",205
"[[(12.720968286624212, 13.66303421358107), (49.838148984816485, 50.80892345407503)]]",9,"[[11.79138889, 13.80833333], [48.27916667, 50.84472222]]",4
"[[(12.52119034312679, 13.440070506310779), (49.04729012374251, 49.824267487725955)]]",9,"[[11.79138889, 13.80833333], [48.27916667, 50.84472222]]",4
"[[(6.967926224308821, 7.675521374851044), (52.292285252693, 53.07381581600808)]]",4,"[[6.7375, 7.676666667], [51.5125, 54.79805556]]",103
"[[(8.06529499165398, 8.888636326351584), (49.482194233953145, 50.20957654965014)]]",2,"[[6.7375, 9.675277778], [48.11722222, 51.34805556]]",410
"[[(9.887687587569488, 10.860048739515316), (52.86814499669799, 53.850356266535044)]]",5,"[[9.675277778, 12.01138889], [52.68833333, 54.79805556]]",51
"[[(6.792736325288308, 7.602279586260912), (48.512345802887666, 49.287165272312535)]]",4,"[[6.7375, 8.401944444], [48.11722222, 50.94805556]]",102
"[[(10.95544512376756, 11.949044563668847), (49.0753445768519, 49.90131096214794)]]",2,"[[9.675277778, 13.80833333], [48.11722222, 52.43388889]]",410
"[[(9.370645965449253, 10.09979483417532), (51.07462767068707, 52.03111416966409)]]",0,"[(6.7375, 13.80833333), (48.11722222, 54.79805556)]",1642
"[[(7.950194848263106, 8.758364813217902), (49.53389952830488, 50.314915293812604)]]",2,"[[6.7375, 9.675277778], [48.11722222, 51.34805556]]",410
"[[(6.981073278663261, 7.892719575744682), (53.587017094200775, 54.57288720812797)]]",2,"[[6.7375, 9.675277778], [51.34805556, 54.79805556]]",411
"[[(8.453954488234618, 9.449784147009117), (50.34027694318562, 51.334952034925514)]]",4,"[[8.401944444, 9.675277778], [50.04666667, 51.34805556]]",103
"[[(10.108389574561997, 11.050822871367272), (52.27687708629673, 53.22529687007019)]]",1,"[[9.675277778, 13.80833333], (48.11722222, 54.79805556)]",821
"[[(10.899062520832715, 11.83112401026891), (48.379056361220464, 49.15797601029877)]]",2,"[[9.675277778, 13.80833333], [48.11722222, 52.43388889]]",410
"[[(12.363404480240991, 13.244692540682053), (51.233577245399346, 52.01116985213491)]]",5,"[[12.26444444, 13.80833333], [50.84472222, 52.43388889]]",52
"[[(10.155745933558165, 11.14557971054732), (49.568351333349256, 50.282579344662814)]]",2,"[[9.675277778, 13.80833333], [48.11722222, 52.43388889]]",410
"[[(9.503097375324918, 10.396544928583213), (50.09175293386569, 50.96131020207282)]]",0,"[(6.7375, 13.80833333), (48.11722222, 54.79805556)]",1642
"[[(12.949790628768753, 13.80833333), (52.53564392976444, 53.518513177909206)]]",2,"[[9.675277778, 13.80833333], [52.43388889, 54.79805556]]",411
"[[(9.86223673764649, 10.816775447097035), (50.065906132248244, 51.02668510099006)]]",4,"[[9.675277778, 11.0775], [48.11722222, 51.21472222]]",102
"[[(7.9877639678997285, 8.98295206631104), (48.64057562631528, 49.483947132719834)]]",2,"[[6.7375, 9.675277778], [48.11722222, 51.34805556]]",410
"[[(8.385381141694854, 9.230489245150583), (48.782413074159614, 49.76838374957275)]]",2,"[[6.7375, 9.675277778], [48.11722222, 51.34805556]]",410
