,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,207,411,2,204,1.9855072463768115,50.36496350364964
1,127,1642,0,1515,12.929133858267717,7.734470158343483
2,31,411,2,380,13.258064516129032,7.542579075425791
3,46,410,2,364,8.91304347826087,11.219512195121952
4,74,1642,0,1568,22.18918918918919,4.506699147381242
5,0,411,2,411,inf,0.0
6,60,410,2,350,6.833333333333333,14.634146341463413
7,53,1642,0,1589,30.9811320754717,3.227771010962241
8,131,410,2,279,3.1297709923664123,31.951219512195124
9,45,410,2,365,9.11111111111111,10.975609756097562
10,0,7,8,7,inf,0.0
11,55,821,1,766,14.927272727272728,6.699147381242387
12,67,410,2,343,6.119402985074627,16.34146341463415
13,75,205,3,130,2.7333333333333334,36.58536585365854
14,70,411,2,341,5.871428571428571,17.0316301703163
15,223,821,1,598,3.681614349775785,27.161997563946404
16,124,1642,0,1518,13.241935483870968,7.551766138855055
17,66,1642,0,1576,24.87878787878788,4.019488428745433
18,0,411,2,411,inf,0.0
19,142,1642,0,1500,11.56338028169014,8.647990255785627
20,65,821,1,756,12.63076923076923,7.917174177831912
21,109,1642,0,1533,15.064220183486238,6.638246041412911
22,0,1642,0,1642,inf,0.0
23,72,821,1,749,11.402777777777779,8.76979293544458
24,68,410,2,342,6.029411764705882,16.585365853658537
25,287,821,1,534,2.8606271777003482,34.95736906211936
26,70,1642,0,1572,23.457142857142856,4.263093788063337
27,155,1642,0,1487,10.593548387096774,9.439707673568819
28,33,102,4,69,3.090909090909091,32.35294117647059
29,63,821,1,758,13.031746031746032,7.673568818514006
30,139,1642,0,1503,11.81294964028777,8.465286236297198
31,107,411,2,304,3.8411214953271027,26.034063260340634
32,123,410,2,287,3.3333333333333335,30.0
33,129,410,2,281,3.1782945736434107,31.463414634146343
34,74,410,2,336,5.54054054054054,18.048780487804876
35,137,205,3,68,1.4963503649635037,66.82926829268293
36,129,821,1,692,6.364341085271318,15.712545676004872
37,24,410,2,386,17.083333333333332,5.853658536585367
38,164,410,2,246,2.5,40.0
39,122,410,2,288,3.360655737704918,29.756097560975608
40,62,410,2,348,6.612903225806452,15.121951219512194
41,108,1642,0,1534,15.203703703703704,6.577344701583435
42,0,411,2,411,inf,0.0
43,196,1642,0,1446,8.377551020408163,11.936662606577345
44,53,410,2,357,7.735849056603773,12.926829268292684
45,32,821,1,789,25.65625,3.8976857490864796
46,121,1642,0,1521,13.570247933884298,7.369062119366626
47,68,410,2,342,6.029411764705882,16.585365853658537
48,71,410,2,339,5.774647887323944,17.317073170731707
49,140,410,2,270,2.9285714285714284,34.146341463414636
50,90,1642,0,1552,18.244444444444444,5.481120584652863
51,0,103,4,103,inf,0.0
52,126,821,1,695,6.515873015873016,15.347137637028013
53,47,821,1,774,17.46808510638298,5.724725943970768
54,139,1642,0,1503,11.81294964028777,8.465286236297198
55,0,411,2,411,inf,0.0
56,70,821,1,751,11.728571428571428,8.526187576126674
57,84,1642,0,1558,19.547619047619047,5.115712545676005
58,2,102,4,100,51.0,1.9607843137254901
59,20,25,6,5,1.25,80.0
60,79,410,2,331,5.189873417721519,19.26829268292683
61,54,410,2,356,7.592592592592593,13.170731707317074
62,0,411,2,411,inf,0.0
63,34,205,3,171,6.029411764705882,16.585365853658537
64,8,410,2,402,51.25,1.951219512195122
