BRC Query,Data Size
"[[(-14.161495042988918, 8.06151148697241), (67.23028139122835, 74.84876960682368)]]",0
"[[(-32.6088421521514, -12.570869319977032), (-115.71233148177393, -104.68613102251965)]]",0
"[[(-23.040893623021496, -19.693393986247468), (133.19536538651823, 155.99812368066904)]]",0
"[[(-0.4676929668381078, 4.3704282869475914), (124.07226137341502, 145.27129865438948)]]",0
"[[(-56.9140055502262, -54.658092385512326), (-147.55969422276604, -120.11644694752388)]]",0
"[[(16.227929743612087, 18.569026081153652), (-11.927276983659283, -1.2628126373747914)]]",0
"[[(5.125018813689856, 15.90979131489776), (-118.13343004277601, -110.63440325335367)]]",0
"[[(-1.7751164038435263, 7.363974468346509), (-62.802404132080056, -41.10071478253338)]]",0
"[[(-16.030913047278908, 0.2827885636791425), (138.3770674034301, 162.52797190095265)]]",0
"[[(10.116148595824477, 13.602602762265125), (98.41575547361157, 115.01906354407261)]]",48
"[[(-53.61323411325724, -36.65066213572548), (136.0037421345259, 153.3798773542506)]]",20
"[[(36.87857161297254, 47.27519696488796), (116.43011777136229, 122.61513046964987)]]",173
"[[(34.053520505659556, 37.96421887988144), (96.77384186549699, 113.47758063759157)]]",0
"[[(-24.956688982092324, -9.410191172167256), (-67.80232253767241, -43.180793914243665)]]",39
"[[(17.923368273097914, 20.808259159076318), (-80.76350686496919, -56.04175496016204)]]",102
"[[(-10.830330770330406, -2.4484559743499927), (143.49337410657103, 149.94662502034336)]]",0
"[[(29.176365345096933, 52.663130863305554), (5.179645627322486, 9.236338161450421)]]",897
"[[(37.104090239064796, 59.94388264806062), (-141.0874871934063, -119.6349781857888)]]",18432
"[[(-13.825971948696427, 6.30713944088685), (-57.46198727659889, -38.634252091249394)]]",1
"[[(24.429757568344804, 47.51305215042382), (-77.24760280702895, -57.168692772049496)]]",13450
"[[(26.18021091943364, 37.39021906831874), (-129.006164939099, -114.21059082641071)]]",12436
"[[(7.622347450973386, 31.539172485383887), (78.55474217094638, 83.18936872359755)]]",11
"[[(28.76334120277945, 42.008961484022976), (-154.20523627930953, -141.6766977203167)]]",0
