,L2 Norm
0,0.08451449579805821
1,0.04471800532224128
2,0.04245821475286025
3,0.0437858424607772
4,0.03312853754695489
5,0.029599737236070928
6,0.0240672103128904
7,0.025489213404889532
8,0.02530229580175495
9,0.021304929007156997
10,0.021233199484076308
11,0.01986845629523228
12,0.017723768015371944
13,0.021956961612784813
14,0.022413041838278972
15,0.02647782090731787
16,0.024104896198931143
17,0.022681286135066064
18,0.02122147425437464
19,0.018395651660107065
20,0.017168809720271343
21,0.016073102628278498
22,0.016173930575025558
23,0.015427428676080646
24,0.013681374199984423
25,0.01464153530928425
26,0.014602097863072388
27,0.011863423465700386
28,0.009884030286112514
29,0.010646334789233537
30,0.011125371066781046
31,0.012085825892341813
32,0.01040150356440678
33,0.008974647104897175
34,0.00901280268534144
35,0.009836440187158948
36,0.010104938800732294
37,0.01022634423161524
38,0.01070962442043718
39,0.01201041214946431
40,0.01490243303660412
41,0.014564089343748836
42,0.015103935926636232
43,0.01468546253671824
44,0.014242130163881312
45,0.012425604700533208
46,0.012140126104696594
47,0.012507164613399253
48,0.011850918665634824
49,0.0115697882435246
50,0.011407530715125522
51,0.010228976129736627
52,0.010750119838387563
53,0.011255378229746442
54,0.011438480798393044
55,0.0110399783717623
56,0.010715037772782005
57,0.01138279465986836
58,0.012161849023680818
59,0.011152478548635616
60,0.011178437174876838
61,0.011627620602431483
62,0.011380789664772916
63,0.011155891100669633
64,0.010230566799616718
65,0.009679781167604403
66,0.009702575140513887
67,0.009145176655229965
68,0.008917186500285014
69,0.00805073199866233
70,0.007098377763380337
71,0.006825040134644338
72,0.006971112955466153
73,0.006314921399854491
74,0.006186544539024452
75,0.005224118369867033
76,0.005318816859473336
77,0.004974801724943235
78,0.00537369279610814
79,0.005296815080782037
80,0.005291455095518819
81,0.004583464836863846
82,0.005584935827874885
83,0.0056036309900018245
84,0.005488175398450052
85,0.004935730808651118
86,0.004268196998149053
87,0.003970916999659112
88,0.0035281381947598225
89,0.0033802257211502707
90,0.002753941308442597
91,0.002303034900789236
92,0.0023207454916367334
93,0.0024133043791151306
94,0.0016532516436495515
95,0.0018119970566569145
96,0.001664247722062762
97,0.0009094121199974963
98,0.0006431972352238802
99,0.0
