BRC Query,Data Size
"[[(21.04, 22.62), (-14.32, -12.55)]]",0
"[[(56.07, 57.36), (-92.45, -90.86)]]",0
"[[(50.02, 51.49), (65.05, 66.93)]]",0
"[[(16.18, 18.33), (-140.54, -138.97)]]",0
"[[(7.31, 8.94), (-25.26, -23.06)]]",0
"[[(-38.75, -37.65), (-2.46, -0.33)]]",0
"[[(-4.06, -2.58), (-17.93, -16.23)]]",0
"[[(-16.98, -15.22), (96.09, 98.0)]]",0
"[[(7.21, 9.29), (169.14, 170.35)]]",0
"[[(10.22, 11.39), (86.1, 87.21)]]",0
"[[(8.37, 9.96), (2.51, 3.82)]]",0
"[[(-19.87, -18.24), (104.28, 106.02)]]",0
"[[(-7.37, -6.16), (143.53, 144.76)]]",0
"[[(-21.76, -20.72), (76.96, 79.01)]]",0
"[[(-23.88, -21.96), (-139.09, -137.59)]]",0
"[[(6.79, 7.83), (-17.23, -16.09)]]",0
"[[(15.01, 16.15), (-27.93, -26.19)]]",0
"[[(-26.82, -24.71), (-141.74, -140.67)]]",0
"[[(-22.46, -20.78), (121.44, 122.47)]]",0
"[[(4.54, 6.64), (109.72, 111.94)]]",0
"[[(-19.74, -17.87), (-47.79, -46.48)]]",0
"[[(-30.9, -28.87), (-37.71, -36.69)]]",0
"[[(-20.92, -19.04), (148.53, 149.78)]]",0
"[[(44.3, 45.85), (-168.67, -166.67)]]",0
"[[(12.72, 14.52), (-83.83, -82.76)]]",0
"[[(-28.31, -26.71), (160.75, 162.93)]]",0
"[[(-35.11, -33.31), (-155.18, -153.88)]]",0
"[[(38.69, 40.7), (158.78, 159.8)]]",0
"[[(17.86, 19.53), (64.3, 65.48)]]",0
"[[(-2.63, -0.52), (169.0, 170.94)]]",0
"[[(-12.0, -9.86), (-82.99, -80.94)]]",0
"[[(51.08, 52.09), (-3.34, -2.09)]]",16
"[[(50.63, 51.99), (-95.4, -94.22)]]",0
"[[(-30.89, -29.79), (143.55, 145.31)]]",0
"[[(59.05, 60.89), (-48.09, -47.04)]]",0
"[[(-2.73, -0.58), (-69.85, -68.41)]]",0
"[[(5.11, 6.12), (34.66, 36.62)]]",0
"[[(-35.61, -33.72), (23.98, 25.09)]]",0
"[[(44.21, 45.28), (-12.42, -10.45)]]",0
"[[(23.05, 24.99), (78.21, 80.07)]]",0
"[[(18.93, 20.52), (-22.41, -20.72)]]",0
"[[(-19.18, -17.35), (38.03, 40.18)]]",0
"[[(42.87, 44.28), (130.31, 132.2)]]",0
"[[(12.15, 13.37), (66.11, 67.27)]]",0
"[[(51.92, 54.05), (-65.64, -63.51)]]",0
"[[(-45.64, -44.51), (-66.26, -64.51)]]",0
"[[(-0.45, 1.73), (-161.77, -160.48)]]",0
"[[(10.74, 12.51), (-27.34, -26.17)]]",0
"[[(35.28, 37.5), (-127.45, -125.37)]]",0
"[[(-38.97, -37.09), (164.24, 165.5)]]",0
"[[(15.75, 17.68), (42.62, 43.98)]]",0
"[[(-42.63, -41.1), (-82.88, -81.2)]]",0
"[[(11.92, 12.98), (30.28, 32.32)]]",0
"[[(32.75, 34.83), (73.9, 75.03)]]",0
"[[(11.24, 13.03), (171.24, 172.3)]]",0
"[[(-33.83, -32.16), (84.54, 86.39)]]",0
"[[(7.87, 9.31), (91.95, 93.87)]]",0
"[[(-4.32, -2.24), (-16.96, -15.24)]]",0
"[[(10.11, 11.39), (-154.96, -153.04)]]",0
"[[(-30.96, -29.12), (54.88, 56.3)]]",0
"[[(44.54, 46.45), (-154.41, -153.15)]]",0
"[[(17.97, 20.2), (32.69, 34.81)]]",0
"[[(43.14, 44.41), (-62.14, -60.82)]]",0
"[[(52.66, 53.74), (-67.87, -66.22)]]",0
"[[(-48.07, -46.11), (76.02, 78.04)]]",0
"[[(-17.3, -15.15), (47.28, 49.0)]]",0
"[[(40.31, 41.9), (112.17, 113.21)]]",0
"[[(7.48, 9.19), (8.93, 10.59)]]",0
"[[(-23.09, -21.84), (72.45, 73.65)]]",0
"[[(14.21, 15.66), (0.38, 1.5)]]",0
"[[(56.26, 57.72), (-100.33, -98.69)]]",0
"[[(35.58, 36.83), (137.61, 138.84)]]",0
"[[(-1.86, -0.17), (113.53, 114.96)]]",0
"[[(14.99, 16.12), (95.04, 96.84)]]",0
"[[(47.4, 49.59), (115.47, 117.51)]]",0
"[[(-4.22, -3.0), (3.74, 5.3)]]",0
"[[(-42.17, -40.03), (-23.85, -22.71)]]",0
"[[(0.46, 2.46), (130.16, 131.5)]]",0
"[[(40.54, 41.71), (-41.03, -39.52)]]",0
"[[(4.28, 5.73), (43.92, 45.6)]]",0
"[[(-10.22, -8.12), (155.52, 156.55)]]",0
"[[(-37.7, -35.82), (-45.42, -44.29)]]",0
"[[(-12.58, -10.82), (50.84, 52.77)]]",0
"[[(53.54, 54.61), (-13.96, -12.66)]]",0
"[[(18.7, 20.35), (162.76, 164.7)]]",0
"[[(15.35, 17.26), (2.54, 4.3)]]",0
"[[(18.39, 20.31), (-17.96, -16.48)]]",0
"[[(57.28, 58.38), (172.87, 174.34)]]",0
"[[(30.67, 32.16), (27.09, 29.23)]]",0
"[[(-20.6, -18.85), (-162.31, -160.31)]]",0
"[[(-43.18, -42.16), (-121.64, -119.42)]]",0
"[[(11.17, 12.7), (85.21, 86.42)]]",0
"[[(-35.47, -33.98), (149.06, 150.55)]]",0
"[[(20.6, 22.34), (127.5, 129.45)]]",0
"[[(-39.51, -37.71), (-14.8, -13.05)]]",0
"[[(53.47, 54.86), (102.64, 104.57)]]",0
"[[(-30.84, -29.17), (44.67, 46.86)]]",0
"[[(-14.54, -12.73), (-22.03, -20.74)]]",0
"[[(35.0, 36.01), (156.08, 157.5)]]",0
"[[(-7.15, -6.07), (-40.65, -39.36)]]",0
"[[(16.86, 18.84), (170.48, 172.09)]]",0
"[[(-16.96, -15.49), (-26.61, -25.06)]]",0
"[[(36.61, 38.8), (-1.18, 0.6)]]",0
"[[(46.04, 47.85), (3.45, 5.16)]]",0
"[[(48.59, 50.18), (138.61, 140.34)]]",0
"[[(-8.3, -6.97), (-160.57, -159.32)]]",0
"[[(31.87, 33.13), (-89.47, -88.19)]]",0
"[[(11.19, 12.52), (35.28, 36.93)]]",0
"[[(24.7, 26.69), (170.59, 172.53)]]",0
"[[(-8.04, -6.16), (-163.96, -162.04)]]",0
"[[(-31.82, -30.58), (-115.6, -114.25)]]",0
"[[(-1.11, 0.83), (-94.97, -93.48)]]",0
"[[(-18.44, -17.25), (59.0, 60.5)]]",0
"[[(20.1, 22.22), (-159.96, -158.32)]]",5
"[[(-7.15, -4.92), (-1.46, -0.22)]]",0
"[[(-36.69, -35.07), (134.94, 136.6)]]",0
"[[(46.83, 49.0), (-38.51, -37.39)]]",0
"[[(6.07, 7.24), (68.84, 70.98)]]",0
"[[(-8.22, -6.25), (103.53, 105.61)]]",0
"[[(-16.29, -14.7), (-168.77, -166.97)]]",0
"[[(-12.98, -11.83), (14.06, 15.49)]]",0
"[[(-37.2, -35.47), (96.36, 97.68)]]",0
"[[(-26.47, -24.99), (164.91, 166.96)]]",0
"[[(54.43, 55.59), (95.16, 97.27)]]",0
"[[(-47.02, -45.64), (58.13, 60.1)]]",0
"[[(-34.78, -33.6), (-161.19, -160.09)]]",0
"[[(-40.95, -39.21), (-169.51, -167.82)]]",0
"[[(21.39, 23.1), (-109.81, -108.02)]]",2
"[[(-0.99, 1.06), (20.99, 22.53)]]",0
"[[(-5.25, -3.18), (-126.52, -124.77)]]",0
"[[(-20.22, -18.3), (122.63, 124.55)]]",0
"[[(37.28, 38.91), (-99.18, -98.12)]]",0
"[[(10.41, 12.48), (130.41, 132.64)]]",0
"[[(36.92, 38.64), (46.48, 48.16)]]",0
"[[(21.91, 23.84), (-35.16, -34.08)]]",0
"[[(41.21, 42.37), (79.47, 81.08)]]",0
"[[(16.8, 17.85), (-10.84, -9.07)]]",0
"[[(-7.86, -6.63), (69.2, 70.56)]]",0
"[[(56.52, 57.76), (-118.79, -116.69)]]",0
"[[(9.39, 11.25), (23.17, 25.08)]]",0
"[[(27.72, 29.68), (57.14, 58.82)]]",0
"[[(-0.56, 1.19), (174.58, 176.55)]]",0
"[[(34.72, 36.58), (-0.6, 0.46)]]",0
"[[(-38.98, -37.31), (-72.97, -71.58)]]",0
"[[(37.15, 38.78), (-143.45, -142.44)]]",0
"[[(-21.78, -20.48), (-39.41, -38.33)]]",0
"[[(-37.51, -35.7), (35.95, 38.1)]]",0
"[[(5.42, 7.37), (11.97, 13.94)]]",0
"[[(5.45, 6.92), (17.96, 19.28)]]",0
"[[(-46.73, -44.56), (111.34, 112.54)]]",0
"[[(-45.79, -44.66), (-43.3, -41.47)]]",0
"[[(-17.06, -14.87), (-113.24, -111.06)]]",0
"[[(45.36, 46.47), (110.82, 112.85)]]",0
"[[(30.48, 31.83), (-139.6, -137.91)]]",0
"[[(-45.43, -43.98), (-26.88, -25.64)]]",0
"[[(-25.18, -22.99), (-166.86, -165.76)]]",0
"[[(11.62, 12.86), (108.28, 109.87)]]",0
"[[(4.63, 6.74), (57.28, 59.49)]]",0
"[[(-11.28, -9.28), (127.61, 128.65)]]",0
"[[(-6.29, -5.11), (-67.03, -65.46)]]",0
"[[(-18.13, -16.15), (32.42, 34.27)]]",0
"[[(-9.38, -7.91), (-60.63, -59.34)]]",0
"[[(58.25, 59.96), (169.52, 171.35)]]",0
"[[(-42.53, -41.01), (53.87, 56.04)]]",0
"[[(7.69, 9.2), (107.1, 108.31)]]",0
"[[(17.33, 19.1), (113.73, 115.75)]]",0
"[[(-45.91, -44.6), (71.25, 73.32)]]",0
"[[(44.52, 46.37), (63.88, 65.78)]]",0
"[[(3.31, 4.99), (-18.1, -16.67)]]",0
"[[(34.27, 36.27), (131.05, 132.11)]]",0
"[[(-17.39, -15.69), (118.56, 120.34)]]",0
"[[(-28.26, -26.9), (-66.74, -65.62)]]",0
"[[(7.07, 8.88), (-170.8, -168.8)]]",0
"[[(-16.38, -15.02), (-89.18, -88.12)]]",0
"[[(-47.21, -45.84), (164.66, 166.16)]]",0
"[[(4.5, 6.7), (-163.25, -161.79)]]",0
"[[(1.98, 4.18), (-105.48, -104.27)]]",0
"[[(24.62, 26.7), (-20.34, -18.72)]]",0
"[[(57.99, 59.0), (-79.64, -78.34)]]",0
"[[(52.33, 53.9), (103.7, 105.7)]]",0
"[[(-22.29, -21.1), (-94.55, -92.67)]]",0
"[[(-31.4, -30.19), (-39.55, -37.93)]]",0
"[[(-23.57, -21.8), (30.35, 31.81)]]",0
