,L2 Norm
0,0.017281741211169793
1,0.005219323302514095
2,-0.007681614927649703
3,-0.0034545823614904048
4,0.00023023985660930446
5,0.0002678350620827011
6,0.00021216901758799867
7,0.0063011795092291
8,0.010393536029146697
9,0.0014689381714616014
10,0.0084806072492878
11,0.005158706248505302
12,0.005393150021156902
13,0.010983804137826098
14,0.011268185730192802
15,0.007829405209170002
16,0.005683981824660997
17,0.0027793671087182996
18,0.0010989031487421003
19,0.0015679476794473006
20,0.0021886662189841023
21,0.0024235173463180992
22,0.004443336961580502
23,0.0085902312455088
24,0.0079688680227264
25,0.00812008054203
26,0.006162813429391201
27,0.004545226116187399
28,0.0036025037031197013
29,0.0035069517841071
30,0.0022300749320213007
31,0.0014201055936402997
32,0.0021563852056681997
33,0.0011078410533203013
34,0.0009371230910819005
35,0.0013569558861677
36,-0.0005449568607868993
37,-0.001352114667751
38,0.0006138074001435997
39,-0.0008003439538084006
40,0.0008416358963838008
41,0.0009708095046212992
42,0.0019788461844667997
43,0.0010083320935280003
44,0.0017252202581019005
45,0.0003392184605035993
46,0.0010640725016916996
47,0.0003230701882745001
48,0.0001395281911699001
49,0.0007181986220493996
50,-0.00042091549246640013
51,-0.0008598679391305002
52,-0.0015483904174112004
53,-0.0022075148622134003
54,-0.0023560844946834995
55,-0.0018716681035446
56,-0.0022617154612921
57,-0.0025566143938068
58,-0.0021250767632751003
59,-0.0017799079463306
60,-0.0015740468540227006
61,-0.0017490631823710995
62,-0.0022860966110627994
63,-0.0020633101468757998
64,-0.0020157972621461994
65,-0.0015935670519063002
66,-0.0012287287734596003
67,-0.0007388995969680994
68,8.93614256050005e-05
69,-0.00028700247951850017
70,-0.0014629142787718
71,-0.0014599941149232997
72,-0.0013175583574707998
73,-0.001536302557047
74,-0.0010534756153835999
75,-0.0005200045311584004
76,-3.9562162569800434e-05
77,-0.0002095644896568001
78,0.0006084658573078999
79,0.00021529555486840025
80,-3.319603499129988e-05
81,0.00037965523679440007
82,0.00047682750771659965
83,0.0003475557985836001
84,0.0001735159708358999
85,0.0003504948123221
86,0.0001594593944617001
87,-6.949647440280008e-05
88,-9.884302944660004e-05
89,-0.00037730390284840005
90,-0.0010152537643096998
91,-0.0011575657401170997
92,-0.0008669326827592998
93,-0.0002955947975775998
94,-0.0006943210541229998
95,-0.0007356738730213001
96,-0.0009549446687923998
97,-0.00039291091647180015
98,-0.00036133498682049993
99,0.0
