,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,158,8,158,inf,0.0
1,0,315,7,315,inf,0.0
2,0,1,15,1,inf,0.0
3,0,1,15,1,inf,0.0
4,0,158,8,158,inf,0.0
5,0,39,10,39,inf,0.0
6,0,1,15,1,inf,0.0
7,0,20178,1,20178,inf,0.0
8,0,315,7,315,inf,0.0
9,6,10089,2,10083,1681.5,0.05947071067499256
10,0,40356,0,40356,inf,0.0
11,0,10089,2,10089,inf,0.0
12,618,40356,0,39738,65.30097087378641,1.5313707998810586
13,118,40356,0,40238,342.0,0.29239766081871343
14,0,9,12,9,inf,0.0
15,2,315,7,313,157.5,0.6349206349206349
16,0,3,14,3,inf,0.0
17,0,10,12,10,inf,0.0
18,111,158,8,47,1.4234234234234233,70.25316455696202
19,0,3,14,3,inf,0.0
20,0,10089,2,10089,inf,0.0
21,0,10,12,10,inf,0.0
22,0,1,15,1,inf,0.0
23,30,40356,0,40326,1345.2,0.07433838834374071
24,0,10089,2,10089,inf,0.0
25,0,39,10,39,inf,0.0
26,0,10,12,10,inf,0.0
27,0,10,12,10,inf,0.0
28,0,5044,3,5044,inf,0.0
29,0,40356,0,40356,inf,0.0
30,0,39,10,39,inf,0.0
31,0,1,15,1,inf,0.0
32,0,39,10,39,inf,0.0
33,0,5044,3,5044,inf,0.0
34,11,20,11,9,1.8181818181818181,55.00000000000001
35,0,1,15,1,inf,0.0
36,0,39,10,39,inf,0.0
37,0,630,6,630,inf,0.0
38,0,5044,3,5044,inf,0.0
39,15,20178,1,20163,1345.2,0.07433838834374071
40,5612,20178,1,14566,3.5955096222380614,27.812469025671522
41,2,20,11,18,10.0,10.0
42,26,79,9,53,3.0384615384615383,32.91139240506329
43,9,39,10,30,4.333333333333333,23.076923076923077
44,0,1,15,1,inf,0.0
45,0,1,15,1,inf,0.0
46,0,79,9,79,inf,0.0
47,0,3,14,3,inf,0.0
48,0,39,10,39,inf,0.0
49,2,78,9,76,39.0,2.564102564102564
50,0,1,15,1,inf,0.0
51,85,158,8,73,1.8588235294117648,53.79746835443038
52,2,315,7,313,157.5,0.6349206349206349
53,27,10089,2,10062,373.6666666666667,0.2676181980374665
54,13,20178,1,20165,1552.1538461538462,0.06442660323124194
55,0,9,12,9,inf,0.0
56,0,10089,2,10089,inf,0.0
57,0,79,9,79,inf,0.0
58,15033,40356,0,25323,2.6844941129515068,37.250966399048465
59,0,1,15,1,inf,0.0
60,11,40356,0,40345,3668.7272727272725,0.027257409059371594
61,0,631,6,631,inf,0.0
62,0,39,10,39,inf,0.0
63,2387,40356,0,37969,16.90657729367407,5.914857765883635
64,0,1,15,1,inf,0.0
65,0,1261,5,1261,inf,0.0
66,0,40356,0,40356,inf,0.0
67,0,5044,3,5044,inf,0.0
68,0,79,9,79,inf,0.0
69,0,1,15,1,inf,0.0
70,0,4,13,4,inf,0.0
71,0,1,15,1,inf,0.0
72,4,40356,0,40352,10089.0,0.009911785112498761
73,85,158,8,73,1.8588235294117648,53.79746835443038
74,625,1261,5,636,2.0176,49.56383822363204
75,0,1,15,1,inf,0.0
76,5,40356,0,40351,8071.2,0.012389731390623451
77,356,40356,0,40000,113.35955056179775,0.8821488750123898
78,0,1,15,1,inf,0.0
79,0,3,14,3,inf,0.0
80,0,20178,1,20178,inf,0.0
81,0,1,15,1,inf,0.0
82,1,39,10,38,39.0,2.564102564102564
83,0,158,8,158,inf,0.0
84,0,10089,2,10089,inf,0.0
85,0,631,6,631,inf,0.0
86,0,10089,2,10089,inf,0.0
87,0,20,11,20,inf,0.0
88,3,40356,0,40353,13452.0,0.00743383883437407
89,0,1,15,1,inf,0.0
90,322,10089,2,9767,31.332298136645964,3.191594806224601
91,1990,40356,0,38366,20.279396984924624,4.9311130934681335
92,0,10089,2,10089,inf,0.0
93,0,1,15,1,inf,0.0
94,0,1,15,1,inf,0.0
95,0,39,10,39,inf,0.0
96,0,1,15,1,inf,0.0
97,0,10,12,10,inf,0.0
98,976,20178,1,19202,20.674180327868854,4.836951134899396
99,1,5,13,4,5.0,20.0
100,7217,40356,0,33139,5.5917971456283775,17.88333828922589
101,0,1,15,1,inf,0.0
102,0,158,8,158,inf,0.0
103,0,10089,2,10089,inf,0.0
104,24,2522,4,2498,105.08333333333333,0.9516256938937351
105,4714,40356,0,35642,8.560882477725922,11.68103875507979
106,0,158,8,158,inf,0.0
107,1,2522,4,2521,2522.0,0.03965107057890563
108,0,1261,5,1261,inf,0.0
109,2001,10089,2,8088,5.041979010494753,19.83348201011002
110,0,10089,2,10089,inf,0.0
111,0,631,6,631,inf,0.0
112,0,40356,0,40356,inf,0.0
113,0,5044,3,5044,inf,0.0
114,0,10089,2,10089,inf,0.0
115,1,1261,5,1260,1261.0,0.07930214115781126
116,0,1,15,1,inf,0.0
117,0,10,12,10,inf,0.0
118,0,1261,5,1261,inf,0.0
119,0,158,8,158,inf,0.0
120,59,40356,0,40297,684.0,0.14619883040935672
121,0,10089,2,10089,inf,0.0
122,0,5044,3,5044,inf,0.0
123,14,631,6,617,45.07142857142857,2.218700475435816
124,0,39,10,39,inf,0.0
125,0,10,12,10,inf,0.0
126,2,78,9,76,39.0,2.564102564102564
127,7,10089,2,10082,1441.2857142857142,0.06938249578749132
128,0,1,15,1,inf,0.0
129,0,631,6,631,inf,0.0
130,0,40356,0,40356,inf,0.0
131,3083,40356,0,37273,13.089847551086605,7.63950837545842
132,0,3,14,3,inf,0.0
133,1,5,13,4,5.0,20.0
134,0,79,9,79,inf,0.0
135,0,10,12,10,inf,0.0
136,0,1,15,1,inf,0.0
137,3,40356,0,40353,13452.0,0.00743383883437407
138,1,10089,2,10088,10089.0,0.009911785112498761
139,0,10089,2,10089,inf,0.0
140,0,10089,2,10089,inf,0.0
141,1,10,12,9,10.0,10.0
142,0,1,15,1,inf,0.0
