SRC Query,Depth,BBoxes,Data Size
"[[(-46.205123947007316, -44.751941792606594), (-87.88948614294904, -83.92088232315956)]]",11,"[[-48.2246696949, 27.8926460511], [-95.4069285431, -82.7524010667]]",35
"[[(-31.178201500105605, -26.4956145150281), (-150.42784569793795, -148.6953355360692)]]",15,"[[-48.2246696949, 19.7147982494], [-155.06996005, -98.6454647167]]",2
"[[(10.864052065753, 13.664587559574747), (133.82525379336403, 137.866975626997)]]",15,"[[-17.75193071, 25.0436006167], [121.568681722, 177.45290404]]",2
"[[(48.86377543875277, 53.747388319493595), (35.372041811175734, 37.27248742123206)]]",4,"[[42.0908247833, 64.260842233], [-0.1765223333, 177.45290404]]",4540
"[[(-25.369320817577094, -22.6881074670179), (-86.0756427493549, -81.27643145690422)]]",5,"[[-48.2246696949, 28.4451665667], [-95.4069285431, 177.45290404]]",2269
"[[(33.701836951703626, 36.43858109135951), (62.834668783305716, 66.26894179064738)]]",4,"[[32.8138111333, 37.58712045], [-96.8055601667, 177.45290404]]",4539
"[[(46.18033218643973, 48.683465698413464), (126.2762108818003, 128.56789564455843)]]",6,"[[42.0908247833, 51.3749373702], [9.9347060667, 177.45290404]]",1135
"[[(-22.61505287633034, -21.492693506313604), (-85.2198873564685, -82.76071833411285)]]",15,"[[-48.2246696949, 21.110292089], [-86.761998086, -82.7524010667]]",2
"[[(14.158805361717704, 19.714316385185246), (-155.80548470772314, -151.80852673088538)]]",11,"[[-48.2246696949, 20.764252033], [-156.692173467, -98.6454647167]]",35
"[[(25.855701050351826, 32.54791019552915), (-122.29943662918211, -117.32071790256695)]]",4,"[[-48.2246696949, 33.633441183], [-176.30859375, -97.8081893921]]",4539
"[[(29.894763934775042, 35.03405304513575), (87.17583583597383, 90.76270735671335)]]",2,"[[-48.2246696949, 37.58712045], [-97.7192466833, 177.45290404]]",18156
"[[(14.478506554237285, 20.927775108328383), (-154.53014856855924, -149.82064750870455)]]",10,"[[-48.2246696949, 21.27908345], [-156.692173467, -98.6454647167]]",71
"[[(22.643219030153787, 27.334860809492803), (119.88942956403434, 126.5598509268543)]]",6,"[[-48.2246696949, 28.4451665667], [-81.4911531667, 177.45290404]]",1135
"[[(-9.134231136462915, -3.0163531751876747), (163.95634749872937, 167.9761156805291)]]",15,"[[-17.75193071, 25.0436006167], [121.568681722, 177.45290404]]",2
"[[(-19.551367263664567, -13.556079611810938), (131.17859533783553, 136.2213445962728)]]",12,"[[-27.3907179833, 25.7931408333], [121.56534868, 177.45290404]]",18
"[[(-3.3123635751575335, 3.402429341535055), (-172.21302830533926, -169.1713854193515)]]",14,"[[-48.2246696949, 21.2907688868], [-176.30859375, -157.8439128399]]",4
"[[(-39.120370327178094, -37.00134538935278), (-21.672433177122116, -17.64718910062794)]]",12,"[[-48.2246696949, -34.587573491], [-56.1583542667, 151.2054884434]]",18
"[[(-44.041818884062195, -42.42895082853399), (-110.38341702146573, -104.68453783159894)]]",15,"[[-48.2246696949, 19.7147982494], [-155.06996005, -98.6454647167]]",2
"[[(26.893543600437198, 32.081517193926715), (142.78656522646315, 143.85886452575002)]]",4,"[[-48.2246696949, 32.8138111333], [-95.4069285431, 177.45290404]]",4539
"[[(6.240578561748947, 9.296649662632507), (58.84602960771153, 61.15247398914751)]]",14,"[[0.03829181, 12.36692075], [-40.517769731, 103.8100848333]]",4
"[[(-32.394779365552274, -26.123736007824796), (-146.66326492034912, -143.93645208420276)]]",15,"[[-48.2246696949, 19.7147982494], [-155.06996005, -98.6454647167]]",2
"[[(9.571548306729298, 15.35291382405305), (140.5852992206913, 142.93033227656187)]]",15,"[[-17.75193071, 25.0436006167], [121.568681722, 177.45290404]]",2
"[[(1.7046743724943028, 4.732185270253893), (119.82104644901756, 122.12391239429374)]]",9,"[[-27.4959108167, 25.7931408333], [-58.41979664, 177.45290404]]",142
"[[(-19.006505170523116, -15.160595263746561), (-157.81821387175998, -154.3328603364378)]]",5,"[[-48.2246696949, 30.23230575], [-176.30859375, -97.8081893921]]",2269
"[[(37.47743781158471, 39.974217717893175), (147.03881438608113, 150.90634374793953)]]",0,"[(-48.2246696949, 64.260842233), (-176.30859375, 177.45290404)]",72625
"[[(-8.956271123817515, -3.442869246761579), (156.49660333411128, 161.46995000071144)]]",15,"[[-17.75193071, 25.0436006167], [121.568681722, 177.45290404]]",2
"[[(37.391903754026686, 43.84784675857737), (-83.05368224728569, -79.00759198018132)]]",0,"[(-48.2246696949, 64.260842233), (-176.30859375, 177.45290404)]",72625
"[[(-8.174168869568454, -6.38976825875792), (52.33924959423223, 55.97120330059584)]]",15,"[[-20.437006345, 0.03829181], [28.19041591, 121.2299219333]]",3
