,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,2,15,2,inf,0.0
1,277,72625,0,72348,262.1841155234657,0.3814113597246127
2,0,4,14,4,inf,0.0
3,0,72625,0,72625,inf,0.0
4,8,18156,2,18148,2269.5,0.04406256884776382
5,0,9,13,9,inf,0.0
6,1339,2269,5,930,1.6945481702763256,59.01278096077567
7,0,2,15,2,inf,0.0
8,0,72625,0,72625,inf,0.0
9,0,4,14,4,inf,0.0
10,115,72625,0,72510,631.5217391304348,0.15834767641996558
11,0,1135,6,1135,inf,0.0
12,0,4539,4,4539,inf,0.0
13,0,36312,1,36312,inf,0.0
14,3,72625,0,72622,24208.333333333332,0.004130808950086058
15,0,18156,2,18156,inf,0.0
16,2477,72625,0,70148,29.319741622930966,3.4106712564543886
17,0,5,14,5,inf,0.0
18,0,72625,0,72625,inf,0.0
19,0,2,15,2,inf,0.0
20,0,2269,5,2269,inf,0.0
21,1728,72625,0,70897,42.02835648148148,2.37934595524957
22,0,18156,2,18156,inf,0.0
23,0,36312,1,36312,inf,0.0
24,0,2,15,2,inf,0.0
25,0,2,15,2,inf,0.0
26,43,142,9,99,3.302325581395349,30.28169014084507
27,0,141,9,141,inf,0.0
28,0,4539,4,4539,inf,0.0
29,0,2,15,2,inf,0.0
30,0,4,14,4,inf,0.0
31,0,72625,0,72625,inf,0.0
32,0,4,14,4,inf,0.0
33,0,72625,0,72625,inf,0.0
34,2,72625,0,72623,36312.5,0.002753872633390706
35,0,2,15,2,inf,0.0
36,0,18,12,18,inf,0.0
37,0,4539,4,4539,inf,0.0
38,0,5,14,5,inf,0.0
39,0,72625,0,72625,inf,0.0
40,0,18156,2,18156,inf,0.0
41,0,18,12,18,inf,0.0
42,0,17,12,17,inf,0.0
43,117,72625,0,72508,620.7264957264957,0.1611015490533563
44,0,4,14,4,inf,0.0
45,0,142,9,142,inf,0.0
46,1333,2269,5,936,1.7021755438859716,58.74834728955487
47,0,4539,4,4539,inf,0.0
48,685,72625,0,71940,106.02189781021897,0.9432013769363167
49,0,2,15,2,inf,0.0
50,0,2269,5,2269,inf,0.0
51,0,4539,4,4539,inf,0.0
52,0,4,14,4,inf,0.0
53,311,72625,0,72314,233.52090032154342,0.4282271944922547
54,9,72625,0,72616,8069.444444444444,0.012392426850258176
55,0,18157,2,18157,inf,0.0
56,5,18,12,13,3.6,27.77777777777778
57,0,1135,6,1135,inf,0.0
58,0,4,14,4,inf,0.0
59,0,35,11,35,inf,0.0
60,0,4539,4,4539,inf,0.0
61,0,36312,1,36312,inf,0.0
62,0,2269,5,2269,inf,0.0
63,0,284,8,284,inf,0.0
64,0,141,9,141,inf,0.0
65,96,18156,2,18060,189.125,0.5287508261731658
66,14,71,10,57,5.071428571428571,19.718309859154928
67,0,9,13,9,inf,0.0
68,0,71,10,71,inf,0.0
69,0,4,14,4,inf,0.0
70,0,71,10,71,inf,0.0
71,0,284,8,284,inf,0.0
72,0,9,13,9,inf,0.0
73,0,72625,0,72625,inf,0.0
74,0,2269,5,2269,inf,0.0
75,0,2,15,2,inf,0.0
76,0,18156,2,18156,inf,0.0
77,0,2,15,2,inf,0.0
78,0,4539,4,4539,inf,0.0
79,0,284,8,284,inf,0.0
80,0,2,15,2,inf,0.0
81,0,283,8,283,inf,0.0
82,0,18,12,18,inf,0.0
83,0,4,14,4,inf,0.0
84,0,3,15,3,inf,0.0
85,0,284,8,284,inf,0.0
86,0,18156,2,18156,inf,0.0
87,0,2,15,2,inf,0.0
88,13485,72625,0,59140,5.385613644790508,18.567986230636834
89,0,4539,4,4539,inf,0.0
90,0,71,10,71,inf,0.0
91,0,36312,1,36312,inf,0.0
92,0,72625,0,72625,inf,0.0
93,0,2,15,2,inf,0.0
94,0,18156,2,18156,inf,0.0
95,0,2,15,2,inf,0.0
96,0,2,15,2,inf,0.0
97,0,18157,2,18157,inf,0.0
98,0,284,8,284,inf,0.0
99,1,284,8,283,284.0,0.35211267605633806
100,0,4,14,4,inf,0.0
101,0,2269,5,2269,inf,0.0
102,0,72625,0,72625,inf,0.0
103,606,18157,2,17551,29.962046204620464,3.337555763617338
104,0,4539,4,4539,inf,0.0
105,0,18,12,18,inf,0.0
106,0,142,9,142,inf,0.0
107,0,71,10,71,inf,0.0
108,0,72625,0,72625,inf,0.0
109,0,2269,5,2269,inf,0.0
110,29,567,7,538,19.551724137931036,5.114638447971781
111,0,18,12,18,inf,0.0
112,0,18157,2,18157,inf,0.0
113,0,71,10,71,inf,0.0
114,0,18156,2,18156,inf,0.0
115,0,4,14,4,inf,0.0
116,0,71,10,71,inf,0.0
117,2,35,11,33,17.5,5.714285714285714
118,0,141,9,141,inf,0.0
119,0,284,8,284,inf,0.0
120,0,2,15,2,inf,0.0
121,0,18,12,18,inf,0.0
122,4,4539,4,4535,1134.75,0.08812513769552764
123,0,4,14,4,inf,0.0
124,0,72625,0,72625,inf,0.0
125,5090,9078,3,3988,1.7834970530451866,56.06961885877947
126,0,18157,2,18157,inf,0.0
127,71,2269,5,2198,31.95774647887324,3.129131776112825
128,0,4539,4,4539,inf,0.0
129,0,567,7,567,inf,0.0
130,0,1135,6,1135,inf,0.0
131,0,4,14,4,inf,0.0
132,0,18156,2,18156,inf,0.0
133,1328,2269,5,941,1.7085843373493976,58.527985896870874
134,2,9,13,7,4.5,22.22222222222222
135,14,18156,2,18142,1296.857142857143,0.07710949548358668
136,86,141,9,55,1.6395348837209303,60.99290780141844
137,0,4,14,4,inf,0.0
138,0,18,12,18,inf,0.0
139,0,142,9,142,inf,0.0
140,0,18156,2,18156,inf,0.0
141,0,2,15,2,inf,0.0
142,0,2,15,2,inf,0.0
143,0,2,15,2,inf,0.0
144,0,142,9,142,inf,0.0
145,0,4,14,4,inf,0.0
146,0,2,15,2,inf,0.0
147,0,72625,0,72625,inf,0.0
148,0,567,7,567,inf,0.0
149,4,18156,2,18152,4539.0,0.02203128442388191
150,0,284,8,284,inf,0.0
151,0,18,12,18,inf,0.0
152,0,3,15,3,inf,0.0
153,0,4,14,4,inf,0.0
