SRC Query,Depth,BBoxes,Data Size
"[[(36.448371, 37.915001), (-117.778891, -116.225579)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(38.536839, 40.003469), (-122.327844, -120.774532)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(34.982222, 36.448852), (-118.459476, -116.906164)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(34.033085, 35.499715), (-121.266424, -119.713112)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(35.742659, 37.209289), (-123.658154, -122.104842)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(40.160794, 41.627424), (-117.598312, -116.045)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.53672, 39.00335), (-123.193861, -121.640549)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(39.936197, 41.402827), (-118.097832, -116.54452)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(33.050508, 34.517138), (-123.998156, -122.444844)]]",12,"[[32.541302, 34.520416], [-124.389343, -120.432167]]",5
"[[(33.249054, 34.715684), (-116.152912, -114.5996)]]",2,"[[32.541302, 37.009014], [-117.970444, -114.294258]]",5262
"[[(38.863646, 40.330276), (-123.971624, -122.418312)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(36.588107, 38.054737), (-121.379097, -119.825785)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(37.981215, 39.447845), (-121.341623, -119.788311)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(33.973481, 35.440111), (-122.365054, -120.811742)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(37.432809, 38.899439), (-121.854213, -120.300901)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(35.335643, 36.802273), (-117.941268, -116.387956)]]",3,"[[34.003124, 37.009014], [-117.970444, -114.294258]]",2631
"[[(36.299794, 37.766424), (-119.619496, -118.066184)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(40.288359, 41.754989), (-117.178397, -115.625085)]]",6,"[[40.213436, 42.017231], [-120.495163, -114.294258]]",329
"[[(38.377897, 39.844527), (-123.614873, -122.061561)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(39.304575, 40.771205), (-119.529291, -117.975979)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(33.312845, 34.779475), (-119.417389, -117.864077)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(40.229931, 41.696561), (-119.288574, -117.735262)]]",6,"[[40.213436, 42.017231], [-120.495163, -114.294258]]",329
"[[(40.504908, 41.971538), (-121.462522, -119.90921)]]",3,"[[38.773846, 42.017231], [-121.790939, -114.294258]]",2631
"[[(39.74806, 41.21469), (-122.774337, -121.221025)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(40.28038, 41.74701), (-123.482731, -121.929419)]]",3,"[[39.543308, 42.017231], [-124.389343, -121.790939]]",2631
"[[(39.264154, 40.730784), (-119.498009, -117.944697)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(35.590396, 37.057026), (-119.858461, -118.305149)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(35.212553, 36.679183), (-117.031809, -115.478497)]]",3,"[[34.003124, 37.009014], [-117.970444, -114.294258]]",2631
"[[(38.998396, 40.465026), (-123.802245, -122.248933)]]",2,"[[37.009014, 42.017231], [-124.389343, -121.790939]]",5262
"[[(34.893469, 36.360099), (-117.000592, -115.44728)]]",3,"[[34.003124, 37.009014], [-117.970444, -114.294258]]",2631
"[[(36.713123, 38.179753), (-122.090068, -120.536756)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(40.414314, 41.880944), (-122.690787, -121.137475)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(39.892756, 41.359386), (-117.38526, -115.831948)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
