,DAG,KD
0,4,4
1,2,2
2,4,4
3,2,0
4,2,2
5,2,2
6,2,2
7,2,0
8,2,2
9,2,0
10,2,0
11,1,1
12,1,0
13,2,2
14,2,2
15,4,4
16,1,1
17,1,1
18,4,4
19,2,0
20,1,1
21,1,1
22,1,0
23,1,1
24,4,4
25,1,0
26,2,0
27,2,2
28,2,1
29,1,1
30,2,0
31,1,0
32,2,2
33,2,0
34,2,2
35,2,2
36,3,3
37,4,0
38,1,0
39,2,2
40,1,1
41,2,0
42,1,1
43,4,4
44,4,4
45,4,4
46,1,1
47,1,1
48,2,0
49,3,3
50,2,2
51,2,0
52,2,2
53,3,3
54,1,1
55,6,0
56,2,0
57,2,2
58,2,2
59,0,0
60,4,0
61,2,0
62,0,0
63,1,1
64,2,0
65,2,2
66,2,2
67,2,2
68,2,2
69,3,0
70,2,0
71,1,1
72,1,1
73,2,0
74,3,3
75,6,0
76,2,2
77,2,0
78,3,3
79,2,2
80,1,1
81,2,0
82,1,1
83,2,2
84,3,3
85,1,1
86,2,2
87,2,2
88,1,0
89,4,0
90,2,0
91,2,0
92,2,0
93,2,2
94,1,1
95,2,2
96,1,0
97,1,1
98,3,3
99,2,0
100,2,0
101,2,2
102,1,0
103,2,2
104,1,1
105,2,2
106,2,2
107,2,0
108,1,0
109,1,1
110,4,4
111,1,1
112,2,2
113,4,4
114,2,2
115,4,4
116,1,1
117,1,1
118,2,2
119,1,0
120,2,0
121,4,4
122,1,1
123,1,1
124,2,0
125,4,4
126,2,2
127,2,2
128,1,1
129,2,0
130,4,4
131,1,1
132,4,0
133,1,1
134,1,1
135,1,1
136,0,0
137,2,2
138,4,0
139,1,1
140,2,0
141,4,4
142,1,1
143,4,0
144,2,0
145,2,0
146,1,1
147,2,2
148,2,0
149,1,1
150,2,0
151,2,0
152,1,0
153,4,0
154,3,3
155,2,2
156,3,0
157,1,1
158,2,0
159,2,0
160,4,4
161,2,2
162,1,0
163,2,2
164,0,0
165,2,2
166,2,0
167,2,2
168,2,2
169,3,0
170,1,0
171,2,2
172,2,0
173,0,0
174,2,2
175,3,0
176,2,0
177,0,0
178,1,1
179,2,0
180,2,2
181,4,4
182,2,0
183,1,1
184,1,0
185,1,1
186,2,2
187,3,3
188,2,2
189,1,0
190,2,2
191,1,1
192,2,2
193,1,1
194,0,0
195,1,1
196,4,4
197,1,1
198,1,1
199,2,2
200,2,2
201,2,2
202,2,2
203,4,0
204,1,0
205,2,2
206,2,2
207,2,0
208,2,2
209,2,0
210,1,1
211,5,0
212,1,0
213,2,2
214,1,1
215,2,0
216,1,1
217,2,2
218,1,1
219,4,4
220,2,0
221,2,2
222,2,2
223,1,1
224,2,2
225,4,4
226,4,4
227,1,1
228,1,1
229,2,2
230,2,0
231,2,2
232,1,1
233,2,2
234,1,1
235,4,0
236,0,0
237,1,0
238,1,1
239,2,2
240,2,0
241,4,4
242,2,2
243,2,0
244,2,0
245,1,1
246,4,4
247,1,1
248,2,0
249,3,3
250,2,2
251,2,0
252,1,0
253,4,0
254,4,4
255,1,1
256,2,2
257,2,2
258,6,6
259,2,2
260,3,3
261,1,1
262,4,4
263,0,0
264,6,0
265,1,1
266,1,0
267,2,0
268,2,2
269,1,1
270,3,0
271,2,0
272,2,2
273,1,1
274,3,0
275,2,2
276,2,2
277,2,2
278,2,0
279,2,0
280,1,1
281,2,2
282,1,1
283,2,0
284,2,2
285,0,0
286,3,3
287,2,2
288,2,2
289,2,2
290,2,2
291,1,1
292,5,5
293,2,0
294,2,0
295,3,0
296,1,0
297,2,2
298,1,1
299,1,1
300,2,2
301,2,0
302,2,2
303,4,4
304,2,0
305,2,2
306,2,2
307,2,2
308,2,2
309,1,1
310,3,3
311,2,2
312,2,2
313,1,1
314,1,0
315,4,4
316,4,0
317,2,2
318,2,2
319,2,2
320,2,2
321,2,0
322,1,1
323,2,0
324,2,0
325,4,4
326,2,2
327,1,1
328,1,1
329,3,3
330,6,0
331,1,1
332,1,1
333,4,4
334,2,2
335,2,2
336,1,1
337,2,2
338,1,0
339,4,4
340,6,0
341,3,0
342,4,0
343,2,0
344,2,2
345,1,0
346,3,3
347,2,0
348,2,2
349,2,0
350,2,2
351,2,2
352,2,2
353,2,0
354,2,0
355,2,2
356,4,0
357,3,0
358,4,4
359,4,0
360,1,1
361,2,0
362,4,0
363,2,2
364,4,4
365,2,0
366,1,1
367,1,1
368,2,0
369,4,4
370,3,3
371,2,0
372,2,2
373,2,0
374,2,2
375,1,1
376,2,0
377,2,2
378,2,2
379,1,0
380,1,0
381,1,1
382,2,0
383,1,0
384,2,2
385,5,0
386,2,2
387,4,4
388,2,0
389,1,1
390,3,3
391,4,4
392,4,4
393,2,2
394,1,1
395,1,1
396,4,4
397,1,1
398,2,0
399,2,0
400,1,1
401,3,3
402,2,2
403,2,2
404,1,1
405,2,2
406,2,2
407,2,0
408,2,2
409,3,0
410,2,0
411,2,0
412,2,2
413,2,2
414,2,2
415,2,2
416,2,2
417,4,4
418,1,1
419,4,4
420,1,1
421,4,4
422,2,2
423,1,1
424,2,2
425,2,2
426,0,0
427,1,1
428,2,2
429,1,1
430,1,0
431,1,1
432,2,2
433,2,2
434,4,4
435,2,2
436,1,1
437,4,4
438,2,2
439,1,1
440,2,2
441,4,4
442,1,1
443,1,1
444,2,2
445,1,1
446,0,0
447,1,0
448,2,2
449,2,0
450,4,0
451,2,2
452,4,4
453,1,1
454,1,1
455,4,4
456,2,0
457,1,0
458,2,0
459,2,2
460,2,0
461,2,2
462,2,2
463,2,2
464,2,2
465,4,4
466,1,1
467,2,0
468,1,0
469,4,4
470,2,0
471,4,0
472,1,0
473,1,0
474,1,1
475,2,2
476,2,2
477,2,2
478,4,4
479,3,0
480,1,0
481,2,2
482,3,3
483,2,2
484,3,3
485,2,2
486,4,4
487,1,0
488,2,2
489,2,2
490,2,0
491,4,0
492,4,4
493,1,1
494,1,1
495,2,2
496,1,1
497,3,0
498,1,1
499,4,4
500,1,1
501,1,1
502,2,2
503,2,0
504,3,3
505,2,2
506,4,4
507,6,0
508,2,0
509,4,4
510,4,4
511,2,2
512,2,2
513,4,0
514,0,0
515,2,2
516,2,0
517,1,1
518,2,2
519,4,4
520,1,1
521,1,1
522,3,3
523,1,1
524,2,2
525,4,4
526,2,2
527,2,0
528,2,2
529,2,2
530,2,0
531,2,2
532,4,4
533,2,2
534,2,2
535,2,0
536,1,1
537,4,4
538,2,2
539,4,4
540,1,0
541,1,1
542,1,0
543,1,1
544,1,1
545,2,0
546,2,2
547,2,0
548,1,1
549,2,2
550,2,2
551,2,2
552,1,1
553,4,4
554,4,4
555,1,1
556,2,0
557,1,1
558,2,0
559,2,0
560,2,0
561,3,3
562,4,4
563,4,0
564,4,0
565,2,0
566,1,1
567,4,0
568,2,2
569,2,2
570,1,1
571,2,2
572,1,0
573,1,0
574,4,4
575,3,0
576,2,2
577,1,0
578,1,1
579,1,1
580,2,2
581,2,2
582,1,1
583,2,2
584,1,1
585,0,0
586,2,2
587,2,0
588,4,4
589,4,4
590,1,1
591,2,2
592,2,2
593,1,1
594,1,1
595,1,1
596,1,0
597,3,3
598,1,1
599,1,1
600,4,4
601,1,0
602,2,0
603,1,0
604,1,1
605,2,2
606,1,1
607,1,0
608,1,0
609,2,2
610,2,2
611,2,2
612,2,0
613,1,1
614,4,4
615,1,0
616,1,1
617,2,0
618,2,0
619,4,4
620,2,2
621,2,2
622,4,4
623,4,4
624,2,2
625,1,1
626,2,2
627,2,2
628,2,2
629,0,0
630,1,0
631,2,0
632,1,0
633,2,2
634,1,1
635,4,4
636,4,0
637,3,3
638,2,2
639,2,0
640,2,2
641,4,4
642,2,2
643,1,1
644,1,0
645,4,4
646,1,1
647,4,4
648,3,3
649,2,0
650,1,0
651,1,1
652,4,4
653,1,1
654,2,2
655,1,1
656,2,2
657,2,0
658,2,2
659,2,2
660,2,2
661,0,0
662,1,1
663,1,1
664,2,2
665,4,0
666,2,2
667,2,2
668,6,0
669,2,0
670,4,0
671,2,2
672,4,4
673,3,0
674,1,0
675,4,4
676,6,0
677,2,2
678,2,2
679,1,1
680,1,1
681,2,2
682,2,0
683,2,0
684,1,1
685,1,1
686,1,0
687,2,0
688,1,1
689,2,0
690,2,0
691,3,3
692,1,1
693,2,2
694,2,0
695,1,1
696,2,0
697,1,0
698,1,1
699,2,0
700,3,3
701,4,4
702,2,2
703,4,4
704,4,4
705,2,2
706,2,2
707,1,1
708,2,2
709,0,0
710,2,2
711,2,0
712,2,0
713,1,1
714,2,0
715,4,4
716,1,0
717,1,1
718,1,1
719,1,1
720,1,0
721,1,1
722,4,4
723,2,2
724,2,0
725,4,4
726,2,0
727,1,1
728,2,2
729,2,2
730,2,2
731,2,2
732,2,0
733,1,0
734,2,2
735,0,0
736,5,0
737,2,0
738,1,0
739,2,2
740,4,4
741,1,1
742,2,0
743,1,1
744,4,4
745,2,0
746,1,1
747,2,2
748,1,0
749,3,0
750,2,0
751,2,2
752,1,1
753,4,4
754,2,2
755,4,4
756,2,0
757,2,0
758,4,4
759,2,2
760,2,2
761,1,0
762,4,4
763,2,0
764,1,0
765,1,1
766,1,1
767,4,4
768,1,0
769,2,2
770,2,2
771,2,2
772,1,0
773,2,0
774,4,4
775,3,3
776,2,2
777,4,4
778,2,1
779,5,0
780,1,1
781,1,1
782,1,0
783,4,0
784,2,1
785,2,2
786,2,0
787,2,2
788,4,4
789,2,0
790,1,0
791,1,1
792,2,2
793,2,2
794,2,0
795,2,2
796,2,2
797,2,0
798,1,1
799,2,0
800,2,2
801,4,4
802,2,2
803,1,1
804,0,0
805,2,0
806,1,1
807,1,1
808,4,4
809,4,4
810,2,0
811,2,2
812,2,2
813,1,1
814,2,2
815,2,2
816,2,2
817,2,2
818,2,2
819,2,0
820,1,1
821,2,2
822,2,2
823,1,1
824,3,0
825,2,0
826,1,1
827,1,1
828,2,0
829,2,2
830,2,2
831,1,1
832,2,2
833,3,0
834,2,0
835,1,1
836,2,2
837,1,1
838,1,1
839,2,2
840,1,1
841,2,0
842,2,0
843,2,0
844,2,2
845,3,3
846,1,0
847,2,2
848,2,0
849,0,0
850,2,2
851,2,2
852,1,0
853,1,1
854,3,0
855,1,1
856,1,1
857,2,2
858,4,0
859,2,2
860,2,2
861,2,0
862,2,0
863,2,0
864,2,2
865,2,2
866,2,0
867,2,2
868,2,2
869,2,2
870,2,2
871,3,3
872,3,3
873,2,2
874,2,2
875,4,0
876,1,1
877,1,1
878,2,0
879,1,0
880,4,4
881,1,1
882,2,0
883,3,0
884,2,0
885,3,0
886,4,4
887,2,2
888,1,1
889,2,2
890,2,2
891,1,1
892,2,2
893,4,4
894,2,2
895,4,4
896,4,4
897,1,1
898,2,2
899,3,3
900,2,2
901,1,0
902,2,0
903,2,0
904,2,2
905,4,4
906,1,1
907,2,2
908,4,4
909,1,1
910,2,2
911,1,0
912,1,1
913,2,2
914,1,1
915,2,0
916,2,2
917,1,1
918,1,1
919,1,1
920,4,4
921,1,1
922,3,3
923,1,0
924,2,2
925,2,0
926,1,1
927,3,0
928,2,2
929,1,1
930,1,1
931,2,2
932,4,4
933,1,0
934,4,0
935,2,2
936,2,0
937,2,2
938,1,0
939,2,2
940,2,2
941,2,2
942,2,2
943,1,1
944,2,0
945,1,0
946,1,1
947,4,4
948,2,2
949,3,3
950,4,4
951,1,0
952,2,2
953,1,1
954,4,4
955,2,2
956,1,1
957,1,0
958,2,2
959,4,4
960,2,2
961,1,1
962,1,0
963,2,2
964,2,2
965,4,4
966,3,0
967,3,3
968,2,2
969,2,2
970,2,0
971,2,0
972,2,2
973,4,4
974,4,4
975,4,0
976,4,4
977,2,2
978,2,2
979,3,0
980,2,0
981,3,3
982,2,2
983,2,2
984,2,2
985,1,0
986,1,1
987,2,2
988,1,0
989,1,1
990,3,0
991,4,4
992,2,2
993,4,4
994,2,0
995,2,0
996,3,3
997,2,0
998,3,0
999,2,2
1000,2,0
1001,0,0
1002,2,2
1003,3,3
1004,3,0
1005,2,2
1006,2,2
1007,0,0
1008,2,2
1009,1,1
1010,1,1
1011,2,2
1012,2,2
1013,2,0
1014,0,0
1015,2,2
1016,4,4
1017,1,0
1018,1,0
1019,2,0
1020,2,2
1021,1,0
1022,2,0
1023,3,0
1024,3,3
1025,1,1
1026,2,0
1027,2,2
1028,3,3
1029,2,2
1030,2,2
1031,1,0
1032,4,4
1033,2,0
1034,2,0
1035,2,0
1036,1,0
1037,3,0
1038,2,2
1039,2,2
1040,1,1
1041,1,1
1042,1,1
1043,2,0
1044,2,0
1045,2,2
1046,2,2
1047,3,3
1048,1,0
1049,2,0
1050,4,4
1051,1,0
1052,2,2
1053,1,1
