,L2 Norm
0,0.046108505269449596
1,0.0725754423968509
2,0.044862195719100606
3,0.002887504345791096
4,-0.012203677450832298
5,-0.0222331001398545
6,-0.0377372285284734
7,-0.039476608821461104
8,-0.027863618596609498
9,-0.020347031793167804
10,-0.015276951015095401
11,-0.009968998132956802
12,-0.0332596002449769
13,-0.029144774270341303
14,-0.027991423926717898
15,-0.02648247064314
16,-0.0149032352958679
17,-0.0123978146277161
18,-0.008123345144382699
19,-0.004552057537987601
20,-0.0031662803637934004
21,-0.0056949428954927
22,-0.0072861312217628
23,-0.0015051975259064996
24,0.00018220906319410014
25,0.0060457482778953995
26,0.003791027991194399
27,-0.0014940258179079995
28,-0.00019679902058999943
29,0.002342247443770799
30,0.0011213550414078
31,-0.0016368404497461003
32,-0.0017949738803862006
33,-0.0010751569266164995
34,0.0003285111950871002
35,-0.00039978464694209997
36,0.0009259572064291002
37,0.0017111150998653998
38,0.0010809223327012006
39,0.0032311098759398
40,0.0022205138727974
41,-0.0003135750167587003
42,-0.0026019872889111
43,-0.0027815295536298005
44,-0.0050942916991432
45,-0.006020882133899501
46,-0.0034230096020261996
47,-0.0008640060767233998
48,-0.00035714891296
49,0.0017693140481511997
50,0.0009285380621178998
51,-0.0007763219743537999
52,-0.0013655113409981002
53,0.0012371638361463998
54,0.0013266433396925997
55,0.0012585800203974997
56,0.0005356810056428999
57,0.0007551251555308999
58,0.0006606269482196999
59,-0.0010325243742113999
60,0.0013053872017158995
61,0.0004684830557438002
62,-0.0007299019975617999
63,-0.0018434609370141996
64,-0.0024557112889266
65,-0.0025945437939655
66,-0.0027226505188384996
67,-0.0025899781829606997
68,-0.0034835248735386
69,-0.0004971422121779999
70,-0.0017333570023967998
71,-0.0026182911913156005
72,-0.0040521025805982
73,-0.0038911895209657005
74,-0.003934495731629399
75,-0.0020054324899843
76,-0.0034692615587334002
77,-0.0040747305352093
78,-0.0041909601327735
79,-0.0054093952620647
80,-0.0064256920637364
81,-0.007111078347173501
82,-0.0066282117420801995
83,-0.0061669553906697
84,-0.005507638506772899
85,-0.0051520729450332
86,-0.0048430144007705995
87,-0.0054327449485575005
88,-0.005308606849313301
89,-0.0027797595563080002
90,-0.0027604018121748
91,-0.0021026644232027
92,-0.0006184642094408
93,-0.00106539509081
94,-0.0001432610505620001
95,-0.0001258316872655
96,0.0001964252459535
97,0.0002489836676287
98,-0.0003111835579285
99,0.0
