,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,21048,0,21048,inf,0.0
1,0,1,14,1,inf,0.0
2,207,5262,2,5055,25.420289855072465,3.9338654503990877
3,696,21048,0,20352,30.24137931034483,3.30672748004561
4,598,2631,3,2033,4.3996655518394645,22.72900038008362
5,440,1315,4,875,2.9886363636363638,33.460076045627375
6,0,329,6,329,inf,0.0
7,683,1315,4,632,1.9253294289897511,51.939163498098864
8,0,1,14,1,inf,0.0
9,0,2631,3,2631,inf,0.0
10,376,10524,1,10148,27.98936170212766,3.5727860129228435
11,0,5262,2,5262,inf,0.0
12,0,328,6,328,inf,0.0
13,0,329,6,329,inf,0.0
14,452,5262,2,4810,11.641592920353983,8.589889775750665
15,708,1316,4,608,1.8587570621468927,53.799392097264445
16,0,329,6,329,inf,0.0
17,680,10524,1,9844,15.476470588235294,6.461421512732802
18,0,5262,2,5262,inf,0.0
19,606,21048,0,20442,34.73267326732673,2.879133409350057
20,0,5262,2,5262,inf,0.0
21,145,21048,0,20903,145.15862068965518,0.6889015583428354
22,271,1315,4,1044,4.85239852398524,20.60836501901141
23,157,5262,2,5105,33.51592356687898,2.98365640440897
24,385,21048,0,20663,54.67012987012987,1.8291524135309767
25,0,1315,4,1315,inf,0.0
26,365,2631,3,2266,7.208219178082191,13.87305207145572
27,162,1315,4,1153,8.117283950617283,12.319391634980988
28,235,1315,4,1080,5.595744680851064,17.870722433460077
29,0,1,14,1,inf,0.0
30,679,10524,1,9845,15.499263622974963,6.4519194222729
31,0,5262,2,5262,inf,0.0
32,0,5262,2,5262,inf,0.0
33,694,2631,3,1937,3.7910662824207493,26.377803116685673
34,79,5262,2,5183,66.60759493670886,1.5013302926643861
35,0,5262,2,5262,inf,0.0
36,516,21048,0,20532,40.7906976744186,2.451539338654504
37,847,10524,1,9677,12.425029515938608,8.048270619536298
38,432,2631,3,2199,6.090277777777778,16.419612314709237
39,29,5262,2,5233,181.44827586206895,0.5511212466742683
40,0,5262,2,5262,inf,0.0
41,0,2631,3,2631,inf,0.0
42,300,2631,3,2331,8.77,11.402508551881414
43,274,5262,2,4988,19.204379562043794,5.207145572025846
44,1101,2631,3,1530,2.3896457765667574,41.84720638540479
45,53,1316,4,1263,24.830188679245282,4.027355623100304
46,1299,10524,1,9225,8.10161662817552,12.343215507411632
47,281,5262,2,4981,18.725978647686834,5.340174838464462
48,626,5262,2,4636,8.405750798722044,11.896617255796276
49,0,1316,4,1316,inf,0.0
50,434,5262,2,4828,12.12442396313364,8.247814519194224
51,534,5262,2,4728,9.853932584269662,10.148232611174459
52,561,10524,1,9963,18.759358288770052,5.330672748004561
53,465,5262,2,4797,11.316129032258065,8.836944127708096
54,173,2631,3,2458,15.208092485549132,6.575446598251615
55,561,10524,1,9963,18.759358288770052,5.330672748004561
56,1205,10524,1,9319,8.733609958506223,11.45001900418092
57,481,2631,3,2150,5.46985446985447,18.282022044849867
58,138,1316,4,1178,9.53623188405797,10.486322188449847
59,423,21048,0,20625,49.758865248226954,2.009692132269099
60,455,10524,1,10069,23.12967032967033,4.323451159255036
61,0,5262,2,5262,inf,0.0
62,484,21048,0,20564,43.48760330578512,2.2995058912960853
63,0,329,6,329,inf,0.0
64,488,5262,2,4774,10.782786885245901,9.27404028886355
65,719,2631,3,1912,3.659248956884562,27.32801216267579
66,591,2631,3,2040,4.451776649746193,22.462941847206388
67,445,21048,0,20603,47.29887640449438,2.1142151273280123
68,19,5262,2,5243,276.94736842105266,0.36107943747624477
69,608,5262,2,4654,8.654605263157896,11.554541999239833
70,619,2631,3,2012,4.250403877221324,23.527175978715317
71,417,5262,2,4845,12.618705035971223,7.924743443557583
72,0,329,6,329,inf,0.0
73,526,1315,4,789,2.5,40.0
74,271,5262,2,4991,19.416974169741696,5.1501330292664385
75,0,5262,2,5262,inf,0.0
76,0,1,14,1,inf,0.0
77,0,5262,2,5262,inf,0.0
78,97,21048,0,20951,216.98969072164948,0.46085138730520714
79,906,2631,3,1725,2.903973509933775,34.43557582668187
80,859,2631,3,1772,3.062863795110594,32.649182820220446
81,298,658,5,360,2.208053691275168,45.2887537993921
82,0,1315,4,1315,inf,0.0
83,0,5262,2,5262,inf,0.0
84,321,2631,3,2310,8.19626168224299,12.200684150513112
85,0,5262,2,5262,inf,0.0
86,0,1316,4,1316,inf,0.0
87,0,1315,4,1315,inf,0.0
88,524,21048,0,20524,40.16793893129771,2.489547700494109
89,5,82,8,77,16.4,6.097560975609756
90,0,1316,4,1316,inf,0.0
91,2,2631,3,2629,1315.5,0.07601672367920942
92,1331,10524,1,9193,7.906836964688204,12.647282402128468
93,579,10524,1,9945,18.17616580310881,5.501710376282782
94,0,21048,0,21048,inf,0.0
95,0,5262,2,5262,inf,0.0
96,0,5262,2,5262,inf,0.0
97,392,2631,3,2239,6.711734693877551,14.899277841125047
98,0,2631,3,2631,inf,0.0
99,0,21048,0,21048,inf,0.0
100,351,5262,2,4911,14.991452991452991,6.670467502850627
101,0,1315,4,1315,inf,0.0
102,0,1316,4,1316,inf,0.0
103,496,10524,1,10028,21.217741935483872,4.713036868110984
104,402,21048,0,20646,52.35820895522388,1.909920182440137
105,0,21048,0,21048,inf,0.0
106,546,2631,3,2085,4.818681318681318,20.752565564424174
107,0,1316,4,1316,inf,0.0
108,0,11,11,11,inf,0.0
109,35,1316,4,1281,37.6,2.6595744680851063
110,365,5262,2,4897,14.416438356164383,6.93652603572786
111,315,2631,3,2316,8.352380952380953,11.972633979475484
112,0,329,6,329,inf,0.0
113,0,1316,4,1316,inf,0.0
114,0,329,6,329,inf,0.0
115,704,5262,2,4558,7.474431818181818,13.37894336754086
116,0,21048,0,21048,inf,0.0
117,0,5262,2,5262,inf,0.0
118,440,2631,3,2191,5.9795454545454545,16.723679209426074
119,0,1316,4,1316,inf,0.0
120,871,2631,3,1760,3.020665901262916,33.105283162295706
121,22,165,7,143,7.5,13.333333333333334
122,457,1316,4,859,2.8796498905908097,34.72644376899696
123,0,657,5,657,inf,0.0
124,0,5262,2,5262,inf,0.0
125,420,5262,2,4842,12.528571428571428,7.98175598631699
126,663,21048,0,20385,31.74660633484163,3.14994298745724
127,0,328,6,328,inf,0.0
128,0,329,6,329,inf,0.0
129,625,2631,3,2006,4.2096,23.755226149752946
130,0,5262,2,5262,inf,0.0
131,117,329,6,212,2.8119658119658117,35.56231003039514
132,233,21048,0,20815,90.33476394849785,1.1069935385784873
133,601,21048,0,20447,35.021630615640596,2.855378183200304
134,790,5262,2,4472,6.660759493670886,15.013302926643862
135,0,329,6,329,inf,0.0
136,0,1316,4,1316,inf,0.0
137,1051,10524,1,9473,10.013320647002855,9.986697073356138
138,18,1316,4,1298,73.11111111111111,1.3677811550151975
139,566,5262,2,4696,9.296819787985866,10.756366400608133
140,527,10524,1,9997,19.9696394686907,5.007601672367921
141,273,1316,4,1043,4.82051282051282,20.74468085106383
142,317,1316,4,999,4.151419558359621,24.088145896656535
143,1280,10524,1,9244,8.221875,12.162675788673507
144,0,1316,4,1316,inf,0.0
145,0,1316,4,1316,inf,0.0
146,558,5262,2,4704,9.43010752688172,10.604332953249715
147,0,1316,4,1316,inf,0.0
148,524,1315,4,791,2.5095419847328246,39.847908745247146
149,452,1316,4,864,2.911504424778761,34.34650455927052
150,5,2631,3,2626,526.2,0.19004180919802355
151,0,329,6,329,inf,0.0
152,0,82,8,82,inf,0.0
153,31,5262,2,5231,169.74193548387098,0.589129608513873
154,304,1316,4,1012,4.328947368421052,23.10030395136778
155,74,657,5,583,8.878378378378379,11.263318112633181
156,0,5262,2,5262,inf,0.0
157,0,1316,4,1316,inf,0.0
158,0,328,6,328,inf,0.0
159,463,5262,2,4799,11.36501079913607,8.798935765868492
160,0,21048,0,21048,inf,0.0
161,505,5262,2,4757,10.41980198019802,9.59711136450019
162,205,1316,4,1111,6.419512195121952,15.577507598784193
163,552,5262,2,4710,9.532608695652174,10.490307867730902
164,344,5262,2,4918,15.296511627906977,6.537438236412011
165,539,10524,1,9985,19.525046382189238,5.121626757886736
166,442,1316,4,874,2.97737556561086,33.586626139817625
