BRC Query,Data Size
"[[(35.247139, 37.970881), (-121.503745, -118.619023)]]",3702
"[[(38.893916, 41.617658), (-123.264661, -120.379939)]]",3414
"[[(36.842537, 39.566279), (-122.839091, -119.954369)]]",4330
"[[(32.906526, 35.630268), (-121.024813, -118.140091)]]",2472
"[[(34.376004, 37.099746), (-121.017294, -118.132572)]]",3776
"[[(34.411006, 37.134748), (-117.954076, -115.069354)]]",1613
"[[(37.507373, 40.231115), (-117.404446, -114.519724)]]",0
"[[(38.521162, 41.244904), (-123.322463, -120.437741)]]",3774
"[[(36.908127, 39.631869), (-121.095668, -118.210946)]]",2601
"[[(35.462218, 38.18596), (-121.297678, -118.412956)]]",3587
"[[(38.971352, 41.695094), (-118.808907, -115.924185)]]",0
"[[(36.669907, 39.393649), (-122.661037, -119.776315)]]",4312
"[[(33.042721, 35.766463), (-117.393705, -114.508983)]]",2881
"[[(34.899341, 37.623083), (-119.952357, -117.067635)]]",3041
"[[(38.889996, 41.613738), (-122.963252, -120.07853)]]",3458
"[[(34.486482, 37.210224), (-123.669935, -120.785213)]]",892
"[[(38.678023, 41.401765), (-122.392518, -119.507796)]]",3064
"[[(33.592567, 36.316309), (-118.899474, -116.014752)]]",3956
"[[(32.785793, 35.509535), (-117.191579, -114.306857)]]",2791
"[[(37.260416, 39.984158), (-119.011554, -116.126832)]]",284
"[[(33.950144, 36.673886), (-120.040758, -117.156036)]]",3974
"[[(34.084143, 36.807885), (-117.678655, -114.793933)]]",1986
"[[(35.883774, 38.607516), (-123.708992, -120.82427)]]",2782
"[[(37.911316, 40.635058), (-123.95146, -121.066738)]]",4117
"[[(32.59991, 35.323652), (-119.701108, -116.816386)]]",3740
"[[(32.987914, 35.711656), (-118.846356, -115.961634)]]",4023
"[[(37.016707, 39.740449), (-124.231788, -121.347066)]]",3450
"[[(33.624277, 36.348019), (-120.105375, -117.220653)]]",4077
"[[(35.335173, 38.058915), (-117.72214, -114.837418)]]",857
"[[(35.884086, 38.607828), (-123.318226, -120.433504)]]",3313
"[[(33.828019, 36.551761), (-119.667303, -116.782581)]]",4183
"[[(34.142586, 36.866328), (-118.998882, -116.11416)]]",3056
"[[(32.799743, 35.523485), (-122.214451, -119.329729)]]",1048
"[[(38.723864, 41.447606), (-124.041525, -121.156803)]]",3605
"[[(34.362527, 37.086269), (-124.286687, -121.401965)]]",360
"[[(35.054042, 37.777784), (-124.258266, -121.373544)]]",1097
"[[(36.117948, 38.84169), (-122.972296, -120.087574)]]",3826
"[[(37.243, 39.966742), (-123.119657, -120.234935)]]",4573
"[[(36.956882, 39.680624), (-122.716986, -119.832264)]]",4421
"[[(32.837256, 35.560998), (-118.947285, -116.062563)]]",4028
"[[(38.510607, 41.234349), (-121.46716, -118.582438)]]",2079
"[[(36.063748, 38.78749), (-118.914619, -116.029897)]]",1218
"[[(36.168195, 38.891937), (-124.139094, -121.254372)]]",2697
"[[(34.181527, 36.905269), (-117.354852, -114.47013)]]",1576
"[[(35.475709, 38.199451), (-121.766475, -118.881753)]]",3420
"[[(34.773133, 37.496875), (-121.178398, -118.293676)]]",3514
"[[(39.132785, 41.856527), (-123.071481, -120.186759)]]",3390
"[[(37.535487, 40.259229), (-123.967657, -121.082935)]]",4042
"[[(35.85677, 38.580512), (-123.270279, -120.385557)]]",3325
"[[(34.743918, 37.46766), (-123.423888, -120.539166)]]",1553
"[[(33.867881, 36.591623), (-124.270894, -121.386172)]]",166
"[[(33.132853, 35.856595), (-120.533815, -117.649093)]]",3389
"[[(34.289768, 37.01351), (-120.576563, -117.691841)]]",3692
"[[(33.293174, 36.016916), (-124.044001, -121.159279)]]",79
"[[(38.155664, 40.879406), (-119.850702, -116.96598)]]",176
"[[(34.43046, 37.154202), (-123.164278, -120.279556)]]",1566
"[[(34.504585, 37.228327), (-124.057761, -121.173039)]]",584
"[[(37.796037, 40.519779), (-122.561009, -119.676287)]]",3919
"[[(34.561624, 37.285366), (-117.693777, -114.809055)]]",1432
"[[(33.384931, 36.108673), (-120.40816, -117.523438)]]",3637
"[[(35.938554, 38.662296), (-117.7879, -114.903178)]]",465
"[[(36.668553, 39.392295), (-118.380939, -115.496217)]]",296
"[[(32.982427, 35.706169), (-117.41103, -114.526308)]]",2980
"[[(32.760172, 35.483914), (-117.335761, -114.451039)]]",3222
"[[(35.116864, 37.840606), (-119.383506, -116.498784)]]",2632
"[[(35.797258, 38.521), (-120.875892, -117.99117)]]",3098
"[[(36.909967, 39.633709), (-119.218302, -116.33358)]]",603
"[[(36.770482, 39.494224), (-120.260288, -117.375566)]]",1706
"[[(38.508585, 41.232327), (-120.204543, -117.319821)]]",408
"[[(32.61804, 35.341782), (-117.289677, -114.404955)]]",3301
"[[(36.790781, 39.514523), (-120.963428, -118.078706)]]",2468
"[[(34.379258, 37.103), (-120.837598, -117.952876)]]",3808
"[[(36.133816, 38.857558), (-119.899891, -117.015169)]]",2100
"[[(34.460285, 37.184027), (-117.591225, -114.706503)]]",1406
"[[(35.543584, 38.267326), (-123.436727, -120.552005)]]",2703
"[[(33.042542, 35.766284), (-123.131966, -120.247244)]]",620
"[[(37.757933, 40.481675), (-122.829105, -119.944383)]]",4252
"[[(37.801661, 40.525403), (-118.915739, -116.031017)]]",58
"[[(34.584258, 37.308), (-120.368762, -117.48404)]]",3332
"[[(33.004814, 35.728556), (-118.382141, -115.497419)]]",3886
"[[(33.410804, 36.134546), (-118.407083, -115.522361)]]",3650
"[[(37.357899, 40.081641), (-120.343058, -117.458336)]]",1208
"[[(35.510432, 38.234174), (-118.329148, -115.444426)]]",1105
"[[(36.693546, 39.417288), (-121.700373, -118.815651)]]",3307
"[[(35.70019, 38.423932), (-121.392389, -118.507667)]]",3422
"[[(36.831435, 39.555177), (-120.696277, -117.811555)]]",2117
"[[(34.727184, 37.450926), (-120.871187, -117.986465)]]",3570
"[[(32.582992, 35.306734), (-121.432041, -118.547319)]]",1288
"[[(33.787438, 36.51118), (-118.23931, -115.354588)]]",3064
"[[(35.735564, 38.459306), (-119.751978, -116.867256)]]",2319
"[[(37.427583, 40.151325), (-122.029977, -119.145255)]]",3453
"[[(37.231817, 39.955559), (-120.581729, -117.697007)]]",1741
"[[(35.09464, 37.818382), (-120.100503, -117.215781)]]",3171
"[[(37.234342, 39.958084), (-119.712195, -116.827473)]]",628
"[[(38.409438, 41.13318), (-117.487584, -114.602862)]]",0
"[[(36.455058, 39.1788), (-122.103651, -119.218929)]]",3564
"[[(34.873359, 37.597101), (-123.176139, -120.291417)]]",2080
"[[(37.720384, 40.444126), (-120.575132, -117.69041)]]",1260
"[[(38.229014, 40.952756), (-120.633261, -117.748539)]]",997
"[[(37.440066, 40.163808), (-123.613936, -120.729214)]]",4367
"[[(39.084684, 41.808426), (-121.900485, -119.015763)]]",2347
"[[(38.700726, 41.424468), (-118.630497, -115.745775)]]",0
"[[(38.385379, 41.109121), (-123.60519, -120.720468)]]",4019
"[[(36.978001, 39.701743), (-121.299588, -118.414866)]]",2752
"[[(33.062813, 35.786555), (-117.763122, -114.8784)]]",3177
"[[(37.187577, 39.911319), (-120.74431, -117.859588)]]",1987
"[[(38.655309, 41.379051), (-118.396977, -115.512255)]]",0
"[[(34.260701, 36.984443), (-121.587508, -118.702786)]]",3418
"[[(33.096836, 35.820578), (-119.885631, -117.000909)]]",3912
"[[(37.569351, 40.293093), (-123.430749, -120.546027)]]",4280
"[[(36.06341, 38.787152), (-117.725804, -114.841082)]]",382
"[[(36.721302, 39.445044), (-123.520545, -120.635823)]]",3938
"[[(38.689723, 41.413465), (-119.081319, -116.196597)]]",0
"[[(36.16801, 38.891752), (-120.567399, -117.682677)]]",2620
"[[(34.665777, 37.389519), (-123.558952, -120.67423)]]",1256
"[[(34.071205, 36.794947), (-123.887012, -121.00229)]]",454
"[[(36.839111, 39.562853), (-119.370743, -116.486021)]]",699
"[[(37.653992, 40.377734), (-122.117832, -119.23311)]]",3382
"[[(33.366977, 36.090719), (-118.264568, -115.379846)]]",3554
"[[(32.908639, 35.632381), (-122.299271, -119.414549)]]",1107
"[[(36.610981, 39.334723), (-119.660678, -116.775956)]]",1258
"[[(35.609056, 38.332798), (-117.184721, -114.299999)]]",354
"[[(38.428492, 41.152234), (-120.137955, -117.253233)]]",323
"[[(36.951937, 39.675679), (-120.213252, -117.32853)]]",1493
"[[(36.143601, 38.867343), (-119.901032, -117.01631)]]",2085
"[[(39.147627, 41.871369), (-121.735971, -118.851249)]]",2162
"[[(37.15106, 39.874802), (-123.382718, -120.497996)]]",4393
"[[(38.151872, 40.875614), (-123.652449, -120.767727)]]",4178
"[[(36.289828, 39.01357), (-122.654903, -119.770181)]]",4012
"[[(35.969157, 38.692899), (-124.160302, -121.27558)]]",2404
"[[(36.78446, 39.508202), (-117.762537, -114.877815)]]",81
"[[(34.442559, 37.166301), (-120.458534, -117.573812)]]",3503
"[[(38.064131, 40.787873), (-119.000592, -116.11587)]]",14
"[[(38.144541, 40.868283), (-118.291736, -115.407014)]]",0
"[[(32.982631, 35.706373), (-119.147666, -116.262944)]]",4059
"[[(37.691279, 40.415021), (-122.871253, -119.986531)]]",4318
"[[(37.916562, 40.640304), (-123.432341, -120.547619)]]",4305
"[[(38.103549, 40.827291), (-122.927743, -120.043021)]]",4034
"[[(38.773458, 41.4972), (-121.121287, -118.236565)]]",1476
"[[(37.001221, 39.724963), (-122.842492, -119.95777)]]",4400
"[[(34.391959, 37.115701), (-118.686007, -115.801285)]]",2180
"[[(34.202488, 36.92623), (-117.524884, -114.640162)]]",1644
"[[(37.019202, 39.742944), (-123.834396, -120.949674)]]",4022
"[[(32.795257, 35.518999), (-120.805395, -117.920673)]]",2606
"[[(32.894956, 35.618698), (-118.002877, -115.118155)]]",3568
"[[(36.235197, 38.958939), (-121.171618, -118.286896)]]",3074
"[[(32.919814, 35.643556), (-120.861538, -117.976816)]]",2759
"[[(34.193902, 36.917644), (-122.572302, -119.68758)]]",2007
"[[(36.597636, 39.321378), (-123.399743, -120.515021)]]",3967
"[[(37.877005, 40.600747), (-120.58681, -117.702088)]]",1101
"[[(36.910513, 39.634255), (-121.218779, -118.334057)]]",2701
"[[(38.470261, 41.194003), (-120.949753, -118.065031)]]",1356
"[[(36.797684, 39.521426), (-118.647291, -115.762569)]]",338
"[[(33.486629, 36.210371), (-121.268463, -118.383741)]]",2909
"[[(38.524084, 41.247826), (-122.45931, -119.574588)]]",3300
"[[(35.224506, 37.948248), (-118.689676, -115.804954)]]",1760
"[[(32.784685, 35.508427), (-119.594545, -116.709823)]]",3921
"[[(34.639149, 37.362891), (-118.830872, -115.94615)]]",2217
"[[(34.834301, 37.558043), (-121.576822, -118.6921)]]",3392
"[[(35.548535, 38.272277), (-118.300691, -115.415969)]]",1067
"[[(32.582243, 35.305985), (-123.020348, -120.135626)]]",358
"[[(37.81971, 40.543452), (-122.93834, -120.053618)]]",4239
"[[(34.900017, 37.623759), (-122.166556, -119.281834)]]",3044
