SRC Query,Depth,BBoxes,Data Size
"[[(35.96, 36.94), (-115.78, -114.79)]]",7,"[[35.321751, 37.009014], [-116.251694, -114.294258]]",165
"[[(37.97, 38.96), (-123.89, -122.91)]]",4,"[[37.009014, 39.543308], [-124.389343, -122.457283]]",1315
"[[(34.86, 35.84), (-121.86, -120.91)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(38.81, 39.76), (-116.29, -115.3)]]",6,"[[38.773846, 40.213436], [-120.430931, -114.294258]]",329
"[[(38.06, 39.04), (-120.43, -119.45)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(40.66, 41.62), (-118.8, -117.81)]]",6,"[[40.213436, 42.017231], [-120.495163, -114.294258]]",329
"[[(33.17, 34.12), (-121.19, -120.22)]]",9,"[[32.541302, 34.529282], [-124.389343, -119.916641]]",41
"[[(40.56, 41.55), (-121.75, -120.76)]]",3,"[[38.773846, 42.017231], [-121.790939, -114.294258]]",2631
"[[(40.29, 41.28), (-122.97, -122.01)]]",4,"[[39.543308, 42.017231], [-123.049553, -121.790939]]",1316
"[[(32.85, 33.8), (-118.0, -117.04)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(34.32, 35.29), (-122.3, -121.35)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(36.76, 37.76), (-117.11, -116.11)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(32.62, 33.59), (-123.78, -122.82)]]",14,"[[32.541302, 34.512501], [-124.389343, -120.443123]]",1
"[[(38.19, 39.19), (-122.92, -121.95)]]",3,"[[37.009014, 39.543308], [-124.389343, -121.790939]]",2631
"[[(36.07, 37.02), (-119.86, -118.87)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.17, 35.14), (-122.22, -121.26)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(32.87, 33.85), (-116.01, -115.01)]]",4,"[[32.541302, 34.003124], [-116.742416, -114.294258]]",1316
"[[(34.84, 35.84), (-120.99, -119.99)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(37.06, 38.05), (-118.02, -117.03)]]",4,"[[37.009014, 38.773846], [-120.322968, -114.294258]]",1316
"[[(38.12, 39.11), (-123.99, -123.03)]]",4,"[[37.009014, 39.543308], [-124.389343, -122.457283]]",1315
"[[(40.08, 41.06), (-119.62, -118.66)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.12, 38.12), (-122.17, -121.22)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(36.25, 37.23), (-121.37, -120.39)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(40.87, 41.86), (-117.62, -116.62)]]",6,"[[40.213436, 42.017231], [-120.495163, -114.294258]]",329
"[[(36.73, 37.72), (-121.41, -120.42)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.22, 35.22), (-123.59, -122.62)]]",4,"[[32.541302, 35.551353], [-124.389343, -119.04274]]",1315
"[[(34.75, 35.72), (-123.37, -122.37)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(39.63, 40.6), (-121.83, -120.84)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(35.02, 36.02), (-117.27, -116.28)]]",3,"[[34.003124, 37.009014], [-117.970444, -114.294258]]",2631
"[[(35.09, 36.04), (-123.25, -122.28)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(36.83, 37.78), (-118.8, -117.84)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(33.1, 34.05), (-124.09, -123.14)]]",14,"[[32.541302, 34.512501], [-124.389343, -120.443123]]",1
"[[(35.79, 36.75), (-119.98, -119.01)]]",3,"[[35.551353, 37.009014], [-124.389343, -117.970444]]",2631
"[[(38.06, 39.02), (-118.66, -117.69)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(40.08, 41.05), (-124.29, -123.34)]]",4,"[[39.543308, 42.017231], [-124.389343, -123.049553]]",1315
"[[(37.91, 38.89), (-121.9, -120.93)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
