,DAG,KD
0,2,2
1,4,2
2,4,4
3,4,4
4,4,2
5,4,4
6,2,2
7,2,2
8,4,2
9,3,2
10,4,4
11,2,2
12,3,2
13,4,0
14,5,4
15,4,4
16,1,1
17,1,1
18,3,3
19,6,0
20,4,2
21,1,1
22,3,3
23,4,2
24,2,0
25,4,0
26,2,2
27,4,4
28,6,4
29,5,5
30,4,2
31,4,4
32,3,2
33,3,2
34,5,4
35,14,14
36,4,2
37,6,4
38,3,1
39,3,3
40,4,2
41,2,0
42,3,3
43,4,4
44,3,3
45,3,3
46,4,4
47,4,4
48,3,1
49,6,0
50,4,4
51,2,2
52,3,0
53,6,4
54,4,4
55,4,4
56,2,0
57,4,2
58,3,3
59,14,14
60,4,4
61,2,0
62,2,2
63,1,1
64,4,4
65,6,6
66,2,2
67,4,2
68,4,4
69,4,2
70,2,2
71,3,3
72,2,2
73,4,4
74,2,2
75,4,0
76,6,2
77,2,2
78,3,2
79,2,2
80,2,0
81,3,3
82,4,4
83,3,2
84,4,1
85,2,1
86,4,4
87,2,2
88,1,1
89,6,6
90,4,4
91,6,6
92,6,4
93,4,2
94,6,2
95,4,4
96,2,0
97,4,4
98,2,1
99,2,2
100,2,2
101,2,2
102,6,4
103,3,1
104,4,2
105,2,1
106,4,2
107,4,4
108,4,4
109,6,6
110,8,8
111,4,2
112,4,4
113,6,0
114,3,2
115,2,2
116,7,7
117,2,2
118,3,0
119,3,1
120,2,2
121,2,0
122,3,3
123,3,1
124,4,4
125,1,1
126,4,4
127,4,4
128,3,3
129,3,0
130,4,2
131,5,5
132,4,4
133,4,4
134,3,3
135,1,1
136,1,1
137,4,3
138,2,2
139,4,4
140,3,2
141,2,2
142,6,6
143,6,6
144,5,5
145,3,3
146,4,0
147,2,2
148,3,2
149,4,2
150,2,2
151,3,1
152,3,1
153,3,0
154,2,0
155,4,4
156,4,2
157,4,2
158,1,1
159,2,0
160,1,1
161,4,2
162,2,0
163,3,3
164,2,2
165,4,2
166,3,2
167,14,14
168,4,1
169,4,0
170,1,1
171,4,4
172,2,0
173,3,3
174,4,0
175,2,2
176,3,3
177,6,4
178,4,4
179,4,0
180,4,0
181,4,4
182,2,1
183,2,2
184,2,2
185,4,2
186,3,2
187,4,0
188,3,3
189,3,1
190,8,8
191,2,0
192,6,6
193,2,2
194,4,4
195,4,2
196,4,4
197,6,6
198,4,0
199,2,0
200,4,4
201,2,2
202,3,1
203,1,1
204,4,4
205,1,1
206,3,2
207,3,1
208,4,4
209,6,6
210,3,3
211,4,0
212,14,14
213,4,4
214,4,4
215,4,4
216,4,4
217,6,6
218,3,1
219,3,3
220,2,0
221,3,1
222,2,2
223,3,3
224,8,8
225,3,1
226,2,2
227,3,3
228,2,2
229,5,5
230,4,2
231,3,3
232,1,1
233,6,0
234,4,4
235,3,3
236,4,4
237,2,0
238,2,2
239,4,0
240,12,12
241,2,2
242,4,4
243,5,2
244,14,14
245,4,2
246,2,2
247,4,4
248,2,2
249,2,0
250,6,2
251,2,2
252,4,2
253,2,2
254,4,2
255,3,2
256,2,2
257,3,0
258,4,2
259,4,0
260,2,2
261,4,2
262,2,2
263,4,4
264,3,2
265,3,3
266,4,2
267,2,2
268,4,4
269,4,2
270,4,4
271,2,2
272,3,3
273,5,0
274,4,2
275,3,1
276,3,3
277,4,4
278,8,8
279,2,2
280,3,2
