SRC Query,Depth,BBoxes,Data Size
"[32.71, -121.96, 33.68, -121.18]",13,"[32.541302, -124.389343, 34.512501, -120.432167]",2
"[33.98, -123.68, 34.7, -122.73]",6,"[32.541302, -124.389343, 34.877285, -119.686722]",328
"[37.52, -115.88, 38.38, -115.11]",4,"[37.009014, -120.322968, 38.773846, -114.294258]",1316
"[40.72, -118.58, 41.43, -117.65]",6,"[40.213436, -120.495163, 42.017231, -114.294258]",329
"[34.47, -121.91, 35.34, -121.2]",4,"[32.541302, -124.389343, 35.551353, -119.04274]",1315
"[39.44, -117.82, 40.31, -117.0]",4,"[38.773846, -120.90374, 42.017231, -114.294258]",1316
"[40.49, -116.08, 41.38, -115.18]",6,"[40.213436, -120.495163, 42.017231, -114.294258]",329
"[34.7, -121.89, 35.69, -121.0]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[37.8, -123.83, 38.46, -123.05]",8,"[37.009014, -124.389343, 38.535942, -122.953407]",82
"[38.78, -122.91, 39.35, -122.21]",3,"[37.009014, -124.389343, 39.543308, -121.790939]",2631
"[39.12, -117.16, 39.81, -116.35]",6,"[38.773846, -120.430931, 40.213436, -114.294258]",329
"[37.82, -123.79, 38.41, -123.07]",10,"[37.009014, -124.389343, 38.450043, -123.000504]",20
"[38.51, -116.26, 39.23, -115.69]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[35.83, -115.05, 36.45, -114.294258]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[34.96, -115.95, 35.59, -115.25]",6,"[34.925854, -116.251694, 37.009014, -114.294258]",329
"[36.32, -124.28, 36.89, -123.43]",6,"[36.274315, -124.389343, 37.009014, -121.188477]",329
"[33.31, -120.14, 34.23, -119.37]",5,"[32.541302, -124.389343, 34.877285, -119.04274]",657
"[32.89, -122.58, 33.84, -121.93]",13,"[32.541302, -124.389343, 34.512501, -120.432167]",2
"[38.87, -115.63, 39.56, -114.64]",6,"[38.773846, -120.430931, 40.213436, -114.294258]",329
"[37.13, -117.93, 37.98, -117.03]",4,"[37.009014, -120.322968, 38.773846, -114.294258]",1316
"[33.87, -123.58, 34.47, -122.71]",13,"[32.541302, -124.389343, 34.512501, -120.432167]",2
"[37.41, -115.69, 38.05, -114.79]",4,"[37.009014, -120.322968, 38.773846, -114.294258]",1316
