BRC Query,Data Size
"[38.0, -122.25, 39.04, -121.06]",622
"[37.87, -123.53, 39.07, -122.27]",965
"[39.36, -121.03, 40.45, -119.75]",529
"[36.02, -115.76, 37.24, -114.73]",0
"[32.74, -117.59, 33.79, -116.34]",1131
"[39.56, -120.15, 40.69, -118.92]",62
"[34.85, -117.61, 36.16, -116.42]",406
"[35.89, -116.68, 36.93, -115.6]",90
"[39.13, -123.28, 40.43, -122.28]",546
"[38.1, -118.89, 39.13, -117.58]",3
"[36.88, -117.63, 38.12, -116.54]",56
"[34.15, -122.53, 35.21, -121.28]",0
"[39.65, -121.47, 40.97, -120.24]",752
"[35.35, -120.85, 36.52, -119.64]",702
"[34.15, -117.87, 35.46, -116.57]",662
"[37.63, -119.24, 38.8, -118.07]",228
"[36.49, -118.49, 37.74, -117.33]",384
"[40.26, -119.06, 41.48, -117.93]",0
"[39.53, -120.95, 40.8, -119.78]",577
"[36.78, -119.94, 37.81, -118.62]",589
"[38.07, -122.34, 39.19, -121.26]",668
"[36.61, -119.72, 37.77, -118.57]",651
"[38.32, -118.78, 39.48, -117.66]",0
"[34.73, -122.13, 35.93, -120.87]",99
"[35.05, -121.1, 36.3, -119.85]",770
"[35.91, -116.05, 36.92, -114.92]",0
"[33.91, -119.58, 34.99, -118.29]",799
"[39.51, -120.09, 40.66, -119.08]",49
"[34.12, -122.58, 35.32, -121.48]",0
"[34.02, -123.24, 35.05, -121.94]",0
"[35.79, -124.08, 37.08, -122.8]",0
"[35.59, -121.37, 36.74, -120.2]",605
"[37.06, -118.22, 38.17, -117.18]",102
"[36.16, -116.2, 37.2, -114.92]",2
"[33.44, -119.0, 34.63, -117.93]",928
"[38.85, -116.6, 39.93, -115.49]",0
"[39.6, -121.34, 40.85, -120.08]",724
"[39.93, -120.08, 40.95, -119.0]",22
"[39.65, -120.27, 40.81, -118.98]",109
"[33.52, -118.45, 34.54, -117.18]",1510
"[36.28, -119.66, 37.57, -118.39]",792
"[39.29, -119.06, 40.56, -118.02]",0
"[33.88, -116.19, 35.07, -115.12]",286
"[32.89, -118.35, 34.07, -117.1]",1138
"[35.73, -115.94, 36.75, -114.75]",11
"[37.32, -118.1, 38.44, -116.94]",24
"[38.97, -122.88, 40.02, -121.86]",496
"[37.84, -116.88, 39.08, -115.63]",0
"[37.85, -120.22, 39.15, -119.18]",363
"[39.55, -123.65, 40.61, -122.64]",530
"[36.28, -122.31, 37.33, -121.23]",478
"[35.38, -124.32, 36.47, -123.03]",0
"[40.68, -119.02, 41.77, -117.78]",0
"[40.08, -122.04, 41.29, -121.03]",482
"[35.89, -116.61, 37.06, -115.29]",81
"[40.52, -118.47, 41.58, -117.17]",0
"[39.45, -123.05, 40.61, -121.87]",603
"[36.1, -122.17, 37.18, -120.91]",566
"[40.18, -115.69, 41.43, -114.61]",0
"[38.94, -116.07, 39.98, -114.94]",0
"[37.47, -116.57, 38.64, -115.34]",0
"[38.99, -116.21, 40.19, -115.04]",0
"[39.33, -121.98, 40.42, -120.95]",547
"[38.33, -123.04, 39.41, -121.91]",696
"[40.36, -118.25, 41.45, -117.06]",0
"[34.66, -124.38, 35.74, -123.36]",0
"[36.37, -118.38, 37.58, -117.1]",394
"[37.81, -116.96, 39.12, -115.94]",0
"[32.8, -123.52, 33.89, -122.44]",0
"[39.86, -117.82, 41.15, -116.78]",0
"[39.52, -123.85, 40.76, -122.74]",741
"[39.39, -119.62, 40.69, -118.52]",0
"[36.68, -115.93, 37.73, -114.87]",0
