,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1375,5262,2,3887,3.826909090909091,26.13074876472824
1,754,21048,0,20294,27.915119363395224,3.5822881033827443
2,680,2631,3,1951,3.8691176470588236,25.845686050931207
3,146,5262,2,5116,36.04109589041096,2.774610414291144
4,2012,21048,0,19036,10.461232604373757,9.559103002660585
5,351,21048,0,20697,59.965811965811966,1.6676168757126568
6,491,10524,1,10033,21.433808553971488,4.665526415811478
7,344,5262,2,4918,15.296511627906977,6.537438236412011
8,3097,21048,0,17951,6.796254439780433,14.713987077156975
9,999,5262,2,4263,5.267267267267267,18.985176738882554
10,0,1316,4,1316,inf,0.0
11,1415,21048,0,19633,14.874911660777386,6.722729000380083
12,1284,21048,0,19764,16.39252336448598,6.100342075256556
13,63,5262,2,5199,83.52380952380952,1.1972633979475484
14,0,5262,2,5262,inf,0.0
15,40,1316,4,1276,32.9,3.0395136778115504
16,856,10524,1,9668,12.294392523364486,8.133789433675409
17,603,5262,2,4659,8.72636815920398,11.45952109464082
18,770,10524,1,9754,13.667532467532467,7.316609654123907
19,669,21048,0,20379,31.46188340807175,3.178449258836944
20,1054,5262,2,4208,4.992409867172675,20.030406689471683
21,543,5262,2,4719,9.69060773480663,10.31927023945268
22,1024,5262,2,4238,5.138671875,19.46028126187761
23,929,1315,4,386,1.4155005382131325,70.64638783269962
24,1045,5262,2,4217,5.035406698564593,19.859369061193462
25,1448,21048,0,19600,14.535911602209945,6.879513492968453
26,1250,2631,3,1381,2.1048,47.51045229950589
27,917,2631,3,1714,2.8691384950926935,34.85366780691752
28,748,21048,0,20300,28.13903743315508,3.5537818320030405
29,520,2631,3,2111,5.059615384615385,19.76434815659445
30,875,21048,0,20173,24.05485714285714,4.157164576206766
31,583,5262,2,4679,9.025728987993139,11.079437476244774
32,3113,10524,1,7411,3.3806617410857696,29.58000760167237
33,1028,21048,0,20020,20.474708171206224,4.884074496389205
34,1102,21048,0,19946,19.099818511796734,5.235651843405549
35,598,658,5,60,1.100334448160535,90.88145896656535
36,654,10524,1,9870,16.091743119266056,6.214367160775371
37,1262,5262,2,4000,4.169572107765451,23.983276320790576
38,857,10524,1,9667,12.28004667444574,8.14329152413531
39,1456,10524,1,9068,7.228021978021978,13.835043709616116
40,1142,10524,1,9382,9.215411558669002,10.851387305207146
41,783,21048,0,20265,26.881226053639846,3.7200684150513115
42,2175,10524,1,8349,4.838620689655173,20.667046750285063
43,1551,2631,3,1080,1.6963249516441006,58.95096921322691
44,1409,10524,1,9115,7.4691270404542225,13.388445458000762
45,601,21048,0,20447,35.021630615640596,2.855378183200304
46,3877,10524,1,6647,2.7144699509930357,36.83960471303686
47,634,21048,0,20414,33.198738170347006,3.0121626757886735
48,365,5262,2,4897,14.416438356164383,6.93652603572786
49,0,5262,2,5262,inf,0.0
50,401,21048,0,20647,52.48877805486284,1.9051691372101862
51,0,5262,2,5262,inf,0.0
52,2354,5262,2,2908,2.2353440951571795,44.73584188521475
53,1813,10524,1,8711,5.804743519029233,17.227290003800835
54,2206,21048,0,18842,9.541251133272892,10.480805777271
55,3158,5262,2,2104,1.6662444585180494,60.015203344735845
56,1663,5262,2,3599,3.164161154539988,31.603952869631318
57,2261,5262,2,3001,2.3272888102609466,42.96845305967313
58,192,5262,2,5070,27.40625,3.6488027366020526
59,0,2,13,2,inf,0.0
60,766,21048,0,20282,27.47780678851175,3.639300646142151
61,0,2,13,2,inf,0.0
62,2248,5262,2,3014,2.340747330960854,42.72139870771569
63,1223,5262,2,4039,4.302534750613246,23.24211326491828
64,1359,21048,0,19689,15.487858719646798,6.456670467502851
65,1901,10524,1,8623,5.536033666491321,18.063473964272138
66,0,657,5,657,inf,0.0
67,21,5262,2,5241,250.57142857142858,0.3990877993158495
68,1868,21048,0,19180,11.267665952890793,8.8749524895477
69,1473,21048,0,19575,14.289205702647658,6.998289623717217
70,864,21048,0,20184,24.36111111111111,4.104903078677309
71,655,21048,0,20393,32.13435114503817,3.111934625617636
72,2334,10524,1,8190,4.5089974293059125,22.177879133409352
73,3636,10524,1,6888,2.8943894389438944,34.54960091220068
74,86,5262,2,5176,61.18604651162791,1.6343595591030027
75,0,1315,4,1315,inf,0.0
76,524,657,5,133,1.2538167938931297,79.75646879756468
77,1656,10524,1,8868,6.355072463768116,15.735461801596351
78,3650,10524,1,6874,2.8832876712328765,34.6826301786393
79,0,1316,4,1316,inf,0.0
80,211,5262,2,5051,24.938388625592417,4.009882174078297
81,2139,5262,2,3123,2.460028050490884,40.64994298745724
82,1978,21048,0,19070,10.641051567239636,9.397567464842266
83,1567,10524,1,8957,6.716017868538609,14.889775750665146
84,1179,5262,2,4083,4.463104325699746,22.40592930444698
85,1678,5262,2,3584,3.135876042908224,31.889015583428353
86,290,5262,2,4972,18.144827586206898,5.511212466742683
87,1698,5262,2,3564,3.0989399293286217,32.2690992018244
88,1797,10524,1,8727,5.856427378964941,17.075256556442415
89,1303,5262,2,3959,4.038372985418266,24.762447738502473
90,0,1315,4,1315,inf,0.0
91,1457,10524,1,9067,7.223061084420041,13.844545800076016
92,2713,5262,2,2549,1.939550313306303,51.5583428354238
93,879,21048,0,20169,23.945392491467576,4.176168757126568
94,606,21048,0,20442,34.73267326732673,2.879133409350057
95,1156,21048,0,19892,18.207612456747405,5.492208285822882
96,2390,21048,0,18658,8.806694560669456,11.354998099581907
97,1219,5262,2,4043,4.316652994257588,23.166096541239074
98,11,5262,2,5251,478.3636363636364,0.20904599011782593
99,959,21048,0,20089,21.94786235662148,4.556252375522615
100,117,5262,2,5145,44.97435897435897,2.2234891676168758
101,0,1315,4,1315,inf,0.0
102,3429,10524,1,7095,3.069116360454943,32.58266818700114
103,993,10524,1,9531,10.598187311178247,9.43557582668187
104,218,5262,2,5044,24.137614678899084,4.142911440516913
105,261,21048,0,20787,80.64367816091954,1.2400228050171038
106,996,21048,0,20052,21.132530120481928,4.732041049030787
107,338,1316,4,978,3.893491124260355,25.6838905775076
108,386,5262,2,4876,13.632124352331607,7.33561383504371
109,0,5262,2,5262,inf,0.0
110,2947,10524,1,7577,3.5710892432982693,28.00266058532877
111,3480,21048,0,17568,6.048275862068966,16.53363740022805
112,474,1316,4,842,2.7763713080168775,36.01823708206687
113,1406,21048,0,19642,14.970128022759601,6.679969593310528
114,1155,21048,0,19893,18.223376623376623,5.4874572405929305
115,1613,5262,2,3649,3.2622442653440795,30.6537438236412
116,1383,10524,1,9141,7.609544468546638,13.14139110604333
117,1211,21048,0,19837,17.380677126341865,5.753515773470164
118,0,5262,2,5262,inf,0.0
119,170,5262,2,5092,30.95294117647059,3.230710756366401
120,593,10524,1,9931,17.747048903878582,5.6347396427213985
121,834,21048,0,20214,25.237410071942445,3.9623717217787915
122,1987,5262,2,3275,2.6482133870156015,37.76130748764729
