BRC Query,Data Size
"[38.15, -124.15, 39.98, -122.73]",1240
"[32.64, -122.1, 33.83, -120.28]",0
"[34.13, -116.33, 35.32, -114.55]",514
"[39.32, -121.43, 40.59, -120.28]",689
"[38.75, -121.8, 40.18, -120.37]",1101
"[35.32, -124.31, 36.84, -123.27]",0
"[36.52, -123.5, 38.21, -121.83]",1135
"[35.12, -119.92, 36.95, -118.64]",1230
"[40.02, -121.06, 41.5, -119.85]",653
"[38.9, -118.39, 40.02, -116.54]",0
"[40.12, -116.39, 41.88, -114.98]",0
"[39.82, -120.29, 41.38, -118.99]",168
"[37.58, -121.41, 39.26, -119.78]",1444
"[32.63, -122.33, 34.12, -120.73]",0
"[35.19, -117.26, 36.94, -115.64]",571
"[37.78, -118.4, 39.42, -117.25]",0
"[32.75, -120.77, 33.89, -119.19]",0
"[34.95, -122.8, 36.11, -121.77]",0
"[34.65, -123.45, 36.02, -121.71]",0
"[38.75, -117.72, 40.13, -116.15]",0
"[39.31, -123.5, 40.31, -121.99]",697
"[39.91, -116.51, 41.25, -114.69]",0
"[34.71, -123.39, 36.14, -121.83]",0
"[38.47, -122.19, 39.69, -121.05]",758
"[38.31, -120.01, 39.58, -118.71]",204
"[36.0, -117.11, 37.82, -115.62]",158
"[35.46, -117.4, 36.81, -116.22]",439
"[39.44, -120.47, 40.57, -118.98]",199
"[38.54, -124.18, 40.13, -122.53]",1398
"[37.94, -121.99, 39.06, -120.17]",1055
"[33.09, -119.67, 34.14, -118.01]",423
"[32.96, -123.15, 34.58, -121.58]",0
"[36.46, -122.47, 37.58, -121.14]",817
"[37.04, -117.2, 38.25, -115.77]",0
"[34.23, -116.41, 35.33, -114.81]",397
"[35.47, -117.57, 36.59, -115.99]",489
"[33.28, -122.73, 34.31, -121.69]",0
"[36.07, -123.12, 37.16, -121.98]",56
"[34.32, -124.13, 35.75, -122.3]",0
"[34.75, -118.41, 36.35, -117.26]",576
"[36.09, -118.38, 37.34, -116.74]",610
"[33.0, -121.03, 34.7, -119.99]",130
"[39.63, -122.39, 40.68, -121.34]",549
"[33.9, -121.09, 35.36, -119.61]",672
"[32.67, -120.4, 34.15, -118.89]",9
"[33.42, -123.67, 34.7, -121.98]",0
"[34.4, -118.64, 35.46, -117.6]",439
"[39.33, -118.16, 40.92, -116.65]",0
"[35.44, -123.85, 36.56, -122.7]",0
"[33.53, -117.34, 34.85, -115.49]",1170
"[38.05, -120.04, 39.14, -118.89]",298
"[35.83, -118.1, 37.23, -116.26]",626
"[32.79, -120.44, 34.31, -118.65]",151
"[35.21, -116.33, 36.43, -114.58]",257
"[33.29, -117.01, 34.93, -115.83]",804
"[36.42, -122.87, 37.95, -121.52]",1078
"[38.72, -118.71, 40.55, -117.11]",0
"[33.2, -119.63, 34.52, -117.95]",1043
"[39.8, -118.75, 41.6, -117.0]",0
"[35.52, -121.19, 36.52, -120.03]",575
"[37.96, -117.12, 39.29, -115.93]",0
"[33.02, -117.58, 34.53, -115.79]",1804
"[39.87, -124.14, 41.04, -123.04]",570
"[33.01, -117.55, 34.44, -115.69]",1833
"[33.31, -123.1, 34.48, -122.02]",0
"[39.55, -119.26, 41.41, -117.4]",0
"[33.18, -119.93, 34.54, -118.59]",448
"[38.3, -121.96, 39.95, -120.86]",1054
"[38.52, -121.96, 40.04, -120.66]",1152
"[33.27, -116.32, 34.7, -114.84]",575
"[32.67, -120.63, 33.89, -119.29]",0
"[39.78, -120.23, 41.4, -119.18]",142
"[32.72, -121.0, 34.41, -119.22]",60
"[35.74, -116.24, 37.61, -115.05]",48
"[33.1, -117.03, 34.44, -115.24]",1072
"[39.65, -122.87, 40.68, -121.49]",759
"[33.22, -119.11, 34.32, -117.77]",978
"[38.09, -120.44, 39.21, -118.81]",450
"[32.83, -121.55, 34.18, -120.53]",0
"[39.74, -121.91, 41.62, -120.76]",911
"[36.72, -123.26, 38.46, -121.95]",1149
"[39.88, -122.13, 41.12, -120.43]",974
"[39.19, -117.03, 40.58, -115.87]",0
"[39.15, -119.56, 40.19, -118.45]",0
"[33.24, -120.61, 34.3, -119.03]",53
"[34.81, -118.17, 35.81, -116.71]",432
"[35.22, -120.9, 36.29, -119.34]",848
"[33.64, -120.34, 34.88, -118.86]",608
"[34.51, -117.09, 35.83, -115.85]",389
"[38.94, -123.98, 40.46, -122.11]",1542
"[37.98, -117.26, 39.35, -116.2]",0
"[34.26, -119.76, 35.28, -118.5]",670
"[36.62, -116.29, 37.69, -114.8]",0
"[35.44, -116.86, 37.01, -115.57]",307
"[36.89, -122.06, 38.34, -120.39]",1290
"[33.32, -123.3, 35.21, -122.15]",0
"[34.45, -123.96, 35.77, -122.31]",0
"[34.68, -117.2, 35.98, -116.08]",416
"[39.69, -117.39, 40.97, -115.8]",0
"[38.58, -120.33, 39.72, -119.33]",315
"[39.93, -122.44, 41.69, -120.7]",1190
"[38.18, -120.82, 39.63, -119.55]",778
"[38.91, -123.92, 40.04, -122.91]",774
"[38.57, -119.28, 40.26, -117.53]",0
"[33.04, -123.57, 34.34, -122.24]",0
"[39.77, -118.74, 41.57, -117.55]",0
"[37.72, -117.25, 39.4, -115.43]",0
"[35.02, -118.8, 36.24, -117.11]",751
"[34.72, -123.17, 35.73, -121.79]",0
"[33.68, -123.91, 34.69, -122.37]",0
"[35.77, -117.64, 37.16, -116.43]",427
"[38.08, -121.76, 39.44, -119.99]",1318
"[37.37, -120.18, 38.41, -118.76]",548
"[33.23, -116.75, 34.5, -115.49]",592
"[33.29, -121.7, 35.06, -120.09]",311
"[35.17, -117.45, 36.62, -115.94]",553
"[34.86, -119.44, 36.19, -117.91]",985
"[33.16, -122.06, 34.72, -120.47]",23
"[37.24, -122.93, 39.0, -121.51]",1751
"[35.5, -116.21, 37.27, -115.09]",66
"[34.48, -120.8, 36.03, -119.25]",1326
"[36.36, -118.0, 38.17, -116.73]",311
"[32.89, -116.28, 34.09, -114.57]",616
"[33.04, -116.23, 34.14, -114.57]",563
"[38.0, -124.3, 39.44, -123.03]",583
"[34.68, -122.26, 35.71, -120.85]",76
"[37.03, -121.17, 38.32, -119.89]",823
"[32.58, -122.52, 33.85, -121.34]",0
"[37.88, -120.39, 39.54, -118.61]",628
"[35.17, -120.11, 36.6, -118.36]",1255
"[37.43, -120.73, 38.55, -119.23]",794
"[33.77, -116.93, 35.13, -115.86]",388
"[34.49, -120.41, 35.92, -119.28]",852
"[36.37, -121.68, 37.96, -120.07]",1032
"[34.29, -119.3, 35.84, -118.25]",791
"[35.9, -116.26, 37.41, -114.97]",18
"[33.65, -119.34, 35.09, -117.71]",1508
"[35.07, -120.03, 36.76, -118.43]",1391
"[32.91, -121.78, 34.77, -120.33]",89
"[36.85, -120.48, 38.65, -119.19]",947
"[35.23, -121.98, 36.45, -120.42]",717
"[38.35, -117.23, 39.84, -115.95]",0
"[38.13, -124.34, 39.86, -123.07]",813
"[35.78, -120.67, 37.25, -119.39]",635
"[40.1, -120.1, 41.66, -118.5]",55
"[37.66, -122.47, 38.96, -121.19]",1115
"[34.75, -124.01, 36.39, -122.21]",0
"[33.02, -122.9, 34.49, -121.5]",0
"[39.26, -116.35, 40.53, -115.06]",0
"[37.7, -121.54, 38.73, -120.23]",796
"[38.24, -124.14, 40.07, -122.35]",1733
"[34.01, -123.47, 35.21, -122.44]",0
"[39.24, -124.01, 41.07, -122.6]",1220
"[37.7, -116.63, 39.12, -115.24]",0
"[33.73, -118.75, 34.75, -117.46]",1265
"[37.86, -116.28, 39.06, -115.12]",0
"[34.72, -118.35, 36.27, -117.06]",579
"[33.12, -119.62, 34.22, -118.08]",493
"[38.3, -123.38, 39.81, -121.52]",1542
"[35.19, -117.7, 36.31, -116.03]",535
"[32.56, -117.91, 34.09, -116.38]",1873
"[37.15, -119.44, 38.96, -117.99]",466
"[35.26, -119.01, 36.87, -117.57]",1178
"[36.61, -117.18, 38.38, -116.01]",25
"[35.49, -118.78, 36.6, -117.72]",485
"[35.34, -122.82, 37.22, -121.01]",698
"[39.79, -123.16, 41.32, -121.98]",707
"[37.66, -119.62, 38.94, -118.15]",306
"[38.86, -117.06, 39.87, -115.51]",0
"[35.3, -120.59, 37.14, -119.4]",890
"[34.61, -122.72, 36.14, -121.52]",11
"[34.94, -121.42, 36.82, -119.67]",1369
"[37.69, -122.0, 39.16, -120.77]",984
"[39.03, -116.77, 40.88, -115.57]",0
"[39.24, -120.87, 40.87, -119.84]",672
"[37.76, -119.45, 39.37, -117.56]",203
"[36.24, -116.19, 38.08, -114.3]",0
"[34.44, -123.21, 35.55, -121.54]",0
"[38.08, -120.92, 39.32, -119.58]",769
"[38.53, -122.34, 39.74, -121.0]",892
"[35.51, -119.01, 36.57, -117.23]",805
"[34.04, -117.53, 35.44, -115.96]",885
"[39.2, -119.98, 40.53, -118.48]",0
"[35.96, -122.95, 37.17, -121.09]",567
"[37.9, -116.21, 39.25, -114.68]",0
"[39.54, -123.87, 41.12, -122.24]",1210
"[33.64, -118.57, 35.49, -116.73]",2415
"[38.04, -120.36, 39.42, -119.01]",492
"[35.16, -116.68, 36.96, -115.62]",303
"[38.58, -122.89, 39.93, -121.17]",1255
"[36.68, -120.01, 37.94, -118.15]",1104
"[35.48, -121.95, 37.22, -120.8]",772
"[34.39, -120.31, 35.66, -119.19]",843
"[37.62, -118.16, 38.87, -116.86]",0
"[35.33, -124.09, 37.19, -122.84]",0
"[35.97, -120.18, 37.55, -118.86]",949
"[38.22, -123.2, 39.89, -121.46]",1579
"[35.91, -123.33, 37.8, -121.49]",1020
"[38.92, -120.3, 40.36, -118.44]",214
"[38.24, -122.59, 39.72, -121.3]",1052
"[37.32, -120.38, 38.87, -118.57]",971
"[39.74, -117.71, 40.95, -115.96]",0
"[37.53, -117.97, 39.23, -116.47]",1
"[36.8, -117.26, 38.42, -115.69]",2
"[37.81, -118.28, 39.06, -116.78]",0
"[36.68, -120.53, 37.99, -119.27]",763
"[32.96, -120.95, 34.76, -119.84]",194
"[33.89, -116.62, 35.25, -115.34]",396
"[36.19, -120.46, 37.48, -118.91]",823
"[34.15, -120.41, 35.5, -119.38]",666
"[36.94, -118.79, 38.19, -117.41]",332
"[36.03, -117.74, 37.71, -115.98]",400
"[33.59, -122.67, 35.4, -121.46]",0
"[38.78, -121.68, 40.55, -120.64]",1029
"[35.06, -119.15, 36.71, -117.95]",1095
"[36.48, -120.59, 38.0, -119.38]",817
"[34.37, -119.62, 36.06, -117.79]",1501
"[39.87, -117.46, 41.45, -115.71]",0
"[34.55, -118.76, 35.77, -117.18]",665
"[33.69, -124.16, 34.79, -122.5]",0
"[34.47, -120.68, 35.77, -119.2]",1163
"[39.62, -123.62, 41.13, -122.29]",901
"[36.08, -118.55, 37.23, -117.18]",554
"[39.26, -121.05, 40.72, -119.93]",771
"[35.32, -123.72, 36.37, -121.9]",0
"[32.78, -118.03, 34.19, -116.97]",1357
"[33.07, -121.93, 34.76, -120.13]",144
"[36.58, -121.6, 38.21, -120.05]",1069
"[36.64, -123.4, 37.84, -121.6]",881
"[36.34, -118.79, 37.39, -117.04]",600
"[36.42, -116.32, 37.58, -114.76]",0
"[34.08, -120.48, 35.71, -119.3]",960
"[35.05, -116.98, 36.38, -115.75]",398
"[32.83, -118.81, 34.64, -117.08]",2153
"[36.69, -121.84, 38.14, -120.09]",1106
"[35.2, -123.12, 36.22, -121.28]",90
"[34.43, -119.13, 35.47, -117.85]",554
"[39.54, -119.67, 41.37, -118.25]",0
"[35.13, -122.7, 36.35, -120.93]",271
"[38.7, -123.63, 39.96, -122.29]",1062
"[38.76, -118.68, 40.16, -117.01]",0
"[40.07, -120.24, 41.79, -118.44]",158
"[37.42, -116.61, 39.15, -115.33]",0
"[34.93, -116.7, 36.48, -115.68]",328
"[38.31, -120.33, 39.88, -119.32]",448
"[37.61, -117.95, 39.13, -116.46]",0
"[34.0, -122.26, 35.42, -120.83]",11
"[32.63, -116.49, 34.49, -115.45]",814
"[34.34, -119.22, 35.47, -117.96]",619
"[39.21, -123.57, 40.41, -122.12]",846
"[39.52, -122.28, 41.27, -120.87]",1035
"[39.56, -120.22, 40.97, -119.19]",98
"[35.57, -118.5, 36.91, -116.87]",745
"[37.2, -116.88, 38.48, -115.51]",0
"[33.35, -118.94, 34.42, -117.06]",1815
"[39.37, -123.03, 41.03, -121.47]",1155
"[33.17, -119.34, 34.91, -117.77]",1450
"[37.76, -120.69, 39.13, -118.93]",838
"[33.2, -122.38, 34.37, -120.68]",0
"[39.25, -123.41, 40.36, -121.64]",830
"[33.12, -120.17, 34.39, -118.45]",312
"[33.3, -117.88, 35.0, -116.82]",1399
"[36.59, -122.98, 38.32, -121.42]",1537
"[38.28, -120.2, 39.66, -118.97]",368
"[36.93, -120.74, 38.44, -118.89]",1255
"[33.46, -118.81, 34.73, -117.02]",1994
"[35.8, -122.72, 36.91, -121.43]",246
"[38.8, -117.24, 40.63, -115.58]",0
"[35.12, -119.7, 36.78, -118.51]",1098
"[39.64, -118.91, 41.18, -117.56]",0
"[39.63, -116.39, 41.21, -115.16]",0
"[35.56, -120.76, 37.1, -118.97]",1163
"[33.66, -122.76, 35.54, -121.15]",0
"[40.11, -119.15, 41.4, -118.13]",0
"[33.4, -118.9, 34.73, -117.23]",1836
"[32.77, -122.8, 33.89, -121.63]",0
"[38.12, -124.21, 39.5, -123.21]",465
"[39.78, -119.98, 41.46, -118.13]",0
"[33.16, -120.64, 34.46, -118.85]",268
"[36.64, -117.86, 37.88, -116.65]",133
"[35.05, -122.03, 36.64, -120.88]",442
"[38.83, -122.89, 40.46, -121.74]",845
