BRC Query,Data Size
"[[(0.5565687270446165, 1.6243592630507069), (7.424901934741714, 8.86896894439565)]]",1
"[[(4.697854016767436, 6.248724220245731), (2.1733087053798137, 3.2828833124573102)]]",2
"[[(16.28432269352468, 17.553660894596554), (26.043164955783674, 27.498169530613158)]]",1
"[[(26.756706242066038, 28.337647473464976), (17.77565961772039, 18.91035532441866)]]",2
"[[(6.298729525729042, 7.550218586073255), (7.5772175335630445, 9.14553331434705)]]",2
"[[(22.578211740482644, 23.838007531180534), (20.08180494825975, 21.445942570075573)]]",1
"[[(26.01717330670433, 27.242023790060554), (25.409241985551752, 26.602462308920547)]]",1
"[[(7.057781111264583, 8.076084584157885), (7.649078696203881, 8.867352626870414)]]",1
"[[(17.192327203833287, 18.873776221769347), (1.721727103068862, 3.1700355496056036)]]",2
"[[(20.415886932841556, 22.267372158513382), (4.535362390019771, 6.130530298719495)]]",4
"[[(21.529016501895537, 23.148203786193157), (22.125828952057933, 23.51279345466886)]]",2
"[[(17.280433990194, 19.095578259525322), (1.8288221193317156, 3.383718340907888)]]",4
"[[(19.530555649556188, 21.082780340077832), (24.8729187150908, 26.721144753634345)]]",4
"[[(10.772974888430797, 12.53854715741698), (28.573391984799862, 30.025112560445756)]]",4
"[[(7.9021054368143, 9.649339687182268), (25.820914584581253, 27.425660681722036)]]",4
"[[(12.37742946491126, 14.232292948003842), (0.34392081776109046, 1.6493257509212573)]]",2
"[[(2.509063394584386, 3.676455909057237), (12.985409589533472, 14.437949292395311)]]",2
"[[(1.1527562342347324, 2.244433838001385), (5.535997653530371, 7.23889280466483)]]",2
"[[(20.701907047798837, 22.328376938382764), (26.795681695639743, 27.806496791079685)]]",2
"[[(15.01013478996609, 16.317698008513045), (19.746863151929134, 20.942291334658012)]]",1
"[[(4.362576049121074, 6.151059997709498), (2.4894354324582246, 3.747745620994574)]]",2
"[[(15.928120229376079, 17.6433543314096), (26.610832688819038, 27.81203326769874)]]",2
"[[(13.760080205540826, 15.06337116521921), (24.867176314644414, 26.062069206865974)]]",4
"[[(8.052264551511769, 9.477978044710872), (1.5527102800244224, 2.924488927281444)]]",1
"[[(23.618733534358952, 24.84263359561793), (27.152759864224805, 28.581707364839968)]]",1
"[[(10.822019074632692, 12.49716907664705), (27.946967783294646, 29.541332097183012)]]",4
"[[(23.595161113885833, 25.41130379979161), (7.8309835009628035, 9.286641540284778)]]",4
"[[(11.037559453710678, 12.154896240550107), (19.200463116704523, 20.594171365727583)]]",1
"[[(17.350371992031157, 18.59469801393457), (25.216584337689618, 27.024146824738807)]]",2
"[[(11.009327837118999, 12.078533440271043), (1.3151516554674738, 2.90425313260055)]]",1
"[[(3.554827131351464, 5.367963237319177), (20.19007506452901, 21.608375799900656)]]",2
"[[(27.093032611885167, 28.428325893887664), (17.352283921275323, 18.924038392668496)]]",1
"[[(19.63866096576362, 21.367448160224036), (15.296014500327567, 16.6858875440325)]]",2
"[[(21.796208139497914, 23.435472657501418), (20.419635528132552, 21.76291451004844)]]",2
"[[(20.60873737411288, 21.932475210849304), (7.6831901895282115, 9.45344882096399)]]",2
"[[(9.421671102831555, 10.491645887940226), (21.520891122774433, 22.986554135106392)]]",1
"[[(6.591928449503893, 8.127386867728982), (10.901490909194912, 12.26934576571723)]]",4
"[[(4.978585285127045, 6.68921738101371), (19.446878549934507, 20.746401694964195)]]",2
"[[(20.121312978401082, 21.867994968424185), (12.240604659672428, 13.633882698834045)]]",1
"[[(17.938145977066245, 19.558722305273193), (0.08100552413523067, 1.4839313644076406)]]",2
"[[(10.556737070316913, 12.101958876990132), (23.627944214688288, 25.098116034763695)]]",4
"[[(19.384940168939575, 21.18590760817427), (14.124453257155729, 15.942381920255503)]]",2
"[[(28.675018545824557, 30.10654569312612), (19.316495548999995, 21.111309013367272)]]",4
"[[(15.441821148947565, 16.91328803583686), (13.527684386194167, 14.644825772932379)]]",1
"[[(15.125118908412931, 16.26149157228761), (27.761348709127958, 29.224768244989814)]]",2
"[[(12.425985036770163, 13.50557350654612), (21.636971948363154, 23.126749278898203)]]",2
"[[(3.859206004337489, 5.002218971418461), (20.327980013466714, 21.612742807495895)]]",2
"[[(0.24293740717339526, 1.9693347961950889), (7.831983656577449, 8.957929460666428)]]",1
"[[(11.6874421838862, 13.04727910664904), (23.506300702896645, 24.839599882901123)]]",2
"[[(7.386359862357879, 8.680569569871386), (11.50712082919462, 13.340479643233)]]",2
"[[(3.7265739065495573, 5.55376616601803), (3.0461587211227967, 4.429843263498285)]]",2
"[[(23.883867563045097, 25.713145401049836), (19.131719413390698, 20.460278599049758)]]",2
"[[(27.864705265178475, 29.660672926874806), (12.268857491338654, 13.97379898261735)]]",2
"[[(17.909468889701415, 19.396085864347977), (25.66002457161373, 27.123345596268827)]]",4
"[[(6.270626101294965, 7.799140973034503), (26.965792291150308, 28.610171013094508)]]",2
"[[(22.427826744634228, 23.775572107008575), (28.03332955711689, 29.22817317167058)]]",1
"[[(14.812897583559675, 16.574733848511247), (9.236093803143435, 10.414897372640107)]]",2
"[[(1.7306139139159327, 3.1876242513345256), (14.0034723751991, 15.07009136073178)]]",2
"[[(22.661472573528062, 24.502340144830754), (25.967242096247602, 26.97311579298585)]]",2
"[[(21.3695698212088, 22.73085850665605), (13.27958614910278, 14.607259451269803)]]",1
"[[(23.709638322650267, 25.553911716062807), (26.439996631085453, 27.745336507381094)]]",2
"[[(13.37819177798408, 14.475624043197023), (2.778915472255075, 4.3908010235194785)]]",2
"[[(8.84841254152026, 9.91466307500229), (28.12084419265384, 29.538290941104474)]]",1
"[[(27.604017374641355, 28.71368420024753), (7.410173856057487, 9.13215361949809)]]",2
"[[(2.25050667646717, 3.3211060780204957), (19.478997404892482, 20.97706737354946)]]",1
"[[(8.508025373588026, 10.329959971195315), (16.024432269350786, 17.74013870963587)]]",2
"[[(5.229741222147155, 6.553360079472363), (5.6182062205776395, 6.842585997565655)]]",1
"[[(26.21414979816069, 28.067624878459053), (20.197712354797527, 21.79641221685263)]]",2
"[[(3.619772968640186, 4.83627009955574), (1.1495872783699037, 2.350498646285895)]]",1
"[[(11.575239719059391, 12.983061124068808), (6.854473402479768, 8.171507679136582)]]",2
"[[(24.040531491691567, 25.776249094643628), (4.062109052669909, 5.101117194132983)]]",1
"[[(20.900548501727634, 21.914003770859203), (5.342850246361553, 6.594521636985461)]]",1
"[[(27.739448643773482, 28.942428312189914), (14.577204241907493, 15.850583375532446)]]",1
"[[(16.17357015112982, 17.266965474647037), (26.139022839002745, 27.57333295427536)]]",1
"[[(23.916750722816925, 25.175735394913943), (17.987386071385863, 19.254374317814534)]]",4
"[[(2.231019742213773, 3.96771285726483), (14.072337470904124, 15.518658318155754)]]",1
"[[(2.4859025617914057, 3.7576536238563834), (27.89262792014819, 29.35361214704454)]]",2
"[[(22.46779790068944, 23.683904444019824), (17.719420106033855, 19.16499313342672)]]",2
"[[(10.869007663066904, 12.037200318403771), (5.6146423871126565, 6.816000279068387)]]",2
"[[(23.667711734565696, 24.730683323268472), (16.125573483818545, 17.146853995371018)]]",1
"[[(28.661193985273925, 30.234453292459424), (7.3870087794921355, 8.756261792992065)]]",2
"[[(16.982943959065683, 18.45983794357245), (25.211087637545504, 26.607308494025627)]]",2
"[[(9.46867380631607, 10.763488226043197), (27.26755600368143, 29.084258186138456)]]",2
"[[(0.8596364287547011, 2.6800933023635274), (20.901791688100467, 22.383101712158645)]]",4
"[[(26.00532564592001, 27.28824394274476), (10.672931056159811, 12.280436020981606)]]",2
"[[(14.224308264370942, 15.467681295669136), (2.988371803928155, 4.188697342575881)]]",2
"[[(23.91890506061699, 25.577403054055043), (22.219030146559284, 23.688871100626802)]]",2
"[[(25.916864078531386, 27.701364484228904), (0.35098907421900605, 1.7455613812513289)]]",2
"[[(17.62496238316598, 18.708889263889674), (27.585243432666182, 28.827625456463505)]]",1
"[[(28.054612577574684, 29.407173841489477), (8.244569646018189, 9.762572559382471)]]",1
"[[(1.7027644339547552, 3.387836738606477), (5.713678770858003, 6.747271444838517)]]",2
"[[(14.904478374811736, 16.496296860504692), (12.074929518981772, 13.510814339240552)]]",2
"[[(23.474889413609837, 24.62305436096369), (23.756465567703614, 25.146480739815797)]]",2
"[[(12.354062325401783, 13.741449789935071), (25.588099356994594, 27.0895161382322)]]",2
"[[(13.841683180343077, 15.058228525070632), (3.7199591238649363, 5.249548390603051)]]",4
"[[(2.485190042100202, 4.307501090217074), (10.25232211063346, 11.621994744288529)]]",2
"[[(23.13523204280237, 24.869969670838465), (4.9566358955186285, 6.376365813460423)]]",2
"[[(23.200644654289754, 24.80789468368082), (12.107386270443746, 13.823299188926208)]]",1
"[[(14.68477871031936, 16.319601606351334), (18.516593419629952, 20.262589178963534)]]",4
"[[(29.069866848300375, 30.57350546542421), (25.676116274670935, 27.129602598404972)]]",2
"[[(17.17307410914306, 19.032626579333964), (25.779607886184454, 27.630832228197896)]]",4
"[[(27.96765597885714, 29.280736253745857), (8.627693751294954, 10.179404588013128)]]",4
"[[(26.647386538244128, 27.773895726902563), (22.757609531278465, 23.82790250685154)]]",1
"[[(1.041515945695521, 2.2095938343160024), (3.5653725428746617, 5.17107055747966)]]",2
"[[(2.912891681950427, 4.604207701641561), (19.612458551556262, 21.26114063658894)]]",4
"[[(8.228884100205228, 9.958995989081501), (14.535614950380719, 16.3713764475876)]]",2
"[[(24.96476488307236, 26.01803134030779), (10.91295867862174, 12.473400399887902)]]",4
"[[(26.433794125718038, 27.62790608935429), (0.5262425922296522, 2.1335032674211107)]]",2
"[[(13.575415573569002, 15.234553284319258), (11.156287541651862, 12.682646411385369)]]",2
"[[(11.262404095863305, 12.282153762749449), (10.891355295410825, 12.587519583864646)]]",2
"[[(26.663035284705714, 28.4579846585774), (11.789287521864782, 13.572046902795249)]]",4
"[[(21.147598490063835, 22.783198322101022), (2.742287837439749, 4.1507988293402915)]]",2
"[[(13.027243300244919, 14.230488947482973), (14.79280624497696, 16.07426238707447)]]",2
"[[(7.844289809016092, 9.581765670965687), (24.02394672729957, 25.524531774078884)]]",2
"[[(6.512360686465503, 8.082479376854911), (11.111483828549028, 12.495786009963757)]]",2
"[[(20.887326377133654, 22.179300640689995), (9.14533941737677, 10.853067194357829)]]",2
"[[(11.671773638304444, 12.920934206546697), (14.649052495224707, 15.737319035820015)]]",1
"[[(6.824732370689069, 8.546013455014172), (15.285359865095451, 16.975903905138814)]]",2
"[[(6.006723363976699, 7.825028125301895), (28.84828494149184, 30.60194983861234)]]",2
"[[(17.397796058233236, 18.96604056513901), (22.026088278888256, 23.84129279216991)]]",1
"[[(27.249087081915064, 28.644408340314822), (16.404705788494464, 17.475795677895814)]]",1
"[[(15.784752319360596, 17.302511642961463), (3.8182453086100905, 4.976244531799744)]]",2
"[[(26.83262717578416, 28.21422717592947), (10.46320087473059, 11.596527289284367)]]",2
"[[(25.0032254015539, 26.80380887882178), (20.9289024853117, 22.682884467372624)]]",2
"[[(18.739026584487647, 20.54525253369695), (12.792344381257179, 13.880635517373458)]]",2
"[[(6.075043756884239, 7.187029420055755), (20.132065873369225, 21.569144220595078)]]",1
"[[(21.98442467732112, 23.340450631908435), (27.393639485509393, 28.459180004113264)]]",2
"[[(5.978966539764655, 7.403791743082684), (21.869134857926063, 22.93310594498257)]]",2
"[[(8.759530264658935, 9.86704877671811), (23.71124971297417, 25.55754841858031)]]",2
"[[(0.8578948066364265, 2.0024035473223774), (13.234406023089775, 14.446302076836822)]]",2
"[[(13.343159547486664, 14.638499579459138), (12.003137665173904, 13.492196334786382)]]",1
"[[(18.124160607103395, 19.267755574089808), (9.015599302138643, 10.760775560424126)]]",1
"[[(11.411691255026408, 12.951884046125667), (6.988754281283592, 8.10768580024799)]]",2
"[[(4.688340551477039, 6.097827976559048), (2.6307599275799762, 3.734369913518582)]]",2
"[[(11.251260461745911, 12.750963187917431), (18.19124256033782, 19.56289385494428)]]",1
"[[(9.347852093187642, 11.174028034378061), (20.44743578372413, 21.893601071039292)]]",2
"[[(2.577405504528129, 3.639024229003571), (20.554237649055562, 22.232354235981365)]]",2
"[[(13.196506685998973, 14.490267074047528), (22.134004824414692, 23.154983087898394)]]",1
"[[(6.139772789917421, 7.670740818779462), (11.493812303660087, 13.14075446990078)]]",2
"[[(25.022652017212145, 26.414874005862714), (4.556744694704514, 5.65207118604582)]]",1
"[[(14.037631604909176, 15.666097436406014), (22.924435933925267, 24.2108855170498)]]",2
"[[(0.6304042504974139, 2.3539516196471735), (27.369091500341167, 28.480414963966243)]]",2
"[[(11.413013769363754, 12.946091655575126), (7.0668831582349325, 8.15887507923727)]]",1
"[[(21.774098770081153, 23.504172168426532), (18.565371852420924, 20.061942370292357)]]",4
"[[(22.892832964611916, 24.74372807852815), (0.43237322071392825, 1.8349695020571044)]]",2
"[[(23.541041782409295, 24.978903717102508), (14.882653914544182, 15.96135685131616)]]",1
"[[(0.09896443589756325, 1.8799261612798346), (5.553310643734005, 7.257511965204972)]]",2
"[[(7.883454740566229, 9.330508883870035), (26.290754256937277, 27.99532848144224)]]",2
"[[(21.588021295441308, 22.784488901779433), (7.839094566035668, 9.670840965399458)]]",2
"[[(4.446845796838925, 5.587331388065014), (21.8867950458521, 23.71640778862935)]]",2
"[[(5.309390319059052, 7.123782990532907), (11.767988086171991, 13.599869283045182)]]",4
"[[(24.72154097621478, 25.73434617083882), (29.064345288311568, 30.082177301222092)]]",1
"[[(9.689272368213418, 11.464182873630765), (0.6397605580979969, 1.9595984120334229)]]",2
"[[(27.889582734126954, 29.429638846636134), (20.61163711228584, 22.380220382502376)]]",4
"[[(13.261928597302674, 14.811731963657374), (24.026359806177258, 25.217277240928034)]]",1
"[[(26.033854136000425, 27.10583499893571), (19.13632294189823, 20.904309271528874)]]",1
"[[(20.58996642668053, 21.698623225905273), (12.971563100691984, 14.18102792007857)]]",2
"[[(14.062297713227332, 15.410290863881533), (7.647249216267041, 9.449005715715153)]]",2
"[[(16.24573856328388, 17.985165813476765), (24.686661337260027, 26.29577762443318)]]",2
"[[(20.072403790496164, 21.76563274134197), (14.904831510220163, 16.055553439296244)]]",2
"[[(2.4631494310260225, 4.025880461169127), (3.146908638261189, 4.857551306957885)]]",2
"[[(8.753515717949199, 10.604068854479904), (0.5022410489195899, 1.867152077778686)]]",2
"[[(6.971708332772763, 8.704763563878878), (21.252041085017115, 23.110828678200615)]]",4
"[[(15.816984861613236, 17.471249997882023), (26.278072442542346, 27.494796949634402)]]",2
"[[(4.844531171115007, 6.686151956159103), (8.559990764561892, 10.116719508064547)]]",4
"[[(21.669052527305638, 23.52084048575948), (0.1192419361441266, 1.7451641367841322)]]",2
"[[(7.243399005523615, 8.942901280313206), (16.296835394855318, 17.58125425345012)]]",1
"[[(9.322470005095994, 10.957590226574286), (22.483414572580564, 23.866566175773936)]]",1
"[[(6.552171948325056, 8.34692473300809), (0.5811652799495558, 1.5865527052402115)]]",2
"[[(13.80935357329044, 14.834995763867921), (1.8220428180195796, 3.247403334614712)]]",2
"[[(12.708994847148807, 14.056927646199286), (7.034818502305771, 8.432329336645447)]]",2
"[[(28.700176684819105, 29.915820670490476), (25.141667757975448, 26.73543560596837)]]",1
"[[(22.828620000729988, 24.272937981009395), (24.765676292641963, 25.873119958232248)]]",2
"[[(25.469839316557362, 27.243073121042094), (2.569888546446415, 4.074572433410896)]]",4
"[[(3.481377697915621, 5.0926941325313475), (9.371194783574195, 11.072624067957035)]]",4
"[[(25.895055946328263, 27.44026655606085), (18.53083161812793, 19.982072167425255)]]",2
"[[(10.841867298606607, 12.228383728158422), (24.479600430512793, 26.27470955070838)]]",4
"[[(8.861036573692951, 10.704645901733981), (5.888245945012441, 7.546853307941317)]]",4
"[[(7.113258640472855, 8.613887199767658), (9.100203716061019, 10.235696017123146)]]",1
"[[(8.889035498165747, 9.890090105020809), (10.751887214631317, 12.175323207944597)]]",2
"[[(14.352793069533748, 16.151464960704722), (20.432855664586217, 22.078285765747545)]]",4
"[[(8.78677370088627, 10.076771407020711), (18.07012817026667, 19.365729564188435)]]",2
"[[(3.594984362499584, 4.950711397129476), (28.56173434131839, 30.341187355292572)]]",2
"[[(4.531878372885088, 5.568486790053556), (0.8792565109722027, 1.9665732128964442)]]",1
"[[(22.39679424554024, 23.429750667879883), (23.524862502381293, 24.940266214906934)]]",1
"[[(20.249600616543134, 21.577587880836585), (7.870716841861046, 8.892717072444814)]]",1
"[[(3.887655840402526, 5.036886108639573), (3.533874190516371, 5.22042957521451)]]",4
"[[(27.886255959449752, 29.24059264768206), (15.69006749692541, 16.78011984374064)]]",2
"[[(22.625694407404037, 23.716339231651094), (19.69235783506096, 21.10826231720582)]]",2
"[[(20.32666284856878, 21.51589483715722), (28.8136772058744, 30.30325312886131)]]",2
"[[(12.646077511468302, 14.218914178921672), (26.13307015255428, 27.2285193440572)]]",2
"[[(2.3011742144048357, 3.903690680800365), (4.1519247844789735, 5.3174828798112665)]]",1
"[[(19.014728769386373, 20.675273721347722), (18.380487029697537, 19.792862996743015)]]",1
"[[(8.855001234688906, 10.539861911067756), (13.137829645662336, 14.838657468387062)]]",2
"[[(8.146059577386028, 9.566664000978275), (7.0842545163452675, 8.5234529723366)]]",1
"[[(11.768160997761802, 13.1989597057621), (6.41421762106142, 7.635617142585014)]]",2
"[[(19.022232240262454, 20.28426559121793), (5.6599959747674395, 6.84176357980473)]]",1
"[[(28.086564110033684, 29.538079738849746), (4.5183279735397335, 5.932538678911419)]]",1
"[[(18.910904243639575, 20.744769007811964), (18.128664841131815, 19.19850745364648)]]",2
"[[(13.600039880367346, 15.169919582920606), (2.6525449165825146, 4.500905428714692)]]",4
"[[(27.82592185487801, 29.099372673568062), (23.771340576067963, 25.410567170589673)]]",4
"[[(14.43241595698999, 16.11815070046152), (13.18737373589719, 14.332607912437137)]]",2
"[[(14.067852078800323, 15.917348451886863), (23.24482034249734, 24.86029333319754)]]",1
"[[(19.18819576137571, 20.948370446133026), (4.948182828212547, 5.9543602393117645)]]",1
"[[(15.201424338705511, 16.525172064032024), (25.491686828402578, 27.185965034411126)]]",2
"[[(7.541883752840757, 9.199965851041565), (23.878046812702554, 25.018578257005455)]]",4
"[[(21.445208972321517, 23.02545745044489), (5.706970253305999, 6.836568282893989)]]",2
"[[(2.8096882380522934, 4.4034368426388175), (24.198302114603408, 25.797201932391904)]]",2
"[[(28.211918434847036, 29.730662841813086), (29.00945193329358, 30.091923790972356)]]",1
"[[(10.695582137850932, 11.86998615992693), (28.35200760684151, 29.807890255667107)]]",1
"[[(8.958363225781378, 10.797320605933155), (17.575199520861222, 18.94835509170539)]]",2
"[[(22.166749067506863, 23.28559780600535), (12.465057713361388, 13.657998187477192)]]",1
"[[(25.2851444721363, 26.319404994583603), (26.43185112933314, 28.187437179404256)]]",2
"[[(14.821907473956754, 16.424099463926748), (8.33140165832515, 9.625184001606767)]]",2
"[[(28.020530347427, 29.170081101900877), (19.63690249397306, 21.077720631111603)]]",2
"[[(22.237255522917767, 23.94150068913647), (26.675434712607895, 27.8695111641424)]]",1
"[[(15.67258358076094, 17.338683934297286), (12.458163713155813, 14.203717549271312)]]",4
"[[(24.574984220112412, 26.057539024867985), (27.61109580158758, 28.858881725537152)]]",2
"[[(24.62365922613847, 26.437764162065076), (26.794651185141756, 28.311219348159245)]]",4
"[[(1.370307157889492, 3.0039080533735594), (3.543777038255655, 4.645790056154818)]]",2
"[[(25.65672152875685, 27.07789187556187), (11.033725586488195, 12.056820723012752)]]",2
"[[(20.376332898067098, 22.027812409483257), (8.201260881982826, 9.859083531362261)]]",2
"[[(25.586517751603473, 27.382694104197604), (2.0266701038042103, 3.4575121212151636)]]",2
"[[(8.806573829303385, 10.077974538512963), (1.9903011552125838, 3.0183504567681902)]]",4
"[[(23.685062548579968, 24.802393092862356), (0.79563714837784, 2.2136848897592474)]]",2
"[[(0.4653377570230519, 2.0679292094851434), (1.5826044344343564, 3.046003013065789)]]",4
"[[(28.69523751530408, 29.951133175227557), (17.26615844200382, 18.575999035733457)]]",1
"[[(11.409717503299204, 12.860869909929527), (14.893977909307528, 16.16135516741923)]]",2
"[[(26.818246183005915, 28.02216847779317), (24.211353920394835, 25.45879978920432)]]",2
"[[(9.351910784604543, 10.716157721574794), (14.26538622622788, 15.91191799637536)]]",1
"[[(27.60540026247202, 28.80084808022401), (5.855633268876025, 7.307980041050221)]]",2
"[[(1.4136496039957787, 3.238513989030249), (6.6731497267819915, 8.474885465718277)]]",4
"[[(17.51325542005576, 18.80037342592587), (0.33581737652996807, 1.5271132347948764)]]",1
"[[(11.414741456993005, 12.8971519772782), (20.011617705263347, 21.09765640973648)]]",1
"[[(3.279258179855092, 4.879071246283906), (24.776481617178437, 26.22795700148607)]]",2
"[[(7.42015438244693, 9.139516779162044), (10.224758321603685, 11.985192222220029)]]",2
"[[(18.21657788295151, 19.336394262311693), (13.786207032060803, 15.586510314881098)]]",2
"[[(2.3102829537703875, 3.524263351794579), (13.528430509241726, 15.213972924721986)]]",2
