,L2 Norm
0,0.1381258846125519
1,0.06353550188674045
2,0.0681818157575757
3,0.05389118666349813
4,0.030211918178096528
5,0.0271269443747561
6,0.02710495097481157
7,0.027438749971527492
8,0.02998509094554069
9,0.03177672103915066
10,0.024334100142640716
11,0.027182183707552134
12,0.029095277072559298
13,0.027880664062597732
14,0.023880349895072973
15,0.023925222047036492
16,0.022787087340881654
17,0.023727506567299363
18,0.022074060684990748
19,0.018375527203321272
20,0.015200486327104766
21,0.014970759378322677
22,0.013671686415793626
23,0.01375213114797525
24,0.010930690737551757
25,0.011128469806612503
26,0.010801364035184438
27,0.0111288740101905
28,0.011465045880899461
29,0.010930284127647877
30,0.009165285362455125
31,0.008998385271814048
32,0.009029064385255792
33,0.0079515487816954
34,0.00838905993128027
35,0.00848132298089001
36,0.008641485209034922
37,0.007772449390577327
38,0.007606009942488466
39,0.008181381301467373
40,0.006722402547770954
41,0.0068626234711682554
42,0.006759855093636698
43,0.008143069861966038
44,0.008850444642523358
45,0.009860466980509804
46,0.010511431617920395
47,0.01189696506583835
48,0.012485272623633985
49,0.012557069721873808
50,0.012496993256218971
51,0.010513851106457488
52,0.009883602394755407
53,0.010172182946570085
54,0.009852280853514531
55,0.008846900760222461
56,0.008411530435049998
57,0.007378678670998309
58,0.007820221432778258
59,0.007963388446858255
60,0.008398051373011858
61,0.007760955131796109
62,0.0074682909096129325
63,0.00800477396620292
64,0.00847496836320917
65,0.007950064538781975
66,0.008091254433459153
67,0.007727773127405488
68,0.008228417825036688
69,0.007052051373283426
70,0.006747510286061375
71,0.005639159818340867
72,0.006299851514511882
73,0.00644414332548677
74,0.006736632854937416
75,0.0060234674951243974
76,0.005316497362591557
77,0.005345828558018783
78,0.005291671586084303
79,0.00515363949069004
80,0.004961985654034967
81,0.0045681800410630555
82,0.004869193897236347
83,0.005034385167386916
84,0.005201423813590011
85,0.004896066345252268
86,0.0048490006706839875
87,0.0041155419995929
88,0.0035199928555780034
89,0.003311707627102281
90,0.0030855366092674245
91,0.0030074073642957643
92,0.002341204700500857
93,0.002222547936493952
94,0.0014031622379211675
95,0.0014253776302751528
96,0.0013774692800930823
97,0.0009669162909490299
98,0.0007778932093274974
99,0.0
