,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,5,256,2,251,51.2,1.953125
1,30,512,1,482,17.066666666666666,5.859375
2,4,32,5,28,8.0,12.5
3,8,256,2,248,32.0,3.125
4,25,512,1,487,20.48,4.8828125
5,10,256,2,246,25.6,3.90625
6,12,64,4,52,5.333333333333333,18.75
7,15,1024,0,1009,68.26666666666667,1.46484375
8,12,256,2,244,21.333333333333332,4.6875
9,8,512,1,504,64.0,1.5625
10,5,256,2,251,51.2,1.953125
11,8,64,4,56,8.0,12.5
12,8,64,4,56,8.0,12.5
13,6,16,6,10,2.6666666666666665,37.5
14,6,512,1,506,85.33333333333333,1.171875
15,10,512,1,502,51.2,1.953125
16,20,256,2,236,12.8,7.8125
17,20,256,2,236,12.8,7.8125
18,20,256,2,236,12.8,7.8125
19,6,64,4,58,10.666666666666666,9.375
20,8,32,5,24,4.0,25.0
21,12,256,2,244,21.333333333333332,4.6875
22,9,32,5,23,3.5555555555555554,28.125
23,9,256,2,247,28.444444444444443,3.515625
24,2,128,3,126,64.0,1.5625
25,25,1024,0,999,40.96,2.44140625
26,20,128,3,108,6.4,15.625
27,5,128,3,123,25.6,3.90625
28,10,256,2,246,25.6,3.90625
29,15,128,3,113,8.533333333333333,11.71875
30,2,64,4,62,32.0,3.125
31,12,256,2,244,21.333333333333332,4.6875
32,1,8,7,7,8.0,12.5
33,9,256,2,247,28.444444444444443,3.515625
34,15,512,1,497,34.13333333333333,2.9296875
35,4,16,6,12,4.0,25.0
36,15,512,1,497,34.13333333333333,2.9296875
37,2,256,2,254,128.0,0.78125
38,4,256,2,252,64.0,1.5625
39,20,256,2,236,12.8,7.8125
40,3,64,4,61,21.333333333333332,4.6875
41,9,64,4,55,7.111111111111111,14.0625
42,8,32,5,24,4.0,25.0
43,24,256,2,232,10.666666666666666,9.375
44,15,512,1,497,34.13333333333333,2.9296875
45,8,128,3,120,16.0,6.25
46,8,64,4,56,8.0,12.5
47,10,64,4,54,6.4,15.625
48,8,256,2,248,32.0,3.125
49,30,64,4,34,2.1333333333333333,46.875
50,20,128,3,108,6.4,15.625
51,20,64,4,44,3.2,31.25
52,6,512,1,506,85.33333333333333,1.171875
53,16,512,1,496,32.0,3.125
54,12,256,2,244,21.333333333333332,4.6875
55,20,128,3,108,6.4,15.625
56,25,128,3,103,5.12,19.53125
57,6,512,1,506,85.33333333333333,1.171875
58,15,512,1,497,34.13333333333333,2.9296875
59,15,128,3,113,8.533333333333333,11.71875
60,15,512,1,497,34.13333333333333,2.9296875
61,15,1024,0,1009,68.26666666666667,1.46484375
62,16,64,4,48,4.0,25.0
63,16,256,2,240,16.0,6.25
64,8,128,3,120,16.0,6.25
65,18,128,3,110,7.111111111111111,14.0625
66,16,128,3,112,8.0,12.5
67,6,128,3,122,21.333333333333332,4.6875
68,6,1024,0,1018,170.66666666666666,0.5859375
69,12,128,3,116,10.666666666666666,9.375
70,16,64,4,48,4.0,25.0
71,20,512,1,492,25.6,3.90625
72,9,512,1,503,56.888888888888886,1.7578125
73,15,256,2,241,17.066666666666666,5.859375
74,15,128,3,113,8.533333333333333,11.71875
75,12,1024,0,1012,85.33333333333333,1.171875
76,6,64,4,58,10.666666666666666,9.375
77,6,16,6,10,2.6666666666666665,37.5
78,9,64,4,55,7.111111111111111,14.0625
79,5,256,2,251,51.2,1.953125
80,4,1024,0,1020,256.0,0.390625
81,6,32,5,26,5.333333333333333,18.75
82,16,256,2,240,16.0,6.25
83,10,512,1,502,51.2,1.953125
84,4,32,5,28,8.0,12.5
85,12,64,4,52,5.333333333333333,18.75
86,2,32,5,30,16.0,6.25
87,2,128,3,126,64.0,1.5625
88,12,256,2,244,21.333333333333332,4.6875
89,2,16,6,14,8.0,12.5
90,8,1024,0,1016,128.0,0.78125
91,12,128,3,116,10.666666666666666,9.375
92,2,256,2,254,128.0,0.78125
93,8,256,2,248,32.0,3.125
94,20,512,1,492,25.6,3.90625
95,15,1024,0,1009,68.26666666666667,1.46484375
96,15,1024,0,1009,68.26666666666667,1.46484375
97,10,128,3,118,12.8,7.8125
98,18,256,2,238,14.222222222222221,7.03125
99,12,256,2,244,21.333333333333332,4.6875
100,6,512,1,506,85.33333333333333,1.171875
101,8,128,3,120,16.0,6.25
102,6,256,2,250,42.666666666666664,2.34375
103,4,128,3,124,32.0,3.125
104,9,64,4,55,7.111111111111111,14.0625
105,4,32,5,28,8.0,12.5
106,6,128,3,122,21.333333333333332,4.6875
107,3,8,7,5,2.6666666666666665,37.5
108,6,256,2,250,42.666666666666664,2.34375
109,15,64,4,49,4.266666666666667,23.4375
110,15,64,4,49,4.266666666666667,23.4375
111,3,64,4,61,21.333333333333332,4.6875
112,4,32,5,28,8.0,12.5
113,25,1024,0,999,40.96,2.44140625
114,30,64,4,34,2.1333333333333333,46.875
115,18,512,1,494,28.444444444444443,3.515625
116,8,64,4,56,8.0,12.5
117,6,256,2,250,42.666666666666664,2.34375
118,2,64,4,62,32.0,3.125
119,8,256,2,248,32.0,3.125
120,20,256,2,236,12.8,7.8125
121,6,64,4,58,10.666666666666666,9.375
122,10,64,4,54,6.4,15.625
123,4,16,6,12,4.0,25.0
124,4,256,2,252,64.0,1.5625
125,5,128,3,123,25.6,3.90625
126,18,128,3,110,7.111111111111111,14.0625
127,10,32,5,22,3.2,31.25
128,6,32,5,26,5.333333333333333,18.75
129,6,16,6,10,2.6666666666666665,37.5
130,10,512,1,502,51.2,1.953125
131,2,16,6,14,8.0,12.5
132,12,256,2,244,21.333333333333332,4.6875
133,15,1024,0,1009,68.26666666666667,1.46484375
134,4,512,1,508,128.0,0.78125
135,16,128,3,112,8.0,12.5
136,25,1024,0,999,40.96,2.44140625
137,4,64,4,60,16.0,6.25
138,15,64,4,49,4.266666666666667,23.4375
139,3,256,2,253,85.33333333333333,1.171875
140,9,256,2,247,28.444444444444443,3.515625
141,6,32,5,26,5.333333333333333,18.75
142,6,64,4,58,10.666666666666666,9.375
143,8,64,4,56,8.0,12.5
144,16,128,3,112,8.0,12.5
145,3,1024,0,1021,341.3333333333333,0.29296875
146,10,1024,0,1014,102.4,0.9765625
147,12,256,2,244,21.333333333333332,4.6875
148,5,128,3,123,25.6,3.90625
149,12,64,4,52,5.333333333333333,18.75
150,20,256,2,236,12.8,7.8125
151,20,64,4,44,3.2,31.25
152,12,64,4,52,5.333333333333333,18.75
153,8,1024,0,1016,128.0,0.78125
154,15,64,4,49,4.266666666666667,23.4375
155,20,256,2,236,12.8,7.8125
156,2,16,6,14,8.0,12.5
157,12,256,2,244,21.333333333333332,4.6875
158,18,256,2,238,14.222222222222221,7.03125
159,20,64,4,44,3.2,31.25
160,5,128,3,123,25.6,3.90625
161,8,64,4,56,8.0,12.5
162,25,1024,0,999,40.96,2.44140625
163,8,256,2,248,32.0,3.125
164,16,256,2,240,16.0,6.25
165,3,128,3,125,42.666666666666664,2.34375
166,5,128,3,123,25.6,3.90625
167,16,64,4,48,4.0,25.0
168,8,256,2,248,32.0,3.125
169,4,32,5,28,8.0,12.5
170,12,128,3,116,10.666666666666666,9.375
171,18,256,2,238,14.222222222222221,7.03125
172,12,512,1,500,42.666666666666664,2.34375
173,8,256,2,248,32.0,3.125
174,5,128,3,123,25.6,3.90625
175,8,256,2,248,32.0,3.125
176,2,16,6,14,8.0,12.5
177,12,256,2,244,21.333333333333332,4.6875
178,10,256,2,246,25.6,3.90625
179,10,1024,0,1014,102.4,0.9765625
180,15,1024,0,1009,68.26666666666667,1.46484375
181,9,64,4,55,7.111111111111111,14.0625
182,16,128,3,112,8.0,12.5
183,20,256,2,236,12.8,7.8125
184,16,64,4,48,4.0,25.0
185,4,64,4,60,16.0,6.25
186,3,64,4,61,21.333333333333332,4.6875
187,30,1024,0,994,34.13333333333333,2.9296875
188,2,16,6,14,8.0,12.5
189,15,256,2,241,17.066666666666666,5.859375
190,15,128,3,113,8.533333333333333,11.71875
191,25,512,1,487,20.48,4.8828125
192,15,256,2,241,17.066666666666666,5.859375
193,20,128,3,108,6.4,15.625
194,10,256,2,246,25.6,3.90625
195,12,64,4,52,5.333333333333333,18.75
196,20,64,4,44,3.2,31.25
197,10,32,5,22,3.2,31.25
198,10,32,5,22,3.2,31.25
199,12,1024,0,1012,85.33333333333333,1.171875
200,9,512,1,503,56.888888888888886,1.7578125
201,8,32,5,24,4.0,25.0
202,3,64,4,61,21.333333333333332,4.6875
203,6,256,2,250,42.666666666666664,2.34375
204,3,1024,0,1021,341.3333333333333,0.29296875
205,20,256,2,236,12.8,7.8125
206,1,4,8,3,4.0,25.0
207,20,256,2,236,12.8,7.8125
208,30,512,1,482,17.066666666666666,5.859375
209,3,64,4,61,21.333333333333332,4.6875
210,15,512,1,497,34.13333333333333,2.9296875
211,8,128,3,120,16.0,6.25
212,12,128,3,116,10.666666666666666,9.375
213,12,256,2,244,21.333333333333332,4.6875
214,3,1024,0,1021,341.3333333333333,0.29296875
215,12,256,2,244,21.333333333333332,4.6875
216,2,16,6,14,8.0,12.5
217,20,64,4,44,3.2,31.25
218,5,256,2,251,51.2,1.953125
219,12,1024,0,1012,85.33333333333333,1.171875
220,20,64,4,44,3.2,31.25
221,4,128,3,124,32.0,3.125
222,12,256,2,244,21.333333333333332,4.6875
223,5,256,2,251,51.2,1.953125
224,8,128,3,120,16.0,6.25
225,8,64,4,56,8.0,12.5
226,16,128,3,112,8.0,12.5
227,25,256,2,231,10.24,9.765625
228,15,256,2,241,17.066666666666666,5.859375
229,4,16,6,12,4.0,25.0
230,10,128,3,118,12.8,7.8125
231,3,16,6,13,5.333333333333333,18.75
232,12,512,1,500,42.666666666666664,2.34375
233,4,1024,0,1020,256.0,0.390625
234,16,256,2,240,16.0,6.25
235,18,256,2,238,14.222222222222221,7.03125
236,8,64,4,56,8.0,12.5
237,15,1024,0,1009,68.26666666666667,1.46484375
238,10,256,2,246,25.6,3.90625
239,4,64,4,60,16.0,6.25
240,15,128,3,113,8.533333333333333,11.71875
241,5,1024,0,1019,204.8,0.48828125
242,25,256,2,231,10.24,9.765625
243,2,256,2,254,128.0,0.78125
244,2,8,7,6,4.0,25.0
245,10,512,1,502,51.2,1.953125
246,18,1024,0,1006,56.888888888888886,1.7578125
247,5,1024,0,1019,204.8,0.48828125
248,16,256,2,240,16.0,6.25
249,10,64,4,54,6.4,15.625
250,8,512,1,504,64.0,1.5625
251,12,256,2,244,21.333333333333332,4.6875
252,15,256,2,241,17.066666666666666,5.859375
253,15,256,2,241,17.066666666666666,5.859375
254,3,32,5,29,10.666666666666666,9.375
255,9,128,3,119,14.222222222222221,7.03125
256,15,256,2,241,17.066666666666666,5.859375
257,5,1024,0,1019,204.8,0.48828125
258,24,128,3,104,5.333333333333333,18.75
259,4,128,3,124,32.0,3.125
260,9,512,1,503,56.888888888888886,1.7578125
261,25,256,2,231,10.24,9.765625
262,6,128,3,122,21.333333333333332,4.6875
263,16,256,2,240,16.0,6.25
264,4,32,5,28,8.0,12.5
265,12,256,2,244,21.333333333333332,4.6875
266,1,512,1,511,512.0,0.1953125
267,6,64,4,58,10.666666666666666,9.375
268,12,128,3,116,10.666666666666666,9.375
269,4,64,4,60,16.0,6.25
