SRC Query,Depth,BBoxes,Data Size
"[[(1.7774291605618397, 3.1668306115735683), (23.711783598046118, 27.262587118616413)]]",3,"[[0, 25], [0, 50]]",1250
"[[(15.002824118063746, 19.167125054322792), (6.940566510729082, 8.569983439755632)]]",6,"[[12, 25], [0, 12]]",156
"[[(52.004772472869135, 54.551901209258745), (83.17010743943818, 86.78373836927265)]]",8,"[[50, 56], [81, 87]]",36
"[[(85.44883606337218, 89.78587057861725), (56.767429101752214, 58.541146300693434)]]",4,"[[75, 99], [50, 75]]",625
"[[(20.115297517650813, 22.559897468930362), (24.198210832991656, 28.462722410983503)]]",3,"[[0, 25], [0, 50]]",1250
"[[(72.1046116873478, 74.59692704321708), (64.13221580250695, 67.22389004875131)]]",9,"[[71, 75], [62, 68]]",24
"[[(83.08710185044286, 85.37868485948908), (81.14564376031043, 83.25553724570793)]]",8,"[[81, 87], [81, 87]]",36
"[[(22.539365484361088, 23.6445040379575), (24.427702933038198, 26.68150899989015)]]",3,"[[0, 25], [0, 50]]",1250
"[[(54.904528812241786, 59.81889875247915), (5.498418813026365, 9.073585936156022)]]",6,"[[50, 62], [0, 12]]",144
"[[(65.19912278552626, 71.09021233764116), (14.483899245547011, 18.90265444203147)]]",6,"[[62, 75], [12, 25]]",169
"[[(68.75395592540832, 73.31068288404813), (70.65990536302373, 73.88270145941672)]]",8,"[[68, 75], [68, 75]]",49
"[[(55.18590209771632, 60.86824243550322), (5.840431929478704, 10.02785906271858)]]",6,"[[50, 62], [0, 12]]",144
"[[(62.371774493743956, 66.54385585557759), (79.4328694449674, 85.30523761985705)]]",7,"[[62, 68], [75, 87]]",72
"[[(34.404016579182226, 39.80160612428891), (91.2505098869415, 94.84527691448885)]]",4,"[[25, 50], [75, 99]]",625
"[[(25.235756072406957, 30.528008626846212), (82.46034012495304, 86.93411421783148)]]",8,"[[25, 31], [81, 87]]",36
"[[(39.527919904071446, 45.438414795324185), (1.098327772849934, 3.8526305284443803)]]",6,"[[37, 50], [0, 12]]",156
"[[(8.012815356898523, 9.97434910282397), (41.4695338504456, 45.0690060971171)]]",7,"[[6, 12], [37, 50]]",78
"[[(3.6813828125560804, 5.20799602489011), (17.679476377403443, 22.717036896710688)]]",7,"[[0, 6], [12, 25]]",78
"[[(66.11254186232532, 70.71110146637717), (85.57330606026886, 86.63542998058666)]]",6,"[[62, 75], [75, 87]]",156
"[[(47.93559174860138, 50.70229209699902), (63.06256296906401, 65.18513880939035)]]",0,"[(0, 99), (0, 99)]",10000
"[[(13.932097705257625, 19.461296200637644), (7.950132510108524, 10.433914290770812)]]",6,"[[12, 25], [0, 12]]",156
"[[(50.86722266800748, 55.9756604168977), (84.98298181268015, 87.13871537043102)]]",5,"[[50, 62], [75, 99]]",300
"[[(43.943481946727154, 46.68564164534485), (79.41453081128377, 81.53403184334715)]]",7,"[[43, 50], [75, 87]]",84
"[[(25.71529647095694, 29.16067397840295), (4.958655410400574, 8.094221128365326)]]",7,"[[25, 31], [0, 12]]",72
"[[(75.42756838392053, 77.71369199161745), (86.71365246962115, 90.17760671734082)]]",5,"[[75, 87], [75, 99]]",300
"[[(34.560641560923756, 39.43882878179692), (89.24999388858612, 93.66413308696814)]]",4,"[[25, 50], [75, 99]]",625
"[[(75.35228871853863, 81.04036414688112), (25.008624728881212, 28.626009280335353)]]",6,"[[75, 87], [25, 37]]",144
"[[(35.248980190882484, 36.922984524588045), (61.31760801786283, 64.57914144829762)]]",5,"[[25, 37], [50, 75]]",300
"[[(55.40925249068015, 57.812706616497415), (80.53038223971846, 86.16917140951264)]]",6,"[[50, 62], [75, 87]]",144
"[[(35.158821157251, 36.556351017217395), (4.200000448105803, 8.583908933033008)]]",7,"[[31, 37], [0, 12]]",72
"[[(11.35251245173532, 17.023317525549864), (64.47798165768943, 67.88077890505679)]]",4,"[[0, 25], [50, 75]]",625
"[[(86.52291059924617, 89.44889759121399), (55.4153583292341, 59.6996223858414)]]",4,"[[75, 99], [50, 75]]",625
"[[(62.71701405195479, 67.90330328525069), (48.848562436529974, 52.08806573409087)]]",1,"[[50, 99], (0, 99)]",5000
"[[(69.60724534871915, 74.27929967306486), (65.2110941059717, 68.18295244395365)]]",7,"[[68, 75], [62, 75]]",91
"[[(65.81500000119921, 68.67461036570843), (24.536639637525578, 29.96114852042413)]]",3,"[[50, 75], [0, 50]]",1250
"[[(30.088562554204, 31.490510738432878), (68.72800713402158, 72.40286211183539)]]",6,"[[25, 37], [62, 75]]",156
"[[(21.051642467770495, 25.127415242226235), (34.81443871000956, 37.9274654439866)]]",2,"[[0, 50], [0, 50]]",2500
"[[(15.89935300734121, 20.981355976736697), (62.1045476272102, 64.82506429749702)]]",6,"[[12, 25], [62, 75]]",169
"[[(64.25838660844217, 69.5474668767144), (39.09096326798614, 42.35002549293775)]]",6,"[[62, 75], [37, 50]]",169
"[[(57.2863371525664, 61.85104303784818), (0.2586950609479947, 3.573176050419744)]]",8,"[[56, 62], [0, 6]]",36
"[[(33.71345064391531, 37.845306138061474), (75.45698313723034, 79.15773754557046)]]",4,"[[25, 50], [75, 99]]",625
"[[(61.90674441048445, 67.50765039864652), (45.10712491801346, 50.8054593316331)]]",1,"[[50, 99], (0, 99)]",5000
"[[(91.5750592269881, 95.0538314452087), (61.68816320487095, 67.25371961646904)]]",5,"[[87, 99], [50, 75]]",325
"[[(49.31420302405835, 53.02239653712012), (43.2013146526846, 44.87419657185526)]]",0,"[(0, 99), (0, 99)]",10000
"[[(48.30279909460904, 50.08614904756361), (88.6572103936667, 92.31917842524528)]]",0,"[(0, 99), (0, 99)]",10000
"[[(39.682984472266, 41.14015544981627), (69.0987168673533, 72.91208897531045)]]",8,"[[37, 43], [68, 75]]",42
"[[(12.324561110626174, 14.14605420060292), (64.91838778494208, 67.55411825297017)]]",9,"[[12, 15], [62, 68]]",18
"[[(0.7758323648440687, 5.9483941110849585), (25.01181877423121, 26.735274904695803)]]",8,"[[0, 6], [25, 31]]",36
"[[(37.32441213563657, 40.39138236639056), (75.06850869634735, 77.98304119544284)]]",8,"[[37, 43], [75, 81]]",36
"[[(23.588697624949358, 26.27869292159671), (36.74854716420217, 42.53551523553892)]]",2,"[[0, 50], [0, 50]]",2500
"[[(11.900994088658264, 17.652540323279496), (9.72805527068248, 12.93201066525796)]]",4,"[[0, 25], [0, 25]]",625
"[[(76.27428673359563, 82.03781291934378), (61.098071675021906, 63.98537676473789)]]",5,"[[75, 87], [50, 75]]",300
"[[(88.98728455653772, 94.55947089232826), (39.18119005298473, 44.23050513079492)]]",6,"[[87, 99], [37, 50]]",169
"[[(57.19475548646581, 60.98997392222629), (81.94653008354062, 85.60793224841991)]]",8,"[[56, 62], [81, 87]]",36
"[[(20.02554787187747, 24.061435623497605), (86.11656247818969, 90.81799374145056)]]",5,"[[12, 25], [75, 99]]",325
"[[(71.62434992641253, 74.62186398470239), (89.52579439208297, 91.64501236405417)]]",9,"[[71, 75], [87, 93]]",24
"[[(47.3057051862067, 52.68183442906806), (29.495912468103228, 31.52299343707248)]]",0,"[(0, 99), (0, 99)]",10000
"[[(5.526799273473462, 9.151951676784917), (44.72076661757132, 46.1034384647009)]]",6,"[[0, 12], [37, 50]]",156
"[[(72.37050918642832, 78.20060895646937), (82.92764411382299, 83.96138372066828)]]",2,"[[50, 99], [50, 99]]",2500
"[[(68.24475523547325, 71.32006466118187), (42.40900092777984, 45.29121733790204)]]",7,"[[68, 75], [37, 50]]",91
"[[(75.71787722394762, 81.56754066982896), (84.43740859604709, 87.19133765290809)]]",5,"[[75, 87], [75, 99]]",300
"[[(42.723902774852384, 44.28357183316859), (8.874601024298466, 13.38938546993353)]]",5,"[[37, 50], [0, 25]]",325
"[[(28.257833600338895, 29.63838899034032), (89.80527661524935, 93.20316840286114)]]",7,"[[25, 31], [87, 99]]",78
"[[(88.15476516417723, 89.78471181358945), (23.66474876611907, 28.81193484913836)]]",3,"[[75, 99], [0, 50]]",1250
"[[(7.187101966782252, 8.592638064076937), (62.20712074465664, 66.06812730880253)]]",9,"[[6, 9], [62, 68]]",18
"[[(27.17079070920047, 32.89213595592142), (51.1747998279267, 56.285950775610786)]]",6,"[[25, 37], [50, 62]]",144
"[[(16.701431644921556, 19.56035856955706), (17.94201341410278, 20.23089259819673)]]",6,"[[12, 25], [12, 25]]",169
"[[(83.71615580702931, 89.61867545432456), (64.50237171370823, 68.94141510737359)]]",4,"[[75, 99], [50, 75]]",625
"[[(11.559920125657369, 13.8035199241723), (3.6712625986651766, 5.825334874833778)]]",4,"[[0, 25], [0, 25]]",625
"[[(36.96608813506064, 40.30869015918449), (21.890092478887002, 24.711196347124975)]]",4,"[[25, 50], [0, 25]]",625
"[[(76.7746005702408, 82.00069935929102), (12.972541813365192, 14.196611835257732)]]",6,"[[75, 87], [12, 25]]",156
"[[(66.74691295713019, 67.8242025263278), (17.062650786767538, 19.508298077095567)]]",7,"[[62, 68], [12, 25]]",78
"[[(88.5872714752766, 90.75322445431982), (46.55300709512393, 49.123347699899824)]]",8,"[[87, 93], [43, 50]]",42
"[[(51.65107886973717, 53.187558983894206), (83.47623422778295, 86.97099233179078)]]",8,"[[50, 56], [81, 87]]",36
"[[(76.3793006954476, 78.86695683516768), (57.443587776361305, 59.977217936079484)]]",8,"[[75, 81], [56, 62]]",36
"[[(7.124869499327856, 12.356571811365324), (44.94069063288736, 48.504440615937426)]]",4,"[[0, 25], [25, 50]]",625
"[[(7.938850116688683, 10.499838775527046), (89.0764569062797, 92.72443607007966)]]",8,"[[6, 12], [87, 93]]",36
"[[(71.75199974736306, 73.9933559381213), (56.58782549991457, 60.14727986656661)]]",9,"[[71, 75], [56, 62]]",24
"[[(34.71070189172979, 36.67683179564156), (17.930632139488804, 20.087269332815907)]]",7,"[[31, 37], [12, 25]]",78
"[[(75.58398263619368, 76.94570315734684), (51.49779919025923, 52.620038407781564)]]",10,"[[75, 78], [50, 53]]",9
"[[(91.53090982393931, 95.82381793730718), (23.59076997321682, 26.711827980995487)]]",3,"[[75, 99], [0, 50]]",1250
"[[(54.235853288629116, 57.97522106009821), (80.51282826183886, 83.78879457696888)]]",6,"[[50, 62], [75, 87]]",144
"[[(30.238667962106163, 32.93213683821315), (87.08025949562779, 92.77154877625303)]]",6,"[[25, 37], [87, 99]]",156
"[[(2.745290530539207, 8.45814745568758), (66.750883132966, 70.51561745720716)]]",6,"[[0, 12], [62, 75]]",156
"[[(83.04926577245422, 85.67440110537778), (34.08452175999423, 38.574143302110116)]]",5,"[[75, 87], [25, 50]]",300
"[[(45.42601671524913, 47.823996685729455), (9.543509954480237, 11.694217118340429)]]",8,"[[43, 50], [6, 12]]",42
"[[(76.38618067745426, 81.16871566301704), (70.957547887399, 74.65640173983334)]]",6,"[[75, 87], [62, 75]]",156
