,L2 Norm
0,0.08406842451241726
1,0.05408789143606911
2,0.038426697894967644
3,0.0281513765205185
4,0.037093126047827246
5,0.03681409754126506
6,0.03046091507060771
7,0.0295
8,0.030792715989738408
9,0.02604803255526221
10,0.024907680782912566
11,0.019584574428757842
12,0.017327936878050555
13,0.02051952778228982
14,0.022931540627606252
15,0.023721034968989033
16,0.023370751839050703
17,0.021378568938929088
18,0.02228544983253036
19,0.022369622258768707
20,0.01909455526626181
21,0.017697760982724717
22,0.016437744154604965
23,0.014225856740456809
24,0.015143975699927679
25,0.015980479956652447
26,0.01665404872156623
27,0.017033280748617537
28,0.016424203450317094
29,0.01566560280075783
30,0.015565694423057672
31,0.015229750900786276
32,0.014680543773066141
33,0.014265706453689487
34,0.014615270180498874
35,0.01438663646033971
36,0.01402105012484301
37,0.014394760896737345
38,0.014236970235939025
39,0.013306953069730128
40,0.014481675224611428
41,0.013274999946620219
42,0.013253110699475336
43,0.011571016798538765
44,0.011014636726747847
45,0.010138688557751324
46,0.009922595401508479
47,0.010688129448650559
48,0.011020474300633003
49,0.010685504199615496
50,0.008750185366301493
51,0.00902707957650057
52,0.010249460561133598
53,0.008814775910278287
54,0.008289343951151735
55,0.0074885967732715554
56,0.007658161004996884
57,0.007478824645204748
58,0.00758189038194704
59,0.007171703656268398
60,0.007201583554843575
61,0.007770344382395141
62,0.007883561485658675
63,0.007227065016311951
64,0.006257539830774378
65,0.00613204112630173
66,0.007135382111650394
67,0.0066012214451171124
68,0.006646938358373181
69,0.006953049543846474
70,0.0063799474463953265
71,0.006198615934720675
72,0.0050710008605702375
73,0.005774209048760479
74,0.005751714720170182
75,0.0050567417493000005
76,0.005952155052777591
77,0.006963344432129814
78,0.006901131856013749
79,0.0060580524923443775
80,0.005479388711835304
81,0.004981494606916565
82,0.004110279414415366
83,0.003845809333951254
84,0.00413638593234662
85,0.004178190302304533
86,0.003904046296743755
87,0.0035796717149449613
88,0.003332507367262614
89,0.0029629398147244025
90,0.002747593385475158
91,0.002736541219311439
92,0.0028261268046428827
93,0.002119719226006775
94,0.0019380288126522678
95,0.0018092643532662918
96,0.0016291106432459164
97,0.0013060427271588551
98,0.0011664589434211186
99,0.0
