,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,48,625,4,577,13.020833333333334,7.68
1,11,156,6,145,14.181818181818182,7.051282051282051
2,36,300,5,264,8.333333333333334,12.0
3,22,156,6,134,7.090909090909091,14.102564102564102
4,26,5000,1,4974,192.30769230769232,0.52
5,55,2500,2,2445,45.45454545454545,2.1999999999999997
6,21,325,5,304,15.476190476190476,6.461538461538462
7,30,300,5,270,10.0,10.0
8,110,625,4,515,5.681818181818182,17.599999999999998
9,20,72,7,52,3.6,27.77777777777778
10,18,2500,2,2482,138.88888888888889,0.72
11,72,625,4,553,8.680555555555555,11.52
12,55,1250,3,1195,22.727272727272727,4.3999999999999995
13,84,10000,0,9916,119.04761904761905,0.84
14,48,1250,3,1202,26.041666666666668,3.84
15,9,325,5,316,36.111111111111114,2.769230769230769
16,108,625,4,517,5.787037037037037,17.28
17,78,300,5,222,3.8461538461538463,26.0
18,8,169,6,161,21.125,4.733727810650888
19,91,325,5,234,3.5714285714285716,28.000000000000004
20,28,300,5,272,10.714285714285714,9.333333333333334
21,65,625,4,560,9.615384615384615,10.4
22,70,625,4,555,8.928571428571429,11.200000000000001
23,10,300,5,290,30.0,3.3333333333333335
24,4,625,4,621,156.25,0.64
25,99,2500,2,2401,25.252525252525253,3.9600000000000004
26,15,2500,2,2485,166.66666666666666,0.6
27,35,156,6,121,4.457142857142857,22.435897435897438
28,24,625,4,601,26.041666666666668,3.84
29,15,169,6,154,11.266666666666667,8.875739644970414
30,20,78,7,58,3.9,25.64102564102564
31,33,300,5,267,9.090909090909092,11.0
32,40,2500,2,2460,62.5,1.6
33,18,169,6,151,9.38888888888889,10.650887573964498
34,20,36,8,16,1.8,55.55555555555556
35,52,625,4,573,12.01923076923077,8.32
36,40,2500,2,2460,62.5,1.6
37,80,2500,2,2420,31.25,3.2
38,91,625,4,534,6.868131868131868,14.56
39,24,625,4,601,26.041666666666668,3.84
40,16,300,5,284,18.75,5.333333333333334
41,21,325,5,304,15.476190476190476,6.461538461538462
42,156,1250,3,1094,8.012820512820513,12.479999999999999
43,65,1250,3,1185,19.23076923076923,5.2
44,8,300,5,292,37.5,2.666666666666667
45,22,5000,1,4978,227.27272727272728,0.44
46,154,5000,1,4846,32.467532467532465,3.08
47,48,10000,0,9952,208.33333333333334,0.48
48,4,84,7,80,21.0,4.761904761904762
49,24,2500,2,2476,104.16666666666667,0.96
50,72,10000,0,9928,138.88888888888889,0.72
51,84,625,4,541,7.440476190476191,13.44
52,63,5000,1,4937,79.36507936507937,1.26
53,27,2500,2,2473,92.5925925925926,1.08
54,48,156,6,108,3.25,30.76923076923077
55,66,1250,3,1184,18.939393939393938,5.28
56,42,1250,3,1208,29.761904761904763,3.36
57,24,325,5,301,13.541666666666666,7.384615384615385
58,72,5000,1,4928,69.44444444444444,1.44
59,14,156,6,142,11.142857142857142,8.974358974358974
60,100,300,5,200,3.0,33.33333333333333
61,32,625,4,593,19.53125,5.12
62,18,5000,1,4982,277.77777777777777,0.36
63,70,625,4,555,8.928571428571429,11.200000000000001
64,8,1250,3,1242,156.25,0.64
65,20,5000,1,4980,250.0,0.4
66,130,2500,2,2370,19.23076923076923,5.2
67,49,1250,3,1201,25.510204081632654,3.92
68,16,625,4,609,39.0625,2.56
69,39,2500,2,2461,64.1025641025641,1.5599999999999998
70,12,1250,3,1238,104.16666666666667,0.96
71,132,625,4,493,4.734848484848484,21.12
72,52,2500,2,2448,48.07692307692308,2.08
73,6,72,7,66,12.0,8.333333333333332
74,72,625,4,553,8.680555555555555,11.52
75,121,1250,3,1129,10.330578512396695,9.68
76,48,2500,2,2452,52.083333333333336,1.92
77,24,625,4,601,26.041666666666668,3.84
78,63,5000,1,4937,79.36507936507937,1.26
79,80,2500,2,2420,31.25,3.2
80,144,1250,3,1106,8.680555555555555,11.52
81,18,144,6,126,8.0,12.5
82,10,78,7,68,7.8,12.82051282051282
83,104,325,5,221,3.125,32.0
84,60,625,4,565,10.416666666666666,9.6
85,3,42,8,39,14.0,7.142857142857142
86,108,625,4,517,5.787037037037037,17.28
87,24,156,6,132,6.5,15.384615384615385
88,13,625,4,612,48.07692307692308,2.08
89,40,2500,2,2460,62.5,1.6
90,126,2500,2,2374,19.841269841269842,5.04
91,78,1250,3,1172,16.025641025641026,6.239999999999999
