BRC Query,Data Size
"[[(23.98, 38.49), (14.83, 16.05)]]",30
"[[(59.22, 76.67), (46.08, 60.41)]]",238
"[[(20.19, 22.06), (36.62, 49.81)]]",26
"[[(75.27, 86.6), (58.24, 64.22)]]",66
"[[(60.03, 73.3), (37.64, 50.9)]]",169
"[[(21.7, 26.25), (77.43, 92.54)]]",75
"[[(58.44, 69.1), (2.25, 13.85)]]",121
"[[(50.62, 63.46), (81.09, 88.3)]]",91
"[[(59.43, 76.96), (36.94, 42.86)]]",102
"[[(24.2, 29.69), (43.86, 54.34)]]",55
"[[(73.69, 90.21), (41.63, 44.92)]]",51
"[[(54.15, 66.06), (80.92, 86.68)]]",72
"[[(62.21, 67.63), (28.7, 37.56)]]",45
"[[(40.85, 49.81), (17.77, 23.24)]]",54
"[[(75.0, 77.88), (37.3, 55.11)]]",54
"[[(68.51, 72.61), (44.16, 59.15)]]",60
"[[(65.16, 77.62), (15.37, 28.6)]]",156
"[[(24.39, 37.38), (58.56, 76.13)]]",234
"[[(74.55, 91.82), (29.74, 40.99)]]",187
"[[(31.18, 48.45), (14.16, 15.67)]]",17
"[[(25.64, 31.94), (3.59, 15.2)]]",72
"[[(70.73, 83.13), (15.95, 21.62)]]",78
"[[(65.3, 74.7), (32.48, 41.38)]]",81
"[[(24.3, 31.57), (16.88, 25.19)]]",63
"[[(36.78, 39.21), (74.43, 78.92)]]",12
"[[(41.99, 59.61), (75.65, 89.55)]]",252
"[[(1.71, 16.49), (76.47, 88.35)]]",180
"[[(18.21, 20.29), (23.56, 38.71)]]",30
"[[(71.7, 74.96), (62.32, 78.52)]]",48
"[[(28.54, 33.77), (76.49, 89.69)]]",65
"[[(62.45, 65.01), (64.28, 69.6)]]",15
"[[(68.91, 81.46), (33.89, 41.54)]]",104
"[[(27.05, 29.87), (43.4, 45.3)]]",4
"[[(70.87, 78.65), (9.13, 15.41)]]",48
"[[(74.79, 84.12), (35.97, 53.45)]]",180
"[[(1.91, 6.62), (15.71, 20.36)]]",25
"[[(57.24, 63.44), (44.59, 58.42)]]",84
"[[(71.6, 75.23), (64.68, 65.75)]]",4
"[[(23.33, 26.5), (52.88, 65.31)]]",39
"[[(68.57, 82.67), (30.5, 42.81)]]",168
"[[(63.68, 72.13), (1.54, 3.28)]]",18
"[[(35.63, 44.08), (61.19, 70.36)]]",81
"[[(79.7, 81.0), (3.83, 17.67)]]",28
"[[(68.3, 79.95), (72.65, 89.73)]]",187
"[[(31.8, 39.63), (44.25, 57.97)]]",104
"[[(34.05, 36.76), (71.51, 82.61)]]",22
"[[(59.69, 62.53), (2.72, 13.51)]]",33
"[[(77.12, 92.59), (2.0, 4.95)]]",45
"[[(73.45, 76.76), (20.26, 31.1)]]",33
"[[(32.48, 49.77), (6.33, 24.0)]]",306
"[[(11.05, 22.33), (20.56, 36.31)]]",176
"[[(58.31, 69.79), (9.08, 24.59)]]",165
"[[(42.94, 45.15), (50.41, 67.13)]]",51
"[[(71.42, 82.81), (48.08, 63.44)]]",165
"[[(70.15, 81.91), (39.5, 46.94)]]",77
"[[(78.54, 88.67), (66.7, 82.0)]]",160
"[[(30.92, 47.54), (65.81, 79.78)]]",238
"[[(60.31, 67.34), (50.36, 55.01)]]",35
"[[(31.5, 39.87), (41.08, 56.84)]]",120
"[[(1.71, 17.55), (19.98, 27.57)]]",128
"[[(79.75, 86.77), (37.48, 53.14)]]",112
"[[(44.19, 58.26), (18.28, 27.57)]]",126
"[[(30.0, 43.31), (2.02, 13.86)]]",154
"[[(13.77, 27.77), (58.63, 71.37)]]",182
"[[(18.36, 22.26), (25.35, 34.63)]]",36
"[[(65.99, 74.56), (76.03, 92.53)]]",144
"[[(1.93, 13.45), (75.22, 87.2)]]",144
"[[(56.2, 61.36), (69.99, 76.67)]]",35
"[[(50.99, 53.48), (62.4, 70.8)]]",24
"[[(55.3, 63.3), (66.85, 78.04)]]",96
"[[(1.25, 13.28), (63.83, 75.24)]]",144
"[[(5.79, 19.11), (40.19, 53.55)]]",182
"[[(20.13, 30.17), (48.65, 58.51)]]",100
"[[(68.97, 78.36), (80.62, 98.2)]]",180
"[[(27.53, 33.78), (21.87, 37.37)]]",96
"[[(42.27, 52.76), (73.23, 83.6)]]",100
"[[(63.52, 71.78), (44.37, 47.86)]]",24
"[[(26.23, 36.19), (5.38, 11.14)]]",60
"[[(62.27, 71.43), (4.07, 12.86)]]",72
"[[(17.58, 32.08), (40.18, 41.54)]]",15
"[[(45.42, 51.62), (5.25, 8.0)]]",18
"[[(57.41, 61.63), (7.76, 15.5)]]",32
"[[(22.49, 36.75), (73.45, 88.69)]]",210
"[[(25.07, 30.27), (40.17, 56.83)]]",80
"[[(29.13, 31.71), (58.22, 70.24)]]",24
"[[(10.96, 24.43), (53.28, 62.53)]]",126
"[[(70.08, 73.08), (36.31, 38.81)]]",6
"[[(54.53, 57.99), (75.61, 80.01)]]",15
"[[(70.54, 81.95), (10.46, 24.26)]]",154
"[[(65.58, 71.39), (80.22, 82.95)]]",12
"[[(48.09, 63.27), (65.32, 68.54)]]",45
"[[(9.05, 18.25), (17.07, 26.0)]]",81
"[[(74.28, 78.58), (72.23, 73.95)]]",4
"[[(22.14, 26.84), (6.59, 21.01)]]",60
"[[(63.19, 75.09), (42.2, 57.92)]]",180
"[[(50.45, 57.62), (78.78, 93.27)]]",105
"[[(45.27, 53.43), (11.37, 28.14)]]",136
"[[(78.3, 93.69), (73.14, 75.54)]]",30
"[[(9.26, 26.01), (51.91, 60.15)]]",153
"[[(17.43, 31.16), (32.44, 41.15)]]",126
"[[(21.31, 30.06), (47.52, 52.45)]]",45
"[[(29.69, 36.58), (21.96, 33.67)]]",84
"[[(73.09, 81.42), (57.78, 65.09)]]",64
"[[(77.04, 91.18), (22.45, 26.19)]]",56
"[[(62.97, 69.93), (39.33, 50.11)]]",77
"[[(9.15, 10.19), (51.52, 63.53)]]",12
"[[(58.86, 64.02), (71.21, 80.27)]]",54
"[[(51.23, 55.11), (66.26, 75.11)]]",36
"[[(70.54, 79.97), (54.93, 61.72)]]",63
"[[(8.9, 17.72), (3.16, 17.8)]]",126
"[[(7.64, 15.76), (26.62, 42.84)]]",128
"[[(55.8, 64.43), (55.53, 58.23)]]",27
"[[(77.05, 83.14), (60.21, 62.33)]]",12
"[[(45.83, 60.81), (67.47, 84.95)]]",255
"[[(58.76, 74.35), (31.23, 48.03)]]",272
"[[(29.23, 39.33), (34.75, 52.24)]]",180
"[[(2.13, 13.31), (34.02, 38.95)]]",44
"[[(19.53, 25.29), (31.56, 39.67)]]",48
"[[(36.51, 37.74), (25.92, 33.51)]]",8
"[[(18.24, 28.96), (52.49, 57.09)]]",50
"[[(21.19, 36.49), (5.74, 18.4)]]",195
"[[(36.06, 45.7), (40.89, 46.02)]]",54
"[[(80.19, 95.54), (6.02, 9.41)]]",45
"[[(1.75, 7.58), (56.5, 58.93)]]",12
"[[(74.04, 86.24), (52.85, 55.47)]]",36
"[[(77.37, 79.2), (22.23, 35.08)]]",26
"[[(77.1, 85.23), (75.58, 93.3)]]",144
"[[(57.0, 61.05), (2.0, 16.76)]]",75
"[[(80.0, 87.68), (9.3, 16.89)]]",56
"[[(43.43, 46.89), (25.93, 36.86)]]",33
"[[(61.52, 66.63), (42.4, 57.86)]]",75
"[[(54.12, 55.49), (45.01, 48.22)]]",3
"[[(71.09, 75.0), (60.08, 76.83)]]",64
"[[(50.3, 65.16), (3.07, 10.56)]]",105
"[[(14.31, 18.13), (50.46, 52.49)]]",8
"[[(61.84, 73.35), (23.87, 34.73)]]",132
"[[(48.32, 64.82), (23.15, 39.86)]]",256
"[[(35.09, 37.82), (35.89, 41.06)]]",12
"[[(25.8, 43.58), (40.29, 48.45)]]",144
"[[(18.56, 25.17), (72.41, 73.45)]]",7
"[[(69.42, 75.14), (10.68, 17.81)]]",42
"[[(26.55, 34.25), (8.23, 13.63)]]",40
"[[(9.21, 16.32), (12.83, 17.96)]]",35
"[[(27.47, 40.38), (80.16, 87.33)]]",91
"[[(26.97, 38.26), (72.36, 82.6)]]",120
"[[(48.9, 50.16), (36.55, 46.12)]]",20
"[[(42.4, 59.19), (73.61, 79.53)]]",102
"[[(72.37, 83.04), (2.85, 11.52)]]",99
"[[(60.2, 61.62), (25.33, 40.83)]]",15
"[[(61.78, 71.8), (38.01, 48.26)]]",100
"[[(11.71, 25.78), (75.5, 86.71)]]",154
"[[(29.99, 43.36), (55.21, 71.63)]]",224
"[[(26.94, 38.28), (53.47, 59.83)]]",72
"[[(40.34, 51.64), (29.48, 36.34)]]",77
"[[(36.4, 45.02), (59.54, 74.55)]]",135
"[[(69.4, 84.91), (57.36, 66.55)]]",135
"[[(55.48, 57.29), (56.77, 61.24)]]",10
"[[(60.27, 77.48), (75.27, 77.92)]]",34
"[[(72.27, 80.4), (25.0, 41.53)]]",136
