,DAG,KD
0,4,4
1,5,3
2,4,4
3,4,2
4,4,1
5,4,4
6,6,6
7,5,5
8,4,4
9,4,4
10,6,6
11,4,4
12,4,0
13,5,1
14,4,3
15,4,0
16,4,4
17,5,5
18,5,3
19,5,5
20,4,4
21,4,4
22,4,4
23,4,4
24,5,3
25,2,2
26,4,2
27,2,1
28,4,4
29,5,3
30,4,3
31,5,5
32,5,5
33,4,0
34,4,4
35,5,5
36,4,1
37,4,1
38,4,4
39,4,4
40,4,4
41,4,0
42,2,2
43,5,5
44,4,4
45,5,1
46,2,1
47,2,0
48,4,2
49,3,2
50,2,0
51,4,4
52,4,1
53,4,2
54,4,3
55,4,4
56,3,3
57,4,2
58,4,1
59,4,2
60,2,2
61,4,2
62,3,1
63,4,4
64,5,5
65,4,4
66,4,2
67,6,6
68,5,5
69,2,2
70,5,3
71,4,4
72,2,2
73,4,2
74,4,4
75,4,3
76,5,5
77,4,4
78,2,2
79,4,2
80,5,3
81,4,4
82,6,6
83,5,5
84,4,4
85,4,2
86,4,4
87,5,5
88,2,2
89,2,2
90,2,2
91,4,2
92,4,1
93,4,4
94,4,4
95,4,1
96,4,4
97,4,3
98,5,3
99,4,1
100,4,3
101,2,2
102,4,1
103,4,4
104,4,4
105,3,3
106,4,4
107,4,4
108,5,3
109,4,0
110,4,0
111,5,5
112,3,3
113,4,3
114,6,6
115,4,2
116,5,1
117,4,4
118,4,4
119,4,4
120,4,4
121,5,5
122,4,3
123,3,2
124,6,6
125,4,1
126,4,1
127,5,5
128,6,6
129,4,3
130,5,5
131,2,2
132,6,6
133,4,4
134,4,2
135,4,4
136,3,1
137,3,2
138,4,3
139,3,3
140,4,2
141,4,2
142,4,2
143,3,3
144,3,3
145,6,6
146,4,4
147,5,5
148,3,3
149,4,2
150,2,0
151,3,1
152,2,0
153,5,5
154,4,0
155,2,2
156,2,2
157,4,2
158,2,2
159,2,2
160,5,5
161,4,4
162,4,3
163,5,3
164,4,3
165,6,6
166,5,5
167,4,2
168,4,0
169,3,3
170,5,5
171,2,2
172,5,5
173,4,4
174,4,3
175,5,5
176,4,0
177,5,5
178,4,4
179,4,4
180,5,5
181,4,4
182,4,4
183,2,2
184,6,6
185,4,0
186,4,3
187,2,2
188,4,4
189,4,4
190,4,4
191,4,2
192,5,3
193,5,5
194,2,2
195,5,5
196,4,0
197,4,4
198,2,2
199,6,6
200,4,3
201,2,2
202,5,3
203,5,5
204,4,4
205,4,2
206,5,5
207,4,4
208,4,3
209,4,4
210,4,0
211,3,1
212,4,3
213,4,2
214,3,3
215,4,1
216,4,4
217,5,5
218,3,3
219,6,6
220,4,2
221,4,0
222,4,4
223,2,0
224,4,4
225,6,6
226,4,2
227,4,2
228,2,0
229,4,4
230,4,0
231,3,3
232,4,4
233,4,4
234,2,2
235,4,4
236,6,6
237,5,5
238,4,4
239,4,4
240,4,2
241,4,0
242,4,1
243,6,6
244,4,4
245,4,2
246,4,4
247,4,4
248,4,2
249,4,0
250,4,3
251,4,2
252,4,2
253,4,2
254,3,1
255,4,4
256,4,4
257,4,4
258,4,4
259,5,1
260,4,0
261,3,1
262,2,2
263,4,3
264,5,5
265,4,2
266,4,4
267,4,1
268,2,0
269,2,0
270,2,0
271,2,0
272,5,5
273,6,6
274,4,4
275,4,4
276,5,3
277,4,4
278,4,1
279,3,1
280,4,3
281,4,3
282,3,1
283,6,6
284,3,3
285,4,1
286,4,3
287,6,6
288,5,3
289,4,2
290,4,0
291,2,0
292,5,5
293,4,4
294,3,3
295,4,4
296,5,5
297,4,4
298,4,4
299,4,4
300,4,2
301,4,2
302,4,2
303,5,3
304,5,5
305,4,4
306,4,0
307,4,1
308,4,2
309,5,3
310,4,2
311,3,0
312,5,5
313,4,4
314,4,2
315,4,3
316,5,3
317,5,5
318,4,4
319,3,0
320,6,6
321,2,2
322,4,4
323,2,2
324,4,4
325,6,6
326,4,3
327,4,4
328,4,2
329,4,4
330,2,2
331,4,4
332,4,2
333,4,4
334,4,4
335,2,0
336,4,4
337,3,0
338,5,3
339,4,3
340,4,4
341,4,1
342,5,5
343,4,4
344,4,4
345,4,4
346,3,3
347,4,2
348,5,3
349,4,4
350,4,2
351,2,0
352,3,3
353,4,4
354,5,5
355,4,4
356,3,3
357,5,3
358,3,3
359,2,0
360,6,6
361,4,4
362,4,3
363,2,2
364,4,0
365,5,3
366,5,5
367,2,0
368,4,2
369,6,6
370,6,6
371,4,2
372,4,1
373,5,3
374,2,2
375,4,2
376,4,4
377,5,5
378,3,1
379,4,4
380,4,4
381,4,2
382,3,3
383,4,1
384,3,3
385,3,3
386,5,5
387,3,1
388,4,3
389,4,4
390,5,1
391,4,4
392,2,1
393,4,4
394,4,1
395,3,3
396,4,0
397,4,4
398,4,4
399,3,1
400,2,2
401,2,0
402,4,4
403,4,3
404,4,4
405,3,3
406,3,3
407,4,2
408,4,4
409,4,4
410,4,4
411,4,4
412,4,4
413,4,2
414,4,4
415,2,0
416,4,4
417,5,3
418,6,6
419,4,0
420,4,1
421,4,2
422,4,4
423,3,3
424,3,3
425,4,4
426,4,2
427,3,1
428,4,0
429,4,4
430,2,1
431,3,1
432,2,2
433,6,6
434,4,0
435,4,4
436,4,4
437,4,4
438,2,2
439,4,4
440,4,2
441,4,1
442,3,3
443,3,2
444,3,3
445,4,0
446,6,6
447,2,2
448,5,5
449,2,2
450,6,6
451,4,4
452,4,4
453,5,3
454,6,6
455,4,3
456,3,1
457,4,4
458,4,3
459,4,2
460,3,0
461,4,3
462,2,2
463,4,2
464,5,5
465,4,4
466,4,4
467,5,3
468,4,2
469,5,1
470,5,1
471,5,5
472,5,3
473,4,3
474,4,4
475,4,2
476,2,0
477,3,3
478,2,2
479,4,3
480,4,0
481,4,4
482,5,5
483,4,4
484,2,0
485,5,1
486,4,2
487,4,4
488,5,1
489,4,1
490,4,4
491,5,5
492,5,5
493,5,1
494,4,2
495,4,0
496,2,2
497,5,3
498,2,2
499,5,1
500,5,3
501,4,3
502,4,0
503,5,5
504,4,3
505,5,1
506,4,2
507,4,4
508,5,1
509,3,3
510,4,2
511,4,4
512,4,4
513,4,4
514,4,0
515,3,3
516,3,3
517,4,4
518,3,1
519,4,1
520,4,4
521,4,4
522,4,2
523,4,4
524,4,4
525,4,2
526,4,0
527,5,3
528,4,4
529,4,2
530,4,4
531,4,0
532,4,2
533,4,4
534,3,3
535,4,2
536,4,2
537,4,2
538,2,0
539,5,5
540,4,4
541,4,4
542,5,3
543,6,6
544,4,4
545,4,1
546,4,2
547,4,3
548,4,4
549,4,3
550,4,4
551,4,4
552,4,3
553,4,2
554,6,6
555,4,3
556,4,4
557,4,3
558,4,2
559,4,4
560,4,2
561,4,4
562,6,6
563,5,3
564,4,3
565,2,2
566,2,2
567,5,3
568,5,5
569,5,5
570,3,2
571,5,3
572,3,3
573,3,3
574,5,5
575,5,5
576,4,1
577,6,6
578,4,4
579,3,3
580,4,4
581,4,4
582,2,2
583,4,2
584,6,6
585,4,0
586,2,0
587,4,0
588,5,3
589,4,0
590,5,3
591,3,3
592,4,4
593,5,5
594,2,0
595,4,2
596,5,3
597,4,4
598,2,2
599,5,5
600,4,4
601,4,3
602,5,1
603,4,3
604,4,4
605,4,4
606,4,1
607,4,2
608,6,6
609,4,4
610,4,4
611,2,2
612,2,1
613,4,1
614,4,4
615,2,1
616,4,4
617,5,5
618,3,1
619,5,5
620,4,2
621,3,1
622,2,0
623,5,3
624,4,3
625,6,6
626,4,3
627,4,4
628,5,5
629,4,4
630,2,2
631,4,2
632,4,0
633,5,5
634,3,1
635,3,2
636,6,6
637,5,5
638,4,0
639,4,3
640,5,5
641,5,5
642,3,1
643,4,4
644,2,1
645,4,2
646,4,4
647,4,4
648,6,6
649,4,4
650,5,5
651,5,3
652,2,2
653,4,4
654,4,4
655,6,6
656,3,3
657,4,4
658,3,1
659,3,0
660,4,2
661,5,5
662,4,2
663,4,4
664,4,4
665,5,5
666,2,0
667,2,0
668,4,3
669,5,3
670,4,2
671,4,4
672,4,4
673,2,2
674,4,1
675,2,2
676,6,6
677,2,2
678,4,1
679,4,1
680,4,1
681,4,2
682,6,6
683,4,4
684,4,1
685,4,2
686,5,5
687,3,3
688,2,2
689,5,5
690,4,4
691,4,2
692,4,2
693,4,3
694,4,2
695,3,3
696,4,4
697,4,4
698,4,4
699,6,6
700,6,6
701,4,0
702,4,4
703,5,5
704,4,3
705,3,3
706,5,5
707,4,2
708,4,2
709,2,1
710,4,3
711,6,6
712,4,3
713,4,3
714,4,2
715,6,6
716,4,2
717,3,2
718,4,0
719,4,3
720,5,5
721,5,3
722,5,5
723,4,3
724,4,0
725,5,3
726,6,6
727,4,0
728,4,0
729,4,1
730,5,3
731,4,2
732,5,3
733,6,6
734,6,6
735,2,2
736,4,0
737,4,4
738,4,4
739,5,5
740,4,4
741,4,2
742,2,2
743,4,3
744,4,4
745,5,5
746,3,2
747,5,5
748,4,4
749,4,0
750,4,3
751,4,1
752,5,5
753,4,4
754,3,3
755,5,5
756,4,4
757,5,1
758,6,6
759,6,6
760,3,3
761,2,2
762,4,0
763,4,2
764,4,4
765,3,3
766,4,4
767,4,4
768,4,4
769,3,1
770,4,2
771,4,1
772,4,4
773,5,3
774,4,1
775,3,3
776,4,2
777,2,0
778,4,4
779,6,6
780,5,5
781,3,1
782,2,2
783,4,4
784,3,3
785,2,2
786,2,2
787,3,3
788,4,2
789,4,2
790,4,4
791,5,5
792,3,3
793,2,2
794,4,4
795,4,2
796,6,6
797,5,3
798,6,6
799,4,4
800,4,4
801,4,0
802,3,2
803,4,4
804,2,2
805,3,1
806,5,3
807,4,0
808,2,0
809,6,6
810,2,2
811,4,2
812,5,3
813,4,0
814,6,6
815,4,4
816,4,1
817,5,5
818,4,4
819,4,4
820,4,3
821,4,4
822,5,5
823,5,5
824,5,5
825,2,0
826,4,2
827,4,4
828,5,5
829,4,3
830,4,4
831,4,3
832,4,4
833,2,1
834,4,2
835,3,1
836,3,3
837,2,0
838,5,5
839,5,5
840,6,6
841,4,2
842,5,5
843,3,3
844,4,4
845,4,1
846,6,6
847,4,0
848,3,3
849,4,4
850,5,5
851,4,4
852,4,4
853,4,4
854,4,3
855,4,4
856,4,4
857,3,0
858,3,1
859,4,4
860,6,6
861,6,6
862,4,4
863,2,0
864,3,2
865,4,2
866,4,1
867,5,5
868,4,2
869,2,2
870,5,5
871,4,3
872,2,2
873,5,5
874,4,4
875,2,2
876,4,3
877,4,2
878,5,5
879,5,3
880,4,4
881,4,4
882,4,0
883,3,1
884,4,4
885,3,3
886,2,2
887,4,2
888,4,0
889,4,4
890,5,1
891,3,3
892,4,4
893,5,5
894,2,2
895,4,2
896,4,2
897,5,5
898,3,1
899,4,2
900,4,0
901,3,0
902,6,6
903,4,4
904,4,1
905,6,6
906,2,0
907,4,0
908,2,2
909,4,4
910,4,0
911,4,4
912,6,6
913,4,2
914,4,2
915,5,5
916,3,0
917,4,4
918,4,3
919,3,1
920,4,0
921,4,0
922,4,1
923,4,2
924,3,1
925,4,2
