,L2 Norm
0,0.023278212424356903
1,-0.026747131073215608
2,-0.0182929902759895
3,-0.0137455336170835
4,-0.0003011692226809054
5,-0.011673677710667504
6,0.001374615634357798
7,-0.0081692018709884
8,-0.005535562188375802
9,-0.009218317333547502
10,-0.0099693768030884
11,-0.013053096919708799
12,-0.0177290314791687
13,-0.0168206316910738
14,-0.0157205594303186
15,-0.0102023191645957
16,-0.0067577166697008004
17,-0.005295956058102699
18,-0.004346476877448498
19,-0.0077516248321112
20,-0.008882314942698701
21,-0.008734632539890699
22,-0.010100820206202002
23,-0.006579758716627599
24,-0.005293201808938799
25,-0.0073707316746940005
26,-0.005396910461029299
27,-0.0065835884718876
28,-0.006395619336991499
29,-0.006008993690113798
30,-0.004591844050993398
31,-0.0047855497440654985
32,-0.004861304874925702
33,-0.005026605021021402
34,-0.005180931215940501
35,-0.007049627229131
36,-0.0057493986512441
37,-0.005700184323605001
38,-0.0062711279358634
39,-0.005565745806202
40,-0.0036423894996984
41,-0.0026670493540650007
42,-0.0030726635185374003
43,-0.0037752749689007993
44,-0.0039425419894611
45,-0.0019602695311167
46,-0.0019760914417603992
47,-0.0036457935947258003
48,-0.0037943556229159
49,-0.0015501955606430995
50,-0.0007850377202506999
51,-0.0027206983728261004
52,-0.0023407033260557
53,-0.0014772566221704
54,-0.0006526889968192003
55,-0.0008038758666753
56,-0.0033589172115365998
57,-0.0014706751186304
58,-0.0010469767178813002
59,-0.0020829904095148004
60,-0.0023768833708816
61,-0.0031660157073391
62,-0.0015271635079873
63,-0.0011545004909889007
64,-0.0009855631907492997
65,-0.0021360861134805996
66,-0.0010874195955710994
67,-0.0017387592537694996
68,-0.0022031873526656997
69,-0.0011417522395545006
70,-7.995989901219986e-05
71,0.00021933744701529978
72,-0.0002937870995649004
73,-0.0007481931461782
74,-0.0011178807705450999
75,-0.0007706350692948997
76,-1.2628282789900209e-05
77,-0.0005824594338074999
78,-0.0014009585961247996
79,-0.0007868000842433998
80,-0.00030029981128690004
81,-0.0003227616699330001
82,3.261116354989985e-05
83,0.0001583278224709002
84,-0.0015451755023180996
85,-0.001230932555803
86,5.015669395699992e-05
87,-3.977505050000146e-06
88,-0.0002960117611864998
89,0.00018552818880250002
90,-0.00018369612777659997
91,0.0003169267106466003
92,-3.845129377469999e-05
93,0.0001790541875718
94,0.00010960825352350012
95,0.00015069520669059992
96,0.00018704839147250002
97,0.0009713011498461
98,0.00011731391682060009
99,0.0
